"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.393238426267934,0.564495521877474
"majority-vote",1,0.15785803010934,0.27267251425364
"majority-vote",1,0.204486725225345,0.339541683511851
"majority-vote",1,0.308891171125313,0.471989081964309
"majority-vote",1,0.311404088313323,0.474917061931443
"majority-vote",0.97050606334426,0.260508475923845,0.410758845443012
"majority-vote",1,0.157944683998077,0.272801777460967
"majority-vote",0.986728216964801,0.27580173049794,0.431104783402487
"majority-vote",1,0.306665987611156,0.469386959664882
"majority-vote",0.927280639628789,0.505766204403991,0.654531582795391
"majority-vote",0.84124374018985,0.185675713452726,0.304207951448071
"majority-vote",1,0.251501657045987,0.401919814696251
"majority-vote",0.991384685908434,0.497987211427381,0.662959863913741
"majority-vote",1,0.113759134858144,0.204279599237825
"majority-vote",1,0.614655816248462,0.761345929037151
"majority-vote",1,0.0924200796168874,0.16920245488219
"majority-vote",1,0.721879567690022,0.838478580309139
"majority-vote",1,0.604139783681785,0.753225859526004
"majority-vote",1,0.40418270004516,0.575683919239513
"majority-vote",1,0.238054895958428,0.384562747153695
"majority-vote",0.977869986168741,0.345902011446838,0.511035428696968
"majority-vote",1,0.2062819635042,0.342012845661655
"majority-vote",1,0.0231458950954232,0.0452445642530081
"majority-vote",0.815179422038742,0.702426673205517,0.754614483010638
"majority-vote",0.979935217361287,0.296613910295649,0.455387748674349
"majority-vote",1,0.694391167248095,0.819635017781489
"majority-vote",0.978988690912049,0.312296619126355,0.473535718184042
"majority-vote",0.976829268292683,0.342274493625842,0.506925615430745
"majority-vote",0.964143426294821,0.14508320052938,0.252213588591368
"majority-vote",1,0.131937498518608,0.233117992276566
"majority-vote",0.886173793755676,0.288841581878657,0.435677431488278
"majority-vote",1,0.124877649420214,0.222028857066507
"majority-vote",0.935886817647229,0.37440661257067,0.534845409530249
"majority-vote",0.87371418173255,0.341817669314997,0.491391393800009
"majority-vote",0.978463884124261,0.170094432937311,0.289808984093287
"majority-vote",0.973209945977999,0.123558551858357,0.219277653974217
"majority-vote",1,0.184615329072996,0.311688232529397
"majority-vote",1,0.30285740986774,0.464912595306166
"majority-vote",1,0.17463388626216,0.297341815700326
"majority-vote",1,0.146854718698783,0.256099951117442
"majority-vote",1,0.190898848297237,0.320596243031365
