"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.962229718520157,0.399376079263693,0.564468119861212
"majority-vote",0.973771357951152,0.136559261241198,0.239527749592955
"majority-vote",0.96295874173695,0.154365087487301,0.266077222246465
"majority-vote",0.956580411176362,0.404920460483119,0.568988222696547
"majority-vote",0.958083122652211,0.291435082072975,0.446922713773969
"majority-vote",0.919910572501362,0.210780776485002,0.342975056707431
"majority-vote",0.97345125913898,0.146687022205898,0.254955426207266
"majority-vote",0.949046452162796,0.397452282519034,0.560268894300632
"majority-vote",0.978236607142857,0.419708669166715,0.587396933874213
"majority-vote",0.958616635921712,0.412082165784235,0.576390406113686
"majority-vote",0.994915166294817,0.293553284413848,0.453345387880252
"majority-vote",0.873620063149659,0.7439436455118,0.803583922032501
"majority-vote",0.881108467348289,0.555844526743945,0.681663660616384
"majority-vote",0.999703075044202,0.13053572985923,0.23091928887464
"majority-vote",0.844631004860132,0.492442657917382,0.622153212005886
"majority-vote",0.953754880336187,0.16450573087375,0.280611052721153
"majority-vote",0.789649141586576,0.745657608373246,0.767023124707609
"majority-vote",0.757888591647371,0.470654378559955,0.580693704281709
"majority-vote",1,0.382724927921839,0.55358071615452
"majority-vote",0.998021975633348,0.212455011690486,0.350332592392886
"majority-vote",0.70047484981222,0.405837059542786,0.513921347004578
"majority-vote",1,0.166715065740264,0.285785399770227
"majority-vote",1,0.0229786765915829,0.0449250353255544
"majority-vote",0.919566659977324,0.571505859001657,0.704912373114474
"majority-vote",1,0.255391431087978,0.406871394472789
"majority-vote",0.915599156802335,0.714719434694661,0.80278359723027
"majority-vote",0.926903392357067,0.447435942564656,0.603533468754691
"majority-vote",0.893352810998822,0.258927930535985,0.401488953607479
"majority-vote",0.956476281418421,0.194593282630254,0.323392895047165
"majority-vote",0.970173033028583,0.153927947001937,0.265699871921966
"majority-vote",0.988496045504443,0.260257809048583,0.412032866394248
"majority-vote",0.957025035713984,0.17321886311753,0.293343390453642
"majority-vote",0.943174296300085,0.258830973782239,0.406192431321053
"majority-vote",0.928435954560941,0.24712016861946,0.390343336433389
"majority-vote",0.999696055231107,0.213914979509751,0.352419276109177
"majority-vote",0.984072566211458,0.161350869262479,0.277244133580834
"majority-vote",0.990899439401701,0.231465364594602,0.375270785395413
"majority-vote",0.94749336889018,0.437569867434521,0.59866515397593
"majority-vote",0.99463218598288,0.226757357464137,0.369317335902081
"majority-vote",0.986423445066952,0.172665694431193,0.29388850838416
"majority-vote",0.990894356467956,0.246650594311747,0.394983118421666
"majority-vote",0.939400331328166,0.456302659495817,0.614243678396406
"majority-vote",0.966757240951332,0.404936739436459,0.570791343513435
"majority-vote",0.993294026971168,0.128367172305775,0.227352690086274
"majority-vote",0.94993093465917,0.8510950932048,0.897801081010178
"majority-vote",0.936630316023831,0.535970548910247,0.681795422723378
"majority-vote",0.944632987491516,0.53256261588044,0.681123357958929
"majority-vote",1,0.0284761174079041,0.0553753595750444
"majority-vote",0.920178795991686,0.409372788072794,0.566651439110036
"majority-vote",0.770247328395435,0.294039714175069,0.42560567821721
"majority-vote",0.982618528390275,0.121987985289292,0.217032315311932
"majority-vote",0.990083587067102,0.0919352261791392,0.168247644863367
"majority-vote",0.997996880096433,0.125732601988128,0.223329095678413
"majority-vote",0.905648752608367,0.330573999122252,0.484352726125954
"majority-vote",0.898434286654419,0.630824605553603,0.741214528661393
"majority-vote",1,0.34755843380033,0.515834304595104
"majority-vote",0.936193831410194,0.531112503299917,0.67773748073192
"majority-vote",0.832878336063542,0.595519497372689,0.69447779386779
"majority-vote",0.999557823358795,0.108486203091016,0.195729105410286
"majority-vote",0.961972270943237,0.520722579118512,0.675689514865709
"majority-vote",0.977407655275145,0.243269034354318,0.389575746779401
"majority-vote",0.938571809203137,0.619656048455087,0.746478373652234
"majority-vote",0.950385980001535,0.576804691366771,0.717902619694418
"majority-vote",0.929914949121773,0.307762728552301,0.462468003141374
"majority-vote",0.999807383768143,0.119593428800172,0.213632850400069
"majority-vote",0.892560154447614,0.568677413396394,0.694724541856483
"majority-vote",0.99486954615216,0.504507713099967,0.669503764265946
"majority-vote",0.875847117690766,0.549000564165093,0.674936090162716
"majority-vote",0.974331863546729,0.144307240726731,0.251382491892919
"majority-vote",0.993805394902116,0.0804335357296672,0.148822165087954
"majority-vote",0.946695365915422,0.228875157260333,0.368629608313386
"majority-vote",0.930596768875701,0.380929597874512,0.540579071741462
"majority-vote",0.966491174885742,0.651775515405544,0.778530865679101
"majority-vote",0.934207968837017,0.472908451817865,0.627943555676809
