"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.90460892915099,0.407217973487326,0.561618326604742
"majority-vote",0.985600748753384,0.144988905361747,0.252790520708089
"majority-vote",0.90295547753958,0.151451697985166,0.25939531416849
"majority-vote",0.968701403915678,0.42901611507506,0.594667387836347
"majority-vote",0.965723916539192,0.31527277612445,0.475358698239876
"majority-vote",0.942964754018521,0.239555387040854,0.382052328364441
"majority-vote",0.975095655163585,0.137940100550315,0.241689976317372
"majority-vote",0.896638742372531,0.440337234025456,0.590621567935868
"majority-vote",0.973780594560414,0.384200795726602,0.551005016665451
"majority-vote",0.833753562473872,0.486137562989424,0.614170240522721
"majority-vote",0.996209941710655,0.442875907643532,0.613163394437672
"majority-vote",0.959497580883298,0.803032158705962,0.874319900927654
"majority-vote",0.841166015071889,0.519323066110248,0.64217628806738
"majority-vote",0.999881796529396,0.124224751308878,0.220993406276303
"majority-vote",0.840305885477171,0.575285539992008,0.682987783604263
"majority-vote",0.953685399001519,0.164661452671919,0.280834560327343
"majority-vote",0.845519210695056,0.751053867280499,0.79549189675388
"majority-vote",0.814303560747509,0.504630065702373,0.623112567791229
"majority-vote",0.907637789556377,0.361803578623546,0.517371827619404
"majority-vote",0.969766921737463,0.247460282872657,0.394304031104142
"majority-vote",0.732458061249722,0.342089615795205,0.46636608521288
"majority-vote",1,0.173891441133088,0.29626494416765
"majority-vote",1,0.0269490868714914,0.0524837836967934
"majority-vote",0.959756853081355,0.550582500834933,0.699743838353677
"majority-vote",0.996707510371311,0.208175359601954,0.344415128740473
"majority-vote",0.879466597466381,0.751061323196638,0.810207955386318
"majority-vote",0.929725568933075,0.497951569485291,0.648547621563391
"majority-vote",0.913386906785769,0.289584467577078,0.439748886349893
"majority-vote",0.978451896487473,0.173766008702147,0.2951207058906
"majority-vote",0.978981855445192,0.206288659577383,0.340770907823556
"majority-vote",0.972104099659242,0.263897238853214,0.415105679556476
"majority-vote",0.957982924175701,0.178141666537166,0.300418943524015
"majority-vote",0.968988376021705,0.225132587328278,0.365374810224909
"majority-vote",0.947749125667043,0.264435241819092,0.413498599638498
"majority-vote",0.982494158565698,0.233466240581595,0.377280736699264
"majority-vote",0.914473344063649,0.168786834802926,0.28497504896312
"majority-vote",0.989936348492131,0.305947740049083,0.4674319119923
"majority-vote",0.957308742626136,0.520500186633585,0.674348854357606
"majority-vote",0.99738761430768,0.278889889244843,0.435894733730218
"majority-vote",0.973300086845395,0.249646016413074,0.397369088969734
"majority-vote",0.98917897774076,0.299523443788507,0.459814909922365
"majority-vote",0.956296755389341,0.59635440847517,0.73460388161819
"majority-vote",0.976333595799174,0.488684724339226,0.651349280166232
"majority-vote",0.997207354648414,0.136023270747868,0.239392411311992
"majority-vote",0.96531947872575,0.901399769607984,0.932265263239977
"majority-vote",0.976921230521713,0.623644528722522,0.761295281857611
"majority-vote",0.954988201655231,0.406423765244495,0.57018729101472
"majority-vote",1,0.0227331052179309,0.0444555966790315
"majority-vote",0.944337400217888,0.392415554989177,0.554437053697984
"majority-vote",0.852981526871998,0.295030150046377,0.438419352206164
"majority-vote",0.977394044844227,0.125565662769258,0.222541458550903
"majority-vote",0.992569872819752,0.088190933994298,0.161988968487153
"majority-vote",0.998440130263064,0.138880456608375,0.243842981104384
"majority-vote",0.897781679879003,0.318492245014927,0.470184383477385
"majority-vote",0.884139653821681,0.610520420186464,0.722285049746751
"majority-vote",0.989593470302625,0.29924794115674,0.459534906214566
"majority-vote",0.869105238245254,0.446644252958065,0.590052836764514
"majority-vote",0.818007271437484,0.522540541716494,0.637712371838956
"majority-vote",0.996539682381918,0.101672058308523,0.184518589521165
"majority-vote",0.968906712066518,0.55230079663413,0.703556807178236
"majority-vote",0.948982104501303,0.251550292832702,0.397684771873561
"majority-vote",0.926174024466482,0.691772408279519,0.791993631462452
"majority-vote",0.887102322295088,0.640687845855248,0.744023214408461
"majority-vote",0.909730703237929,0.334088970131714,0.488705879556604
"majority-vote",0.994650594967309,0.0989934538723493,0.180065713147655
"majority-vote",0.933400729008206,0.612638700910426,0.739744923683515
"majority-vote",0.93578962157078,0.385460273028184,0.546012869332489
"majority-vote",0.883597648178412,0.4682037937928,0.61207771824871
