"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.975935828877005,0.139557859443025,0.244195940609848
"majority-vote",1,0.127381824780416,0.225978141531999
"majority-vote",0.97979797979798,0.183157357079974,0.308622700737352
"majority-vote",0.985938415195381,0.439532288362661,0.608012169922278
"majority-vote",0.966112569262176,0.35381651016005,0.517946885188302
"majority-vote",0.916075803742052,0.221445782263144,0.356672129070384
"majority-vote",0.979572192513369,0.348972223240305,0.514613560212581
"majority-vote",0.91044776119403,0.255498860449459,0.399020608946819
"majority-vote",0.854972375690608,0.275423258559119,0.416631612076302
"majority-vote",0.936409418655045,0.29144081975737,0.444529666670445
"majority-vote",0.894238358326756,0.141245335705637,0.243957481611041
"majority-vote",0.993548387096774,0.197973230834667,0.330159321029522
"majority-vote",0.955570854847963,0.293553162597226,0.449132099949656
"majority-vote",1,0.152401549873718,0.264493830107081
"majority-vote",0.990540540540541,0.632564937816753,0.772077013831717
"majority-vote",0.992076830732293,0.129650582230394,0.229330828925733
"majority-vote",0.954963190483155,0.650868449482311,0.774122760609971
"majority-vote",0.987789473684211,0.645257056970654,0.780600083012296
"majority-vote",0.9775,0.308187314536887,0.468625763906398
"majority-vote",1,0.25899065994043,0.411425863878425
"majority-vote",0.780561714708056,0.357258346370722,0.490169222666901
"majority-vote",0.991408934707904,0.170487578008532,0.290943136922247
"majority-vote",1,0.0193541365702538,0.037973332085301
"majority-vote",0.842438563327032,0.466908638045234,0.600821297555858
"majority-vote",0.979474548440066,0.144914084491157,0.252474372850163
"majority-vote",0.945402298850575,0.365165284863946,0.526837538270746
"majority-vote",0.922452547452547,0.263559916265909,0.409981384855971
"majority-vote",0.971924379232506,0.221770299622412,0.361137507958879
"majority-vote",0.989775051124744,0.099100519422451,0.180162406671596
"majority-vote",0.991806331471136,0.182997427206921,0.308984382465685
"majority-vote",0.830780699660347,0.248153321990692,0.382156807236439
"majority-vote",0.921810699588477,0.161016507693854,0.274146675673369
"majority-vote",0.935390103217972,0.207534722697955,0.339700251991959
"majority-vote",0.877136752136752,0.269998853109939,0.412899601432161
"majority-vote",0.97869101978691,0.137818281870038,0.24161288155593
"majority-vote",0.971269973987365,0.0910336158545469,0.166465064315898
"majority-vote",0.995918367346939,0.215226972058092,0.353959987537776
"majority-vote",0.938461538461538,0.319660566654245,0.476883993927159
"majority-vote",0.959641255605381,0.231821437837649,0.373432448883308
"majority-vote",0.976833976833977,0.164990594275021,0.282299790044516
"majority-vote",0.955465587044534,0.199763538428182,0.330440398888444
"majority-vote",0.923236514522822,0.288611760572062,0.439752931710833
"majority-vote",0.949416342412451,0.287269737995975,0.441079734387966
"majority-vote",0.976284584980237,0.117203244231001,0.209282111049991
"majority-vote",0.816135443503865,0.397321400953811,0.534453415895378
"majority-vote",0.978328173374613,0.15738447022994,0.271148977947279
"majority-vote",0.976878612716763,0.305089757957497,0.464965698570018
"majority-vote",1,0.0148428201358258,0.0292514660227665
"majority-vote",0.943174132755804,0.387160684903895,0.54897449630576
"majority-vote",0.951219512195122,0.181776158889243,0.305224518681243
"majority-vote",1,0.232143695742597,0.376812698948538
"majority-vote",0.947959705087963,0.208978715838353,0.342461445229164
"majority-vote",0.982795152131536,0.147082378112928,0.255871710524392
"majority-vote",0.997547015535568,0.269737223102786,0.42464910977532
"majority-vote",0.994741817322462,0.625407197337694,0.767977126075334
"majority-vote",0.998305084745763,0.410344358571964,0.581619311465176
"majority-vote",0.975563909774436,0.553900960876819,0.706607647406397
"majority-vote",0.933774834437086,0.442304038654318,0.600274284478251
"majority-vote",0.995356037151703,0.191568311799526,0.321298785124936
"majority-vote",0.931451612903226,0.466636646850036,0.621776850375565
"majority-vote",0.997014925373134,0.307989855971242,0.470604380392408
"majority-vote",0.982866043613707,0.34475559393683,0.510459542150219
"majority-vote",0.970254957507082,0.395374353356072,0.561812672536181
"majority-vote",0.994269340974212,0.394987101933583,0.565372314863373
"majority-vote",0.998211091234347,0.132924872714176,0.234608546581837
"majority-vote",1,0.257417166167166,0.409437970298783
"majority-vote",0.963160854893138,0.305122426484661,0.463432706959247
"majority-vote",0.956859236537151,0.413419158922906,0.577377476120813
"majority-vote",0.952781894112892,0.139634000976913,0.243571607720717
"majority-vote",1,0.0629272050017235,0.118403602251617
"majority-vote",1,0.185708937444694,0.313245403791782
"majority-vote",1,0.197348716901504,0.329642841915266
"majority-vote",1,0.494572660388434,0.661824845986272
"majority-vote",0.899159663865546,0.380458402434747,0.534679617703631
"majority-vote",1,0.370689655172414,0.540880503144654
"majority-vote",1,0.339463897116977,0.506865318053931
"majority-vote",1,0.118778935185185,0.212336738652528
"majority-vote",1,0.434228293807137,0.605521862428867
"majority-vote",0.966143977293494,0.67444951847999,0.794365382950303
"majority-vote",1,0.131126934632524,0.231851847246699
"majority-vote",1,0.111583614592306,0.200765130265493
"majority-vote",1,0.240444112277469,0.387674236827987
"majority-vote",1,0.497573846336673,0.664506591850312
"majority-vote",0.898701298701299,0.448267824129893,0.598170914066348
"majority-vote",1,0.404764432908605,0.576273748717468
"majority-vote",0.986842105263158,0.158375616848099,0.27294674913797
"majority-vote",0.993197278911565,0.417662773017175,0.588040648108547
"majority-vote",0.957431457431457,0.229339345791347,0.370040623667354
"majority-vote",0.960392840989856,0.492118644230585,0.650772441589278
"majority-vote",0.953016241299304,0.357554217069942,0.520010158685731
"majority-vote",0.988970588235294,0.17567516041631,0.298352639738559
"majority-vote",0.981659840304497,0.372703709208325,0.540280730080109
"majority-vote",0.989417989417989,0.0544450698102212,0.103210724872628
"majority-vote",0.976923076923077,0.15243813944157,0.263724898758351
"majority-vote",0.889962129620951,0.302154672389161,0.451140719199589
"majority-vote",0.96893983931021,0.116408416526358,0.20784619461422
"majority-vote",0.959755030621172,0.253987413795351,0.401676153332075
"majority-vote",1,0.331519517420343,0.497956677439655
"majority-vote",0.941038062283737,0.793994488562383,0.861285322418114
"majority-vote",0.94825763745901,0.663793128892452,0.780926900447064
"majority-vote",0.997981836528759,0.68363893187311,0.811430555061081
"majority-vote",0.906133297688134,0.782616670691734,0.839857927955966
"majority-vote",0.962242562929062,0.333030357067946,0.494808436694533
"majority-vote",0.973517559009787,0.362588864094082,0.528381002879979
"majority-vote",0.988399071925754,0.350281651588114,0.517252625306404
"majority-vote",0.997695852534562,0.23056925540285,0.374573841348796
"majority-vote",0.988636363636364,0.290479885428561,0.449027174581727
"majority-vote",0.990990990990991,0.319594787111287,0.483319077754027
"majority-vote",1,0.752688657744686,0.858896021742077
"majority-vote",0.982620320855615,0.155260236317708,0.26815092720384
"majority-vote",0.979697655850394,0.203476781259882,0.336967600664465
"majority-vote",0.928571428571429,0.302464971325774,0.456298986025504
"majority-vote",0.990058479532164,0.118414165887938,0.211528808615119
"majority-vote",1,0.183811742368778,0.310542184690575
"majority-vote",1,0.110421230934259,0.198881699769655
"majority-vote",1,0.155281335976468,0.268819950848112
"majority-vote",0.965034965034965,0.311766916676007,0.471280595436334
"majority-vote",0.987841945288754,0.34099672276731,0.506985346006409
"majority-vote",0.997864768683274,0.0784235555202546,0.145418474452837
"majority-vote",0.919360167206041,0.308522825524629,0.462004275880412
"majority-vote",0.950003467165939,0.390002362114368,0.552988036493164
"majority-vote",1,0.2521231404509,0.402713011693256
"majority-vote",0.977899343544858,0.330274631639526,0.493780416972887
"majority-vote",1,0.114420883631352,0.205345907119958
"majority-vote",0.997422680412371,0.172429149648515,0.29402825247484
"majority-vote",0.934073724007561,0.294368348957745,0.447659268584304
"majority-vote",1,0.323301460501896,0.488628585627459
"majority-vote",1,0.384477632342505,0.555411836725708
"majority-vote",0.899059429800792,0.457364654006423,0.606297115999148
"majority-vote",0.98158379373849,0.424237348631694,0.592428856793794
"majority-vote",0.858108108108108,0.34843248879299,0.495619864809342
"majority-vote",0.989871086556169,0.108991083700033,0.196361518973635
"majority-vote",0.997519841269841,0.188251709473986,0.316730174940477
"majority-vote",0.995652173913044,0.317239481204374,0.481167166964638
