"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.79589904439387,0.368177845312347,0.503458831357858
"majority-vote",0.771095952603799,0.166900280878354,0.274406498618812
"majority-vote",0.813663793404528,0.14004985526287,0.238967947366941
"majority-vote",0.903253880810407,0.430830198774683,0.583395087264035
"majority-vote",0.809813805218589,0.320652633447209,0.459401394616744
"majority-vote",0.603942445064248,0.297487144392987,0.398622622246205
"majority-vote",0.910043486428856,0.158053512056085,0.269330537128876
"majority-vote",0.348257514652335,0.544010021973463,0.424660923818625
"majority-vote",0.712110523024211,0.328874517885253,0.449948838334884
"majority-vote",0.719756447756832,0.47594579187071,0.572993912913273
"majority-vote",0.96757916506716,0.533487449563144,0.687766067129869
"majority-vote",0.829251121499554,0.577385565825933,0.680769430106608
"majority-vote",0.487072284953381,0.48539059747924,0.486229987138828
"majority-vote",0.999884182116269,0.201087169056057,0.334835430286365
"majority-vote",0.45130359880211,0.583025780106956,0.508777258235086
"majority-vote",0.917163295074739,0.13744388673261,0.239062449446864
"majority-vote",0.857040998570023,0.773050352722858,0.812881861764406
"majority-vote",0.578783982032319,0.553155832648189,0.565679785006744
"majority-vote",0.254927639640475,0.523371469531677,0.34285495591738
"majority-vote",0.952861267505929,0.225974192600235,0.365313163493227
"majority-vote",0.499002544745423,0.282111778890105,0.360445305659269
"majority-vote",0.98553842841281,0.222472529708057,0.363002050303526
"majority-vote",1,0.041121180118584,0.0789940324024535
"majority-vote",0.550237490369615,0.56322702933652,0.556656492677919
"majority-vote",0.998003234577059,0.216917642993193,0.356376309504188
"majority-vote",0.331327886586901,0.74566877359884,0.458795960997208
"majority-vote",0.714539483871404,0.551870228294653,0.62275749198921
"majority-vote",0.818859451309827,0.292272481601422,0.430786078283322
"majority-vote",0.888135016031902,0.292693510795926,0.440286375197092
"majority-vote",0.914059211423704,0.249419413171671,0.39190081759645
"majority-vote",0.805334522587373,0.244664077414823,0.3753079822749
"majority-vote",0.58850714660472,0.359127602427218,0.446056164123026
"majority-vote",0.749396041315893,0.264414144354728,0.390903377867107
"majority-vote",0.708388781570785,0.263712242428367,0.38434440348721
"majority-vote",0.924988942595602,0.204515540162601,0.334969211945784
"majority-vote",0.944060083563206,0.173823834087922,0.293590668482152
"majority-vote",0.949009264480698,0.279724357540622,0.432088781570519
"majority-vote",0.666238343503421,0.499669203948155,0.571055198099948
"majority-vote",0.945337139275683,0.258365377073279,0.40581851933178
"majority-vote",0.894336081951669,0.196318749781816,0.321962432815634
"majority-vote",0.8588311420614,0.313451921011607,0.459278615862717
"majority-vote",0.67292736185523,0.468144007461564,0.552159874273359
"majority-vote",0.796044710963685,0.483657469180271,0.60172276992718
"majority-vote",0.973793742807513,0.140040018128424,0.24486615180621
"majority-vote",0.812413372141019,0.845496801856723,0.828624998753163
"majority-vote",0.581066787263191,0.506841887734485,0.541422261123007
"majority-vote",0.781300113407973,0.327444623936586,0.46148137294289
"majority-vote",1,0.0324625641742038,0.0628837602459095
"majority-vote",0.639425951156092,0.351647150199297,0.453755254138181
"majority-vote",0.515431532493587,0.457547695272715,0.484767820387567
"majority-vote",0.9913313539113,0.233698325183244,0.378231615224122
"majority-vote",0.909027833628457,0.0773782402788929,0.142616668715507
"majority-vote",0.942105603403235,0.118007016410758,0.209742001601641
"majority-vote",0.815718993394379,0.258972939131789,0.393134327766665
"majority-vote",0.804527459485973,0.638594827292069,0.712021536566002
"majority-vote",0.917683479844664,0.359641362372499,0.516762730998321
"majority-vote",0.796709170263799,0.511822196575677,0.623253592370975
"majority-vote",0.590943114119926,0.507029818823448,0.545779902395177
"majority-vote",0.998949052767365,0.11026036876591,0.198599991666555
"majority-vote",0.779323138808485,0.527781320889703,0.62934862251977
"majority-vote",0.744048267459882,0.297695950486294,0.425248640450038
"majority-vote",0.792056631358127,0.712136073183001,0.749973188263805
"majority-vote",0.777355664468108,0.698018040290584,0.735553678055501
"majority-vote",0.719565314549174,0.489921266666872,0.582942143928601
"majority-vote",0.979140359522419,0.19255787427435,0.321825502177146
"majority-vote",0.869263508735209,0.575502858428946,0.692518382729279
"majority-vote",0.536809199476938,0.388430675243389,0.4507223813559
"majority-vote",0.476656700479089,0.453736638771427,0.464914353960194
"majority-vote",0.952634009512591,0.131754314670331,0.231492055485851
"majority-vote",0.860513776837769,0.155245807765247,0.26303695953903
"majority-vote",0.750234082397004,0.247687983908245,0.372421802468341
"majority-vote",0.750234082397004,0.529329627564443,0.620713332723891
"majority-vote",0.964761493469312,0.657581717200218,0.782090392947594
