"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.422377981499247,0.593903993162271
"majority-vote",1,0.207107413565343,0.34314661849955
"majority-vote",0.901430697837317,0.226385406328229,0.361886577169651
"majority-vote",1,0.294985019985803,0.455580590405651
"majority-vote",1,0.209932656246686,0.347015439516965
"majority-vote",0.963874661148693,0.218416284331189,0.35613217347889
"majority-vote",1,0.198704247663495,0.331531731952745
"majority-vote",0.986728216964801,0.269614443833974,0.42350894820862
"majority-vote",1,0.31451152552443,0.47852227906325
"majority-vote",0.805959445017175,0.244992230478308,0.375761905544753
"majority-vote",0.883100381194409,0.221346367881771,0.353971003157722
"majority-vote",1,0.33463399139188,0.501461814325428
"majority-vote",1,0.566383785471658,0.723173708416692
"majority-vote",1,0.142033439752892,0.248737794899639
"majority-vote",1,0.621779690856596,0.76678687538402
"majority-vote",1,0.107222307032376,0.193678010913198
"majority-vote",1,0.860878420602059,0.925238759363478
"majority-vote",1,0.694560085797352,0.819752679906344
"majority-vote",1,0.581161447588805,0.735107029677517
"majority-vote",1,0.157571579615299,0.272245073030673
"majority-vote",0.946187399407525,0.54238896497305,0.689520022640884
"majority-vote",1,0.201374978746116,0.335240840384894
"majority-vote",1,0.0253314190569242,0.0494111827378185
"majority-vote",0.809808102345416,0.665934091379059,0.730857767867657
"majority-vote",1,0.32049369939757,0.485414961909753
"majority-vote",1,0.74162730914459,0.851648691141441
"majority-vote",0.907869494060487,0.276178515618692,0.42352007215156
"majority-vote",0.976668031109292,0.412234908281285,0.579762119881843
"majority-vote",0.964636542239686,0.146158104353775,0.253853309135965
"majority-vote",1,0.123411467664594,0.219708399311871
"majority-vote",0.930046511627907,0.387110977387319,0.546679067817658
"majority-vote",1,0.126135774335848,0.22401521594541
"majority-vote",0.927817738033523,0.374430121902166,0.533543451201433
"majority-vote",0.886435331230284,0.320696931199271,0.470995762900093
"majority-vote",0.980563905793028,0.14249892157082,0.248836121545867
"majority-vote",0.978783915075382,0.167193763565949,0.285601664900291
"majority-vote",1,0.213291239547155,0.351591163926582
"majority-vote",1,0.255664339330454,0.407217647778035
"majority-vote",1,0.154518688010378,0.267676373912432
"majority-vote",1,0.13256006399091,0.23408924295599
"majority-vote",0.981858054226475,0.189525647518766,0.317722166052912
"majority-vote",1,0.349154435335002,0.517590019630784
"majority-vote",1,0.241674194523435,0.389271510335594
"majority-vote",1,0.113535591509643,0.203919106628143
"majority-vote",0.976827782894151,0.769165633610939,0.860647415340764
"majority-vote",1,0.169873457058769,0.29041338793318
"majority-vote",1,0.26460704241909,0.418481051493939
"majority-vote",1,0.0325457775990604,0.0630398734954645
"majority-vote",1,0.325363590629796,0.490980124895671
"majority-vote",1,0.275687085748846,0.432217412606343
"majority-vote",1,0.565933341743519,0.722806426885842
"majority-vote",0.991010611185765,0.0865927936435118,0.15926894248545
"majority-vote",0.990743108474403,0.114239195833762,0.204857029019702
"majority-vote",1,0.375263979698887,0.545733743104434
"majority-vote",1,0.835783060349655,0.910546652707936
"majority-vote",1,0.391240796743604,0.562434335823617
"majority-vote",0.982656826568266,0.856613395584671,0.91531629312825
"majority-vote",0.95,0.670945347974353,0.78645227782932
"majority-vote",1,0.0724093370777582,0.135040482349899
"majority-vote",1,0.379576185908171,0.550279411583634
"majority-vote",1,0.274697749722943,0.431000603527619
"majority-vote",1,0.365409053547069,0.535237484470763
"majority-vote",1,0.365196162785852,0.535009067181414
"majority-vote",1,0.23372956770028,0.378899191231934
"majority-vote",1,0.0966487050461223,0.17626192344258
"majority-vote",0.992974238875878,0.309465053662787,0.47186971074948
"majority-vote",1,0.546391412259732,0.706666382040099
"majority-vote",1,0.736710566694828,0.848397632654332
"majority-vote",1,0.547664492074767,0.707730254043083
"majority-vote",1,0.411301035695007,0.582867900316475
"majority-vote",1,0.390045670485576,0.561198353071844
"majority-vote",1,0.399127250750991,0.570537455455544
"majority-vote",1,0.722070125525369,0.838607109922518
"majority-vote",0.895220588235294,0.803646527564035,0.846965498888505
"majority-vote",1,0.504438807863031,0.670600632244468
"majority-vote",1,0.555765587667662,0.71445928881978
"majority-vote",1,0.309013393699302,0.472131752336045
"majority-vote",1,0.621602584009663,0.766652187335142
"majority-vote",1,0.420955730181904,0.592496615116947
"majority-vote",1,0.269418204390785,0.424475091752892
"majority-vote",0.998064516129032,0.343041922925067,0.510590301926615
"majority-vote",1,0.515959700777002,0.680703715953066
"majority-vote",1,0.411158707399767,0.582724969549849
"majority-vote",1,0.596645928072486,0.747374126701682
"majority-vote",0.783719308080885,0.566650215840927,0.65773805942091
"majority-vote",1,0.0640093348189729,0.120317242949496
"majority-vote",0.983388704318937,0.442569031579785,0.610421158468111
"majority-vote",1,0.270681225721367,0.426041119113413
"majority-vote",0.951148691880467,0.901283900479564,0.925545152346844
"majority-vote",0.992070721865757,0.57127941016598,0.725044972611296
"majority-vote",1,0.31308655763566,0.476871164075281
"majority-vote",0.998447229718563,0.809616562480269,0.894171342217549
"majority-vote",0.994994521959796,0.0479497852001899,0.0914905489694941
"majority-vote",1,0.233846245525555,0.379052489519792
"majority-vote",1,0.376793720016561,0.547349562303391
"majority-vote",1,0.132887557273802,0.234599729550539
"majority-vote",1,0.393272111247822,0.564530227904448
"majority-vote",1,0.386119306557187,0.557122759535356
"majority-vote",0.954040647077727,0.753153863655852,0.841778010547332
"majority-vote",0.990847604655992,0.736045348724366,0.844648499229921
"majority-vote",1,0.599650846918582,0.74972716461682
"majority-vote",0.960058110381311,0.830395121844277,0.890531578483842
"majority-vote",1,0.273676403235908,0.429742440922363
"majority-vote",1,0.465964359711649,0.63571035219888
"majority-vote",1,0.416901379753268,0.588469156301993
"majority-vote",1,0.418374975349731,0.589935641308916
"majority-vote",1,0.408161452488888,0.579708316496626
"majority-vote",1,0.388798959750407,0.559906755431731
"majority-vote",1,0.965462593584349,0.982427848523606
"majority-vote",1,0.287869870887681,0.447048071229841
"majority-vote",1,0.268069419124252,0.422799280672481
"majority-vote",1,0.366999844158814,0.536942042425247
"majority-vote",1,0.252409869735749,0.403078697853133
"majority-vote",1,0.62604395667593,0.770020950670647
