"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.929587310122328,0.414470490471491,0.573318362041055
"majority-vote",0.998058704767821,0.14946965184468,0.260001395630127
"majority-vote",0.939547832611809,0.163528274538856,0.278571233512804
"majority-vote",0.920579322402528,0.305222011152794,0.458444716150563
"majority-vote",0.955561858335731,0.253680363085813,0.400924272869991
"majority-vote",0.909407663932021,0.164579175590441,0.27871768647018
"majority-vote",0.977731652864856,0.173013798684805,0.294002582636707
"majority-vote",0.914779940260257,0.390321050156438,0.547172777534136
"majority-vote",0.978230382532525,0.407785065840054,0.575618029966626
"majority-vote",0.954386658406042,0.37989273196386,0.543461223531628
"majority-vote",0.993809614048386,0.197673666984006,0.329757024408576
"majority-vote",0.934023422839221,0.672384964700174,0.781897444094967
"majority-vote",0.84243266899497,0.501776414811029,0.628939127789721
"majority-vote",0.937868827251578,0.143554954744204,0.24899714486328
"majority-vote",0.861637219226329,0.471437812094784,0.609430611042097
"majority-vote",0.944084290390516,0.187132186729394,0.312351457552043
"majority-vote",0.812407341711678,0.782674691018359,0.797263905063182
"majority-vote",0.763048966224228,0.576500662052634,0.656785273081239
"majority-vote",1,0.55686590771608,0.715367848902288
"majority-vote",0.945005832859291,0.182455054729514,0.305857334568462
"majority-vote",0.722542511837153,0.724703651010684,0.723621467834383
"majority-vote",1,0.165218617195354,0.283583895343228
"majority-vote",1,0.0261387172369513,0.0509457772090194
"majority-vote",0.869596704710922,0.617240225991053,0.722002602240221
"majority-vote",0.995687076971509,0.259701711245591,0.411954671224774
"majority-vote",0.907675225786164,0.719645589388014,0.802797416149154
"majority-vote",0.897674476250532,0.502932155740952,0.644676883833369
"majority-vote",0.917139179188895,0.290722525994557,0.441495939010458
"majority-vote",0.95572614262728,0.17668039910757,0.298228719269381
"majority-vote",0.988978752492449,0.128286394832589,0.22711264023056
"majority-vote",0.998945402530267,0.305143705881643,0.467486309233455
"majority-vote",0.982182876245899,0.18342586841701,0.309122161007504
"majority-vote",0.946999825119934,0.440375123863462,0.601185952782918
"majority-vote",0.933019702699666,0.288266145233954,0.440450519556304
"majority-vote",0.999690670967813,0.174142001739428,0.296614907065183
"majority-vote",0.995129092784547,0.189812657153863,0.318814148159377
"majority-vote",0.968843098189482,0.262943691008532,0.41362869366694
"majority-vote",0.961079299593071,0.385041926552607,0.549810548853344
"majority-vote",0.994624627767365,0.222309652901036,0.363396215027056
"majority-vote",0.986644895326217,0.167020541442134,0.2856806824171
"majority-vote",0.985711964730515,0.239397202200102,0.385233729207767
"majority-vote",0.941480850458901,0.463964272982084,0.621601613644305
"majority-vote",0.974171283712591,0.368978546335848,0.535231879727723
"majority-vote",0.993320326061975,0.127374527283182,0.225795106661302
"majority-vote",0.966465107762174,0.886901423031034,0.92497545967582
"majority-vote",0.949077754362924,0.456869405137472,0.616814915318835
"majority-vote",0.944598965071151,0.475670306183,0.632721819769818
"majority-vote",1,0.031678369081571,0.0614113274658885
"majority-vote",0.935933626041258,0.320757286495446,0.477774649651681
"majority-vote",0.769282408270218,0.320361737098066,0.452347033992707
"majority-vote",0.981422651933702,0.487994148881934,0.651862033233861
"majority-vote",0.945695052726221,0.0970069099085921,0.175963905446189
"majority-vote",0.946161218986696,0.118294640339604,0.210296744806593
"majority-vote",0.907333853219945,0.414540655065796,0.569080903700829
"majority-vote",0.894913142076381,0.783746997306158,0.835649184128686
"majority-vote",0.995672041829606,0.393717717284183,0.564296261580158
"majority-vote",0.948548663281017,0.799377844062671,0.867598016571547
"majority-vote",0.784987649280025,0.640565455209901,0.705460875938575
"majority-vote",1,0.13235853492904,0.233774958807256
"majority-vote",0.962565686732649,0.445450525303289,0.609048940102738
"majority-vote",0.962298709980905,0.233948672490922,0.376391219807014
"majority-vote",0.939224382213506,0.583732787015027,0.719988818253741
"majority-vote",0.970076925842745,0.539014774763318,0.692980811538787
"majority-vote",0.91350690478867,0.290291815449782,0.44057793609298
"majority-vote",0.9978468154274,0.0995747435143952,0.181079622326081
"majority-vote",0.87900680993988,0.51847774596119,0.652236860261128
"majority-vote",0.995058320719437,0.549584942172722,0.708084620946238
"majority-vote",0.872065034760877,0.612363678688104,0.719496932258437
"majority-vote",0.973760808149987,0.43234442946151,0.598817285890668
"majority-vote",0.993713027989067,0.430993971155156,0.601224426326086
"majority-vote",0.690128062922255,0.62233880899514,0.654482769695677
"majority-vote",0.604911965907816,0.537851810606979,0.5694142618234
"majority-vote",0.903592927012792,0.715095181966592,0.798368685087026
"majority-vote",0.90778462767931,0.673684175271815,0.773407780262698
"majority-vote",0.88874480555503,0.67972557879312,0.7703079170428
"majority-vote",0.911523521795425,0.653257407226061,0.761077134095709
"majority-vote",0.657161678900809,0.377749832891126,0.479737081979895
"majority-vote",0.896937287311619,0.629753098989738,0.739965406676038
"majority-vote",0.890849944999033,0.539088011918294,0.671702605618456
"majority-vote",0.964065980979957,0.2241973565479,0.363793172182083
"majority-vote",0.989971771138846,0.492297135194222,0.657586845102846
"majority-vote",0.94616947674568,0.438933319721441,0.599674349811969
"majority-vote",1,0.397550962197643,0.568925174038013
"majority-vote",0.635933729045724,0.547274633400355,0.588282519759963
"majority-vote",0.882270310274528,0.536491510016432,0.667244528619719
"majority-vote",0.996390957367422,0.0739729351744987,0.137721319284713
"majority-vote",0.929528335046226,0.451030015785107,0.607355972134239
"majority-vote",1,0.212813952134909,0.350942453721437
"majority-vote",0.930493124738094,0.80805692240698,0.864963780515174
"majority-vote",0.9206160458095,0.46040920689344,0.613833965273189
"majority-vote",0.655307335844879,0.298014895957254,0.409706898668804
"majority-vote",0.985928147865837,0.73830143475434,0.844333229717455
"majority-vote",0.968853598416954,0.0379485877404086,0.0730364440853324
"majority-vote",0.923006148282601,0.219966955019303,0.355267943428045
"majority-vote",0.826924329946168,0.333698243368407,0.475508925375418
"majority-vote",0.894916984372768,0.115635356175484,0.204806896353913
"majority-vote",0.888471329053499,0.375991614945508,0.528378900194753
"majority-vote",0.998437528184976,0.433621437151202,0.604645376142915
"majority-vote",0.966391577704089,0.797773752338804,0.874024471566804
"majority-vote",0.962368826474796,0.770346240222289,0.855717389928601
"majority-vote",1,0.641973986491674,0.781953906423753
"majority-vote",0.96793369962213,0.811841654660357,0.883042788981139
"majority-vote",0.934124409924129,0.278834987506277,0.42947285576465
"majority-vote",0.975205396364438,0.301927081500667,0.461096909351507
"majority-vote",0.895908086929999,0.438761674644197,0.589044786756912
"majority-vote",0.939179933861518,0.371359941427781,0.532259737845778
"majority-vote",0.868888045044143,0.429185228375964,0.574565275599393
"majority-vote",0.922417650340516,0.319642210342625,0.474765550271832
"majority-vote",0.973110492107707,0.920544765147154,0.946098046080579
"majority-vote",0.907943494426723,0.303123275072499,0.454506411277721
"majority-vote",0.895713571017312,0.248181347599947,0.38867101776683
"majority-vote",0.984364311541092,0.35160491934363,0.518136685131513
"majority-vote",0.945324089665951,0.201073941447593,0.331612643245484
"majority-vote",0.84238148930748,0.58927549195206,0.693454889014347
"majority-vote",0.918479774721712,0.290911951250975,0.441869640267215
"majority-vote",0.876669038760301,0.371558900720658,0.521914586326373
"majority-vote",0.925234395928208,0.613468015987343,0.737766711480891
"majority-vote",0.9589405029676,0.471714541677797,0.632362331572048
"majority-vote",0.985169490997715,0.289975902238502,0.448067198493949
"majority-vote",0.995437537708253,0.254421627728746,0.40526300186386
"majority-vote",0.953606635040333,0.333011904115189,0.493638715201622
"majority-vote",1,0.392697825013338,0.563938304433809
"majority-vote",0.96831263415782,0.300211250016583,0.458325381073239
"majority-vote",1,0.183236837431266,0.309721319747046
"majority-vote",0.998668987406573,0.269769763088397,0.424791021294912
"majority-vote",0.952392534921711,0.511450163400469,0.665510465250671
"majority-vote",1,0.159689631204077,0.275400636355221
"majority-vote",0.983386997328218,0.531151714652833,0.689751520599916
"majority-vote",0.940549941302852,0.792600166187748,0.860260212387357
"majority-vote",0.920514758393884,0.628284514411483,0.746830371296002
"majority-vote",0.998015520407559,0.594330378610207,0.745002630984349
"majority-vote",0.998263083909239,0.499236295976047,0.665601830778255
"majority-vote",0.94640023798879,0.255850181860453,0.402805720013924
"majority-vote",0.959176106291528,0.348500989384613,0.511248263263096
"majority-vote",0.975798387096774,0.342909790431678,0.507482741253729
"majority-vote",0.998585672866134,0.439184011771745,0.610059965226759
"majority-vote",0.988397252373576,0.33889194868683,0.504727787532636
"majority-vote",0.988997074328062,0.234422706741863,0.3790087012015
"majority-vote",0.988469931036541,0.777167716086681,0.870175055426212
"majority-vote",1,0.169629419636731,0.290056691100358
"majority-vote",0.961738726066948,0.140042495670113,0.244484637646425
"majority-vote",1,0.12949767040578,0.229301350146666
"majority-vote",0.905137499584687,0.626474969269689,0.740456216919287
"majority-vote",0.838106819808315,0.687684704892534,0.755480983761924
"majority-vote",0.935874737375331,0.500904683326224,0.652548376185822
"majority-vote",0.986094319890842,0.164070629217778,0.281332022259858
"majority-vote",0.949778287080863,0.488871215570018,0.645493241921216
"majority-vote",0.941434516516627,0.828723576772534,0.88149073552532
"majority-vote",0.971198946138528,0.835982819508636,0.898532343265376
"majority-vote",0.997031712313178,0.730079476197793,0.842924757966236
"majority-vote",0.937313295799301,0.796198666031237,0.861012340498288
"majority-vote",0.95732063906731,0.685836082503727,0.799150839574378
"majority-vote",0.958175297898947,0.819138011900658,0.883218287114229
"majority-vote",0.980136627630201,0.15564363591868,0.268629475819153
"majority-vote",0.996455543000642,0.375150966760934,0.545085281573886
"majority-vote",1,0.182409679376844,0.308538880488492
"majority-vote",0.982456720514559,0.294631683047973,0.453316898469234
"majority-vote",0.919253246753247,0.32350991621961,0.478590852548858
"majority-vote",1,0.642257267822169,0.782164013405621
"majority-vote",0.971917947350163,0.435845192876738,0.601813974408961
"majority-vote",1,0.279098165862533,0.436398352075392
"majority-vote",0.898464069499013,0.362178366991611,0.516251460481768
"majority-vote",0.897323390827178,0.38417852214822,0.538013046545694
"majority-vote",0.990444769704896,0.239082652159004,0.385185654499819
"majority-vote",0.899914103338547,0.354616932087417,0.508755494215029
"majority-vote",0.987156596233811,0.121447931304846,0.216286553966557
"majority-vote",0.908696070175115,0.436548078918116,0.58976584142407
"majority-vote",0.93792531258146,0.942969773289104,0.940440778447453
"majority-vote",0.985662949319281,0.205635017459394,0.340278962013883
"majority-vote",0.874914617892945,0.501006700185419,0.637155744147815
"majority-vote",0.930965105312795,0.152494734937902,0.262062831859576
"majority-vote",1,0.644885825025051,0.784110137267709
"majority-vote",0.999192991667396,0.64188805744432,0.781643354885518
"majority-vote",0.986951737148247,0.591562730485753,0.73973837612041
"majority-vote",0.923349231290739,0.529573014478017,0.67309979904929
"majority-vote",0.669400207987534,0.523996270901933,0.587840200522217
"majority-vote",0.973210205124069,0.411282969953985,0.578211277250086
"majority-vote",0.814799911317607,0.217723123003415,0.34362580866127
"majority-vote",0.961527762323356,0.176602043285626,0.298397892165386
"majority-vote",0.82447432827696,0.440209987794531,0.573964315640628
"majority-vote",0.895448170863989,0.299851476405229,0.44926216901569
"majority-vote",0.908221732737181,0.446451780126655,0.598634586828281
"majority-vote",0.956185208645542,0.363885966215764,0.527156997524412
"majority-vote",0.935499744636524,0.377230709067991,0.537656806858227
"majority-vote",0.962289613247129,0.561895946341838,0.709502369299747
"majority-vote",0.681874500683924,0.653797502986237,0.667540900269146
"majority-vote",0.828569193363645,0.274035462293748,0.411856309114509
"majority-vote",0.803197674676202,0.596885069711537,0.684840523837611
"majority-vote",0.999372559211102,0.320732084172857,0.485614296392882
"majority-vote",0.998420170918421,0.178312979702822,0.302585638176124
"majority-vote",0.852351494372811,0.46426326691191,0.601110516106685
"majority-vote",0.95106024117183,0.248241041107005,0.393716221123965
"majority-vote",0.971711259754738,0.561719270257386,0.711905663865974
"majority-vote",0.991169749671709,0.298741240641341,0.459106532042544
"majority-vote",0.999144723928101,0.232995980265868,0.377873571722293
"majority-vote",0.923629346072321,0.630882017095207,0.749690428394296
"majority-vote",0.910192509598803,0.665897591674092,0.769112120699371
"majority-vote",0.996665580693583,0.66183958990002,0.795454546527117
"majority-vote",0.952944669771676,0.241477175690617,0.385315101729118
"majority-vote",0.963370040451882,0.401549006037004,0.566832565175771
"majority-vote",0.946737053387844,0.430202389417781,0.591585264908843
"majority-vote",0.966672926436484,0.497546028112481,0.656956766661304
"majority-vote",0.954118963587845,0.364621808367098,0.527613294893452
"majority-vote",0.928803985147166,0.325236016930011,0.481771726799182
"majority-vote",0.968401437939244,0.277739863751385,0.431674454678599
"majority-vote",0.996779441873031,0.266547002856465,0.420617448243294
"majority-vote",0.886888384040284,0.497544098322767,0.637468546818655
"majority-vote",0.991935985655861,0.351231899896068,0.518772916721462
"majority-vote",0.901198801643167,0.209608511024759,0.340111082805218
"majority-vote",1,0.150586610165371,0.26175623605376
"majority-vote",0.878198898456193,0.49390098689756,0.632232838541542
"majority-vote",0.958617390264322,0.603112493780568,0.740402204927157
"majority-vote",0.978236206401694,0.305916975069293,0.466080005849252
"majority-vote",0.932449405407678,0.341285384866634,0.499682283349879
"majority-vote",0.859231168465335,0.446694106726665,0.587803156214895
"majority-vote",0.972851966502762,0.266090482315094,0.417883250727113
"majority-vote",0.926250172852031,0.451899481067138,0.60744052180378
"majority-vote",0.916290358997516,0.64749467823896,0.758791159967903
"majority-vote",0.923457358248622,0.323004762209131,0.478604394815988
"majority-vote",0.940771976801305,0.626991726406598,0.752481059081359
"majority-vote",0.988010249067137,0.21144288839462,0.348338312355123
"majority-vote",1,0.586952146427025,0.739722552754385
"majority-vote",0.979186191167929,0.201206326238852,0.333818544803292
"majority-vote",0.827932525959579,0.178093252098333,0.293132043496485
"majority-vote",0.969626302861729,0.337351053776198,0.500551066746815
"majority-vote",0.963779510265185,0.396056088957051,0.561407193150249
"majority-vote",0.979207192243029,0.527918709155657,0.6859968320432
"majority-vote",0.609580146156028,0.197810841807485,0.298694346748649
"majority-vote",0.508395227079249,0.321235895269982,0.393704603220132
"majority-vote",0.955445851652929,0.577402535447829,0.719806162005308
"majority-vote",0.741540350518176,0.256307829501274,0.380944920348951
"majority-vote",0.945242075190712,0.370121948919726,0.531951357430677
"majority-vote",0.932940053630901,0.412941157780458,0.572486401652215
"majority-vote",0.908794213210143,0.349321966894404,0.50466210844604
"majority-vote",0.437736340582807,0.242900219237699,0.312431800971466
"majority-vote",0.43401744313114,0.49871973663928,0.464124449265532
"majority-vote",0.900931611355121,0.220815700474142,0.354696361190761
"majority-vote",0.858499881447335,0.300529494809731,0.445207931655319
"majority-vote",0.883947806999715,0.56355214915208,0.688291124646802
"majority-vote",0.906511869232275,0.484980096410358,0.631897595663606
"majority-vote",0.929872849043871,0.0901245497280729,0.164322716754647
"majority-vote",0.97210424235547,0.0803750172653944,0.148473985684487
"majority-vote",0.737784930180719,0.447963164694436,0.557454780852785
"majority-vote",0.972864964156436,0.333933327717148,0.497203029603608
"majority-vote",0.843582504192657,0.444543610682492,0.582255429793425
"majority-vote",0.929858283426338,0.685970276553095,0.789508441223827
"majority-vote",0.931203225726413,0.30807639194787,0.462981438346244
"majority-vote",0.990335545179374,0.444315471639572,0.613419430480684
"majority-vote",0.873975436066709,0.500426786253817,0.636437735086321
"majority-vote",0.885633588290554,0.691371552812917,0.776537568839214
"majority-vote",0.98966159960175,0.34996941478073,0.517084610799699
"majority-vote",0.984444081546786,0.242128479013223,0.388663428162236
"majority-vote",0.914148914116587,0.699956817226452,0.792841202371117
"majority-vote",0.935858464922084,0.923614148297419,0.92969599321967
"majority-vote",0.851151334776842,0.207130637221039,0.333180613501405
"majority-vote",0.916432397043042,0.42689947212392,0.582468882804877
"majority-vote",0.975856321546361,0.0454886193380402,0.0869252981289634
"majority-vote",0.979824838343781,0.0667966877044944,0.125067280011089
"majority-vote",0.959260357935852,0.118342053546905,0.210691511887146
"majority-vote",0.972309773563544,0.176747142771471,0.299120038221027
"majority-vote",0.957111116442305,0.281732235100839,0.43532389101377
"majority-vote",0.982050834022762,0.24943800540571,0.397828698730776
"majority-vote",0.969729512801066,0.188193589763313,0.315214158365607
"majority-vote",0.990501334827947,0.312028352830016,0.474560392612648
"majority-vote",0.981059149888245,0.262065155124805,0.41363750554193
"majority-vote",0.985438921430477,0.245723790097913,0.393361144577376
"majority-vote",0.859133498609184,0.189813453186368,0.310931064416457
"majority-vote",0.699569324711249,0.302716671500462,0.422576586445059
"majority-vote",0.876516656735739,0.420299304208279,0.568159788355507
"majority-vote",0.937669421020718,0.306435284885335,0.461914491271843
"majority-vote",0.994738452289996,0.0581527576415043,0.109881787571327
"majority-vote",0.894517159258497,0.488316786493745,0.631757335744322
"majority-vote",0.978419452887538,0.803894049185201,0.882611925307888
"majority-vote",1,0.399905634105598,0.571332273208684
"majority-vote",0.989075509291878,0.816083086695311,0.894290170838132
"majority-vote",0.999218148958035,0.515981015759416,0.680541023873589
"majority-vote",0.967361324998322,0.886831337016301,0.925347570186163
"majority-vote",0.978771729763963,0.562802708732633,0.714665950584001
"majority-vote",0.969526508025414,0.320650172402324,0.48191669662469
"majority-vote",1,0.389860575807597,0.561006740666867
"majority-vote",0.980528960412847,0.343318290820543,0.508568532321763
"majority-vote",0.656909527491313,0.498632764714016,0.56693141578546
"majority-vote",0.967317048332935,0.306465400575611,0.46546285349588
"majority-vote",0.866137422008663,0.307459692683295,0.45382242723421
"majority-vote",0.940203579690257,0.440815821305582,0.600218379085404
"majority-vote",0.975577719059765,0.302674326838469,0.462009554911413
"majority-vote",0.97531369096878,0.386410471634427,0.553520945972341
"majority-vote",0.979796532454506,0.842928963091472,0.906224088224659
"majority-vote",0.86016496736643,0.379833177043333,0.52696722782869
"majority-vote",0.959066250205491,0.253011149964173,0.400394322709676
"majority-vote",0.894403114962443,0.258566218604342,0.401159726648337
"majority-vote",0.887968710430036,0.32105223115073,0.471595364266989
"majority-vote",0.948043513557396,0.261067503815856,0.409397234889042
