"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.884786034399902,0.415536269963187,0.565491628062381
"majority-vote",0.991010299757062,0.180023797546533,0.304697255153864
"majority-vote",0.885986351072941,0.155532560696478,0.264613007728102
"majority-vote",0.941659227370345,0.331673929570493,0.490561035901382
"majority-vote",0.969458963600988,0.282622428273209,0.437656606323352
"majority-vote",0.937285857047683,0.14882266170001,0.256860845139941
"majority-vote",0.983486659152746,0.165640291862522,0.283528320558541
"majority-vote",0.834291661270406,0.434923778207466,0.57177571302785
"majority-vote",0.979268666292869,0.374841411096978,0.542157472786601
"majority-vote",0.800900047446136,0.362059406007443,0.498681866489089
"majority-vote",0.995494959707395,0.254763002155363,0.405700731051897
"majority-vote",0.979806372691933,0.726554209687253,0.834386884119347
"majority-vote",0.829461214055586,0.484948500820048,0.612055689625959
"majority-vote",0.957861910412224,0.137890968559114,0.241077179184084
"majority-vote",0.860917608408613,0.572725789862615,0.687855456771229
"majority-vote",0.949338123657523,0.185231226101257,0.309980284003153
"majority-vote",0.853569112981599,0.755739206116895,0.801680617884304
"majority-vote",0.818694385007961,0.576067849004507,0.676278009057977
"majority-vote",0.999762867407311,0.512923098681887,0.678001223510271
"majority-vote",0.928771428213272,0.187543912737759,0.31207208446631
"majority-vote",0.71712598798896,0.563595970186848,0.6311585654743
"majority-vote",1,0.175342240266975,0.29836797191454
"majority-vote",1,0.0286580444788281,0.055719283259672
"majority-vote",0.877229205933197,0.607442404094667,0.717823677902908
"majority-vote",0.97034530143111,0.216888718165197,0.354533217767087
"majority-vote",0.895091762796698,0.784876497873142,0.83636876303705
"majority-vote",0.89849076151153,0.580348012931393,0.705198344933653
"majority-vote",0.929870792786515,0.304618356153386,0.458903527142244
"majority-vote",0.985701545144915,0.181085738007217,0.305962353780895
"majority-vote",0.996318305687661,0.143344851680149,0.250630370617348
"majority-vote",0.991666218214065,0.310185810827962,0.472558759529342
"majority-vote",0.979811791619008,0.181692433304031,0.306541095209594
"majority-vote",0.97127500072742,0.41966066752914,0.586088809801736
"majority-vote",0.970491332601361,0.288130565584205,0.444340301023067
"majority-vote",0.995438769811438,0.188216920287139,0.316575877859757
"majority-vote",0.950485305483327,0.195328794873353,0.324061554500151
"majority-vote",0.985195096991597,0.347494032716612,0.513772356410232
"majority-vote",0.970972882469305,0.471508981254773,0.634770455216879
"majority-vote",0.997386953486254,0.273043557976206,0.428720941447544
"majority-vote",0.975928449744463,0.243210382981023,0.389382940897384
"majority-vote",0.985920288154347,0.299678421346832,0.459644262777066
"majority-vote",0.965442185275774,0.600007808316799,0.740071994653137
"majority-vote",0.981341605125596,0.457611777554049,0.624166816958302
"majority-vote",0.997208804783904,0.137518142346069,0.241704495891061
"majority-vote",0.977236915745317,0.929402873285538,0.952719860982296
"majority-vote",0.978916164803934,0.553975997408677,0.707546260780633
"majority-vote",0.926745728904177,0.276584234407685,0.426023228432023
"majority-vote",1,0.0280670670696644,0.0546016266227941
"majority-vote",0.956158786921825,0.317094059573532,0.476248330685434
"majority-vote",0.872353208860932,0.350542432717587,0.500119234423602
"majority-vote",0.985299798710937,0.47312757609328,0.639281068831943
"majority-vote",0.89287112562617,0.0946394416357981,0.171139079587329
"majority-vote",0.88951004725592,0.129274859696868,0.225742030085439
"majority-vote",0.918187441060085,0.398563073987218,0.555846540135537
"majority-vote",0.904492383007975,0.767438277682379,0.830347924005239
"majority-vote",0.982845358490376,0.342303767461292,0.50776423944209
"majority-vote",0.930111878442038,0.769448496055963,0.842186246243122
"majority-vote",0.780114098952355,0.621355424171374,0.69174265848636
"majority-vote",1,0.139273754417715,0.24449567784329
"majority-vote",0.969077794172933,0.48341150862015,0.645048961876122
"majority-vote",0.927746212732177,0.248431770518741,0.391916253327694
"majority-vote",0.932483962638111,0.671591737844431,0.780821659216957
"majority-vote",0.91618000762396,0.628052988430333,0.745236752742101
"majority-vote",0.913829143912833,0.32611038516468,0.480683399645846
"majority-vote",0.983267077356961,0.0748557462974174,0.139120316167147
"majority-vote",0.879745020125085,0.610312310026295,0.720669204603184
"majority-vote",0.970655747159582,0.452048465725702,0.616830170709144
"majority-vote",0.885647883555174,0.572173102183162,0.695207301764925
"majority-vote",0.985727130307324,0.448984351415946,0.616954784166842
"majority-vote",0.976062086052371,0.453567079412853,0.619334916201609
"majority-vote",0.471613699475471,0.575854631212563,0.518547291654824
"majority-vote",0.348188315465802,0.502245179422469,0.411262971237755
"majority-vote",0.942211740166159,0.691232299050156,0.797440465312266
"majority-vote",0.849547781281514,0.749388208536765,0.796330927485462
"majority-vote",0.940669169771245,0.570891001942353,0.710550032842144
"majority-vote",0.93918876793975,0.584423370672203,0.72050340312577
"majority-vote",0.377007241813602,0.333737594664736,0.354055305353999
"majority-vote",0.933711500923585,0.637650405687101,0.757790442613988
"majority-vote",0.968218712691892,0.667939123800818,0.790524170931183
"majority-vote",0.929953820690252,0.20662444877527,0.338122240674087
"majority-vote",0.888278526467831,0.449199047330331,0.596666255450134
"majority-vote",0.919888763957418,0.483016393609732,0.633430351142691
"majority-vote",1,0.394997450430483,0.566305623438366
"majority-vote",0.743607179285293,0.516935394372656,0.609891135000234
"majority-vote",0.600722556096783,0.392347177758615,0.474673210682772
"majority-vote",0.997370330529393,0.0716235867477858,0.13364947963463
"majority-vote",0.903067992726609,0.445643309261908,0.596786292476136
"majority-vote",1,0.244214005531723,0.392559486464479
"majority-vote",0.846630149716039,0.82075529700163,0.833491957541815
"majority-vote",0.963226781784109,0.478783025510062,0.639630369366601
"majority-vote",0.486665705927969,0.248352166072611,0.328874948010439
"majority-vote",0.945892682952669,0.698642812591591,0.803681192918433
"majority-vote",0.977416346106394,0.0438996941857761,0.084025467129596
"majority-vote",0.955332801738513,0.222178072978945,0.360513020306109
"majority-vote",0.878822843246375,0.365379803167158,0.51616047982177
"majority-vote",0.940653350627314,0.150988307449465,0.260209302671916
"majority-vote",0.940375262963857,0.349352846228359,0.509445009839982
"majority-vote",0.965746591437802,0.459513959572338,0.62272689700217
"majority-vote",0.931177825188882,0.820778806442882,0.872499935381108
"majority-vote",0.933147574324835,0.779985513907088,0.849719844080641
"majority-vote",0.959199006591609,0.67343751558139,0.791309746136798
"majority-vote",0.963062499967901,0.823286036861197,0.887705722037451
"majority-vote",0.958408532287298,0.331633970154452,0.492760240055252
"majority-vote",0.971231170588446,0.294349735097977,0.451779315723085
"majority-vote",0.903492833243407,0.38824390673072,0.54310692949502
"majority-vote",0.955119557211249,0.335094274006136,0.49612721065124
"majority-vote",0.935407261009934,0.352075587876275,0.511593706446207
"majority-vote",0.949076045227536,0.326668622901485,0.486042971557867
"majority-vote",0.973903773356059,0.953962465059952,0.963829985554685
"majority-vote",0.89411768071587,0.301799128491827,0.451275431086142
"majority-vote",0.866271524356127,0.261197223492181,0.401372929199102
"majority-vote",0.979663202399461,0.348023955341595,0.513594276503758
"majority-vote",0.974134397662272,0.388586315393514,0.555558145787377
"majority-vote",0.836802234453651,0.690080287191693,0.75639182201413
"majority-vote",0.935758229897464,0.333551608211879,0.491800588175876
"majority-vote",0.9381431681834,0.638077062726572,0.759548222301246
"majority-vote",0.878977985608706,0.565632885655493,0.688322183249828
"majority-vote",0.93686956396721,0.49603978047729,0.648644765487673
"majority-vote",0.950888774148893,0.25554359980563,0.402829939923232
"majority-vote",0.972612764717809,0.301311464246903,0.460089178962416
"majority-vote",0.924098040451403,0.379736189064931,0.538279269341716
"majority-vote",1,0.384035130898001,0.5549499753649
"majority-vote",0.915483699516855,0.337044999885439,0.492698017292576
"majority-vote",0.972540626741109,0.181227135124266,0.305522059814347
"majority-vote",0.988082348486416,0.280820635988484,0.437344567560892
"majority-vote",0.899313546463667,0.46173250086778,0.610181108401279
"majority-vote",0.971063505979962,0.188111670962249,0.315169583258695
"majority-vote",0.981714370759229,0.663240369158775,0.791648044618275
"majority-vote",0.921022311553854,0.758753126750493,0.832049978542236
"majority-vote",0.892024401735269,0.679068184129175,0.77111355006744
"majority-vote",0.999670132313594,0.625806729072377,0.769743710926896
"majority-vote",0.998336551407008,0.436449688440971,0.607370860856581
"majority-vote",0.948924141184651,0.318622729030303,0.477061332581283
"majority-vote",0.962866212875202,0.426265870764171,0.590925815470834
"majority-vote",0.985339787963744,0.345086573970288,0.511155733761503
"majority-vote",0.985960138827153,0.41885661875519,0.587942772959601
"majority-vote",0.971253973001517,0.330376482648283,0.493042353097404
"majority-vote",0.97719883889698,0.256577802829483,0.40643909526583
"majority-vote",0.981286282880074,0.794655555575117,0.878164565320005
"majority-vote",1,0.246338890403316,0.395300013985122
"majority-vote",0.815284992376411,0.134705316485025,0.23120914371259
"majority-vote",1,0.234451153548565,0.379846789197952
"majority-vote",0.861313878097774,0.630669302045864,0.72816400288111
"majority-vote",0.780476292987191,0.702031115747785,0.739178286128137
"majority-vote",0.965624170883917,0.459994337574876,0.623142373919138
"majority-vote",0.975383733594849,0.169226527256043,0.288413982687147
"majority-vote",0.97679543141658,0.328738801736248,0.491922082946619
"majority-vote",0.953366182653794,0.834647897140596,0.890065787008176
"majority-vote",0.970789991116105,0.854461605188636,0.908918831562152
"majority-vote",0.985924558343803,0.727321270285268,0.837105674150525
"majority-vote",0.9465326221644,0.815281971976479,0.876018379351163
"majority-vote",0.963115808689681,0.681562279630586,0.798239376787963
"majority-vote",0.976686757730147,0.84386764493464,0.905432271486308
"majority-vote",0.969948528396907,0.146940426010369,0.255217225326414
"majority-vote",0.982418881666834,0.36027039195062,0.527205277516263
"majority-vote",1,0.203673370276619,0.338419666507721
"majority-vote",0.978819576250931,0.361737500546818,0.528251654670467
"majority-vote",0.953627983049587,0.317217993007796,0.476073356737612
"majority-vote",1,0.675916930927466,0.806623429185607
"majority-vote",0.973525853967189,0.459088127497562,0.623942202366756
