"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.198502403396064,0.331250738978228
"majority-vote",1,0.183899131493905,0.310666891463721
"majority-vote",0.934294871794872,0.190425104785069,0.316368878594459
"majority-vote",0.99083831129606,0.449056107351721,0.618020306660277
"majority-vote",0.972903758777365,0.287941630478592,0.44436771865648
"majority-vote",0.942355889724311,0.270949755727714,0.420885040939951
"majority-vote",0.995535714285714,0.434629085585619,0.6050893955812
"majority-vote",0.911764705882353,0.225043684967784,0.360987640286307
"majority-vote",1,0.371128183202177,0.541347173442868
"majority-vote",0.850189445160565,0.115699770679446,0.203681172180012
"majority-vote",0.921787709497207,0.133062742481528,0.232555430736901
"majority-vote",1,0.243213979333878,0.391266480874344
"majority-vote",0.959304347826087,0.297538435670128,0.45420146215859
"majority-vote",1,0.205218461156271,0.340549813615345
"majority-vote",0.994550408719346,0.645614467106674,0.782965348910661
"majority-vote",0.992073170731707,0.256183699709229,0.407212619900161
"majority-vote",0.943941894788568,0.742254965104728,0.831036487900371
"majority-vote",0.987010796221323,0.693155475471102,0.814385991763491
"majority-vote",1,0.510016077032932,0.675510790633535
"majority-vote",1,0.15502594973753,0.268437171948836
"majority-vote",0.803914590747331,0.489554327716499,0.608533937533188
"majority-vote",0.991319444444444,0.173290835414221,0.295011262842343
"majority-vote",1,0.0233987962925692,0.0457276212896384
"majority-vote",0.84119316003374,0.442555311867744,0.579980439202912
"majority-vote",0.989568515884305,0.238523996315747,0.384394228760705
"majority-vote",0.962962962962963,0.355604272959184,0.51940278053638
"majority-vote",0.939480923694779,0.461137873292574,0.618626904170364
"majority-vote",0.980392156862745,0.246798797099364,0.394330815784105
"majority-vote",0.993865030674847,0.0705967406168613,0.131829312561556
"majority-vote",0.997245179063361,0.117854883682947,0.210797610920108
"majority-vote",0.893299023849645,0.32943283093952,0.481351696448672
"majority-vote",0.936254980079681,0.168684349164187,0.285864676523996
"majority-vote",0.929228936538878,0.245009277586822,0.387774316514945
"majority-vote",0.909441233140655,0.28902183309537,0.438642424117992
"majority-vote",0.980690298507463,0.128150592079654,0.226680028608902
"majority-vote",0.990711947626841,0.168363855020121,0.287815658537654
"majority-vote",0.992217898832685,0.242893423253955,0.390253409148833
"majority-vote",0.955645161290323,0.248590973455453,0.39454846781077
"majority-vote",0.96137339055794,0.17208143148604,0.291911959828213
"majority-vote",0.978723404255319,0.150610793870599,0.261049933915476
"majority-vote",0.908928571428571,0.254971907968399,0.398232075966163
"majority-vote",0.936802973977695,0.358455108084765,0.518509501606971
"majority-vote",0.952586206896552,0.255413015068307,0.402819655496447
"majority-vote",0.977941176470588,0.153736260558308,0.265702954918491
"majority-vote",0.9381575354156,0.523686785369063,0.672165560868816
"majority-vote",0.981942714819427,0.101884538107802,0.184613885058702
"majority-vote",0.976331360946746,0.222867675225232,0.362896723730326
"majority-vote",1,0.0232518845247264,0.0454470397296678
"majority-vote",0.956738286905658,0.269146291210763,0.420108982814109
"majority-vote",0.956204379562044,0.239163021753614,0.382625004795004
"majority-vote",1,0.278966780663613,0.43623772701722
"majority-vote",0.952016055464331,0.243737503304453,0.388110099715787
"majority-vote",0.943924481428329,0.155981330195221,0.267722189774949
"majority-vote",0.995829991980754,0.342200036756814,0.509365339402542
"majority-vote",0.998390989541432,0.774086220122739,0.87204586110888
"majority-vote",0.998355263157895,0.449123900451083,0.619539432550295
"majority-vote",0.988235294117647,0.781390755718313,0.872724407927515
"majority-vote",0.903747294372294,0.520020846078898,0.660174110248123
"majority-vote",1,0.247057590771464,0.396224829710755
"majority-vote",0.94758064516129,0.374817657679937,0.537160335307601
"majority-vote",0.978978978978979,0.294340104680272,0.452601046902349
"majority-vote",0.993355481727575,0.269405845187672,0.423858044148966
"majority-vote",0.979885057471264,0.367986426322287,0.535042702276931
"majority-vote",0.985555961515041,0.429298699811285,0.598079653599252
"majority-vote",0.998220640569395,0.0983483051554364,0.17905542292424
"majority-vote",0.994897959183674,0.35518881480838,0.523487280647644
"majority-vote",0.972332015810277,0.41818947714846,0.584843915560354
"majority-vote",0.959482038429407,0.516806189104525,0.671774314184248
"majority-vote",0.986437536854519,0.574441588967795,0.72606614658859
"majority-vote",1,0.422741340687133,0.594263101236609
"majority-vote",1,0.432356544823361,0.60369961150515
"majority-vote",1,0.414794772309577,0.586367408797315
"majority-vote",1,0.648303543554102,0.786631256226287
"majority-vote",0.915492957746479,0.705504711099809,0.796897623089778
"majority-vote",1,0.479269293924466,0.647981129457472
"majority-vote",1,0.446559499051866,0.617409099790999
"majority-vote",1,0.29615162037037,0.456970644045094
"majority-vote",1,0.5453160359766,0.70576635883025
"majority-vote",0.975693165634419,0.471592507240896,0.635851780892994
"majority-vote",1,0.147913649719835,0.257708669560529
"majority-vote",0.981042654028436,0.180145345322303,0.304395615153924
"majority-vote",1,0.461665766339556,0.631698130956031
"majority-vote",1,0.452018667306037,0.622607239815556
"majority-vote",0.9025,0.5448723690103,0.679503524539505
"majority-vote",0.776685502576317,0.500971370143149,0.60907933687672
"majority-vote",0.985616772306192,0.0810788084640452,0.149832126318665
"majority-vote",0.903486924034869,0.357980603301746,0.51278497009608
"majority-vote",0.970954356846473,0.200192825665398,0.331944778917238
"majority-vote",0.83577487869859,0.731630133235527,0.780242606347948
"majority-vote",0.935386747291509,0.468377393052553,0.624198885839786
"majority-vote",0.994318181818182,0.21789068926633,0.357451061701236
"majority-vote",0.988030455153949,0.478764350148858,0.644989683736175
"majority-vote",0.975584322186264,0.0656412409261203,0.123006133935001
"majority-vote",0.982192648922687,0.171381719710875,0.291840508660296
"majority-vote",0.915881918478512,0.292604037902417,0.443514872760591
"majority-vote",0.979004482189196,0.137940767070768,0.24181065155767
"majority-vote",0.981233243967828,0.232565188011824,0.376010856258308
"majority-vote",1,0.400517092068454,0.571956021581888
"majority-vote",0.973975067472047,0.675705517440494,0.797876065172011
"majority-vote",0.984082356503309,0.697003082461373,0.816030428888949
"majority-vote",0.999502982107356,0.624316033001713,0.768565623331777
"majority-vote",0.965824156693234,0.754802389285676,0.847373165089843
"majority-vote",0.971922246220302,0.325127701620683,0.48725779079459
"majority-vote",0.991596638655462,0.374990811890623,0.544187096769897
"majority-vote",0.988839285714286,0.336997107572391,0.502680392282172
"majority-vote",0.997782705099778,0.323404226443697,0.488480677786776
"majority-vote",0.991111111111111,0.326491141152813,0.491178573989083
"majority-vote",0.983294663573086,0.178628282561676,0.302333709116284
"majority-vote",1,0.83363842769973,0.909272422639523
"majority-vote",0.994131455399061,0.218404991171275,0.358130714097135
"majority-vote",0.964314892623716,0.199613259442027,0.330759314487713
"majority-vote",0.921083627797409,0.293514043902524,0.445169600875071
"majority-vote",0.993556498506994,0.166874701404654,0.285754888406365
"majority-vote",1,0.228286740883426,0.371715713090307
"majority-vote",1,0.166814944958401,0.285932136332635
