"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.765085741550394,0.350395035268814,0.480657759354049
"majority-vote",0.948202574497827,0.205264206736503,0.33747317642131
"majority-vote",0.800540028044381,0.155230772342333,0.260038173993184
"majority-vote",0.714992804810758,0.343658328596708,0.464200574686136
"majority-vote",0.833639075247306,0.278096169110385,0.417063027233506
"majority-vote",0.585963970435119,0.274831164984751,0.374168379925202
"majority-vote",0.93157630251215,0.210347388555393,0.343200940669387
"majority-vote",0.246746074891531,0.535467319535705,0.337822032374863
"majority-vote",0.74058100931139,0.257017628755942,0.381601112214126
"majority-vote",0.663150897363513,0.381581426280045,0.484422774194159
"majority-vote",0.960147648162707,0.316766198070923,0.47637093292133
"majority-vote",0.888256136044642,0.522972282674506,0.658338980288564
"majority-vote",0.351492059667309,0.40000109865227,0.374180944904046
"majority-vote",0.873896173181051,0.157715929137724,0.267207696794858
"majority-vote",0.510426001066541,0.521842285726857,0.516071014674683
"majority-vote",0.870805883087928,0.169552421842999,0.283839222954042
"majority-vote",0.870264362112501,0.814677028128963,0.84155376361282
"majority-vote",0.605282306324372,0.60266011178633,0.603968362932849
"majority-vote",0.989128309413007,0.603678046977399,0.74976477038888
"majority-vote",0.765714834575577,0.233273308586689,0.357603509346839
"majority-vote",0.633264128954869,0.477672030841765,0.544572358851813
"majority-vote",0.98553842841281,0.239700270428941,0.385612743103825
"majority-vote",1,0.0451834299339769,0.0864602875245182
"majority-vote",0.520078436683476,0.674415848790114,0.5872763806053
"majority-vote",0.737733962363279,0.264429785554201,0.389315286786518
"majority-vote",0.570149123160137,0.764265580976335,0.653088353274869
"majority-vote",0.705294327474736,0.568868285164028,0.629777660444066
"majority-vote",0.803904934802897,0.283819797978943,0.419525509191112
"majority-vote",0.893663112192729,0.335330305840022,0.487671162973711
"majority-vote",0.988473774539055,0.189232121964544,0.317653143144904
"majority-vote",0.919869251189002,0.295626748537312,0.447451831794901
"majority-vote",0.769066438553191,0.363773520254886,0.493919734181586
"majority-vote",0.810193495977878,0.461359318202158,0.587927319648482
"majority-vote",0.749480008294276,0.273834264414544,0.40111491110428
"majority-vote",0.938487874132853,0.18450471455883,0.308382155104935
"majority-vote",0.968775476104518,0.178661550033407,0.301686147914805
"majority-vote",0.881507923678405,0.305272918201628,0.453496529069125
"majority-vote",0.728158524519602,0.461234062230872,0.564744589723382
"majority-vote",0.945337139275683,0.254396955787534,0.400906986663503
"majority-vote",0.907606841651864,0.194497279463588,0.320345524786101
"majority-vote",0.842421851982221,0.274490844854569,0.414064745668014
"majority-vote",0.705115912771109,0.4975010382235,0.583387583854387
"majority-vote",0.799949434728689,0.432627490603265,0.561555403875451
"majority-vote",0.973789154334244,0.14777623853704,0.256610803561401
"majority-vote",0.871208670231916,0.849003713874169,0.859962878328701
"majority-vote",0.816196358347102,0.419270163245204,0.553971757912605
"majority-vote",0.741779059423331,0.268653291287458,0.394447754136154
"majority-vote",1,0.0296170662600031,0.0575302551415248
"majority-vote",0.684186211818637,0.288968652033877,0.406324573227144
"majority-vote",0.525504202833689,0.515820293277299,0.520617219774374
"majority-vote",0.992743047652202,0.630691789916772,0.771345883631251
"majority-vote",0.625818429593497,0.0839537973087978,0.148047025788838
