"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.981229372937294,0.569253137827967,0.720508481192521
"majority-vote",1,0.0904995829857936,0.165978207415734
"majority-vote",0.765381113423517,0.819014016897081,0.791289809171923
"majority-vote",1,0.701715278645296,0.824715259304622
"majority-vote",1,0.759707381849666,0.863447400045707
"majority-vote",0.987589983045665,0.578440468232789,0.729566927320715
"majority-vote",1,0.600664139508891,0.75051864370896
"majority-vote",0.99413676761027,0.416052913151152,0.586606899593244
"majority-vote",1,0.693029753538675,0.818685852496264
"majority-vote",1,0.926701958316366,0.961956730584483
"majority-vote",0.913796593299487,0.679207946226969,0.779229301617239
"majority-vote",0.789560011852952,0.730071242996558,0.758651228624469
"majority-vote",0.960323654024073,0.705247285352648,0.813253442466827
"majority-vote",0.951396157409078,0.748046635170762,0.837555341517409
"majority-vote",0.774929203947011,0.887238718278987,0.827289691340125
"majority-vote",0.917087789399459,0.654463289322061,0.763831732069109
"majority-vote",1,0.399860748801078,0.571286464233735
"majority-vote",1,0.730223965029966,0.844080280690505
"majority-vote",1,0.627572047231219,0.771175750159665
"majority-vote",0.986636825364252,0.480281134822922,0.64606619729922
"majority-vote",1,0.371054396642753,0.541268672565202
"majority-vote",0.748051400884769,1,0.85586888406845
"majority-vote",1,0.472525142007999,0.641788895181298
"majority-vote",1,0.685683915358015,0.813537946362128
"majority-vote",0.997136019762236,0.558348883797045,0.715853663837059
"majority-vote",1,0.857389973199158,0.923220202080013
"majority-vote",1,0.824935052612355,0.904070587532941
"majority-vote",0.372144488620824,0.885652834111126,0.524076200655275
"majority-vote",1,0.869392757165929,0.930133867089506
"majority-vote",1,0.407825875574635,0.579369768165644
"majority-vote",0.826873775360163,0.818563417701653,0.822697610605495
"majority-vote",1,0.646206198914101,0.785085366997601
"majority-vote",0.860371141336041,0.628027230015838,0.726064358949901
"majority-vote",1,0.44600410899673,0.616878065866878
"majority-vote",1,0.145230780958905,0.253627100098206
"majority-vote",0.972622478386167,0.978260869565217,0.975433526011561
"majority-vote",0.932227008232157,0.789387065721916,0.854881420578738
"majority-vote",1,0.736997480124371,0.848587851804599
"majority-vote",1,0.133836061420217,0.236076565165121
"majority-vote",1,0.328128345201922,0.494121439975795
"majority-vote",0.931182844764813,0.957367708447972,0.944093749274509
"majority-vote",1,0.710154595367684,0.830515085935842
"majority-vote",0.871725901927797,0.620991580508525,0.725300603734913
"majority-vote",1,0.641771754590045,0.781803868650789
"majority-vote",0.943850805598264,0.655797527807662,0.773888875453904
"majority-vote",1,0.583945681131062,0.73733043763733
"majority-vote",1,0.295157298897756,0.455786025603144
"majority-vote",0.951442545769102,0.985392809154804,0.968120124967099
"majority-vote",1,0.490897500235038,0.658526156436171
"majority-vote",1,0.709521550382711,0.830082019409314
"majority-vote",1,0.464654561620487,0.634490307538994
"majority-vote",1,0.760476180995136,0.863943732047843
"majority-vote",1,0.618238695214813,0.764088384541744
"majority-vote",0.988558352402746,0.467508610801185,0.634805340285696
"majority-vote",1,0.298094538061289,0.459280166922965
"majority-vote",NA,NA,NA
"majority-vote",1,0.725492150796379,0.840910403981307
"majority-vote",1,0.828610037676189,0.906273093337268
"majority-vote",0.941391941391941,0.593846748085452,0.72828094667124
"majority-vote",1,0.393535691785074,0.564801740070206
"majority-vote",1,0.326943236536314,0.492776522060922
"majority-vote",1,0.749933092578595,0.857099160829674
