"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.800340064773251,0.609737982932899,0.692157058326069
"majority-vote",0.935212885813895,0.0981700915499054,0.177688111049036
"majority-vote",0.821628387495217,0.734484171452579,0.775616187866765
"majority-vote",0.90650908449462,0.705546824762739,0.793501766918742
"majority-vote",1,0.650373322045519,0.788152975278863
"majority-vote",0.937823399022911,0.41598144395199,0.576326984974077
"majority-vote",1,0.580740165704435,0.734769923993974
"majority-vote",0.877241722322043,0.408390409211168,0.557324443235502
"majority-vote",0.889014622496004,0.619944231334982,0.73048974846411
"majority-vote",0.69736618090994,0.956969760059502,0.806799066975386
"majority-vote",0.715355559316531,0.654825930678184,0.683753755711686
"majority-vote",0.801390995803039,0.689191502577319,0.741068495235337
"majority-vote",0.947659372809349,0.8110380601686,0.874042123462317
"majority-vote",1,0.63626373920966,0.777703158681479
"majority-vote",0.79622835767238,0.882438659972905,0.837119783246151
"majority-vote",0.904054615409003,0.826514886616603,0.863547632239428
"majority-vote",0.996957704775167,0.415239799470072,0.586286997628192
"majority-vote",0.966056981229293,0.772289019809442,0.858373647901888
"majority-vote",0.883659473024344,0.549167250631647,0.677369894465899
"majority-vote",0.999398057443533,0.597439973639496,0.747828317552617
"majority-vote",1,0.427056820128302,0.598514108344903
"majority-vote",0.912183153901834,0.982362516616247,0.945973013611126
"majority-vote",0.988716807970951,0.519080744958141,0.680759636779079
"majority-vote",0.998349692435007,0.575453874544114,0.730083741981087
"majority-vote",0.93072432416953,0.564765638803582,0.702968432425497
"majority-vote",1,0.509634720891345,0.675176204996713
"majority-vote",0.969055253150399,0.822405338048518,0.889727875645303
"majority-vote",0.259314932071213,0.922042473114682,0.404787543943795
"majority-vote",0.994788674583285,0.756656908245909,0.859534238742764
"majority-vote",0.985522669085826,0.498957054363406,0.662499433583193
"majority-vote",0.83664365382876,0.897515754494954,0.866011344292018
"majority-vote",0.912332351979064,0.702108146290748,0.793533087327256
"majority-vote",0.676147681109226,0.563797761743858,0.61488277797211
"majority-vote",0.999752397244857,0.538459706173662,0.699937779543542
"majority-vote",0.994168222790044,0.187954248862362,0.316140071842363
"majority-vote",0.95492806159586,0.808072014081684,0.87538356087742
"majority-vote",0.950619482202536,0.742891029400014,0.83401511931907
"majority-vote",0.999362440853716,0.5605573219367,0.718241985071061
"majority-vote",1,0.058767318279149,0.111010827902519
"majority-vote",1,0.307522455974813,0.470389559383196
"majority-vote",0.85659784471948,0.946009146228504,0.899086045725466
"majority-vote",0.867640356478963,0.730262643247281,0.793046061267663
"majority-vote",0.832971129631318,0.733942312655765,0.780327414084543
"majority-vote",0.944960143355631,0.712059990656586,0.812142589021427
"majority-vote",0.892849580124657,0.678002907192528,0.770733873355624
"majority-vote",0.990088794566407,0.633879542110367,0.772917818130186
"majority-vote",0.991500356985007,0.319086245439349,0.482797742136053
"majority-vote",0.876170223428208,0.983735470608579,0.926842398344014
"majority-vote",0.950107894932659,0.353093117759512,0.514850058528833
"majority-vote",1,0.587065499884573,0.739812565930354
"majority-vote",0.998874994475419,0.507294761594585,0.672864463176285
"majority-vote",0.941053746252363,0.782352849375632,0.854396265702895
"majority-vote",1,0.477226546268782,0.646111522263357
"majority-vote",0.93432282567175,0.541816426365224,0.685885770977718
"majority-vote",0.902268321201748,0.392277868086412,0.546816940811592
"majority-vote",1,1,1
"majority-vote",0.92315329744755,0.684975450059446,0.786426268883358
"majority-vote",1,0.901114263213663,0.947985379574619
"majority-vote",0.934885284472975,0.46336604003748,0.619622645173924
"majority-vote",0.999076719955493,0.309361077130035,0.472434304342816
"majority-vote",1,0.384713003262754,0.555657385113402
"majority-vote",0.959744316108401,0.970388476590468,0.96503704651589
"majority-vote",0.942420783606876,0.619367419065532,0.747482568273365
"majority-vote",0.950586872540287,0.823468971433424,0.882473679560749
"majority-vote",0.998644441465195,0.443725888564375,0.614439139412876
"majority-vote",0.9986848532672,0.823075619754071,0.902416279982935
"majority-vote",0.885237464529015,0.881745389786512,0.883487976477419
"majority-vote",1,0.223004931542622,0.364683617851544
"majority-vote",0.822250023008881,0.673269649057869,0.740339287766059
"majority-vote",0.952747463650622,0.672405810593805,0.788396935526016
"majority-vote",0.915146139526942,0.440463407654161,0.594696884446973
"majority-vote",1,0.218754062141528,0.358979828558922
"majority-vote",0.999352621946087,0.360699771690591,0.530077023886539
"majority-vote",0.970924324896288,0.473675781644745,0.636720621064252
"majority-vote",0.951691564613912,0.507853419859308,0.662288344493707
"majority-vote",0.920887084303979,0.724712669632612,0.811106753874544
"majority-vote",1,0.734468568277499,0.846909055269765
"majority-vote",0.980153789073517,0.986553970170946,0.983343465691162
"majority-vote",0.982278897272412,0.876758521623664,0.926524001121063
"majority-vote",0.933398276608783,0.324093043402015,0.481129186911189
"majority-vote",0.973395082203171,0.532824058440275,0.688675776545683
"majority-vote",0.831416626091111,0.636403820760992,0.720955643618868
"majority-vote",0.968982955820056,0.733190555941071,0.834755266917618
"majority-vote",0.746501707395387,0.40509660545776,0.525192342258765
"majority-vote",0.968023976301939,0.33810463458253,0.501165643332875
"majority-vote",1,0.909917795702611,0.952834512302007
"majority-vote",0.867160307276487,0.745860776011632,0.801949666266324
"majority-vote",1,0.4302792117098,0.601671629129575
"majority-vote",0.819424339226619,0.517144664318576,0.634102577150618
"majority-vote",1,0.546753573278097,0.706969206632366
"majority-vote",0.913853327752142,0.860753697397828,0.886509091414749
"majority-vote",0.941970472479102,0.546167499768098,0.691432739979602
"majority-vote",0.91657549717475,0.223495101020525,0.359363944054491
"majority-vote",0.79358257966433,0.732243624713564,0.761680174289408
"majority-vote",0.795732583160751,0.387593724822673,0.521277949774718
"majority-vote",0.98718306897152,0.694072464787037,0.815077270669661
"majority-vote",0.993084699771684,0.404193464391749,0.574543216275736
"majority-vote",0.595945694942173,0.96519043036401,0.736900610332109
"majority-vote",0.96649304193187,0.691746928014793,0.80635927829619
"majority-vote",0.779722015164785,0.770478187636747,0.775072540977534
"majority-vote",0.942386510579442,0.91433176253429,0.928147184937906
"majority-vote",1,0.157573207238144,0.272247502365916
"majority-vote",0.736739059502054,0.593601450304954,0.657469829705735
"majority-vote",0.989595707304613,0.418545542461702,0.588280291057899
"majority-vote",0.9991080379369,0.990380595928617,0.994725174263956
"majority-vote",0.911026581173555,0.566424731405015,0.698538059631143
"majority-vote",0.965058702199881,0.756416563651464,0.84809395954808
"majority-vote",0.81691916200932,0.469185132567343,0.596042369099325
"majority-vote",0.984521298576223,0.702740668831829,0.820101643022827
"majority-vote",0.990731898947747,0.287417259939519,0.445571544995795
"majority-vote",0.918547919876733,0.598499899720789,0.724764019740412
"majority-vote",0.972738036321159,0.901299320449908,0.93565704861148
"majority-vote",0.7633657066669,0.997503590008212,0.864868317401165
"majority-vote",0.941574373490312,0.202331608865954,0.333087265551014
"majority-vote",0.914857660144639,0.579924077361118,0.709866826927417
"majority-vote",0.974737515093815,0.628651199451128,0.76434354620944
"majority-vote",0.961741955792928,0.725600686247374,0.827147498948317
"majority-vote",0.467363175464663,0.862877603196074,0.606322138271941
"majority-vote",0.989412044317253,0.439970076726044,0.609090720589401
"majority-vote",0.79289754295582,0.844219524275608,0.817754087244923
"majority-vote",0.991820083156478,0.897901496990252,0.942526927529768
"majority-vote",0.976919831223629,0.821751437049731,0.892642573827328
"majority-vote",0.801105599147496,0.58578765258948,0.676732355303001
"majority-vote",1,0.896486289718894,0.945418160499094
"majority-vote",0.660239971415779,0.847463864760408,0.742227358476963
"majority-vote",0.80720244084855,0.612309926010137,0.696377260770115
"majority-vote",1,0.586618973746378,0.739457908235187
"majority-vote",0.958141735001574,0.435339892915538,0.598669278384349
"majority-vote",0.99777159929573,0.268738803025897,0.423431098230927
"majority-vote",0.921242668207683,0.517500945821292,0.662722596965502
"majority-vote",0.966040241320542,0.372683511774939,0.537866410181744
"majority-vote",0.978788140238516,0.478102457592764,0.642410646355038
"majority-vote",0.971183986612495,0.401599672294765,0.568228166515275
"majority-vote",0.751331587175125,0.611600268371337,0.674303118651414
"majority-vote",0.83164258690222,0.665245436899236,0.739195487265332
"majority-vote",0.959875166805485,0.388553010894711,0.553180944025418
"majority-vote",0.80478440658197,0.834679631125638,0.81945945281089
"majority-vote",0.985139394637229,0.63358987074745,0.771190532059841
"majority-vote",0.879604891395329,0.62064004281791,0.72777185246052
"majority-vote",0.979804590205801,0.657646975527437,0.787034607729852
"majority-vote",0.961436868032393,0.452435016634395,0.615314173934042
"majority-vote",0.735780326014833,0.554333440795183,0.632297166780435
"majority-vote",0.974709583963908,0.186525992671682,0.31312969801049
"majority-vote",0.957198538367844,0.625838406857622,0.756838442849172
"majority-vote",0.861282577286947,0.377203185131492,0.524638298330526
"majority-vote",1,0.334121044161694,0.500885651453975
"majority-vote",0.990518426510403,0.244271312601946,0.391897063177807
"majority-vote",0.991734226624186,0.16825808121894,0.287704145833873
"majority-vote",0.708344479315876,0.5267515329392,0.604198437411194
"majority-vote",0.975466663931651,0.658669701183167,0.786360734345272
"majority-vote",0.830833700726691,0.857525840399389,0.843968775717762
"majority-vote",0.865840179238238,0.476584593867543,0.614777227660623
"majority-vote",0.906433245601018,0.812895696717826,0.857120085138887
"majority-vote",0.979676563520474,0.709057186891058,0.822683514229103
"majority-vote",0.98979586568635,0.646920046391406,0.782443407096803
"majority-vote",0.993955777138831,0.440274442380464,0.61024139580229
"majority-vote",0.913671553410197,0.281427143383019,0.430310862117939
"majority-vote",0.890833331400504,0.622760476866762,0.733057689905432
"majority-vote",0.950538786655008,0.582992835850998,0.722720411741884
"majority-vote",0.920860357893641,0.532223732951405,0.674570371106464
"majority-vote",1,0.62153421412654,0.766600184827228
"majority-vote",0.976102992601289,0.502117960750805,0.663119871242925
"majority-vote",1,0.574632189456518,0.72986211421837
"majority-vote",0.96973648465091,0.905935103881971,0.936750685281235
"majority-vote",0.983361655487286,0.429582045214239,0.59794953038787
"majority-vote",0.9388185298506,0.638462369914015,0.760042556246077
"majority-vote",0.950904247967424,0.708860243746869,0.812233567303176
"majority-vote",0.713219120082319,0.866161942328211,0.782285254722832
"majority-vote",0.937230817427642,0.406930025355961,0.567472802600631
"majority-vote",0.987367806959959,0.347878992752126,0.514488434999688
"majority-vote",0.989218038957498,0.229227910701277,0.372205897786019
"majority-vote",0.955160537215248,0.359707274766429,0.522604919939926
"majority-vote",1,0.834918696232956,0.910033450470611
"majority-vote",1,0.979103491378426,0.989441427033702
"majority-vote",0.996232620229847,0.183627173084543,0.31009681120419
"majority-vote",0.993310152848483,0.528080370218386,0.689563376798888
"majority-vote",0.994281229200197,0.825896686779239,0.902300336372732
"majority-vote",1,0.369522796817634,0.539637306770352
"majority-vote",0.904166555703559,0.523823831051698,0.663343385936437
"majority-vote",1,0.558980755731044,0.71711052708784
"majority-vote",0.914302088044962,0.463673908426729,0.615305380836852
"majority-vote",0.995741844697939,0.353163961767672,0.521400579767375
"majority-vote",0.999560852742132,0.770104924516664,0.869957191852528
"majority-vote",0.65997105782028,0.713327670659057,0.685612835160238
"majority-vote",0.924010368367832,0.336528088719758,0.493369228801655
"majority-vote",0.950877972306511,0.74279880561947,0.834056452003864
"majority-vote",0.972881691341867,0.55924887605576,0.710230582165472
"majority-vote",0.973720752237255,0.396442418476681,0.563471881581416
"majority-vote",0.969956379188617,0.725242462948824,0.829936330665146
"majority-vote",0.921037940746386,0.621435931703397,0.742140377305538
"majority-vote",0.955304122735976,0.487777564156497,0.645806709695339
"majority-vote",0.721348876891347,0.724795693343529,0.723068177456317
"majority-vote",0.866358425564926,0.581232795518291,0.695715644413927
"majority-vote",0.953612482660716,0.452699513358893,0.613946134364699
"majority-vote",0.715661614350462,0.889156693847498,0.793030976377577
"majority-vote",1,0.0939225168510054,0.171716945952211
"majority-vote",0.895250126159101,0.260366849418457,0.403409537443019
"majority-vote",0.953171436796069,0.0449175599225402,0.0857922194704081
"majority-vote",0.9309146454488,0.580330715379555,0.714957843582047
"majority-vote",0.914954569021239,0.320457467342219,0.474665966157832
"majority-vote",1,0.353682044728327,0.522548180506167
"majority-vote",0.974709567429822,0.397744037567097,0.564951583635771
"majority-vote",0.897183405461336,0.609190509337477,0.725657302443556
"majority-vote",0.95128669294824,0.480249058130118,0.638271922941448
"majority-vote",0.823741559936123,0.698444528340546,0.75593620219648
"majority-vote",0.895320648404755,0.955390914854774,0.924380903376716
"majority-vote",0.936951228608281,0.744066476588038,0.829442780109183
"majority-vote",0.985790544350695,0.347792332398513,0.514179356459454
"majority-vote",0.837500592658472,0.742707038011838,0.787260575678499
"majority-vote",0.924359709775134,0.632625965245656,0.751161636246756
"majority-vote",0.924428356290431,0.668933330010988,0.77619657111921
"majority-vote",0.989630886341567,0.648647473510787,0.783653852562089
"majority-vote",1,0.845880026231392,0.916505963779637
"majority-vote",0.935825950029678,0.59459352757011,0.727168022838384
"majority-vote",0.926636077280832,0.700403125946275,0.797791231895101
"majority-vote",0.836205958392473,0.706675096278977,0.766003217638693
"majority-vote",0.461431253634257,0.960717391454153,0.623429951373844
"majority-vote",0.866688921048859,0.878645341564978,0.872626177549629
"majority-vote",0.917632642246804,0.474252871600326,0.625324297624005
"majority-vote",0.972675130404416,0.304397739265013,0.463685538650658
"majority-vote",0.868949893355776,0.349429023147193,0.498426734550978
"majority-vote",0.98118217726633,0.86828943064744,0.921290286819822
"majority-vote",0.980229153865616,0.859672418090355,0.916001138137494
"majority-vote",0.755321171062708,0.900928773043681,0.821724496741454
"majority-vote",0.971571662741794,0.666126471727089,0.790364952014922
"majority-vote",0.984454486031773,0.926529722169795,0.954614211375647
"majority-vote",0.991671269511562,0.463892111779867,0.632096802266331
"majority-vote",0.621567938255614,1,0.766625836132724
"majority-vote",0.812580908240827,0.283766630299323,0.420639146021339
"majority-vote",0.922664073938516,0.403753617540465,0.561706859039134
"majority-vote",0.90392891359801,0.722797280811418,0.803278834558458
"majority-vote",0.828808367309849,0.544722403317201,0.657386780675208
"majority-vote",1,0.561987559707259,0.719580071191584
"majority-vote",0.85378310064278,0.694689452220639,0.766063451888754
"majority-vote",0.923314094273439,0.633857093889602,0.751682529181492
"majority-vote",0.996384391086467,0.727190910582442,0.840765903227691
"majority-vote",0.7457834483964,0.360642734815314,0.486180436599823
"majority-vote",0.93828836987432,0.725446291722673,0.818252855101865
"majority-vote",0.986983428395489,0.296804668774534,0.456370159836558
"majority-vote",1,0.835579072221527,0.910425581623416
"majority-vote",0.996928762029422,0.330730393958912,0.496685675277124
"majority-vote",0.810063450970181,0.692657496447655,0.74677407389163
"majority-vote",0.974709734517683,0.923242041594472,0.948278050669433
"majority-vote",0.997999775512947,0.920961186455122,0.957934085741597
"majority-vote",0.933572375646443,0.537578044079078,0.682279670354727
"majority-vote",0.954879334394775,0.850675152669092,0.899770269340095
"majority-vote",0.874904754016896,0.68593516917079,0.768980766751882
"majority-vote",0.94247553270767,0.549420550268523,0.694170903327093
"majority-vote",0.850219777954047,0.421639845976814,0.563720287172939
"majority-vote",0.905396227645457,0.693788360550985,0.785592068687478
"majority-vote",1,0.412058302808398,0.583627888436147
"majority-vote",0.699946778869076,0.796032112298632,0.744903709764058
"majority-vote",0.867958455730388,0.676466221738881,0.760340838552721
"majority-vote",0.893742879677504,0.373616688511777,0.526949515303171
"majority-vote",0.760255688904982,0.644593024640417,0.69766304269817
"majority-vote",0.880143175757522,0.958976672353102,0.917870333191544
"majority-vote",0.999802976815773,0.695449443504917,0.820305478413129
"majority-vote",0.821385563634006,0.729991863742129,0.772996651707363
"majority-vote",0.967146221296523,0.375071931364061,0.540522269668441
"majority-vote",0.889956392553564,0.992588681566097,0.938474891762312
"majority-vote",0.904525852157921,0.304908390700308,0.456076919529764
"majority-vote",0.716827421588559,0.703233950087818,0.709965624401012
"majority-vote",0.967124097319192,0.858456658318041,0.909556170768996
"majority-vote",1,0.501114472035538,0.667656572994087
"majority-vote",0.953819914673131,0.473090002209992,0.632475337372831
"majority-vote",0.944307172117823,0.558019308743104,0.701500828400991
"majority-vote",0.93521012134371,0.413326358765576,0.573283703981641
"majority-vote",1,0.674062551867737,0.80530151172152
"majority-vote",1,0.354873875380659,0.523847838280822
"majority-vote",0.813115144428861,0.921118949874168,0.863753942358169
"majority-vote",0.9939250787968,0.506893148238452,0.671385519217348
"majority-vote",0.829065780443564,0.402344980849633,0.541769596369849
"majority-vote",0.909114012404482,0.679733416103275,0.777865970251701
"majority-vote",0.986280123481378,0.724580508924487,0.835415042322056
"majority-vote",0.835710764895741,0.619172893160751,0.711327602424672
"majority-vote",0.933648890027539,0.614090558023542,0.740880473902801
"majority-vote",0.955442076167134,0.934009223408719,0.944604088788321
"majority-vote",0.864531252861446,0.731597635177901,0.792528754877382
"majority-vote",0.854548830100734,0.423550314898189,0.56637926330097
"majority-vote",0.997509506260711,0.488256908570246,0.655608987973658
"majority-vote",0.884573032169143,0.544391962395023,0.673990546578994
"majority-vote",0.966478906526963,0.445066656129169,0.609470280701268
"majority-vote",0.99955217614405,0.833230876827977,0.908844868260064
"majority-vote",0.982328300615176,0.915888932759184,0.947945896866842
"majority-vote",0.949487726025549,0.341868478799948,0.502727169037671
"majority-vote",0.665656675149013,0.467847788741639,0.549492328350672
