"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.683059829847268,0.715768013336747,0.699031520972662
"majority-vote",0.560163815182526,0.173223921030733,0.264617930445556
"majority-vote",0.526598464470312,0.758224866816577,0.621533001255346
"majority-vote",0.971722799020849,0.735696002267038,0.837395696957465
"majority-vote",1,0.68232274462941,0.811167472837937
"majority-vote",0.606602332967029,0.408529626711609,0.488241991174946
"majority-vote",1,0.725732774888172,0.841072019316779
"majority-vote",0.826148077158054,0.506330319955697,0.627858314467685
"majority-vote",0.684732160549226,0.681235138723841,0.682979173262299
"majority-vote",0.268559347969902,0.977093375477013,0.421317362190153
"majority-vote",0.656032917844378,0.554773172835473,0.601168867779127
"majority-vote",0.616069244809227,0.688502974026341,0.650275241390492
"majority-vote",0.933584256861929,0.860427749448011,0.895514409297688
"majority-vote",0.755645321644202,0.660245156633858,0.704731292995728
"majority-vote",0.347731083208082,0.915146896704638,0.503967963251068
"majority-vote",0.79907819710704,0.792156398788796,0.795602243193553
"majority-vote",0.941184025151433,0.463973574606106,0.621545250991097
"majority-vote",0.685930217074186,0.830925523173861,0.75149786411452
"majority-vote",0.800274114864702,0.481900228183278,0.601559812288397
"majority-vote",0.919922441330013,0.607689709053314,0.731897033658932
"majority-vote",1,0.599835206285631,0.749871241649045
"majority-vote",0.787507895413504,0.958948173921985,0.864813345741086
"majority-vote",0.590427450983304,0.587659447642009,0.589040197497147
"majority-vote",0.997763857388797,0.772194622326862,0.870605603303768
"majority-vote",0.518205385236426,0.466286763328804,0.490877072353694
"majority-vote",1,0.460972648959493,0.631048978620919
"majority-vote",0.654895659562207,0.805969170074354,0.722620875682199
"majority-vote",0.253246663508679,0.914583835353065,0.396659112821398
"majority-vote",0.972592106909273,0.946387676128037,0.959310975565856
"majority-vote",0.737806213529556,0.534579099451984,0.619962800850768
"majority-vote",0.662577396522007,0.960261208409403,0.784116633059601
"majority-vote",0.475640646921184,0.772568990925988,0.588787657927498
"majority-vote",0.311469130871212,0.590423893736339,0.407806274159124
"majority-vote",0.814323972352613,0.519342940351158,0.63421143941055
"majority-vote",0.549356563755217,0.262046130597416,0.354834320497792
"majority-vote",0.901280844716103,0.880711095955792,0.890877250785537
"majority-vote",0.938944194531393,0.786475863200779,0.855973526657662
"majority-vote",0.999983292312729,0.638902137267328,0.779665803550319
"majority-vote",0.99636134254584,0.0453059617134218,0.0866708759189011
"majority-vote",0.966166235852763,0.379503230818807,0.544952853721335
"majority-vote",0.840084709212302,0.922020735403745,0.879147753337932
"majority-vote",0.70220555402302,0.776290119974134,0.737391719659618
"majority-vote",0.861060316686841,0.67110994283718,0.754310607870156
