"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.740764934069053,0.702191226609988,0.720962496100829
"majority-vote",0.947014708157255,0.105330016246082,0.189574903132695
"majority-vote",0.749353715726043,0.80173009223762,0.774657591734358
"majority-vote",0.935762906007663,0.720213121800014,0.813959516905161
"majority-vote",1,0.695260762971947,0.820240494156299
"majority-vote",0.885434537190831,0.439641986206968,0.587549762920313
"majority-vote",1,0.706717356130404,0.82815980465884
"majority-vote",0.857955875103527,0.415071611156021,0.559474373057471
"majority-vote",0.89864006542462,0.692743010997886,0.782371804688352
"majority-vote",0.710274849547932,0.966176692895915,0.818694710594477
"majority-vote",0.6874761266895,0.811996509661959,0.744566058512527
"majority-vote",0.839222746282439,0.75023480625811,0.7922377209234
"majority-vote",0.920060579222261,0.794228787090925,0.852526548020797
"majority-vote",0.977632250977869,0.566466109670269,0.717306036989981
"majority-vote",0.766258842054055,0.873091469159376,0.816194139335771
"majority-vote",0.914247065917618,0.828681641463013,0.869364026284182
"majority-vote",0.959181271882872,0.464211843570285,0.625636448153092
"majority-vote",0.946202177616866,0.773294198366705,0.851054604886304
"majority-vote",0.880827405782389,0.517570529996121,0.652017992277854
"majority-vote",0.991545289442937,0.643672441403833,0.780605989255888
"majority-vote",1,0.442539839850501,0.613556489221628
"majority-vote",0.853322762702829,0.993282240023988,0.917998536719349
"majority-vote",0.940638266853434,0.518128391307551,0.668196505973758
"majority-vote",0.995677429876099,0.647240224968008,0.784509779669662
"majority-vote",0.935277209198328,0.52990679245831,0.67651536656867
"majority-vote",1,0.453945372650074,0.624432500957966
"majority-vote",0.988015088573748,0.762636058752662,0.860817912567883
"majority-vote",0.242893799509678,0.918609035848907,0.384199559723638
"majority-vote",0.967730099141708,0.878570335991135,0.92099740884315
"majority-vote",0.98865488646441,0.569441828266689,0.722652760576869
"majority-vote",0.916207061897657,0.909360024701701,0.912770702928403
"majority-vote",0.906597868380985,0.749469417910161,0.820579432150724
"majority-vote",0.737879114835421,0.52054460217573,0.6104446143117
"majority-vote",0.979926540391129,0.570891938764753,0.721466980191557
"majority-vote",0.926417880176264,0.208965365317674,0.341011286781212
"majority-vote",0.89122190581656,0.778580978531776,0.831102197778765
"majority-vote",0.944645678340601,0.769419005348697,0.848075740842368
"majority-vote",0.999760221902474,0.570994444888778,0.726857662747851
"majority-vote",0.999294581698773,0.0461559466081362,0.088236384429179
"majority-vote",0.969720345645088,0.292610190807435,0.44956538271897
"majority-vote",0.867116309052725,0.965135755828023,0.913504173764297
"majority-vote",0.889638653672563,0.743582184435809,0.810079614490544
"majority-vote",0.831625983156565,0.676153232954664,0.745873919884211
"majority-vote",0.896543967580801,0.670858935792757,0.767453640270983
"majority-vote",0.672262694161803,0.76102947269354,0.71389732739833
"majority-vote",0.935920855769573,0.668991044981488,0.780257995505229
"majority-vote",0.797008970506397,0.381509047610435,0.516014398762845
"majority-vote",0.788660692075818,0.986899170436135,0.876713423408977
"majority-vote",0.960623760947339,0.366520896199758,0.530595786792481
"majority-vote",0.999466880007421,0.671696127675989,0.803438120584066
"majority-vote",0.986588205260593,0.668670498904925,0.797098877372039
"majority-vote",0.954503421408158,0.737070848521729,0.831812896708774
"majority-vote",1,0.495773228282694,0.662898919312648
"majority-vote",0.920537609924319,0.599277474471657,0.72595338695545
"majority-vote",0.912810228561001,0.450819134595776,0.60355449715075
"majority-vote",1,1,1
"majority-vote",0.91326390675186,0.712198253865959,0.800295418086214
"majority-vote",1,0.892614486620388,0.943260756937685
"majority-vote",0.881533292725194,0.426982304186892,0.575307038652823
"majority-vote",0.999426348496099,0.304154251620718,0.466376644527569
"majority-vote",1,0.469853252785901,0.639319948294648
"majority-vote",0.985653022976253,0.954583928923953,0.969869720610122
"majority-vote",0.907035384177589,0.615154007051534,0.733110418886615
"majority-vote",0.760231984119093,0.837222890057302,0.79687211094002
"majority-vote",0.98733104666526,0.439683618470422,0.608421620088529
"majority-vote",0.96572627540861,0.745867642663134,0.841676256139485
"majority-vote",0.927611782893738,0.872118536431077,0.899009614703838
"majority-vote",1,0.236323228882749,0.382300070664064
"majority-vote",0.775894566621072,0.743136773846254,0.759162460606287
"majority-vote",0.983297345086163,0.725131873593806,0.834708559589101
"majority-vote",0.940637638029924,0.379259852599554,0.540566361375055
"majority-vote",1,0.225484686740079,0.367992663115021
"majority-vote",0.999417988668601,0.402553711589542,0.573933725900204
"majority-vote",0.976876056949374,0.545528378715893,0.700094664820247
"majority-vote",0.923180652911767,0.526490035031027,0.670559759997938
"majority-vote",0.856163240382478,0.716671723368317,0.780231873160129
"majority-vote",0.932227975469134,0.65887423679193,0.772069815653719
"majority-vote",0.997274528574674,0.997248937109165,0.997261732677739
"majority-vote",0.981308863595503,0.907499200899148,0.942961888281044
"majority-vote",0.953406137115673,0.339643481180567,0.500859634165557
"majority-vote",0.966230788859435,0.559280580943845,0.708476026617645
"majority-vote",0.890553309502703,0.632738272379128,0.739828368013613
"majority-vote",0.96626950352464,0.668971218893348,0.790594899809643
"majority-vote",0.77643908322525,0.393126246415837,0.521969272896568
"majority-vote",0.969209518136783,0.295142627957328,0.452492677942357
"majority-vote",1,0.831457244128821,0.907973414934209
"majority-vote",0.924661860419239,0.773264524277301,0.842213443478865
"majority-vote",1,0.520554625574005,0.684690463359706
"majority-vote",0.821404489763138,0.531644517613983,0.645497969911104
"majority-vote",1,0.505975341678221,0.671957007097308
"majority-vote",0.965131815521315,0.865773973828803,0.912756966582194
"majority-vote",0.96188789245235,0.625454476159038,0.758018055580287
"majority-vote",0.967157505460061,0.273410769257662,0.426306690167979
"majority-vote",0.841749943033214,0.729937709381931,0.781866580609543
"majority-vote",0.787355635513534,0.423253026271154,0.550550588315584
"majority-vote",0.958817017008028,0.746595056042429,0.839501556086808
"majority-vote",0.997189807190366,0.323272305078521,0.488259139851174
"majority-vote",0.417319306650159,0.965765663795347,0.582802453665279
"majority-vote",0.97712032524294,0.747232820026085,0.846852488586003
"majority-vote",0.832546821285646,0.702797098935648,0.762189478228843
"majority-vote",0.952289509362703,0.908731351391945,0.930000679743729
"majority-vote",1,0.112415369878852,0.202110421921076
"majority-vote",0.719216066475885,0.525927335177884,0.607569198465643
"majority-vote",0.996257601739043,0.475977655225097,0.644185574326969
"majority-vote",0.991017504511924,0.989928701190097,0.990472803627167
"majority-vote",0.942473657302706,0.600960026707792,0.733933696188753
"majority-vote",0.988293993854544,0.85831358657116,0.918729210736237
"majority-vote",0.830645982227401,0.547460271756291,0.659957349223183
"majority-vote",0.989108909893392,0.664597616702211,0.795013400022483
"majority-vote",0.980026492207583,0.243455694973531,0.390022892450251
"majority-vote",0.922244271243865,0.676924356056141,0.780767704894577
"majority-vote",0.891488528266607,0.929143871685694,0.909926795479107
"majority-vote",0.594307468279597,0.983013628563299,0.740765265924777
"majority-vote",0.961612488750046,0.201635199808964,0.333368255471199
"majority-vote",0.941260841113402,0.661000561068109,0.776619774077185
"majority-vote",0.98216062495242,0.644869910873101,0.778554330395256
"majority-vote",0.856919393938445,0.72476353423504,0.785320391897478
"majority-vote",0.466283532532654,0.908263299324182,0.616215046098557
"majority-vote",0.99431726466337,0.488447133474818,0.655089127172424
"majority-vote",0.937523667233247,0.911865676698831,0.924516685518668
"majority-vote",0.980848203034907,0.894965179920798,0.935940639383801
"majority-vote",0.907390510948905,0.815617186804277,0.859059767217659
"majority-vote",0.934557865362951,0.748125563394872,0.831013864641075
"majority-vote",0.999695889465485,0.901970921859506,0.94832240603924
"majority-vote",0.66628490212529,0.865322824750012,0.75287101713908
"majority-vote",0.90111982207954,0.611717789176841,0.728737864850066
"majority-vote",1,0.551285456452315,0.710746631652266
"majority-vote",0.9547690186966,0.554029837616638,0.701180972104417
"majority-vote",0.994815789494133,0.303441195916787,0.465035961713629
"majority-vote",0.934747138991128,0.522164613136806,0.670036297667504
"majority-vote",0.989454901338021,0.446370242722774,0.615204750105407
"majority-vote",0.987845133173784,0.487829144523614,0.65312468140317
"majority-vote",0.964638139894647,0.432959318714346,0.597667188476916
"majority-vote",0.851644439462389,0.579156395375554,0.689453502809197
"majority-vote",0.767999828881475,0.697358768265335,0.730976589265701
"majority-vote",0.928939527848867,0.485191782076271,0.637442678476501
"majority-vote",0.862587809371918,0.809440856211542,0.835169670649157
"majority-vote",0.983403004842515,0.769423680360482,0.863352396048051
"majority-vote",0.874952819858411,0.651672442548348,0.746984417554823
"majority-vote",0.959576880643594,0.704624212835689,0.812571397564984
"majority-vote",0.953237805623567,0.387500221527732,0.551009747418848
"majority-vote",0.834903799041537,0.578554750988711,0.683483161984012
"majority-vote",0.972369135741231,0.243817184333013,0.389874973752837
"majority-vote",0.959822188300939,0.624609301670923,0.756755808701522
"majority-vote",0.826485968064612,0.354934572780133,0.4966029179991
"majority-vote",1,0.40126881866899,0.572722112021503
"majority-vote",0.990827414548253,0.237957938621613,0.383753352019474
"majority-vote",0.993636089329869,0.22627900044429,0.368614148613507
"majority-vote",0.717316377813915,0.518429793025184,0.601868231614473
"majority-vote",0.95303277169834,0.591560705578638,0.730000154939588
"majority-vote",0.836736477153263,0.891638757482682,0.863315624846383
"majority-vote",0.919128501574374,0.548219902633885,0.686796041343725
"majority-vote",0.912630683652249,0.823680233084169,0.865877011985134
"majority-vote",0.972309377414716,0.662072903195364,0.787746783535543
"majority-vote",0.974168327500578,0.660340069721047,0.78712643189259
"majority-vote",0.995432105593937,0.460668638913097,0.629852508412259
"majority-vote",0.963032449017977,0.510461691457064,0.667245507600418
"majority-vote",0.894437094909133,0.587139236821265,0.708919415142413
"majority-vote",0.934755299557109,0.546092068263099,0.689419403981424
"majority-vote",0.928701460049835,0.504012565033916,0.653413307660052
"majority-vote",1,0.582129208593438,0.735880742775704
"majority-vote",0.938320334654777,0.459907753766483,0.617268099529807
"majority-vote",1,0.651150641295267,0.788723481686036
"majority-vote",0.899484536082474,0.926210990572587,0.912652138328952
"majority-vote",0.994558345088013,0.446797241982983,0.616594447008719
"majority-vote",0.946805699577901,0.631214188667523,0.7574520396563
"majority-vote",0.96759975465525,0.698344918297912,0.811213460543053
"majority-vote",0.667489356346394,0.873302729737112,0.756650144082037
"majority-vote",0.81903451364006,0.419157093305857,0.554525041405064
"majority-vote",0.956152672291507,0.468769175526303,0.629108046246576
"majority-vote",0.947308449607633,0.117366285113502,0.208856414003663
"majority-vote",0.795396750391744,0.372916267158774,0.507768693167852
"majority-vote",0.88385149215903,0.871798683003585,0.877783715384673
"majority-vote",1,0.987588056347421,0.993755273577469
"majority-vote",0.992158211155133,0.301817644070916,0.462838394746005
"majority-vote",0.979923560949373,0.512132209719254,0.672696595516762
"majority-vote",0.99187694959241,0.803650665320046,0.887897867830257
"majority-vote",1,0.327740723067602,0.493681812079081
"majority-vote",0.898051991036311,0.609847622178728,0.726407602371689
"majority-vote",0.996612679822817,0.490832037740965,0.657731244327662
"majority-vote",0.902559374670223,0.459093665996405,0.608612149676421
"majority-vote",0.994111337372533,0.367328437093972,0.536439981706198
"majority-vote",0.984192960882939,0.76775989567078,0.862607554924503
"majority-vote",0.571946532436583,0.766060551566466,0.654922804734415
"majority-vote",0.955627479638464,0.360570603192997,0.523585592861203
"majority-vote",0.94883989304296,0.73975911669015,0.831355410150071
"majority-vote",0.765868490178163,0.50221962199058,0.606636368468046
"majority-vote",0.959991752648253,0.422106531398208,0.58638201574906
"majority-vote",0.959605055690105,0.667604716909443,0.787405376167836
"majority-vote",0.933703655104316,0.580232948623825,0.715704506526755
"majority-vote",0.959759195510922,0.684887218564449,0.799353344621106
"majority-vote",0.824217809064912,0.768751370863999,0.795518932309098
"majority-vote",0.851507435799349,0.60864083307554,0.709876121682187
"majority-vote",0.975989330905848,0.606671889771876,0.748240095911732
"majority-vote",0.699196831468957,0.911523768219555,0.791365716277556
"majority-vote",1,0.103750239656061,0.187995863427202
"majority-vote",0.891371159590929,0.212248218866581,0.342857228978056
"majority-vote",0.958395985710745,0.059370364137352,0.111814108744931
"majority-vote",0.948006147156874,0.661497137542269,0.779250789580052
"majority-vote",0.906944304739279,0.394329393694028,0.549668833286453
"majority-vote",1,0.509980911153217,0.675479944661989
"majority-vote",0.946085232312013,0.486212469785779,0.642322384175506
"majority-vote",0.918193497788427,0.62226029502584,0.741801356833717
"majority-vote",0.848878109873342,0.500248147407571,0.629518104102187
"majority-vote",0.705616908625945,0.757315040694092,0.73055250193814
"majority-vote",0.899135111147163,0.963240217213463,0.930084378349259
"majority-vote",0.942667678006632,0.747388249276703,0.833746072116816
"majority-vote",0.999121846014728,0.355870703048889,0.524812027960563
"majority-vote",0.907224319984568,0.800391193013291,0.850465869249842
"majority-vote",0.863038416312929,0.652407890567625,0.743085479319355
"majority-vote",0.92194257638915,0.672360348559652,0.777615875016849
"majority-vote",0.98901078167597,0.641461558644159,0.778194614948432
"majority-vote",0.958564505874389,0.708149041123387,0.814544931146189
"majority-vote",0.897190415837911,0.582415890512778,0.70632025932433
"majority-vote",0.868699303071927,0.710868522476183,0.781898668816639
"majority-vote",0.853415812084798,0.756644436256028,0.802121941327739
"majority-vote",0.681800921112922,0.985797507197682,0.806090527584756
"majority-vote",0.928571192605131,0.884001805747297,0.905738540488015
"majority-vote",0.952938735476083,0.470013493815687,0.62952790014088
"majority-vote",0.927088292365527,0.272775782736977,0.421526470979123
"majority-vote",0.93329887949544,0.432057563971077,0.590671897087839
"majority-vote",0.961442373070275,0.874033124457654,0.915656441562285
"majority-vote",0.913119038822064,0.856450680000414,0.883877491123519
"majority-vote",0.800597586635204,0.908187309541811,0.851005377983599
"majority-vote",0.911932927334309,0.640705939543064,0.752629417532327
"majority-vote",0.916248218397106,0.923986524829839,0.920101101573287
"majority-vote",0.844077340983826,0.429357298868703,0.569186286942943
