"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.980979020979021,0.605044391334714,0.748457872755496
"majority-vote",0.956508607671398,0.0784691937828469,0.145039747103496
"majority-vote",0.845214148017769,0.589765307531463,0.694752778526509
"majority-vote",1,0.653554531770761,0.790484400984202
"majority-vote",1,0.548288312425718,0.70825092203494
"majority-vote",0.914339183017244,0.538507020158748,0.677811688236013
"majority-vote",1,0.503791365329827,0.670028272464951
"majority-vote",0.952570344677884,0.463867245824999,0.623911967887583
"majority-vote",0.997361477572559,0.751199583527411,0.856953232285155
"majority-vote",0.945987654320988,0.949660633484163,0.947820585548418
"majority-vote",0.921954095436556,0.762746005956259,0.834827282776168
"majority-vote",0.873343063186813,0.359044712814727,0.508880752335945
"majority-vote",0.932478440315406,0.663241273757521,0.775146390750114
"majority-vote",0.894464661942157,0.6314393842249,0.740282741587087
"majority-vote",0.653903015966883,0.727560781187724,0.688768232794493
"majority-vote",0.89130303030303,0.764661275219367,0.823139616579354
"majority-vote",0.993589743589744,0.665648969850238,0.797211376418621
"majority-vote",0.995334040296925,0.641374858107673,0.780080354530299
"majority-vote",0.998058252427184,0.4684303323091,0.637605725287495
"majority-vote",0.974662219077462,0.704776318573287,0.818033926474937
"majority-vote",1,0.665711165711166,0.799311644677538
"majority-vote",0.88870786409802,0.976190476190476,0.930397260060684
"majority-vote",1,0.504922576073305,0.671027977254174
"majority-vote",1,0.553158879124016,0.712301731083685
"majority-vote",0.740636783934316,0.317943142666695,0.444898643439675
"majority-vote",1,0.394642534251667,0.565940769135402
"majority-vote",0.978448275862069,0.58398423931094,0.731421506574497
"majority-vote",0.389362451501778,0.869464405248725,0.537860771726888
"majority-vote",0.996151026392962,0.893556291311143,0.942068656230774
"majority-vote",0.958863287250384,0.718803138045044,0.821657904622359
"majority-vote",0.810265184120872,0.872086475740949,0.840039957987857
"majority-vote",0.96078431372549,0.612962850052052,0.748436730856887
"majority-vote",0.577272591652291,0.562294268328737,0.569684993392599
"majority-vote",0.969228210246174,0.418692796386109,0.584772285663358
"majority-vote",0.939528814528815,0.131490052515007,0.230693775736635
"majority-vote",0.975440208237636,0.826662465796973,0.894909950911877
"majority-vote",0.920566404019642,0.712927597580747,0.803550174274621
"majority-vote",1,0.72789341745921,0.842521199634576
"majority-vote",0.997041792547835,0.0931551116333725,0.170390393022972
"majority-vote",1,0.385777379852273,0.556766744011073
"majority-vote",0.811931003711826,0.908302069316115,0.857417081878629
"majority-vote",0.905874812642555,0.673694027047842,0.77272029581185
"majority-vote",0.853217981745589,0.674340890745371,0.75330618566872
"majority-vote",0.922839506172839,0.451539788279984,0.60638101420116
"majority-vote",0.969875219917503,0.612260591771144,0.750651583389754
"majority-vote",0.98943661971831,0.625282002650424,0.766296867457383
"majority-vote",0.98672971323978,0.245380987888192,0.393024281976855
"majority-vote",0.823589950114336,0.949815821744523,0.88221069048222
"majority-vote",1,0.437935902277911,0.609117418355232
"majority-vote",1,0.571917370936979,0.727668491373785
"majority-vote",0.98447399189711,0.375785860828027,0.543942255983959
"majority-vote",0.976473922902494,0.553522370486656,0.70653786922073
"majority-vote",1,0.475609578114924,0.644627935693546
"majority-vote",0.926474840948525,0.432857185150434,0.590041702933408
"majority-vote",0.969982078853047,0.63737293172777,0.769264185263668
"majority-vote",1,1,1
"majority-vote",0.964228563867325,0.69278135884751,0.80627106157716
