"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.407078018916358,0.578614708557332
"majority-vote",1,0.214509274881218,0.353244358553289
"majority-vote",1,0.228253808525507,0.371672054979452
"majority-vote",1,0.349137791463935,0.517571731624372
"majority-vote",1,0.379568852164611,0.550271704915705
"majority-vote",0.97050606334426,0.273419900184134,0.426642225900653
"majority-vote",1,0.171712316954378,0.293096376080962
"majority-vote",0.986728216964801,0.303264578065909,0.463940136001199
"majority-vote",1,0.331978755818066,0.49847455054067
"majority-vote",0.927219653918984,0.502799475299868,0.652027019712464
"majority-vote",0.816652640032564,0.226189418191415,0.354259178668023
"majority-vote",1,0.329284810485043,0.495431540160141
"majority-vote",0.992372517188694,0.725335755918106,0.838097226609399
"majority-vote",0.998467502188017,0.144530967991187,0.252510354762507
"majority-vote",1,0.629360222551784,0.772524348932646
"majority-vote",1,0.0951021571098172,0.173686366139228
"majority-vote",1,0.724432867830454,0.840198399537441
"majority-vote",0.965209694989107,0.680451277539813,0.798193772609029
"majority-vote",1,0.419772822568968,0.591323929992437
"majority-vote",1,0.255246620205444,0.406687604008316
"majority-vote",0.977869986168741,0.345902011446838,0.511035428696968
"majority-vote",1,0.313038253910213,0.476815131589637
"majority-vote",1,0.0339110721460838,0.0655976573994798
"majority-vote",0.815179422038742,0.6622509509184,0.730800391403526
"majority-vote",0.979935217361287,0.302928785856652,0.462793538315532
"majority-vote",1,0.575805570007906,0.73080788768251
"majority-vote",0.978493815656983,0.349273487932084,0.514791932277104
"majority-vote",0.976668031109292,0.343677602800246,0.508441000663429
"majority-vote",0.964143426294821,0.154683200210092,0.266594997129612
"majority-vote",1,0.15931497572742,0.274843298090679
"majority-vote",0.887597669250481,0.314980566846863,0.46496104552792
"majority-vote",1,0.136270866949402,0.239856307000557
"majority-vote",0.897973233296217,0.411810880245359,0.56466580074877
"majority-vote",0.883804460262397,0.379247140962165,0.530746826810808
"majority-vote",0.981817163029165,0.180120003830831,0.304396685483247
"majority-vote",0.968754130280859,0.126901010048743,0.224406153170696
"majority-vote",1,0.189087378762437,0.318037819826551
"majority-vote",1,0.310530388498562,0.473900324973506
"majority-vote",1,0.18930238084385,0.318341884945247
"majority-vote",1,0.149923408858668,0.260753729689651
"majority-vote",1,0.267867496321082,0.422548092917189
"majority-vote",1,0.339395412093348,0.506788972142148
"majority-vote",1,0.303221542130678,0.465341513055304
"majority-vote",1,0.109523348971574,0.197424144472655
"majority-vote",0.829646017699115,0.697787578958237,0.758025340478976
"majority-vote",1,0.426330292605867,0.597800235774244
"majority-vote",1,0.302071470277636,0.463986005642572
"majority-vote",1,0.0300501414425523,0.0583469488203128
"majority-vote",1,0.523138124395394,0.686921449888929
"majority-vote",1,0.27718854638461,0.434060495091753
"majority-vote",1,0.290657660094894,0.450402409688598
"majority-vote",0.988772156449561,0.0777919069030099,0.144236008291957
"majority-vote",1,0.109197133102347,0.196894005300808
"majority-vote",1,0.324499917932657,0.489996131429214
"majority-vote",1,0.715901604725627,0.834432000942268
"majority-vote",1,0.391036434488151,0.562223137788677
"majority-vote",0.982560296846011,0.68726271006426,0.808800752675484
"majority-vote",0.95042194092827,0.616736642251632,0.748054527297436
"majority-vote",0.998247628557164,0.11289413906298,0.202847755132086
"majority-vote",1,0.649686750171136,0.787648624932871
"majority-vote",1,0.310493659271984,0.473857552953704
"majority-vote",0.995522388059702,0.519782784328523,0.682971863563967
"majority-vote",0.996430696014277,0.39758421113606,0.568380022616024
"majority-vote",1,0.249916180304742,0.399892703595228
"majority-vote",1,0.120293424851876,0.214753424742774
"majority-vote",1,0.318217505484779,0.482799696045234
"majority-vote",1,0.74238602260554,0.852148735095322
"majority-vote",1,0.561310181812185,0.719024558157537
"majority-vote",1,0.143130160825046,0.250417958916845
"majority-vote",1,0.1407524663185,0.246771268043354
"majority-vote",1,0.361276325141211,0.530790580088483
"majority-vote",1,0.488392968236193,0.656268846546566
"majority-vote",1,0.702479663559248,0.825242942509664
"majority-vote",0.902439024390244,0.46995394009106,0.618051514661353
"majority-vote",1,0.493252361673414,0.660641662901039
"majority-vote",1,0.595579309510692,0.746536766879153
"majority-vote",1,0.273910582908885,0.430031097290093
"majority-vote",1,0.606622979836211,0.755152873386704
"majority-vote",1,0.644915180569355,0.784131836324996
"majority-vote",1,0.275982638187173,0.432580553884761
"majority-vote",1,0.258783771767306,0.4111647728092
"majority-vote",1,0.425672841628645,0.597153609438712
"majority-vote",1,0.457039916973105,0.627354009521678
