"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.961946680781124,0.428128499216378,0.592538870839689
"majority-vote",0.975349719985405,0.178665289616213,0.302008446594541
"majority-vote",0.962911186556732,0.168790943400344,0.287232273028981
"majority-vote",0.958680722948338,0.451904801017546,0.614258992429308
"majority-vote",0.96342485414261,0.345056644672454,0.508125102059976
"majority-vote",0.914907536100206,0.214798519079982,0.347914898655818
"majority-vote",0.973449559789965,0.154974656575265,0.26738173292262
"majority-vote",0.948985306274834,0.417699000577735,0.58007575269058
"majority-vote",0.963851980365606,0.423879266163571,0.588812669815586
"majority-vote",0.958511319974018,0.401170441646236,0.565612366674207
"majority-vote",0.994932519778686,0.323125416815199,0.487820719000062
"majority-vote",0.871359700767933,0.868268647158926,0.869811427798588
"majority-vote",0.879709472838619,0.716586891545053,0.789813584330947
"majority-vote",0.999702798021825,0.152302779648322,0.264334683637312
"majority-vote",0.821869221719176,0.483081191916042,0.608497547613627
"majority-vote",0.953430265225233,0.175376087490788,0.296257846544156
"majority-vote",0.763845882882094,0.738611815118573,0.751016943474893
"majority-vote",0.660462382983277,0.569947645210226,0.611875669582974
"majority-vote",1,0.375123791978096,0.545585487163284
"majority-vote",0.997996322922286,0.246788167034936,0.395721002677438
"majority-vote",0.70047484981222,0.405837059542786,0.513921347004578
"majority-vote",1,0.248229341182385,0.39773034168104
"majority-vote",1,0.0341935704165887,0.0661260549179687
"majority-vote",0.920151735821163,0.543352515850123,0.683246065122581
"majority-vote",1,0.261326122497354,0.414367256550499
"majority-vote",0.863591428898708,0.699743708645833,0.773081413831037
"majority-vote",0.924989509996694,0.493069159631434,0.64325096010529
"majority-vote",0.910496270636489,0.268709394769266,0.41495543822412
"majority-vote",0.956410719129122,0.196613468186259,0.326173952926898
"majority-vote",0.974607850277386,0.188123147326396,0.315371821308703
"majority-vote",0.988316498842005,0.271617672929708,0.426124211165758
"majority-vote",0.954271940566949,0.179493936367875,0.302154140395988
"majority-vote",0.94595721540104,0.295845849032372,0.450727693551485
"majority-vote",0.927208711757587,0.320524458411653,0.476372797126739
"majority-vote",0.999696015633482,0.22681455434234,0.369740973807003
"majority-vote",0.983930916165625,0.170356803124029,0.290429019683282
"majority-vote",0.990886710003571,0.234243453889172,0.378912759157949
"majority-vote",0.959564804399766,0.443316881093238,0.606453531601784
"majority-vote",0.994620226045723,0.254758904475573,0.40562284572647
"majority-vote",0.986408055853315,0.172191454834391,0.293200604058477
"majority-vote",0.989386546615071,0.286851211265625,0.444755262182076
"majority-vote",0.931326281204261,0.463884911851546,0.619301525119267
"majority-vote",0.96668811438297,0.44398641673796,0.608498108585016
"majority-vote",0.993288062972317,0.130920035921586,0.231347397359555
"majority-vote",0.94867672189583,0.858091412289293,0.901113244909777
"majority-vote",0.928598114837812,0.633994938936421,0.753525050800763
"majority-vote",0.944341553757676,0.559727493121955,0.702858597658485
"majority-vote",1,0.0284644779034242,0.0553533515546408
"majority-vote",0.920141780144598,0.446630609282457,0.601363456082838
"majority-vote",0.855626276905197,0.20859939947335,0.335423456692762
"majority-vote",0.9729525945083,0.126585125050567,0.224023830475809
"majority-vote",0.988273724126357,0.0948848715128848,0.173145882257341
"majority-vote",0.997991227173541,0.138744872754714,0.243620600829432
"majority-vote",0.905292638630898,0.36368506313764,0.518908110015904
"majority-vote",0.897685210761836,0.692801203738389,0.782046786346645
"majority-vote",0.995658402203857,0.384132197852286,0.554380426034358
"majority-vote",0.934853926989043,0.650396705226524,0.767103827780174
"majority-vote",0.832588015588482,0.635380081934964,0.720737518008942
"majority-vote",0.999557067185724,0.119297374863154,0.213154686900659
"majority-vote",0.975205838777478,0.52235932273466,0.680314786378076
"majority-vote",0.977492517315526,0.259410553605073,0.410010907116447
"majority-vote",0.948601001780957,0.640702021034467,0.764826556385356
"majority-vote",0.914554316060801,0.579154411314924,0.709198730416849
"majority-vote",0.930214353554241,0.327407731411653,0.484341639455244
"majority-vote",0.997790883652828,0.131817311182122,0.232870320889213
"majority-vote",0.892319954476933,0.572541195961846,0.6975267707302
"majority-vote",0.995087191289723,0.645497807562477,0.783045804710404
"majority-vote",0.874988552326948,0.55549049946288,0.679559518677678
"majority-vote",0.974061838732286,0.157523546368457,0.27119062730848
"majority-vote",0.993747326362211,0.16462629624243,0.282459715151275
"majority-vote",0.943633685901727,0.383250961250715,0.545109204430855
"majority-vote",0.926308419394364,0.665139954141864,0.77429434701441
"majority-vote",0.966196952151068,0.730856926667296,0.832208975587884
"majority-vote",0.932964172275462,0.540359123942393,0.684351770035222
"majority-vote",0.892434492200273,0.714006438763035,0.793311426923258
"majority-vote",0.911886262192098,0.674286969174634,0.775291136940557
"majority-vote",0.944913602702352,0.387861403103838,0.549973572672674
"majority-vote",1,0.627120019704184,0.77083437252305
"majority-vote",0.885558339666682,0.727373651696226,0.798709191413728
"majority-vote",0.971324868931566,0.225790667221628,0.366407558204061
"majority-vote",1,0.313648524804538,0.477522745060299
"majority-vote",0.969716429512962,0.329548854155462,0.491922538404832
"majority-vote",1,0.441926517992543,0.612966766999743
"majority-vote",0.602239382661542,0.549947973097742,0.574907068991556
"majority-vote",0.973166089425567,0.496393840903943,0.657439881147427
"majority-vote",0.999992060735374,0.181445980138701,0.307158790073848
"majority-vote",0.935723489729402,0.565328771156548,0.704827439224293
"majority-vote",0.954579576439746,0.24983702623711,0.39602463492173
"majority-vote",0.974973283490734,0.663591530782111,0.789695968115113
"majority-vote",0.962027311634467,0.466993860469262,0.628767238592648
"majority-vote",0.609177429590324,0.397574238815046,0.481138021367867
"majority-vote",0.993724545061492,0.491959042396491,0.658110219055194
"majority-vote",0.97374795874757,0.0351585891254573,0.0678667503259521
"majority-vote",0.923419713892033,0.221517102122356,0.357317986814475
"majority-vote",0.822317827675428,0.31474131473657,0.455239986312173
"majority-vote",0.901027526307494,0.113479901187414,0.201572727574788
"majority-vote",0.884241121654951,0.376925678772941,0.528547349748912
"majority-vote",0.998403796816837,0.398752203205585,0.569894433639688
"majority-vote",0.915106355146033,0.944208616473708,0.929429729451397
"majority-vote",0.917971042841906,0.825829532136405,0.869465932862567
"majority-vote",0.999960631471202,0.823689174915323,0.903305826151301
"majority-vote",0.87319281254352,0.877054706964505,0.875119499148483
"majority-vote",0.935383937088381,0.414324838364274,0.574276178078056
"majority-vote",0.934158938221225,0.291810209515086,0.444704690955825
"majority-vote",0.886670434812899,0.420471765373181,0.570435080401982
"majority-vote",0.895205620996074,0.313114287856076,0.463952747032391
"majority-vote",0.832287069820863,0.399517344509193,0.539879734373274
"majority-vote",0.95811710342431,0.478161223268606,0.637946612009127
"majority-vote",0.973516716658132,0.78148031364173,0.866991950339056
"majority-vote",0.907505576792219,0.291440854645213,0.441194358581188
"majority-vote",0.903784528685035,0.232659436236998,0.370056079162702
"majority-vote",0.989310497563856,0.402229622927633,0.571927438574909
"majority-vote",0.94877902713586,0.218105120535984,0.35467713652354
"majority-vote",0.855142194343724,0.327609995307404,0.473730901075307
"majority-vote",0.911723404384208,0.257350329888937,0.401398666323848
"majority-vote",0.911006135832542,0.419561554206711,0.57452642673215
"majority-vote",0.997833161435076,0.557358695470471,0.715218494342216
"majority-vote",0.969120862612876,0.497730352303313,0.657682065457959
"majority-vote",0.99994325609529,0.173974193798662,0.296382546897659
"majority-vote",0.971769491075638,0.294441969052763,0.451946189759958
"majority-vote",0.96689075077865,0.394132000183132,0.559994438437805
"majority-vote",0.993661787767904,0.463130708022432,0.631792501174466
"majority-vote",0.968245195479413,0.357134545975444,0.521803370709244
"majority-vote",1,0.228263839728906,0.371685353497481
"majority-vote",0.998649971812598,0.337146861619924,0.504106156605066
"majority-vote",0.952886903041352,0.56971324461578,0.713085822458252
"majority-vote",0.999979066810995,0.308800259409411,0.471880612795092
"majority-vote",0.921172468683776,0.281697673951344,0.43145495517541
"majority-vote",0.92440592814394,0.720897769092256,0.810065852831978
"majority-vote",0.97392395489549,0.591322388734885,0.735862494486585
"majority-vote",0.980104188127263,0.704915466051817,0.820038625471892
"majority-vote",0.997364184763899,0.2801487590816,0.43742858349908
"majority-vote",0.979450844859151,0.270559774678519,0.423996397713469
"majority-vote",0.970462981283441,0.403390441054753,0.569894114877228
"majority-vote",0.969131799777374,0.678059709882331,0.797878356148818
"majority-vote",0.998648587774224,0.301656338005934,0.463350818673592
"majority-vote",0.794177206513896,0.320744582176891,0.456943327974294
"majority-vote",0.987929427636157,0.180024798466205,0.304552682175825
"majority-vote",0.959417032554375,0.439479031284737,0.602823439087991
"majority-vote",1,0.173645856566098,0.295908438809912
"majority-vote",0.998041801349751,0.157184559622004,0.271594842931996
"majority-vote",1,0.117692912135062,0.210599728883027
"majority-vote",0.909822924615307,0.609675414502032,0.730105001642195
"majority-vote",0.794841783348448,0.737869237994738,0.765296644753986
"majority-vote",0.887914246794453,0.535631284064041,0.668183261918504
"majority-vote",0.985425397299227,0.180053854352592,0.304474988652421
"majority-vote",1,0.339443896512453,0.506843022535356
"majority-vote",0.981045816010924,0.87819185381477,0.92677386847549
"majority-vote",0.973879858433425,0.803578198952328,0.88057056467132
"majority-vote",0.950389350297903,0.752358995163243,0.839858665562619
"majority-vote",0.974414496617239,0.882562326238523,0.926216756472515
"majority-vote",0.946072878727561,0.789466700265781,0.860704120862762
"majority-vote",0.930016543042839,0.803158575768706,0.861944940294104
"majority-vote",0.975112531891784,0.117704942946223,0.210054409954386
"majority-vote",0.993893064448388,0.348121269281176,0.515635796771234
"majority-vote",1,0.231904216559747,0.376497155285936
"majority-vote",0.98368846662362,0.348707520184987,0.514891322440118
"majority-vote",0.919313499659345,0.322484965011559,0.47747648303119
"majority-vote",1,0.479505014930604,0.648196538831056
"majority-vote",0.982094245005635,0.349912498907172,0.515983951286615
"majority-vote",0.940534343535041,0.380256146003972,0.541560478349351
"majority-vote",0.91220267657417,0.31384016856503,0.467007891145934
"majority-vote",0.923079309572954,0.292567047260113,0.444311104904249
"majority-vote",0.974346803174849,0.20034211891579,0.332347908345753
"majority-vote",0.900663535564784,0.267098707508684,0.412012064401745
"majority-vote",0.97559716495318,0.0411280990590352,0.0789288085230982
"majority-vote",0.924688265572958,0.294576291840583,0.44681236524879
"majority-vote",0.954836193685416,0.0740966068076194,0.137521365778777
"majority-vote",1,0.179084484887322,0.30376870730249
"majority-vote",0.852129384423935,0.307786572816493,0.452229286425286
"majority-vote",0.958759040162765,0.16418975438635,0.280366143290129
"majority-vote",1,0.232505831233261,0.377289624667516
"majority-vote",0.998787690833729,0.354877356217317,0.52368514045278
"majority-vote",0.985741799204771,0.347573374995534,0.513933405474467
"majority-vote",0.919080424883065,0.621442922238737,0.741509080117295
"majority-vote",0.678491188784931,0.500135727199853,0.575818657285822
"majority-vote",0.972412623963778,0.513138780280426,0.671781032099561
"majority-vote",0.789368034075831,0.243859293775125,0.372608672127879
"majority-vote",0.946933458582875,0.202499950512574,0.333649565054202
"majority-vote",0.803485420514116,0.481935400400421,0.602492291319617
"majority-vote",0.900119772685788,0.364469397766428,0.518850104261335
"majority-vote",0.924728020407984,0.485114091157969,0.636381321721558
"majority-vote",0.959061358187482,0.382094309249993,0.546471816929618
"majority-vote",0.936656060911622,0.46195362197152,0.618745408637148
"majority-vote",0.974931959276384,0.58268458980489,0.729419354350987
"majority-vote",0.860568009282236,0.750800352251817,0.801945451989183
"majority-vote",0.832940391532527,0.287231493818115,0.427160717118771
"majority-vote",0.804892467425623,0.628108736106705,0.705596044400126
"majority-vote",1,0.311513367124713,0.475044135932304
"majority-vote",0.998419802316209,0.186655073171934,0.314511977449318
"majority-vote",0.834650148142887,0.549531776356594,0.662726149542964
"majority-vote",0.947000532620538,0.288605178955308,0.442389114305977
"majority-vote",0.971725050490981,0.615714322907839,0.753798906013811
"majority-vote",0.989236872184459,0.320371545847949,0.483997111789614
"majority-vote",0.999566451757269,0.215571881014488,0.354656608869841
"majority-vote",0.9551244433705,0.575891239139579,0.718539732164392
"majority-vote",0.919029503670771,0.626324142160481,0.744956168524319
"majority-vote",0.996719772152474,0.581248011732705,0.734287976896309
"majority-vote",0.929710913825607,0.279066237106144,0.429278343188133
"majority-vote",0.868574970493811,0.375906444136749,0.524721261058666
"majority-vote",0.930473551353606,0.573558286518193,0.709666913062198
"majority-vote",0.967809686718656,0.316201844384748,0.476667382715615
"majority-vote",0.99984692159324,0.435627794242441,0.606853055966493
"majority-vote",0.916980998189936,0.404005630544912,0.560892106419328
"majority-vote",0.968154310147726,0.288014113457753,0.443956558830163
"majority-vote",0.959895201397933,0.273078495272835,0.425194370204568
"majority-vote",0.920783896596319,0.322506712456043,0.477698432227501
"majority-vote",1,0.290835365478731,0.450615738081934
"majority-vote",0.812335543626987,0.253206259356208,0.386072970141604
"majority-vote",0.989990914949955,0.2622503135667,0.414657211344734
"majority-vote",0.791251275076478,0.517900560086331,0.626038122583649
"majority-vote",0.951954128696671,0.623198516962146,0.753268456685509
"majority-vote",0.967296659252472,0.417409920550507,0.583169355264844
"majority-vote",0.933358517932951,0.380051406355817,0.540157662607412
"majority-vote",0.826220947230535,0.421240631774678,0.557993672357278
"majority-vote",0.959492839006251,0.251497130532872,0.398532938912365
"majority-vote",0.95707600247195,0.384354698646227,0.548454211171711
"majority-vote",0.998767010685907,0.725349173976535,0.840378197990032
"majority-vote",0.889886364130646,0.31166955307971,0.46165223179001
"majority-vote",0.958428746541912,0.624078733425546,0.755933233545044
"majority-vote",0.992230530731351,0.286091319644221,0.444126871248923
"majority-vote",1,0.35082327933664,0.519421429439567
"majority-vote",0.966916501969279,0.22298770268207,0.362399743805743
"majority-vote",0.827631953573181,0.265953938281496,0.402550872574069
"majority-vote",0.950687530916186,0.385009811994099,0.548064319339983
"majority-vote",0.979767975420518,0.366511252295577,0.533464351581309
"majority-vote",0.980257371953416,0.412052427457063,0.580212004278229
"majority-vote",0.623199825023908,0.277416921854907,0.383928408521838
"majority-vote",0.542669262693013,0.332062701873945,0.412012430991916
"majority-vote",0.975304690141374,0.625327434624865,0.762054903718459
"majority-vote",0.681936558703046,0.248347513224982,0.3640979215738
"majority-vote",0.975173924669164,0.483435817930719,0.646415542318872
"majority-vote",0.964740738193106,0.556037946512734,0.705470775434803
"majority-vote",0.964137463291884,0.352567642217424,0.516324681637539
"majority-vote",0.418613201391536,0.199919026958684,0.270604311492302
"majority-vote",0.910548695663246,0.575771103963861,0.705457369062043
"majority-vote",0.904760669426568,0.245993073021679,0.386815787273274
"majority-vote",0.855251643912142,0.322474574513935,0.468354878507313
"majority-vote",0.913975275655345,0.509590631673543,0.654347277716317
"majority-vote",0.824784215497064,0.636507215552427,0.718516639847249
"majority-vote",0.968967921896792,0.0798731957402144,0.147581102972046
"majority-vote",0.971336914783178,0.079892681988239,0.147641792952836
"majority-vote",0.784390311003259,0.561452140846443,0.654456424326209
"majority-vote",0.970855119401722,0.331624178384196,0.494378731161384
"majority-vote",0.902112187281381,0.450174034344297,0.600623560730223
"majority-vote",0.925621202803079,0.765635465775035,0.838061346815202
"majority-vote",0.88622050567742,0.299273990365731,0.447446610613979
"majority-vote",0.9878824955281,0.373317905085431,0.541866169793796
"majority-vote",0.911881122396151,0.459186145836479,0.610798883112256
"majority-vote",0.901058983914373,0.680433422508401,0.775357056179122
"majority-vote",0.991644277695492,0.51786461791103,0.680403390092107
"majority-vote",0.9796943041404,0.253048820187825,0.402209483735807
"majority-vote",0.933399556751293,0.613431794939204,0.740322420886603
"majority-vote",0.9944250765606,0.96174121312829,0.977810101868883
"majority-vote",0.850086373820714,0.257493844086429,0.395261678859165
"majority-vote",0.892551646627185,0.410549955019915,0.562407471393744
"majority-vote",0.975539929939184,0.0397886583134998,0.0764588437528872
"majority-vote",0.978356833426773,0.0921998068010897,0.168518521365249
"majority-vote",0.965317359211963,0.145690355450834,0.253170931813261
"majority-vote",0.970658297936223,0.259775554049763,0.40986079297541
