"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.904371523098411,0.441553059563423,0.593388393599864
"majority-vote",0.983361247467823,0.189475806204796,0.317730693400363
"majority-vote",0.902645899123981,0.163816914785276,0.277306746019658
"majority-vote",0.969074518314456,0.471908651696501,0.6347258716807
"majority-vote",0.972671561557981,0.362565656136965,0.528231685349269
"majority-vote",0.939080009841846,0.245461026031403,0.389193005156514
"majority-vote",0.975241071074891,0.146964276707223,0.255435600817556
"majority-vote",0.896592755077757,0.459168500277738,0.607315114047849
"majority-vote",0.963362274253819,0.401981424991189,0.567261913614048
"majority-vote",0.833724335052443,0.47281336738051,0.603420796183953
"majority-vote",0.996180800645356,0.494213133761207,0.66066510861871
"majority-vote",0.959072108261818,0.870473128527249,0.912627336864413
"majority-vote",0.835670007716706,0.697392827751407,0.760295346368685
"majority-vote",0.999881185197924,0.152881230072329,0.265211744405111
"majority-vote",0.828500709028494,0.571424208729969,0.676358219049156
"majority-vote",0.953601718582004,0.172715176009775,0.292460300398511
"majority-vote",0.826461466432413,0.750076741734544,0.7864186490368
"majority-vote",0.730333711373313,0.59804092512128,0.657599801136721
"majority-vote",0.90763063706146,0.364002215445239,0.51961470175151
"majority-vote",0.969634003497906,0.279090394931858,0.433427163457174
"majority-vote",0.720954348183244,0.348142205576751,0.469545310971062
"majority-vote",1,0.243217538398012,0.391271086332031
"majority-vote",1,0.0383513413541318,0.073869681343344
"majority-vote",0.959949242234788,0.523875499063004,0.677834618003549
"majority-vote",0.996693811205378,0.212489848210159,0.35029801305354
"majority-vote",0.844854770826447,0.745984773698924,0.792347408250351
"majority-vote",0.921319732145831,0.548988048733111,0.688010399710585
"majority-vote",0.924260988212987,0.303297152086952,0.456720893792577
"majority-vote",0.978446911962025,0.179753308532894,0.303710993206013
"majority-vote",0.981512465631152,0.228734625975038,0.371008347424367
"majority-vote",0.971939504514747,0.276378848025796,0.43037662638197
"majority-vote",0.957971720771215,0.191874595210514,0.319713049633352
"majority-vote",0.970442140267872,0.260093387113368,0.410236970235184
"majority-vote",0.944827995323381,0.344358780820498,0.504752022864875
"majority-vote",0.984078561872632,0.248016619994113,0.396183415561339
"majority-vote",0.914099421516317,0.183518799596236,0.305669904747484
"majority-vote",0.989934483564726,0.30671448374285,0.46832604925644
"majority-vote",0.967458485938791,0.524432182298628,0.680165612489058
"majority-vote",0.997381900390561,0.300789890137759,0.46219212962835
"majority-vote",0.973292687472293,0.25075130851493,0.398767390309127
"majority-vote",0.987690517546371,0.330994282363721,0.495827227363207
"majority-vote",0.952650687655174,0.59943872924606,0.735854147840944
