"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.977272727272727,0.186155316486931,0.312738746182541
"majority-vote",0.983530961791831,0.196543931369082,0.32761826045802
"majority-vote",0.98,0.1891033972178,0.31703154693497
"majority-vote",0.9863606485539,0.507353048267831,0.670052209871355
"majority-vote",0.974293059125964,0.398278391508536,0.565420287981715
"majority-vote",0.917396289347509,0.249931503839388,0.39283950155479
"majority-vote",0.979715378079864,0.349890986521328,0.515631677574435
"majority-vote",0.912408759124088,0.343616966252574,0.499224058008009
"majority-vote",0.856948228882834,0.385040253339593,0.531340777907262
"majority-vote",0.936437493966897,0.288815708556063,0.441472599755878
"majority-vote",0.877783669141039,0.174091852620654,0.290557165747107
"majority-vote",0.993865030674847,0.272777415414239,0.428067028979086
"majority-vote",0.959026455026455,0.513397182929203,0.668776930325251
"majority-vote",0.996631986127784,0.250389140666604,0.400227103142788
"majority-vote",0.990277777777778,0.624778742530557,0.766170715360273
"majority-vote",0.989036130259092,0.143327329337415,0.250371744101949
"majority-vote",0.931034482758621,0.655137843454675,0.769091621554869
"majority-vote",0.94029799029799,0.740350769172309,0.82843049321942
"majority-vote",0.977639751552795,0.313955377682,0.475280915030297
"majority-vote",1,0.315899824921103,0.480127467058586
"majority-vote",0.781195775179178,0.355282061785742,0.488429842864655
"majority-vote",1,0.212400383252909,0.350379934198028
"majority-vote",1,0.0268411550462833,0.0522790792215052
"majority-vote",0.849630164171027,0.458554074465261,0.595636856128692
"majority-vote",0.976100966702471,0.172187752846301,0.29273584098892
"majority-vote",0.924157303370786,0.38257599914966,0.541136286993806
"majority-vote",0.9127064035441,0.366590800691668,0.523083721536815
"majority-vote",0.972483407079646,0.228977162426965,0.370676319659576
"majority-vote",0.99001996007984,0.105334895375137,0.190410711916716
"majority-vote",0.992072072072072,0.262403202380727,0.415030720821099
"majority-vote",0.839258904252216,0.296092670273677,0.437747065466956
"majority-vote",0.923694779116466,0.217539163662453,0.35214478328445
"majority-vote",0.881520431301772,0.264331492502496,0.406708068358132
"majority-vote",0.876558132583652,0.308793585783857,0.456700782922536
"majority-vote",0.983373441260118,0.158396062401839,0.272844003043656
"majority-vote",0.968700410816702,0.104457750832875,0.188580341203865
"majority-vote",1,0.226959357319889,0.369954156942326
"majority-vote",0.961538461538462,0.350484939414102,0.513717589475862
"majority-vote",0.962809917355372,0.244338250396906,0.389763737303999
"majority-vote",0.97841726618705,0.181000554419203,0.305487917273128
"majority-vote",0.935924369747899,0.266257178966252,0.414573959617635
"majority-vote",0.926,0.299816475212261,0.452971650586568
"majority-vote",0.951851851851852,0.36800888122894,0.530798327908514
"majority-vote",0.976470588235294,0.120429200593454,0.214414431549418
"majority-vote",0.824765539259703,0.500165188719261,0.622702761558296
"majority-vote",0.966747117189595,0.239337947160586,0.383686486618148
"majority-vote",0.977272727272727,0.320454940531192,0.482646523566694
"majority-vote",1,0.0160741207496091,0.0316396617556806
"majority-vote",0.943572910771553,0.471571866064819,0.628857832193665
"majority-vote",0.951612903225806,0.19574812443878,0.324704145437732
"majority-vote",0.976608187134503,0.233713554455313,0.377166769598885
"majority-vote",0.945222436099829,0.210277361229238,0.344022353092877
"majority-vote",0.984937888198758,0.126339219679553,0.223951853854771
"majority-vote",0.997549019607843,0.311131124706855,0.474323003629486
"majority-vote",0.994789227166276,0.690453924166549,0.81514186848627
"majority-vote",0.998324958123953,0.466626962160938,0.635987210239954
"majority-vote",0.97585886722377,0.663077728295256,0.789622103240183
"majority-vote",0.927461496149615,0.492606533386152,0.643453106421601
"majority-vote",0.995398773006135,0.192156355740171,0.322127699336403
"majority-vote",0.955284552845528,0.481908322291491,0.640637153351982
"majority-vote",1,0.367727966770633,0.537720914837886
"majority-vote",0.982919254658385,0.353009797324621,0.519458913418163
"majority-vote",0.964788732394366,0.403749562736307,0.569268730327999
"majority-vote",0.994413407821229,0.45426687125734,0.623642185278619
"majority-vote",0.998198198198198,0.150555157970069,0.261646917692495
"majority-vote",1,0.27842919761398,0.435580160612151
"majority-vote",0.975103734439834,0.40943687869373,0.57671609723034
"majority-vote",0.957781239031239,0.426550728641019,0.590237450160793
"majority-vote",0.96335733232285,0.154933746728244,0.266936871322544
"majority-vote",1,0.136322177200433,0.239935785705233
"majority-vote",1,0.447638009665782,0.618439149396372
"majority-vote",1,0.512575726635355,0.677752151656635
"majority-vote",1,0.586475354350358,0.739343794710902
"majority-vote",0.912133891213389,0.410365720171364,0.566062141626738
"majority-vote",1,0.529028852920479,0.691980209412035
"majority-vote",1,0.507557326628989,0.673350615148978
"majority-vote",1,0.187644675925926,0.315994640029236
"majority-vote",1,0.508782869140124,0.674428215678359
"majority-vote",0.968494199687174,0.683797162693033,0.80161840811991
"majority-vote",1,0.141984238637036,0.248662343722878
"majority-vote",0.995049504950495,0.120585512435219,0.215103600340617
"majority-vote",1,0.261067949453618,0.414042636745674
"majority-vote",1,0.56664125007408,0.723383544314674
"majority-vote",0.91025641025641,0.453895529757599,0.605740905289979
"majority-vote",1,0.470833333333333,0.640226628895184
