"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.79589904439387,0.380133346657388,0.514522847583154
"majority-vote",0.796183871384541,0.219970071949317,0.344704903469143
"majority-vote",0.813663793404528,0.178597976814811,0.292903972864722
"majority-vote",0.904007954700641,0.476397050412446,0.623971546862788
"majority-vote",0.864373226113904,0.373799838524151,0.521902117843965
"majority-vote",0.593450168748847,0.304584827485552,0.402558737749814
"majority-vote",0.914147592928108,0.167250663497595,0.282766854012327
"majority-vote",0.348257514652335,0.55602369458356,0.428272594820591
"majority-vote",0.692846421805127,0.34688100713108,0.462304365344724
"majority-vote",0.718706236330363,0.459364438047748,0.560489440156195
"majority-vote",0.967467245229225,0.588205363301319,0.731605633912541
"majority-vote",0.828131228063563,0.649513804060832,0.72802689753956
"majority-vote",0.483416913925312,0.65389857662082,0.555880289256236
"majority-vote",0.999884131416383,0.282695044878879,0.440771680421173
"majority-vote",0.442663919519591,0.581896406725259,0.502819673097144
"majority-vote",0.916569741549522,0.143294706090908,0.247842244391834
"majority-vote",0.847424436426601,0.771378756775868,0.807615417336879
"majority-vote",0.53543830103989,0.59253415705751,0.562541186330244
"majority-vote",0.254927639640475,0.533072176803443,0.344910820928302
"majority-vote",0.952861267505929,0.277213802375396,0.429479958693972
"majority-vote",0.490374471048595,0.282247761468293,0.358278835139886
"majority-vote",1,0.268287122756559,0.423070009846745
"majority-vote",1,0.0479330136504334,0.0914810642017291
"majority-vote",0.550329831829244,0.549218401175214,0.549773554781487
"majority-vote",0.975906837627316,0.22044052908738,0.359643738285356
"majority-vote",0.300862509147203,0.742360105785903,0.428189191684368
"majority-vote",0.698427245503568,0.584654040627551,0.636496402187107
"majority-vote",0.832226393924628,0.307595265638232,0.449173599330565
"majority-vote",0.888135016031902,0.294660948803772,0.442508622399927
"majority-vote",0.931192258004867,0.289148175837289,0.441274476021729
"majority-vote",0.804408179837088,0.259962104369161,0.392937770445487
"majority-vote",0.584788780741465,0.373345567534193,0.455736295492325
"majority-vote",0.78878067421296,0.325674983827711,0.461007365281
"majority-vote",0.699365263776899,0.315743658711994,0.435066902218885
"majority-vote",0.92466458594194,0.233262878551801,0.372544791665388
"majority-vote",0.944599947271879,0.194223517577254,0.322198356681626
"majority-vote",0.949044779640901,0.280691562794422,0.433245490381696
"majority-vote",0.708203964515101,0.502656292073978,0.587983917876758
"majority-vote",0.945337139275683,0.287238677474868,0.440601520755581
