"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.444677593773781,0.615608071572836
"majority-vote",1,0.229198141160729,0.372923019464213
"majority-vote",0.901430697837317,0.270436039239622,0.416053020124467
"majority-vote",1,0.332370746004618,0.498916306893256
"majority-vote",1,0.238246390582739,0.384812574290026
"majority-vote",0.963977559791345,0.231743113229716,0.37365777113347
"majority-vote",1,0.206291452147516,0.342025887326422
"majority-vote",0.986728216964801,0.274476197463687,0.429483763019257
"majority-vote",1,0.332809954299967,0.499410967371968
"majority-vote",0.800266396849166,0.248707167279167,0.379479512993164
"majority-vote",0.883100381194409,0.310858855325483,0.45984748095044
"majority-vote",1,0.471300461093774,0.640658347572876
"majority-vote",1,0.511440312638943,0.676758861547075
"majority-vote",1,0.147759922345838,0.257475312509327
"majority-vote",1,0.624030495778152,0.768496031817615
"majority-vote",1,0.107122373957678,0.193514965422915
"majority-vote",1,0.928243398842091,0.962786543855927
"majority-vote",1,0.695368181312786,0.820315243588371
"majority-vote",1,0.583540550666944,0.737007398290082
"majority-vote",1,0.204573298403976,0.339661021334326
"majority-vote",0.940390135925016,0.59234126579849,0.72684866093547
"majority-vote",1,0.298936649572806,0.460279028497841
"majority-vote",1,0.0299527243800301,0.058163299481653
"majority-vote",1,0.786506653538338,0.880496752677176
"majority-vote",1,0.325202269176778,0.490796426690086
"majority-vote",1,0.618254285937895,0.76410029166655
"majority-vote",0.907509628620292,0.333846022536717,0.488125187405036
"majority-vote",0.976668031109292,0.438422979985709,0.605181865051031
"majority-vote",0.964636542239686,0.175076439600842,0.29636431981578
"majority-vote",1,0.132414468519464,0.233862198339068
"majority-vote",0.931110296812019,0.404893967699885,0.564370866855233
"majority-vote",1,0.144736576117044,0.252873157260322
"majority-vote",0.929190195617914,0.392510195943979,0.551890016950384
"majority-vote",0.885213232363491,0.341807528377297,0.493182441115945
"majority-vote",0.977148218172539,0.170294135822617,0.290040908469036
"majority-vote",0.978635418302912,0.179200228435646,0.30293019740598
"majority-vote",1,0.223645498790952,0.365539691049295
"majority-vote",1,0.27804426048099,0.435108969350323
"majority-vote",1,0.179142415964521,0.303852042873015
"majority-vote",1,0.170496107582446,0.291322810008467
"majority-vote",0.981858054226475,0.190221457937189,0.318699317962742
"majority-vote",1,0.360286405853705,0.52972139441119
"majority-vote",1,0.267236990912458,0.421763242122592
"majority-vote",1,0.115451408707127,0.207003922906766
"majority-vote",0.977297863670761,0.761808938177507,0.856203019866201
"majority-vote",1,0.200730639385596,0.334347492770415
"majority-vote",1,0.289002496969033,0.448412625496995
"majority-vote",1,0.0366772313552031,0.0707592107666078
"majority-vote",1,0.347689632125337,0.51597878893974
"majority-vote",1,0.284516025049889,0.442993344577135
"majority-vote",1,0.582533052336998,0.736203331079556
"majority-vote",0.991248646697943,0.0874509314551684,0.160722446199207
"majority-vote",0.990736949846469,0.116777368910767,0.20892850291195
"majority-vote",1,0.411730556865795,0.583299064914886
"majority-vote",1,0.804919201564999,0.891917157141521
"majority-vote",1,0.447699093838769,0.618497442934269
"majority-vote",0.982663223902619,0.852839058442147,0.913159941777093
"majority-vote",0.95,0.724101130568055,0.821809461183789
"majority-vote",1,0.0783514458729906,0.145317087806305
"majority-vote",1,0.631416126900242,0.77407120904212
"majority-vote",1,0.332719489321957,0.499309107411993
"majority-vote",1,0.50913519878003,0.674737689759817
"majority-vote",1,0.440789138299204,0.611871822992139
"majority-vote",1,0.248326516555066,0.397855069586054
"majority-vote",1,0.104945595994441,0.189956132455536
"majority-vote",1,0.311768809886829,0.475341092938056
"majority-vote",1,0.591031299152612,0.742953704892414
"majority-vote",1,0.743746084091798,0.853044019283537
"majority-vote",0.947456821296918,0.588978250680197,0.726397712966019
"majority-vote",1,0.563293526712911,0.720649727114691
"majority-vote",1,0.390045670485576,0.561198353071844
"majority-vote",1,0.424207682326383,0.595710425650082
"majority-vote",1,0.741369075043898,0.851478397852229
"majority-vote",0.895220588235294,0.947768399799468,0.920745365151688
"majority-vote",1,0.506975269499049,0.672838207447928
"majority-vote",1,0.727592000069146,0.842319251351042
"majority-vote",1,0.309013393699302,0.472131752336045
"majority-vote",1,0.673617242272563,0.804983630973919
"majority-vote",1,0.432065833591366,0.603416160705157
"majority-vote",1,0.2765645226639,0.433295016043173
"majority-vote",0.998064516129032,0.355193131036587,0.523929291961357
"majority-vote",1,0.520172280301537,0.684359644024501
"majority-vote",1,0.427944598518141,0.599385436889139
"majority-vote",1,0.596645928072486,0.747374126701682
"majority-vote",0.711560311988679,0.570083564101861,0.6330133452817
"majority-vote",1,0.128187308253198,0.227244726678717
