"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.929441241446199,0.429764510000567,0.587756282342495
"majority-vote",0.998053111128417,0.177956690427004,0.302055694249956
"majority-vote",0.938480700178484,0.191232099588135,0.317722583571948
"majority-vote",0.919905294961819,0.362852131774817,0.520425125359837
"majority-vote",0.961088791386202,0.287388523401422,0.442468413871217
"majority-vote",0.90940062216474,0.175377675112572,0.294048225819929
"majority-vote",0.977447926813702,0.182292572715284,0.307278218440171
"majority-vote",0.913019191451937,0.395376064725396,0.551799516592108
"majority-vote",0.978126752664049,0.411306452085652,0.579099222550657
"majority-vote",0.953337537397534,0.403336590702661,0.566850806923317
"majority-vote",0.993763919821826,0.208760212305651,0.345038176517373
"majority-vote",0.934166606911466,0.753725641988438,0.834301272462637
"majority-vote",0.843236596040344,0.553502797387326,0.66831911087194
"majority-vote",0.937695028041942,0.148603748661279,0.256550038086151
"majority-vote",0.856390132258599,0.489624143746311,0.623038392229321
"majority-vote",0.98837541456152,0.187066347669622,0.314591134787526
"majority-vote",0.801363808440014,0.88235939430747,0.839913453091617
"majority-vote",0.736739310685881,0.568964188324853,0.642072697559583
"majority-vote",1,0.425831086806726,0.597309303671323
"majority-vote",0.940858573129232,0.224419542026121,0.362397692614114
"majority-vote",0.72087730219851,0.761838159467634,0.740791947352829
"majority-vote",1,0.238843465202705,0.38559103213839
"majority-vote",1,0.0341239913754605,0.0659959379340443
"majority-vote",0.874560621692166,0.695988203179416,0.775122512619464
"majority-vote",0.995657961460446,0.262741934425349,0.415767832904936
"majority-vote",0.756613045895059,0.757521286038224,0.757066893566716
"majority-vote",0.897381734466465,0.565114478762217,0.693503896333788
"majority-vote",0.917109405862723,0.296647825126178,0.448291476591707
"majority-vote",0.955678274685261,0.176980448209804,0.298653717981104
"majority-vote",1,0.133048190462528,0.234850011822031
"majority-vote",0.999029183281474,0.339795655518946,0.507110066048438
"majority-vote",0.982110667710936,0.197894706657984,0.329412910676403
"majority-vote",0.946956865583001,0.492467690169448,0.647961240372174
"majority-vote",0.931795844258467,0.335942175984695,0.493839450257466
"majority-vote",0.999689879551433,0.216584801615086,0.35603410576893
"majority-vote",0.99511367563919,0.209330108075586,0.345897842781136
"majority-vote",0.968710738560468,0.266306745523172,0.417766076130976
"majority-vote",0.964812630522663,0.440038243162266,0.60441213066601
"majority-vote",0.994605999274435,0.233715773392227,0.378492208660142
"majority-vote",0.986637218120941,0.210470102910884,0.346932364684958
"majority-vote",0.967831220743677,0.243889208399011,0.389600743891111
"majority-vote",0.939013715411157,0.484609757844398,0.639291523056085
"majority-vote",0.974082009647971,0.417101587177072,0.584094224791089
"majority-vote",0.993313034198494,0.129118378308632,0.228530610778362
"majority-vote",0.966635202188193,0.900226161465764,0.932249511983428
"majority-vote",0.94878677010214,0.51454283156663,0.667233725996635
"majority-vote",0.944383116883117,0.559210860335546,0.70246263722799
