"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.884292047814131,0.434406435037729,0.582608019981021
"majority-vote",0.991003119521372,0.196997543777126,0.328661736398588
"majority-vote",0.885791884034047,0.179607545512905,0.298657764805187
"majority-vote",0.939567912646543,0.38788929107822,0.549092400920634
"majority-vote",0.975645440740962,0.311047154394361,0.471708221820289
"majority-vote",0.937215213619209,0.162167011500351,0.276492355165669
"majority-vote",0.982141594999809,0.183267422,0.308895084093231
"majority-vote",0.83422343445393,0.438903816113222,0.575188141970567
"majority-vote",0.972872832822804,0.383709495604589,0.550354425451776
"majority-vote",0.788099210737383,0.39092345716552,0.522613307509788
"majority-vote",0.99547464006213,0.270173781403482,0.425001356198765
"majority-vote",0.979795012236763,0.853444134482708,0.912265383035525
"majority-vote",0.829671417299746,0.53370327262142,0.649562228031284
"majority-vote",0.957778269734081,0.1425625742783,0.2481837086465
"majority-vote",0.85678801867028,0.581411843270901,0.692736405293695
"majority-vote",0.994862838839436,0.186037679089271,0.313459043738053
"majority-vote",0.838206169417196,0.833672557487939,0.835933216584139
"majority-vote",0.803089299800414,0.581880794608883,0.674819249594072
"majority-vote",0.999764287145399,0.408465314930151,0.579975074807233
"majority-vote",0.91763326845545,0.233217042410097,0.3719123414501
"majority-vote",0.712498355286581,0.59438688004345,0.64810537755893
"majority-vote",1,0.238522793793482,0.385173038378904
"majority-vote",1,0.0378101316129965,0.0728652196798866
"majority-vote",0.877538525990855,0.697565410954792,0.77727000504932
"majority-vote",0.970190198461256,0.218941882373329,0.357261017064107
"majority-vote",0.751247036739727,0.820816864184789,0.784492585272367
"majority-vote",0.898151791722381,0.632762355084727,0.742453969922622
"majority-vote",0.929727631508351,0.311876697037503,0.467073730644805
"majority-vote",0.985698056960656,0.193558048430262,0.323576518068668
"majority-vote",1,0.147191912429648,0.256612535069061
"majority-vote",0.991816035827076,0.344951847455136,0.511874616637466
"majority-vote",0.97977572566238,0.205415182268696,0.339625975735355
"majority-vote",0.97121534106418,0.482590730529317,0.644789604478274
"majority-vote",0.963906954039848,0.340657263016963,0.503404739257742
"majority-vote",0.993580696507689,0.237959191870652,0.383961026078621
"majority-vote",0.950430385846829,0.216188910962803,0.352252891108677
"majority-vote",0.98518570739195,0.351417836637953,0.518047152462981
"majority-vote",0.972314915712799,0.519691039675708,0.677347630703533
"majority-vote",0.997379735436986,0.281630429028942,0.439234168108714
"majority-vote",0.975908612997641,0.279893227378589,0.435021199262836
"majority-vote",0.974288007898246,0.30102666012856,0.45994400029084
"majority-vote",0.963923197170965,0.616445831677245,0.751984411370183
"majority-vote",0.981298641065236,0.504823929875475,0.66667857153995
"majority-vote",0.997208676971341,0.138352117898671,0.242991714876366
"majority-vote",0.977264137580651,0.935424663475543,0.95588678777049
"majority-vote",0.978854529349885,0.602880712237788,0.746183685253539
"majority-vote",0.926592895530343,0.36818925363634,0.526979070339551
"majority-vote",1,0.0314160915308542,0.0609183660965104
"majority-vote",0.943146565706275,0.339843356092069,0.499648654647356
"majority-vote",0.870815164663384,0.361619704894148,0.511027285321744
"majority-vote",0.985285637724124,0.476382631901793,0.642242805741663
"majority-vote",0.885357676245984,0.0952859974965524,0.172054726056342
"majority-vote",0.896698418105793,0.132641037077912,0.231097734619428
"majority-vote",0.917869860443111,0.433170694897677,0.588574967201464
"majority-vote",0.903397824928404,0.744852678249019,0.816500026088361
"majority-vote",0.957076528008193,0.374844317924686,0.538702730629139
"majority-vote",0.929392889801633,0.770366451095128,0.842440556098719
"majority-vote",0.778647120522515,0.665343293596387,0.717549970764742
"majority-vote",1,0.170709024109503,0.291633566657355
"majority-vote",0.96907439098293,0.549436550691773,0.701272379582831
"majority-vote",0.92751909508164,0.302192079592647,0.455861392458845
"majority-vote",0.930680520357458,0.705562303750483,0.802635259662154
"majority-vote",0.922651725953223,0.719567531393343,0.808552477764374
"majority-vote",0.913648590663096,0.363415923197685,0.519996354843965
"majority-vote",0.987319834940969,0.0821023831626086,0.151598330425777
"majority-vote",0.879921937457573,0.613069629067215,0.722647639679434
"majority-vote",0.994669332000666,0.512513808250844,0.676469572515142
"majority-vote",0.885535379306747,0.584475170953196,0.704176500112726
"majority-vote",0.943411368674731,0.469779838184634,0.627226716337281
"majority-vote",0.975665869034607,0.588649962122143,0.734283532023578
"majority-vote",0.471205805156708,0.584335231805523,0.521708098013446
"majority-vote",0.344894550010441,0.552530527038306,0.424692316636828
"majority-vote",0.941856860079655,0.718436265249238,0.815114047793167
"majority-vote",0.830579923811842,0.947531171730694,0.885209445459645
"majority-vote",0.940683719962587,0.568847609546518,0.708969300576303
"majority-vote",0.939000900540324,0.717941756956907,0.813725150074078
"majority-vote",0.378133828555624,0.336085892749112,0.355872126063943
"majority-vote",0.933557434739219,0.691894663668101,0.79476154105882
"majority-vote",0.968086963497108,0.676202309809802,0.796237804917329
"majority-vote",0.928781264016457,0.216883816295881,0.351651854465328
"majority-vote",0.900960297687263,0.487922242224225,0.633024832511163
"majority-vote",0.9198663530501,0.487313262076829,0.637108537333561
"majority-vote",1,0.414727630454583,0.586300318912018
"majority-vote",0.743524568155375,0.582936951161606,0.653510016781224
"majority-vote",0.581987371482538,0.392550555468867,0.468857003166647
"majority-vote",0.996583100565843,0.143304464393359,0.250577007487879
"majority-vote",0.89964517290162,0.481943098207635,0.627651219950843
"majority-vote",1,0.271565972318463,0.427136268554455
"majority-vote",0.854042266187841,0.905615618454158,0.879073167381109
"majority-vote",0.963983514824835,0.485432537574713,0.645706887276304
"majority-vote",0.48625327637612,0.322890240385666,0.388080566784362
"majority-vote",0.963011846514185,0.684884285899634,0.800477248340467
"majority-vote",0.97318060413134,0.0465787988150788,0.0889025066885355
"majority-vote",0.955373690810062,0.233547147420148,0.375340044575356
"majority-vote",0.879055095945849,0.377355317750395,0.528037831324354
"majority-vote",0.956366988312434,0.152825334080797,0.263537894271284
"majority-vote",0.940055255313477,0.408609301363831,0.569623216114433
"majority-vote",0.888762550898479,0.490124915091396,0.6318204792482
"majority-vote",0.976508527665622,0.878083215931642,0.92468409968669
"majority-vote",0.923503069997815,0.800124548156323,0.857398046794235
"majority-vote",0.949130308608085,0.745755069058876,0.835240834771044
"majority-vote",0.932643346748707,0.913974035860672,0.923214317891898
"majority-vote",0.960569964717759,0.342902993339788,0.5053918674383
"majority-vote",0.971047758561105,0.332137788827474,0.494974266742988
"majority-vote",0.940980480464586,0.401841177203088,0.56317933485192
"majority-vote",0.955794913820489,0.389199515417041,0.553154584451162
"majority-vote",0.936100256042402,0.419066410745426,0.578951923791648
"majority-vote",0.947642823431089,0.394073479180241,0.556661499488174
"majority-vote",0.973889105344174,0.958959659818951,0.966366724593078
"majority-vote",0.892813588452885,0.35540356907843,0.508419763249273
"majority-vote",0.857476334458629,0.30123571910203,0.445844158485912
"majority-vote",0.979614962011944,0.354385093554383,0.520481147675057
"majority-vote",0.973377919718109,0.407567931452699,0.574559277505184
"majority-vote",0.836697531011256,0.694057906909797,0.758731960317513
"majority-vote",0.935601607074591,0.376739607112874,0.53717459766238
"majority-vote",0.936739432493036,0.644673794914227,0.763736326881708
"majority-vote",0.915240377026631,0.681413119030129,0.781204940849429
"majority-vote",0.939895743987725,0.54345154745409,0.688696166383472
"majority-vote",0.940389156816519,0.259299724292117,0.406509809217343
"majority-vote",0.973837319520408,0.331800955369813,0.49496121430542
"majority-vote",0.923840323640911,0.433030369793078,0.589666972559523
"majority-vote",1,0.400416987925335,0.571853942615389
"majority-vote",0.913729146319827,0.345860435503744,0.501786875723627
"majority-vote",0.970915168113213,0.210509626185529,0.346000845900124
"majority-vote",0.987945811192051,0.314822084185487,0.477486681158455
"majority-vote",0.896215287197634,0.477075376098498,0.622682810904448
"majority-vote",0.971025778998703,0.2172240353937,0.355026587221924
"majority-vote",0.981578723186751,0.740119334975217,0.843917304067096
"majority-vote",0.916738619543759,0.772849109084188,0.838666869287469
"majority-vote",0.891768120445019,0.683308419099403,0.7737435601203
"majority-vote",0.999670140373597,0.62395879569162,0.768344247901884
"majority-vote",0.998349712030731,0.45880731418492,0.628690171001954
"majority-vote",0.957658344277867,0.344144928900142,0.506333436998615
"majority-vote",0.941626116125834,0.452816023081988,0.611546913486802
"majority-vote",0.985307149108081,0.391362155061442,0.560209961977768
"majority-vote",0.985570178676905,0.605971216048414,0.750501572441942
"majority-vote",0.952385189852903,0.397765490466086,0.561161013621049
"majority-vote",0.976966952607226,0.265787790234224,0.41788758234249
"majority-vote",0.939128153690652,0.908979900190834,0.923808122166079
"majority-vote",1,0.255491984033896,0.406998988895174
"majority-vote",0.813597398616091,0.153858034046383,0.258778837825795
"majority-vote",1,0.24103030385045,0.388435807091291
"majority-vote",0.864314628534116,0.664878950751003,0.751591703134348
"majority-vote",0.780461196887546,0.701831354680276,0.739060772460359
"majority-vote",0.905884965504347,0.463645164838185,0.613362458919612
"majority-vote",0.97526923694394,0.170068502599432,0.289630862638776
"majority-vote",0.97679543141658,0.32877491353826,0.491962512398613
"majority-vote",0.953242273182909,0.85465299120684,0.901259465819308
"majority-vote",0.970763086682647,0.861388778247151,0.912811263314178
"majority-vote",0.985880797057333,0.824638465514838,0.89807962220838
"majority-vote",0.946442071468143,0.867581634544245,0.905297716500917
"majority-vote",0.961968605929279,0.733313391968759,0.832220789527767
"majority-vote",0.976671905789268,0.848164271258341,0.907893240666105
"majority-vote",0.969568152067198,0.155345905081982,0.267786576519897
"majority-vote",0.981500377483465,0.507026504298707,0.668643222307794
"majority-vote",1,0.237324831052675,0.383609582700715
"majority-vote",0.978607081744662,0.384867811051075,0.552462487457879
"majority-vote",0.953622811256924,0.324277399613382,0.48397883154866
"majority-vote",1,0.683317835109712,0.811870249167978
"majority-vote",0.973945603473947,0.519592529585008,0.67765910837611
"majority-vote",0.998797095871794,0.479422431428305,0.647868227097467
"majority-vote",0.86867367537911,0.340684124377145,0.489422287640028
"majority-vote",0.95708276436251,0.518741270204301,0.672815074490612
"majority-vote",0.960184987380928,0.231025554181882,0.372440070142052
"majority-vote",0.957175054860256,0.56445332310929,0.710134811279133
"majority-vote",0.995897234465342,0.257902454023385,0.409705542411328
"majority-vote",0.957691650505487,0.509089189936321,0.664789794251419
"majority-vote",0.957403437665157,0.99469923306815,0.975695058933145
"majority-vote",0.97064218650537,0.505726774609258,0.664982474178317
"majority-vote",0.953530263167294,0.645584106785462,0.769906136554761
