"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.273313182067869,0.429294514369209
"majority-vote",1,0.205995916945646,0.341619592655604
"majority-vote",0.937019969278034,0.234913793103448,0.375650778674516
"majority-vote",0.990952475641281,0.515609445505303,0.678292009529417
"majority-vote",0.982153582153582,0.292634575873348,0.450917425214945
"majority-vote",0.955159981973862,0.305057078547116,0.462425597580159
"majority-vote",0.995670995670996,0.484533684085819,0.651850574812563
"majority-vote",0.912408759124088,0.247782666416443,0.389727195393044
"majority-vote",0.892857142857143,0.394987920236946,0.547686668268229
"majority-vote",0.848479760597935,0.119951134414843,0.210187655796367
"majority-vote",0.923913043478261,0.175266266340475,0.294639442549921
"majority-vote",1,0.364391468116555,0.534145040674538
"majority-vote",0.960085287846482,0.358507171107804,0.522067994899699
"majority-vote",1,0.224866566873416,0.367169082665728
"majority-vote",0.994490358126722,0.657661557443238,0.791740846134326
"majority-vote",0.996936274509804,0.256055309050807,0.407458165278601
"majority-vote",0.928998327522347,0.827941500791264,0.87556358746753
"majority-vote",0.987660256410256,0.716594471415189,0.830570533646878
"majority-vote",1,0.51469380948716,0.679601126331167
"majority-vote",1,0.265490148105702,0.419584693730111
"majority-vote",0.786543592702099,0.508427697180694,0.617620715909389
"majority-vote",0.991482112436116,0.189822707465991,0.318640567304753
"majority-vote",1,0.0290640034229778,0.056486289144897
"majority-vote",0.970814132104455,0.615421251468272,0.753305157998848
"majority-vote",0.996402877697842,0.176965655221373,0.300551929200918
"majority-vote",0.907056798623064,0.370017538265306,0.525618460881581
"majority-vote",0.941358584131327,0.552947319734397,0.696673558817924
"majority-vote",0.978632478632479,0.258167228687216,0.408555780562683
"majority-vote",0.993975903614458,0.0885529627984356,0.162618317065257
"majority-vote",1,0.128040444691817,0.227013925421439
"majority-vote",0.904081084709357,0.391423337764474,0.546317603626414
"majority-vote",0.9375,0.209002367003812,0.341804299241229
"majority-vote",0.953147089556826,0.289783323206054,0.444443435094622
"majority-vote",0.917757009345794,0.33073136132497,0.486237648979289
"majority-vote",0.970200085142614,0.186737189520496,0.313193188843938
"majority-vote",0.990899681528662,0.187289723182253,0.315034792050981
"majority-vote",0.977777777777778,0.279604214044442,0.434857169648937
"majority-vote",0.958646616541353,0.321991454148286,0.482065971860823
"majority-vote",0.964426877470356,0.247719708606805,0.394189197583269
"majority-vote",0.980132450331126,0.243709964164445,0.390357519101121
"majority-vote",0.908928571428571,0.255788567829567,0.399227468556312
"majority-vote",0.933229813664596,0.398342204858958,0.55835481137169
"majority-vote",0.957198443579767,0.289410247449447,0.444442655354717
"majority-vote",0.97887323943662,0.164309690760695,0.281386915457162
"majority-vote",0.915782803607701,0.552156583316804,0.688932401983867
"majority-vote",0.983522727272727,0.14605690467863,0.254342909810408
"majority-vote",0.976744186046512,0.300839563055034,0.459998484409999
"majority-vote",1,0.0252197250810987,0.0491986731509751
"majority-vote",0.954452315438206,0.305210527306068,0.462518833767856
"majority-vote",0.957446808510638,0.2498515482432,0.396289063310088
"majority-vote",1,0.288849259296092,0.448228149588025
"majority-vote",0.939271150850098,0.245018211604304,0.388652545381059
"majority-vote",0.947725768321513,0.160252980239907,0.274149443788288
"majority-vote",0.996623794212219,0.388376174013677,0.558938548746602
"majority-vote",0.998396150761828,0.77425547095918,0.872155219265745
"majority-vote",0.995081967213115,0.499427431889498,0.665062704461016
"majority-vote",0.988256549232159,0.794222609696455,0.880678679073647
"majority-vote",0.907645379023884,0.58478236240455,0.711290730180537
"majority-vote",1,0.355040287265721,0.52402912386043
"majority-vote",0.949612403100775,0.50433605624857,0.658790579906656
"majority-vote",0.979827089337176,0.386156752599282,0.553984366888069
"majority-vote",0.993846153846154,0.377755645177462,0.547434387036451
"majority-vote",0.989276139410188,0.533750943601923,0.693391573640002
"majority-vote",0.986101019571077,0.482495907074353,0.647951384443777
"majority-vote",0.998248686514886,0.105875767788248,0.191446436525273
"majority-vote",1,0.361604138615008,0.531144300108875
"majority-vote",0.99203187250996,0.506707718028021,0.670790588977702
"majority-vote",0.955983521002024,0.534540629334391,0.685680983879922
"majority-vote",0.973595039722564,0.589811828650921,0.734598116920964
"majority-vote",1,0.5607941261277,0.718601020775263
"majority-vote",1,0.450326730651419,0.621000387201239
"majority-vote",1,0.480345109250562,0.648963685898541
"majority-vote",1,0.672374311581793,0.804095479014907
"majority-vote",0.916955017301038,0.914060298675683,0.915505369805447
"majority-vote",1,0.486130659160216,0.654223309590987
"majority-vote",1,0.673201249626885,0.804686525039358
"majority-vote",1,0.297887731481481,0.459034667261175
"majority-vote",1,0.633844817108053,0.775893537098553
"majority-vote",0.963314961482253,0.488088314361107,0.647900943279187
"majority-vote",1,0.15588037278808,0.269717137617077
"majority-vote",0.981566820276498,0.211642891231476,0.348206417994472
"majority-vote",1,0.481646113539032,0.65015000429297
"majority-vote",1,0.494568922164408,0.6618214989352
"majority-vote",0.9025,0.5448723690103,0.679503524539505
"majority-vote",0.610315908013277,0.502275051124744,0.551049694196886
"majority-vote",0.979483141214667,0.146914223284232,0.255504867903467
"majority-vote",0.892405063291139,0.441886040739563,0.591087415575825
"majority-vote",0.987854251012146,0.307994601971622,0.46958219879718
"majority-vote",0.845207138652687,0.865394546393554,0.855181723199534
"majority-vote",0.930826881606392,0.48262960317237,0.635668113351483
"majority-vote",0.994444444444444,0.266239732959743,0.420026883937489
"majority-vote",0.968632927918642,0.475610296482394,0.637969818720881
"majority-vote",0.977573997656529,0.0705352744757139,0.131576834741186
"majority-vote",0.982237673830594,0.177318496290339,0.300406158513558
"majority-vote",0.912393603597403,0.30710553665984,0.459534768050233
"majority-vote",0.994277539341917,0.145268705959416,0.253499868215562
"majority-vote",0.981627296587926,0.29402524637037,0.452510692376805
"majority-vote",1,0.514469387546032,0.679405462766932
"majority-vote",0.978866312564989,0.820519623334462,0.892725681641095
"majority-vote",0.982434356765768,0.723278219724237,0.833168943409775
"majority-vote",0.996616633858268,0.691089078901131,0.816197831533731
"majority-vote",0.961025373787654,0.858548006560512,0.906900955829091
"majority-vote",0.98068669527897,0.347546006108803,0.513213902702643
"majority-vote",1,0.431231193017582,0.602601725173949
"majority-vote",0.989035087719298,0.347773085979948,0.514598565995861
"majority-vote",0.997802197802198,0.414843718314145,0.58603783036626
"majority-vote",0.991228070175439,0.424647302702496,0.594575390498425
"majority-vote",0.9832953682612,0.281448489016068,0.437633271055203
"majority-vote",1,0.852185234943856,0.920194394023109
"majority-vote",0.994103773584906,0.292097314288885,0.45152355277294
"majority-vote",0.960631525337408,0.254149971165805,0.40195619569156
"majority-vote",0.922722029988466,0.307676670830128,0.461476498796021
"majority-vote",0.993573377938199,0.198750548183814,0.331240947530651
"majority-vote",1,0.278632451937619,0.435828844349108
"majority-vote",1,0.236220107066159,0.382165126931587
"majority-vote",1,0.585811805565556,0.738816300281779
"majority-vote",0.965753424657534,0.394637389907277,0.560313119907067
"majority-vote",0.997319034852547,0.54032679898203,0.700913292005444
"majority-vote",0.986333600320385,0.161832602378706,0.278044995538402
"majority-vote",0.924332485579636,0.511763828100309,0.658785802528189
"majority-vote",0.914377682403434,0.46974685504503,0.620646522782086
"majority-vote",1,0.251191670924112,0.401523886006348
"majority-vote",0.958513343750957,0.405194826059365,0.56960082251435
"majority-vote",1,0.226028109596931,0.368716031594479
"majority-vote",0.995614035087719,0.273381184897755,0.428972686936097
"majority-vote",0.95055143269429,0.279155612760974,0.431569077586861
"majority-vote",1,0.34475374528545,0.512738851249333
"majority-vote",1,0.384418683936594,0.555350326309524
"majority-vote",0.872616892960778,0.689012635432348,0.770021383702134
"majority-vote",0.967320261437909,0.589993571560659,0.732945054228215
"majority-vote",0.9,0.36721986433977,0.521610948827708
"majority-vote",1,0.210984302301304,0.348450928555157
"majority-vote",0.983601951418866,0.21793390471651,0.356810348796351
"majority-vote",0.989261744966443,0.264640363081697,0.417574204063308
"majority-vote",0.994444444444444,0.231296118265051,0.375301506416344
"majority-vote",1,0.619340145068205,0.764929032302992
"majority-vote",1,0.135562099412583,0.238757703313113
