"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.765085741550394,0.371053927925422,0.499741496981593
"majority-vote",0.948202574497827,0.230336994406909,0.37063860537444
"majority-vote",0.800146890416031,0.162721372615286,0.27044405824001
"majority-vote",0.71258165402591,0.389238647946526,0.503465617883456
"majority-vote",0.89473246276104,0.298379607040603,0.447518598465766
"majority-vote",0.587472467082102,0.293822243453317,0.391724757181964
"majority-vote",0.921364871884409,0.226721203437894,0.363897719951688
"majority-vote",0.244656958893839,0.539056128956523,0.336561517800681
"majority-vote",0.715384172922076,0.269590551949999,0.391605610102135
"majority-vote",0.662367651399442,0.415129131199856,0.510383162346008
"majority-vote",0.960147648162707,0.320687349279691,0.480791366290372
"majority-vote",0.888259378497573,0.726375811318226,0.799202359501163
"majority-vote",0.353366558238764,0.456854553821704,0.398501393993874
"majority-vote",0.873896173181051,0.161815518176163,0.273068197019485
"majority-vote",0.509528474876927,0.529411003768485,0.519279490052537
"majority-vote",0.942317920144049,0.170737700894106,0.289094618733695
"majority-vote",0.864417114621651,0.873825958073201,0.869096072033347
"majority-vote",0.576423990460302,0.602486277095879,0.589167052995622
"majority-vote",0.989128309413007,0.544788805806447,0.702601235917975
"majority-vote",0.749727485281059,0.284934004184722,0.412932841520511
"majority-vote",0.631724998968233,0.500234626038082,0.558342738798689
"majority-vote",0.98553842841281,0.286566854250004,0.444024014398517
"majority-vote",1,0.0555952982158352,0.105334493834526
"majority-vote",0.601670857428223,0.738300565334944,0.663020011678757
"majority-vote",0.73774198367738,0.262811939169826,0.387560124266995
"majority-vote",0.506765312608038,0.821358288128219,0.626802941256003
"majority-vote",0.705269168205914,0.634265780929045,0.667885671853767
"majority-vote",0.803904759755704,0.288318456990794,0.424419800543601
"majority-vote",0.893663112192729,0.33582278694268,0.488191750935044
"majority-vote",1,0.19120522331199,0.321028181492302
"majority-vote",0.921243831721715,0.324455489188246,0.479895289442046
"majority-vote",0.769066438553191,0.374168960206526,0.503414764720148
"majority-vote",0.80990306658938,0.511311348867507,0.626866653262397
"majority-vote",0.745790518972304,0.37333641458001,0.497585662596993
"majority-vote",0.93697527790754,0.256820972254561,0.403142331562907
"majority-vote",0.968775802489075,0.202507754891985,0.334990808194054
"majority-vote",0.881237497037872,0.308100478971822,0.45657281681399
"majority-vote",0.736897729832123,0.503039813881085,0.597915433311347
"majority-vote",0.94535576437848,0.267593337263553,0.41711709675025
"majority-vote",0.906961119015526,0.224158538862631,0.359472276567289
"majority-vote",0.835792737133755,0.282834310279619,0.422644639052046
"majority-vote",0.701421839223461,0.517182906863469,0.595374976032192
"majority-vote",0.799949434728689,0.496110486583551,0.612415053933106
"majority-vote",0.973789154334244,0.148772069995314,0.258110871976388
"majority-vote",0.876910691163196,0.879671763476437,0.878289057333347
"majority-vote",0.816196358347102,0.465369638381659,0.592763860935689
"majority-vote",0.741779059423331,0.316177920019135,0.443371828305943
"majority-vote",1,0.0325741142532453,0.0630930289721678
"majority-vote",0.670745900871765,0.312746995871657,0.426589284346604
"majority-vote",0.525504202833689,0.517575517820764,0.521509726462677
"majority-vote",0.992743047652202,0.631015679989937,0.771588067371543
"majority-vote",0.602977304613878,0.0856401010951033,0.149978890736923
"majority-vote",0.60494488163206,0.119664496901707,0.199805376685143
"majority-vote",0.852258453552152,0.331812269116126,0.477656960741803
"majority-vote",0.808511479365054,0.804343837422015,0.806422273769388
"majority-vote",0.711055847713219,0.422858536237824,0.530332870281922
"majority-vote",0.913324441847266,0.805079345267223,0.855792624728381
"majority-vote",0.489815371982946,0.692218379282539,0.573687853800641
"majority-vote",1,0.144027322586063,0.251790004910881
"majority-vote",0.779404348402954,0.573672318057454,0.660897804737165
"majority-vote",0.668310367228005,0.363217312512946,0.470645432549238
"majority-vote",0.800833132049921,0.708447220449969,0.751812617854974
"majority-vote",0.817692759370405,0.73553182517784,0.774439258453209
"majority-vote",0.782279225602122,0.488312506448833,0.601289493329247
"majority-vote",0.94791973237439,0.147515745272679,0.255301363947495
"majority-vote",0.770935760416407,0.604769742452314,0.677817483904912
"majority-vote",0.856463441448799,0.477172923590559,0.612882454345033
"majority-vote",0.436721528051874,0.583538347393163,0.499566365166021
"majority-vote",0.893814396767926,0.670534574313577,0.766240100043384
"majority-vote",0.85225074889165,0.6867180662619,0.760581995536714
"majority-vote",0.296759259259259,0.640903233128594,0.405676819248166
"majority-vote",0.296759259259259,0.673142366385445,0.411920600487263
"majority-vote",0.911790130051768,0.657127098335249,0.7637904557497
"majority-vote",0.832563629854457,0.951460981635828,0.888050314366331
"majority-vote",0.874841256299474,0.640149971297403,0.7393172909631
"majority-vote",0.941645465867601,0.760278351993379,0.841298130314239
"majority-vote",0.327526422369553,0.407009699515714,0.362967665660725
"majority-vote",0.943819303531534,0.739658444573236,0.829359246113282
"majority-vote",0.405679755334647,0.696006927020032,0.512588423527487
"majority-vote",0.675416512622622,0.233884358129078,0.347452339716627
"majority-vote",0.728509759068385,0.414278979788269,0.528192603743369
"majority-vote",0.647436556849593,0.479051402832488,0.550659042803024
"majority-vote",1,0.53095206214491,0.693623367149759
"majority-vote",0.460939434483989,0.64372761728908,0.537210634459856
"majority-vote",0.706704183076219,0.313956964366893,0.434766622751967
"majority-vote",0.957044770317323,0.172089677876551,0.291723499359692
"majority-vote",0.397575696570231,0.558344315582064,0.464440805447228
"majority-vote",0.988580528322977,0.351295158048217,0.518381752088007
"majority-vote",0.72088704600932,0.805312985663697,0.760764889660842
"majority-vote",0.571492506035547,0.463259022227666,0.511715232739663
"majority-vote",0.482091905952747,0.327982049043948,0.390377915908997
"majority-vote",0.774250646100633,0.600884149599725,0.67663903569871
"majority-vote",0.769565495454655,0.0378018740235198,0.0720638931217318
"majority-vote",0.566213343779378,0.187985707497483,0.28225974520832
"majority-vote",0.342855949964497,0.346644406241124,0.344739770275729
"majority-vote",0.677315261660467,0.125877511187721,0.212299617998167
"majority-vote",0.40297977003013,0.414273151373588,0.408548430719445
"majority-vote",0.874676209271178,0.522798998113767,0.654437149889212
"majority-vote",0.981479214927471,0.891638279953933,0.934404212656051
"majority-vote",0.692690351319974,0.839207504633365,0.758942169617542
"majority-vote",0.703485769311571,0.761822012746028,0.731492661511112
"majority-vote",0.901171042581183,0.918688062666011,0.909845247747531
"majority-vote",0.789048055008745,0.355650760272016,0.490304588261824
"majority-vote",0.942660094336382,0.301235115830915,0.456569525126494
"majority-vote",0.876972717352922,0.377577506120037,0.52787870163823
"majority-vote",0.951198837340591,0.406173766156877,0.569264493966032
"majority-vote",0.858211785758303,0.388068744676396,0.534462606504087
"majority-vote",0.618014085932154,0.458522999140383,0.52645408341603
"majority-vote",0.974754506135026,0.947413719976865,0.9608896663427
"majority-vote",0.811195687744314,0.314586016580611,0.45335755430113
"majority-vote",0.750599436115349,0.409029228964642,0.529509347019079
"majority-vote",0.607639380573177,0.297854979464353,0.399756029877104
"majority-vote",0.795612726978221,0.197841261451148,0.316884379881172
"majority-vote",0.55075288939614,0.668491403770764,0.603937331060905
"majority-vote",0.772203480812983,0.359424830577806,0.490530508063529
"majority-vote",0.913239820845443,0.649120424990244,0.758855228434369
"majority-vote",0.650119174129351,0.676575427441248,0.663083512367651
"majority-vote",0.844405735382777,0.509786180572126,0.635753868594676
"majority-vote",0.768540779342171,0.243917833761901,0.370308079023782
"majority-vote",0.863324791506853,0.356237854530562,0.504359448018074
"majority-vote",0.714049193918093,0.397894878678877,0.511026632339932
"majority-vote",1,0.299350464157191,0.460769395809407
"majority-vote",0.739082305189838,0.343700705091793,0.469204091683234
