"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.4651292355744,0.634932706659215
"majority-vote",1,0.228634876139001,0.372177089514972
"majority-vote",1,0.238783304584738,0.385512629530928
"majority-vote",1,0.449816019953878,0.620514622218325
"majority-vote",1,0.278617430239784,0.435810467854382
"majority-vote",0.995155918861641,0.265596487017495,0.419289171849746
"majority-vote",1,0.201926115686893,0.336004206999851
"majority-vote",0.984358255708515,0.267131775724453,0.420224471936635
"majority-vote",1,0.107296953492587,0.193799780906388
"majority-vote",0.823568479508251,0.286803730556929,0.425447449334487
"majority-vote",0.883100381194409,0.287317027630614,0.43357143308208
"majority-vote",1,0.413220258014752,0.584792435108779
"majority-vote",1,0.745778941385579,0.854379582324064
"majority-vote",0.998470704008085,0.156307707172811,0.270300630686587
"majority-vote",1,0.622894985580015,0.767634370818387
"majority-vote",0.991941818007399,0.100355214565915,0.182270080416711
"majority-vote",0.95863653772501,0.913458584690456,0.935502437347317
"majority-vote",1,0.637392888766117,0.778546057136518
"majority-vote",1,0.570445110025688,0.726475706007143
"majority-vote",1,0.21900578177483,0.359318692411721
"majority-vote",0.939123505976096,0.487073133956284,0.641456888090099
"majority-vote",1,0.583474190107056,0.73695446853808
"majority-vote",1,0.0456597923121576,0.0873320226097533
"majority-vote",1,0.70785562126717,0.828940821990521
"majority-vote",0.98063740030321,0.28916340395016,0.446628239268198
"majority-vote",1,0.61614218624679,0.762485122274635
"majority-vote",0.909094271824139,0.237866937650517,0.377071985849427
"majority-vote",0.976494845360825,0.437953746138678,0.604701476152635
"majority-vote",0.964636542239686,0.170415030813311,0.289658320330342
"majority-vote",1,0.151717797563384,0.263463494068362
"majority-vote",0.921111654315905,0.429143747539513,0.585503019195141
"majority-vote",1,0.117821175262171,0.2108050515943
"majority-vote",0.894893891770951,0.404648745139664,0.557300207093048
"majority-vote",0.955677501055298,0.294306753093282,0.450025416570494
"majority-vote",0.985646312765138,0.228524435345793,0.371025685515424
"majority-vote",0.990258994348379,0.188848505032831,0.317204208736095
"majority-vote",1,0.223108147580656,0.364821619448731
"majority-vote",1,0.265456354985842,0.419542489853492
"majority-vote",1,0.196319002074684,0.328205105384472
"majority-vote",1,0.145825387146548,0.254533349989212
"majority-vote",1,0.183818650592789,0.310552043593405
"majority-vote",1,0.353287628892475,0.522117577002613
"majority-vote",1,0.269629793039019,0.424737658988966
"majority-vote",1,0.103860721427541,0.188177220932774
"majority-vote",0.845941872981701,0.790398346631142,0.817227431968867
"majority-vote",0.950474163562956,0.16721197464893,0.284392292806663
"majority-vote",1,0.235604249881995,0.381358756097668
"majority-vote",1,0.0343896320272858,0.0664926077417966
"majority-vote",1,0.264173497664467,0.417938674007202
"majority-vote",1,0.292474332836523,0.45258048907578
"majority-vote",1,0.275574128725973,0.432078579394226
"majority-vote",0.985412600829865,0.0802110718901935,0.148346931454536
"majority-vote",1,0.124192872572806,0.220945845864653
"majority-vote",1,0.397777289880255,0.569156893247753
"majority-vote",1,0.895233661489965,0.944721149355446
"majority-vote",1,0.435011180707235,0.606282636059801
"majority-vote",0.982656826568266,0.9301686581662,0.955692601443717
"majority-vote",0.95,0.741820194364189,0.833101752767323
"majority-vote",1,0.0940180228994445,0.171876552180139
"majority-vote",1,0.397273846904744,0.568641355142786
"majority-vote",1,0.409448135249341,0.58100489831349
"majority-vote",1,0.573935041685634,0.729299528233348
"majority-vote",1,0.445699015307925,0.616586178158244
"majority-vote",1,0.279689681844059,0.437121101798712
"majority-vote",1,0.129500754568947,0.229306185135518
"majority-vote",0.993095512082854,0.327802737718956,0.492906138267671
"majority-vote",1,0.659628492825111,0.794911024577862
"majority-vote",1,0.586920431494341,0.739697365849226
"majority-vote",0.937036929115638,0.284734723779795,0.436754201246873
"majority-vote",1,0.871408079023153,0.931286007355504
"majority-vote",1,0.290012684356753,0.449627647655828
"majority-vote",1,0.291722213334755,0.451679487003069
"majority-vote",1,0.618099336282053,0.763981941556537
"majority-vote",0.895220588235294,0.711886322171118,0.793096324785918
"majority-vote",1,0.355698096027836,0.524745291108726
"majority-vote",1,0.517232898618009,0.681810813737479
"majority-vote",1,0.198015468779476,0.330572474128755
"majority-vote",1,0.603330410109271,0.752596478311857
"majority-vote",1,0.399157645606471,0.570568508645006
"majority-vote",1,0.275114950779888,0.431513959759662
"majority-vote",0.998064516129032,0.342401123362177,0.509880151258811
"majority-vote",1,0.538396298506654,0.699944869900278
"majority-vote",1,0.408417363703361,0.579966385290009
"majority-vote",1,0.586789520945545,0.739593390553633
"majority-vote",1,0.534430694803672,0.696584989616688
"majority-vote",1,0.0468113912407032,0.0894361517889508
"majority-vote",0.983388704318937,0.538042638250106,0.69553589188413
"majority-vote",1,0.239301716555842,0.386187985313033
"majority-vote",0.977503705012985,0.922066908056039,0.948976376759619
"majority-vote",0.991309153713299,0.489940447267781,0.655773949007994
"majority-vote",1,0.230487783399732,0.374628316524872
"majority-vote",0.99821592415129,0.590964306761991,0.742407903319857
"majority-vote",0.999008656269549,0.049340009552645,0.0940356929912374
"majority-vote",1,0.181592390249343,0.307368923070032
"majority-vote",1,0.254775280803238,0.406089097707034
"majority-vote",1,0.110775009288737,0.199455350295772
"majority-vote",1,0.411739208217282,0.583307746672586
"majority-vote",1,0.418652458970544,0.590211445126374
"majority-vote",0.82154019563137,0.924304270999993,0.86989777856378
"majority-vote",1,0.799502610529427,0.888581773487072
"majority-vote",1,0.643973513307967,0.783435387608134
"majority-vote",0.949765700337801,0.847726747707723,0.895849981575356
"majority-vote",1,0.275982551606147,0.43258044752846
"majority-vote",1,0.530159711648754,0.692946896474623
"majority-vote",1,0.718887530336194,0.83645674036112
"majority-vote",1,0.665958856886391,0.799490160436544
"majority-vote",1,0.680927672465267,0.810180811012066
"majority-vote",1,0.427796146340266,0.599239810860668
"majority-vote",1,0.963713864145582,0.98152167863305
"majority-vote",1,0.298537287271936,0.459805490682713
"majority-vote",1,0.29915765164233,0.460540953230965
"majority-vote",1,0.380315019660538,0.551055395679269
"majority-vote",1,0.497817389069423,0.664723740961121
"majority-vote",1,0.466890377993281,0.636571600710874
"majority-vote",1,0.366188696815365,0.536073380886496
"majority-vote",1,0.293970223685138,0.454369379301373
"majority-vote",1,0.638575869293509,0.779427893770752
"majority-vote",1,0.601802228794105,0.751406407078312
"majority-vote",1,0.121711764817569,0.21701076628605
"majority-vote",1,0.331195829436488,0.497591446897316
"majority-vote",0.990184268965441,0.357935505491165,0.52580210387375
"majority-vote",1,0.265068913988187,0.419058457697051
"majority-vote",1,0.30387814068159,0.466114326485664
"majority-vote",1,0.161819815800122,0.278562671421954
"majority-vote",1,0.225997422010949,0.36867519939847
"majority-vote",1,0.372452928584945,0.542755122347197
"majority-vote",1,0.242460171484048,0.390290452843158
"majority-vote",1,0.505500087420648,0.671537772258405
"majority-vote",0.933299504682665,0.798158828530961,0.860455287934595
"majority-vote",1,0.566294123001164,0.723100616525448
"majority-vote",1,0.815833044962594,0.898577154134124
"majority-vote",1,0.268754634236827,0.423651077969834
"majority-vote",1,0.310074260503208,0.473368983501906
"majority-vote",1,0.42933970133506,0.600752502619272
"majority-vote",1,0.323044996584347,0.488335615823104
"majority-vote",1,0.408128153212978,0.579674729578749
"majority-vote",1,0.262436919463975,0.415762428075067
"majority-vote",1,0.189234131087604,0.31824537513827
"majority-vote",1,0.772337018831322,0.871546450393053
"majority-vote",1,0.191095098025914,0.320872948503657
"majority-vote",1,0.141581724848008,0.248044834226579
"majority-vote",1,0.143947838573345,0.25166853543404
"majority-vote",1,0.747558046612499,0.855545883653571
"majority-vote",1,0.508139288732604,0.67386254377025
"majority-vote",1,0.330616667263079,0.496937510850692
"majority-vote",1,0.200961067083586,0.334667080543418
"majority-vote",1,0.235083027003643,0.38067566611123
"majority-vote",1,0.816709167022623,0.899108323828316
"majority-vote",1,0.783848879618639,0.87882879382273
"majority-vote",1,0.738309444217837,0.849456863590871
"majority-vote",1,0.808963661307451,0.894394595768455
"majority-vote",0.99310551558753,0.65788464718586,0.791463070431766
"majority-vote",1,0.824991957077502,0.904104759342199
"majority-vote",0.994882729211087,0.169801727633877,0.290091973358646
"majority-vote",0.991223371891138,0.358513721185192,0.526572443485968
"majority-vote",1,0.169809560035974,0.290320007353594
"majority-vote",0.996817988969028,0.297181693254028,0.457861098263897
"majority-vote",1,0.53916268823018,0.700592201660165
"majority-vote",1,0.375924261309577,0.546431619647116
"majority-vote",0.970273906411362,0.369904779894486,0.535613585644728
"majority-vote",0.998661311914324,0.519834146958247,0.683753445749029
"majority-vote",1,0.176029054825183,0.299361744682999
"majority-vote",1,0.143674414802944,0.251250553380088
"majority-vote",1,0.120013897922905,0.214307872688854
"majority-vote",1,0.121108238855893,0.216050930068065
"majority-vote",0.999485559116496,0.0153096628604473,0.0301573886289088
"majority-vote",1,0.164966503138732,0.283212440347886
"majority-vote",1,0.0327868155768082,0.0634919328603103
"majority-vote",1,0.130253159648992,0.230484929039159
"majority-vote",1,0.159189172323211,0.274656071888887
"majority-vote",0.830388692579505,0.207997161238801,0.332667264574577
"majority-vote",1,0.600011136057714,0.750008699984537
"majority-vote",1,0.785451991364306,0.879835464815969
