"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.925979311514329,0.444776709005569,0.600915151372275
"majority-vote",0.997554990692742,0.152474822428487,0.264518394798332
"majority-vote",0.962921477396749,0.16533675833463,0.282216093021236
"majority-vote",0.955360819783208,0.468341416043702,0.628551431486742
"majority-vote",0.963055590504759,0.282173837009102,0.436464293601461
"majority-vote",0.90556001876029,0.253001271758234,0.395504041563869
"majority-vote",0.974643656914879,0.176192238017617,0.298434638574738
"majority-vote",0.915322994762247,0.388833983483954,0.5458065128118
"majority-vote",0.969037246903192,0.280525895647667,0.435096126552729
"majority-vote",0.939787241571932,0.428565037600898,0.588678749838584
"majority-vote",0.993778567800914,0.21442176805985,0.352735802570435
"majority-vote",0.925902746130006,0.771857938278103,0.841891782790452
"majority-vote",0.900120604500298,0.696760912247264,0.785492031746436
"majority-vote",0.999701651626625,0.159708814571772,0.275417844433034
"majority-vote",0.833607064271967,0.504476434148346,0.628563344157909
"majority-vote",0.986174409825882,0.16225214325272,0.278657631498153
"majority-vote",0.787356503155181,0.751455769452829,0.768987351406292
"majority-vote",0.744584436585164,0.552117503057531,0.634067224509863
"majority-vote",1,0.654931495727364,0.791490762509796
"majority-vote",0.978789336893059,0.217677753624122,0.356149643922137
"majority-vote",0.688387512698419,0.558415321364488,0.616626981628104
"majority-vote",1,0.452707762883778,0.623260609532512
"majority-vote",1,0.0460015579337948,0.0879569587346761
"majority-vote",0.940361117284988,0.645327665466144,0.765397411035224
"majority-vote",0.999627236769825,0.236712907436246,0.382782474025701
"majority-vote",0.883763926768135,0.690614531596142,0.775341160295936
"majority-vote",0.898468198779807,0.459081461852754,0.607668516423702
"majority-vote",0.913677291891108,0.280878778221662,0.42967018100879
"majority-vote",0.934032316221211,0.203677949509535,0.334429235059044
"majority-vote",0.991107623904799,0.176449794845954,0.299566829176382
"majority-vote",0.99221375017406,0.496137983834977,0.661503485091798
"majority-vote",0.982680059098866,0.157591191869563,0.271622601391239
"majority-vote",0.943370113400786,0.343073710442329,0.503163028383084
"majority-vote",0.934187270403413,0.262664559522852,0.410038873245463
"majority-vote",0.999692077596446,0.314612287360354,0.4786036165968
"majority-vote",0.99512519891428,0.228597818201912,0.371789115882828
"majority-vote",0.958705566103622,0.271413109225979,0.423057163096425
"majority-vote",0.949613398455307,0.367388129790381,0.529804534011596
"majority-vote",0.994561136674304,0.24840998454771,0.397529616537065
"majority-vote",0.986685825679776,0.173759617458535,0.295483346736608
"majority-vote",0.992172196354679,0.254942616933754,0.405651466075676
"majority-vote",0.936193785215022,0.482181622502335,0.636524626520508
"majority-vote",0.964489076627436,0.418116607096447,0.583346220904997
"majority-vote",0.993370605478229,0.107974002235028,0.19477681958024
"majority-vote",0.960581492539683,0.847641735669639,0.900584563770699
"majority-vote",0.921338443005416,0.438895170979688,0.594561094970043
"majority-vote",0.935907243229419,0.465173746857572,0.621462259675851
"majority-vote",1,0.0331354431725366,0.0641454000857522
"majority-vote",0.93212730473451,0.296186954703121,0.449533082700423
"majority-vote",0.769427414874772,0.372789256970408,0.502241442195841
"majority-vote",1,0.134134228375422,0.236540305405579
"majority-vote",0.946926551310009,0.0914155324736726,0.166734636404271
"majority-vote",0.988044152455952,0.119455590455199,0.213142076795771
"majority-vote",0.90333088001533,0.427985834741583,0.58079766661955
"majority-vote",0.881017656703257,0.849080471446594,0.864754287788679
"majority-vote",0.992191609973054,0.421321681116426,0.591479174251355
"majority-vote",0.937228639633433,0.842875844573793,0.887551700698727
"majority-vote",0.801062655418324,0.661410840107749,0.724569061278734
"majority-vote",1,0.152964102271243,0.265340615496903
"majority-vote",0.956848853683304,0.429400416897903,0.592781262936394
"majority-vote",0.947112388212368,0.399292347986137,0.561754900482344
"majority-vote",0.941477188223009,0.688122829657441,0.795105473379389
"majority-vote",0.970914910395405,0.603040517274502,0.74398679848406
"majority-vote",0.926797738643707,0.376949325497995,0.535925705320463
"majority-vote",0.997783328411971,0.14397887503329,0.251645606621475
"majority-vote",0.938786771766484,0.520509039868532,0.669702465144424
"majority-vote",0.993301987224982,0.628363761508291,0.7697701866046
"majority-vote",0.9078471386933,0.578640353703621,0.706789652962706
"majority-vote",0.91648786685287,0.237175201226001,0.376831330145618
"majority-vote",0.993685354426232,0.89336830959227,0.940860371145921
"majority-vote",0.62035175879397,0.245860560346044,0.352153918060559
"majority-vote",0.516295960054471,0.27841935411274,0.361756682341063
"majority-vote",0.916891595003452,0.642653832025666,0.755661087992267
"majority-vote",0.937424550692757,0.549116147053839,0.692554140240338
"majority-vote",0.6980928023433,0.389132884812072,0.499713848286903
"majority-vote",0.913192182410423,0.564220831159079,0.697492234649717
"majority-vote",0.566581056891587,0.210866188330331,0.307346353289339
"majority-vote",0.907245362268113,0.566216729915959,0.697265990051269
"majority-vote",0.887809906241999,0.590763684542005,0.709448423336589
"majority-vote",0.965208708002334,0.218435479483644,0.356248658445384
"majority-vote",0.999319638753377,0.350944624243302,0.519462544825003
"majority-vote",0.961376315140255,0.396447843928932,0.56139164235076
"majority-vote",1,0.388271776049268,0.55935989299474
"majority-vote",0.633142506521259,0.551298307330444,0.589392712682776
"majority-vote",0.935177891299526,0.501916270395996,0.653236248352804
"majority-vote",0.996191113951551,0.051409228052306,0.097772812984873
"majority-vote",0.929042325600543,0.515114799261135,0.662758148428841
"majority-vote",1,0.213380156056231,0.351711959341361
"majority-vote",0.958006302181848,0.831963404259819,0.890547121101845
"majority-vote",0.965556027022857,0.409703206560035,0.575297210481574
"majority-vote",0.583792934813721,0.283391039877695,0.381560756883183
"majority-vote",0.991044761924841,0.460153854568001,0.628491595935024
"majority-vote",0.960615123034197,0.040887642194362,0.0784367029244328
"majority-vote",0.913130205572473,0.160477979723399,0.272980948956343
"majority-vote",0.826432030009545,0.226110936146477,0.355073998830356
"majority-vote",0.926865164942498,0.102541576780835,0.184654348226478
"majority-vote",0.931222370260471,0.391674316559369,0.551420060342532
"majority-vote",0.980730959141049,0.415479646588731,0.583685227186151
"majority-vote",0.883240236414884,0.928849696915665,0.905470982215356
"majority-vote",0.985855535365427,0.849964275615196,0.912880426462454
"majority-vote",1,0.696511395918245,0.821110188347724
"majority-vote",0.971027938525872,0.851282760885194,0.907221084387102
"majority-vote",0.926150488917212,0.255450654888316,0.400449424341407
"majority-vote",0.942884789992084,0.34221836184781,0.502173678090096
"majority-vote",0.885356997839453,0.637919377715304,0.741541579953862
