"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.88010281221651,0.455249753999752,0.600091090387238
"majority-vote",0.990951642794501,0.173677381641211,0.295554864325993
"majority-vote",0.889600903817917,0.157594252552551,0.267755229107766
"majority-vote",0.970513702830525,0.480877674562467,0.6431047887117
"majority-vote",0.976738057227588,0.320617168030436,0.482765219145862
"majority-vote",0.945552672010393,0.265478644969543,0.414562428886897
"majority-vote",0.982156193792283,0.173027196112891,0.294221218625274
"majority-vote",0.833983292939918,0.43308057136257,0.570108533893177
"majority-vote",0.977380270088906,0.228025887332968,0.369780761408137
"majority-vote",0.808407090756975,0.458386248292535,0.585040482930246
"majority-vote",0.995625369966649,0.242002020570722,0.389363314202
"majority-vote",0.978068861150071,0.864308266890072,0.917676396883
"majority-vote",0.864980329179584,0.683199120045328,0.763417703351983
"majority-vote",0.999881737052464,0.164899315399234,0.28310868136651
"majority-vote",0.847934741775018,0.612720271302187,0.711388795267123
"majority-vote",0.989890403107356,0.164928841277863,0.282748106199923
"majority-vote",0.832365062026271,0.755742507617324,0.79220535340683
"majority-vote",0.81027056218045,0.554572423443058,0.658469456261595
"majority-vote",0.999762054893936,0.639825216456907,0.780285361267648
"majority-vote",0.955866590346639,0.246548986384692,0.391990828345055
"majority-vote",0.72552381419372,0.42606687414191,0.536860304203747
"majority-vote",1,0.419418753798261,0.590972540944562
"majority-vote",1,0.0526438064612128,0.100022070406116
"majority-vote",0.933777215000182,0.637984584023544,0.758048030500023
"majority-vote",0.991401604320039,0.195173533893218,0.326140921701617
"majority-vote",0.882403479274153,0.762856177725802,0.818286575674599
"majority-vote",0.89767280827305,0.510584312968522,0.650928935020802
"majority-vote",0.922125357693198,0.298268780132247,0.450741603951397
"majority-vote",0.977877152427765,0.20084784757457,0.333249097553844
"majority-vote",0.997011373470145,0.19191225840416,0.321868788217539
"majority-vote",0.988936391323562,0.504277981774311,0.667953451968452
"majority-vote",0.986761278835328,0.174797179508859,0.296985635376193
"majority-vote",0.966892497575498,0.299784283526306,0.457668726477327
"majority-vote",0.974735739860303,0.256938457979808,0.406677509972528
"majority-vote",0.985793396189594,0.338080538509612,0.50348836623741
"majority-vote",0.949414421898568,0.214163348711078,0.349490643503539
"majority-vote",0.978210462185186,0.354327274183462,0.52022038428476
"majority-vote",0.959352022985594,0.461491388775388,0.623197030365761
"majority-vote",0.997359359702244,0.296879429699188,0.457559270110409
"majority-vote",0.972643709755665,0.249332485968058,0.396917182123905
"majority-vote",0.9897408072965,0.309980538441981,0.472101792233706
"majority-vote",0.955320370578102,0.618611176862871,0.750949886842594
"majority-vote",0.972241355982238,0.505741917266904,0.665370463008948
"majority-vote",0.997212606606852,0.120433174080167,0.214911524781307
"majority-vote",0.97336141542883,0.902134892279913,0.936395653831036
"majority-vote",0.966190466550115,0.530990075611365,0.685338253391609
"majority-vote",0.909567432333639,0.258094792727016,0.402093367210197
"majority-vote",1,0.0279616675951228,0.0544021600738052
"majority-vote",0.947543248693567,0.308084956014036,0.464984489836519
"majority-vote",0.872589222291508,0.43734067925676,0.582655243976098
"majority-vote",1,0.128019566155124,0.226981109186752
"majority-vote",0.870185593052379,0.0918904325257165,0.166227467263167
"majority-vote",0.971716489158943,0.124385847913886,0.220541048673831
"majority-vote",0.915379637863787,0.42515482097097,0.580631200476171
"majority-vote",0.894341006278714,0.83899396102168,0.865783841573947
"majority-vote",0.992251152669799,0.362013272863449,0.530484417234964
"majority-vote",0.923852305238001,0.812712485711283,0.864725931716766
"majority-vote",0.792568837452582,0.648319157772183,0.713223460639052
"majority-vote",1,0.135170074002223,0.238149466935222
"majority-vote",0.96457517853174,0.463768044805469,0.626374861877217
"majority-vote",0.922745523056556,0.377643109171535,0.535945146958298
"majority-vote",0.940591249804175,0.754555764744076,0.837365188643199
"majority-vote",0.910662784097515,0.672078189554533,0.773388198599197
"majority-vote",0.923945924126215,0.438677789841429,0.594903129563925
