"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.290919693463928,0.450716949996018
"majority-vote",1,0.184036850420437,0.310863382934556
"majority-vote",0.980487804878049,0.213072739945817,0.350070591684404
"majority-vote",0.992307692307692,0.668007616917773,0.798485797371662
"majority-vote",0.984829329962073,0.380967307658329,0.549405040258832
"majority-vote",0.976157407407407,0.250846931494137,0.399128320153509
"majority-vote",0.992290748898678,0.482915105164623,0.649661455773651
"majority-vote",0.876533438860309,0.24212593225876,0.379438963315025
"majority-vote",1,0.142559487819831,0.249544096985016
"majority-vote",0.892165282778068,0.215505424207312,0.347154540633097
"majority-vote",0.927461139896373,0.197525143944449,0.325687340001089
"majority-vote",1,0.343912329874051,0.511807686006247
"majority-vote",0.975481171548117,0.478564810041346,0.642113065847515
"majority-vote",0.996665644642036,0.245865215774532,0.394429501240434
"majority-vote",0.994594594594595,0.659856411592134,0.793362411729285
"majority-vote",0.990326147042565,0.183554415895592,0.309705677401367
"majority-vote",0.926335764133929,0.810240916351549,0.864407712962334
"majority-vote",0.98581629341123,0.66755212824833,0.796052175797574
"majority-vote",1,0.508346374543558,0.674044613522393
"majority-vote",1,0.370206076183336,0.540365544450851
"majority-vote",0.808148530170191,0.407450563444325,0.541758505241148
"majority-vote",1,0.256840126174869,0.408707712024678
"majority-vote",1,0.0377243161125945,0.0727058536199924
"majority-vote",0.977667493796526,0.520440281636046,0.67928029499874
"majority-vote",0.955985840132182,0.217718267488829,0.354664484014293
"majority-vote",0.8765625,0.318385948129252,0.46710832269621
"majority-vote",0.932920741646292,0.386291795118557,0.546355674996317
"majority-vote",0.980132450331126,0.21543040477648,0.353223303329198
"majority-vote",0.994285714285714,0.125856872838764,0.223431716902217
"majority-vote",0.997319034852547,0.211230571593893,0.348623289717996
"majority-vote",0.892802880367203,0.412884605384358,0.564644402231133
"majority-vote",0.943722943722944,0.116864936179316,0.207975451500166
"majority-vote",0.878821774794929,0.273252550352776,0.416883331268543
"majority-vote",0.958415841584158,0.26391164426023,0.413861430045152
"majority-vote",0.990958632648006,0.295010483167286,0.45466595024864
"majority-vote",0.992200714151475,0.177152183189248,0.300628703402698
"majority-vote",0.977358490566038,0.282402022392535,0.43819124587443
"majority-vote",0.919993508601104,0.275992702448867,0.424606057040276
"majority-vote",0.965648854961832,0.247124583128745,0.393536934824211
"majority-vote",0.978723404255319,0.179639122555357,0.30356129362868
"majority-vote",0.954918032786885,0.249664948230504,0.395837505555246
"majority-vote",0.92911877394636,0.357544585811339,0.516376540422741
"majority-vote",0.916030534351145,0.265587336315574,0.411784749776644
"majority-vote",0.975,0.136730637560195,0.239828546802952
"majority-vote",0.829938616569108,0.519385552322987,0.638924487826903
"majority-vote",0.966442953020134,0.0960958496406706,0.174809910879755
"majority-vote",0.967728055077453,0.206467505301382,0.340325588145703
"majority-vote",1,0.020766879040351,0.0406887791262868
"majority-vote",0.959678416821274,0.20706368218058,0.340631484654994
"majority-vote",0.956204379562044,0.267965076422482,0.418617501673876
"majority-vote",1,0.127355963753023,0.22593744628635
"majority-vote",0.910946833932248,0.210979975791337,0.342609766171061
"majority-vote",0.95541346973572,0.108750907238964,0.195274496816873
"majority-vote",0.996666666666667,0.382043117148742,0.552356477862726
"majority-vote",0.999206349206349,0.871301477713178,0.930880861415756
"majority-vote",1,0.470047547826427,0.639499788318312
"majority-vote",0.989342806394316,0.886897171242149,0.935323142922498
"majority-vote",0.895365918803419,0.535041805451703,0.669820484905409
"majority-vote",1,0.287708317693867,0.446853241127025
"majority-vote",0.930041152263374,0.373828467757027,0.533298504027047
"majority-vote",0.982658959537572,0.527577629074576,0.686553203611811
"majority-vote",0.989346590909091,0.484646237644268,0.65059082204743
"majority-vote",0.980446927374302,0.474331253002086,0.639350556444524
"majority-vote",0.978191489361702,0.610000930968673,0.751417412069183
"majority-vote",0.998338870431894,0.153569148301725,0.266191479797636
"majority-vote",0.995121951219512,0.362151851771417,0.531042825078295
"majority-vote",0.97265625,0.318171867211452,0.479493514420703
"majority-vote",0.970461095100865,0.430230219131467,0.596165172670664
"majority-vote",0.92931384147372,0.363847049954949,0.522948230098351
"majority-vote",1,0.841873848907844,0.914149304423906
"majority-vote",1,0.242665577564495,0.39055652936021
"majority-vote",1,0.254730787557008,0.4060325770008
"majority-vote",1,0.50797073610105,0.673714315457393
"majority-vote",0.912408759124088,0.559565219562846,0.693697327565219
"majority-vote",1,0.166212174524982,0.285046200264002
"majority-vote",1,0.405184991010621,0.576699856037045
"majority-vote",1,0.144097222222222,0.251896813353566
"majority-vote",1,0.494902993047476,0.662120546081158
"majority-vote",0.971851628211021,0.416229779912372,0.582838422804946
"majority-vote",1,0.154244041804573,0.267264176756631
"majority-vote",0.980952380952381,0.156368968636416,0.269739967769741
"majority-vote",1,0.453084043444043,0.623617120411234
"majority-vote",1,0.433868090658123,0.605171554461449
"majority-vote",0.9,0.51589789520824,0.655849701110162
"majority-vote",0.986418511066398,0.473440695296524,0.639802336687169
"majority-vote",0.974528252885785,0.093519720055921,0.170662014638623
"majority-vote",0.89375,0.50542604899776,0.645700777418712
"majority-vote",0.982905982905983,0.241683930722107,0.38797082816924
"majority-vote",0.938554518797486,0.774324541100905,0.848566386361399
"majority-vote",0.960972222222222,0.364345292490435,0.528365016675494
"majority-vote",0.99438202247191,0.185621500183662,0.312844291094165
"majority-vote",0.978427018874023,0.360050414600742,0.52639371421842
"majority-vote",0.954426755099793,0.0858761930874248,0.157574361298462
