"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.844606621573514,0.463171036204744,0.598262742558525
"majority-vote",0.839691790617849,0.643080095855232,0.728350843613302
"majority-vote",0.830496682331439,0.856350900936762,0.84322565855251
"majority-vote",0.35329078138177,0.976290606834648,0.518831678002029
"majority-vote",0.739988503521366,0.861715660594937,0.79622653974479
"majority-vote",0.658098342636544,0.578454787223594,0.61571173541905
"majority-vote",0.930065071174771,0.361865003769645,0.521015815041157
"majority-vote",0.429396603811018,0.960233918128655,0.593425629041403
"majority-vote",0.961397376807818,0.601582467711048,0.740073275313429
"majority-vote",0.246911515580181,0.998393641384657,0.395910810713622
"majority-vote",0.819473020508396,0.699057091864568,0.75449070375415
"majority-vote",0.70373981300935,0.629449493126866,0.664524785119558
"majority-vote",0.282826797903717,0.357713491243511,0.315892576968277
"majority-vote",0.994850543145092,0.36987694791068,0.539261185749428
"majority-vote",0.484108784921793,0.962504281362104,0.644203745966702
"majority-vote",0.890284074581578,0.94941887787699,0.918901071448959
"majority-vote",0.722987872347676,0.979678854600422,0.831984227402076
"majority-vote",0.325871370146755,0.903836797877046,0.479031600134168
"majority-vote",1,0.630861165340667,0.773654040880773
"majority-vote",0.504223814782981,0.659854840291344,0.57163581399656
"majority-vote",0.675387267180622,0.869224233710215,0.760143219747011
"majority-vote",1,0.676587689384782,0.807100867635564
"majority-vote",1,0.00201973679495663,0.00403133136162952
"majority-vote",0.433137630571673,0.795848125223115,0.560969514298597
"majority-vote",0.771118640877218,0.774399049556771,0.772755363832999
"majority-vote",0.351628857507853,1,0.520303862343084
"majority-vote",0.562030131997702,0.953684545848778,0.707256397291214
"majority-vote",0.686219204147357,0.387301145413571,0.495143820757124
"majority-vote",0.697564724475265,0.726091596612831,0.711542353351013
"majority-vote",0.980579740666374,0.339971499668019,0.504893948521085
"majority-vote",0.591626983401365,0.543516432764814,0.566552178282014
"majority-vote",0.957593713941788,0.921398527865405,0.939147505442086
"majority-vote",0.275250889767019,0.785884426184726,0.407705566499543
"majority-vote",0.313807218579236,0.450778893873336,0.370024170140524
"majority-vote",0.635919234856536,0.300755674320071,0.40837288672653
"majority-vote",0.865255436365931,0.739066664475757,0.797198329361651
"majority-vote",0.598204720737746,0.47949300775258,0.532310634448755
"majority-vote",0.30456227611787,0.839971882380616,0.447035584693195
"majority-vote",0.674783904378599,0.538409887952162,0.598932056271769
"majority-vote",0.976225903030564,0.364095375072156,0.530379308492671
"majority-vote",0.710402974870355,0.488189881548985,0.578697832707038
"majority-vote",0.488747792330371,0.909597184223271,0.635842546943911
"majority-vote",0.431525782938709,0.550248608446244,0.483708810607177
"majority-vote",1,0.0098957590451025,0.0195975851100897
"majority-vote",0.47282089347795,0.478642025607643,0.475713652448798
"majority-vote",0.287430645983286,0.894764477794133,0.435093541975541
"majority-vote",0.7402213381085,0.670586830393553,0.703685578229811
"majority-vote",1,0.517922747894464,0.682409890243602
"majority-vote",0.951089829431833,0.563470880071733,0.707679025151639
"majority-vote",0.880112554358639,0.715195858028476,0.789129987140591
"majority-vote",NA,0,NA
"majority-vote",1,1.60385058623758e-05,3.20764972656621e-05
"majority-vote",1,6.24553406739336e-05,0.000124902880495915
"majority-vote",0.906687340498533,0.382830445375516,0.53835243248564
"majority-vote",0.561754826905521,0.85074167753318,0.676685913631872
"majority-vote",0.720401827721648,0.65841657545632,0.68801591749532
"majority-vote",0.690920296537743,0.774253790416198,0.730217198397186
"majority-vote",0.684235453816517,0.818280739934712,0.745278747433247
"majority-vote",0.974875981206871,0.646723347199092,0.777596594455753
"majority-vote",0.0420597529445562,0.0363412969283276,0.0389919770964413
"majority-vote",0.690721649484536,0.0242700661441771,0.0468924597411981
"majority-vote",0.747458634396837,0.655483904519216,0.698456409368818
"majority-vote",0.961613011510682,0.209550966031337,0.344113957352546
"majority-vote",0.585757185757186,0.0329103944159448,0.0623194123404629
"majority-vote",0.993897881003401,0.36972121451439,0.538955684730013
"majority-vote",0.627413640594006,0.577086852490662,0.601198862331476
