"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.701931620986325,0.44426954700705,0.544139810695641
"majority-vote",0.833753993716608,0.318583945858185,0.461011701638966
"majority-vote",0.87042251341972,0.816706753797228,0.842709517498556
"majority-vote",0.285565139882477,0.965543764646785,0.440770006856847
"majority-vote",0.613084090610737,0.672911885372679,0.641606317608237
"majority-vote",0.6583695901667,0.468025711569511,0.547115023364433
"majority-vote",0.894153741146125,0.302724615039277,0.452313880814234
"majority-vote",0.336824157884419,0.945312723220663,0.496677330835055
"majority-vote",0.984152818951294,0.522950566058721,0.682983369127587
"majority-vote",0.165803922451702,0.988722341232493,0.283984951314748
"majority-vote",0.853886572142139,0.420709954502612,0.563689878964241
"majority-vote",0.737974979032227,0.10174358116958,0.178831862814227
"majority-vote",0.42285928341733,0.282026683094123,0.338374167691164
"majority-vote",0.889094825663797,0.349541115033586,0.501802323866271
"majority-vote",0.276259539835964,0.879860300324027,0.420492397490232
"majority-vote",0.676451779098516,0.601353316037087,0.636695724643218
"majority-vote",0.346763558383482,0.924840117187205,0.504403779468007
"majority-vote",0.278982048828715,0.802133191346067,0.413981327502262
"majority-vote",1,0.41892671262917,0.590483932539305
"majority-vote",0.441148080440099,0.630576240950965,0.519121368647463
"majority-vote",0.511881087134251,0.658032011021,0.575827626345402
"majority-vote",1,0.585146175239247,0.738286707408458
"majority-vote",1,0.00564889727506513,0.0112343329573006
"majority-vote",0.458725159720159,0.761322979656821,0.572498730451803
"majority-vote",0.750533298265215,0.730287866419174,0.740272186997636
"majority-vote",0.224494176192825,1,0.366672509445195
"majority-vote",0.376542565424514,0.891708947673913,0.529494932671247
"majority-vote",0.777905466412026,0.295177282073426,0.427963307787117
"majority-vote",0.525602452087179,0.751068938110745,0.618426446442605
"majority-vote",0.972425438715754,0.285864708906545,0.441841041983968
"majority-vote",0.828486325058662,0.599275620819827,0.69548240618611
"majority-vote",0.916059431558135,0.765849958320083,0.834247173717622
"majority-vote",0.567363581793985,0.412942595094588,0.477990642825051
"majority-vote",0.620153427506066,0.372641748528278,0.465544279747126
"majority-vote",0.838605887950244,0.205123818630125,0.329621818709468
"majority-vote",0.83572488728136,0.54018286668184,0.656212982401838
"majority-vote",0.879763643857248,0.173093573501364,0.289272715124418
"majority-vote",0.297235714751406,0.816493180938124,0.43581689433592
"majority-vote",0.720808744427871,0.453010640134366,0.556361626025619
"majority-vote",0.96557616071161,0.265947098787276,0.417031796385072
"majority-vote",0.843199658695359,0.427557674920747,0.567404139293627
"majority-vote",0.389084328020601,0.874554636136348,0.538564435840154
"majority-vote",0.587766453312839,0.671696307769976,0.626934862578804
"majority-vote",1,0.0264120828861612,0.0514648713251568
"majority-vote",0.677926601596191,0.706682153910645,0.692005780122275
"majority-vote",0.21254920843814,0.937354368757302,0.346522844274159
"majority-vote",0.585841910252795,0.615945703232052,0.600516769093854
"majority-vote",1,0.52137359636924,0.685398507787303
"majority-vote",0.772673431062434,0.508412538259276,0.613287273046865
"majority-vote",0.607837058208245,0.55054481828923,0.577774133988616
"majority-vote",1,0.00310334373974463,0.00618748558483481
"majority-vote",1,0.000693617967226853,0.00138627438962955
"majority-vote",0.957596113510921,0.0105858552471502,0.0209402243998892
"majority-vote",0.786459814501655,0.415009994560971,0.543315663659329
"majority-vote",0.558116515828629,0.74935815216808,0.639751073168602
"majority-vote",0.572935059939961,0.557701977136248,0.565215900808411
"majority-vote",0.668323875554667,0.684812192293494,0.676467576699068
"majority-vote",0.512626818307035,0.699682194557913,0.591723485375529
"majority-vote",0.841211342568613,0.411098006341142,0.552292141143208
"majority-vote",0.685540579925787,0.194166717340918,0.302621484263587
"majority-vote",0.961525323183671,0.0249983047808957,0.0487297058116848
"majority-vote",0.690695990058067,0.665410310572199,0.677817414522605
"majority-vote",0.450060606624398,0.427198796280774,0.438331806456843
"majority-vote",0.902279519764865,0.0892276495178705,0.16239576122273
"majority-vote",0.996490829464772,0.26556184643657,0.419364341414321
"majority-vote",0.569609433706338,0.660926506823187,0.611879687335359
"majority-vote",0.880283493962084,0.635779585015457,0.738315288127218
"majority-vote",0.766616168199414,0.484242486450926,0.593557262544803
"majority-vote",1,0.0129855502390604,0.0256381746728684
"majority-vote",0.968020029365305,0.789080147127183,0.869438632370316
"majority-vote",1,0.82979683972912,0.906982482112016
"majority-vote",1,0.515147101104395,0.679996154470946
"majority-vote",0.798176866134839,0.626679413839808,0.702107317965818
"majority-vote",0.611221104298663,0.558013602296435,0.583406716009181
"majority-vote",0.601199893034044,0.714518653861896,0.652979376609146
"majority-vote",0.562440324670156,0.666160006445309,0.609922105372053
"majority-vote",1,0.595020757271755,0.746097822939337
"majority-vote",0.652243405347099,0.721423708519573,0.685091535777438
"majority-vote",0.834396545643261,0.474215958437201,0.604738463640081
"majority-vote",0.904625906650823,0.38663107620276,0.541730255857156
"majority-vote",0.962011712911403,0.631956509059452,0.762812652581113
"majority-vote",0.592522542382589,0.539857599504271,0.564965395542573
"majority-vote",0.395369884149284,0.653418614284715,0.492648502946929
"majority-vote",1,0.00968332137088492,0.019180907846903
"majority-vote",0.94055734943845,0.549259201287201,0.693521330885662
"majority-vote",0.934059174847775,0.0205805421289909,0.040273715532816
"majority-vote",0.253027868340097,1,0.403866306142554
"majority-vote",0.806123521304992,0.592459234259054,0.682970417375058
"majority-vote",0.785756590335984,0.634930639096014,0.702337465615702
"majority-vote",0.992438150479468,0.11468406485846,0.205608449800381
"majority-vote",0.326361557345127,0.939203805365501,0.484400135488917
"majority-vote",0.484765149695197,0.889542749203597,0.627543979516507
"majority-vote",0.861245123877525,0.992853816754878,0.922378509219871
"majority-vote",0.213601526681545,0.990129464362385,0.351396062365678
"majority-vote",0.385374747864359,0.86649387989096,0.533482272956609
"majority-vote",0.784517709146424,0.936555468108442,0.853821162329563
"majority-vote",0.513877632404796,0.98707377076906,0.675884817135449
"majority-vote",0.545123141719673,0.616302850333511,0.578531819200424
"majority-vote",0.357814211709014,0.633795567940083,0.457399808233838
"majority-vote",0.38458787558241,0.659424940651547,0.485830888448411
"majority-vote",0.347165097542561,0.623823081557888,0.446080818736602
"majority-vote",0.383818265422209,0.596373740473303,0.467049584642743
"majority-vote",0.812145737455451,0.637934243997545,0.71457517332297
