"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.671708857534966,0.478348156018276,0.558773503567906
"majority-vote",0.750070286169898,0.353846011361021,0.480850549258613
"majority-vote",0.750024628550587,0.798100070718905,0.773315882589562
"majority-vote",0.334083715525894,0.963798795644632,0.496176625999755
"majority-vote",0.628001521300811,0.644925248854844,0.636350883494453
"majority-vote",0.608521791157942,0.512065021749108,0.556142050995105
"majority-vote",0.840502814835841,0.271481317755338,0.410402999576966
"majority-vote",0.375751660871304,0.955617440749458,0.539406900884313
"majority-vote",0.944904639617769,0.447007196219593,0.60690506794394
"majority-vote",0.128120122165475,0.98999603556306,0.226878776669052
"majority-vote",0.815215911199594,0.450431162017761,0.580254413647177
"majority-vote",0.818799846477283,0.121868828099609,0.212160095122142
"majority-vote",0.481176777517891,0.228002678402235,0.309398680808351
"majority-vote",0.927324870638361,0.342186553512083,0.499905862103018
"majority-vote",0.298875156765794,0.891662714316206,0.447689804745597
"majority-vote",0.68659362495164,0.558772906359592,0.616123696367936
"majority-vote",0.392180151960838,0.907756065764965,0.54772519906845
"majority-vote",0.286721147435436,0.871075558783806,0.431432880014019
"majority-vote",0.947841384197708,0.400358703205092,0.562938025248975
"majority-vote",0.395327790502466,0.614511304308832,0.481132880316135
"majority-vote",0.433455251450025,0.626842957877628,0.512513120433954
"majority-vote",1,0.568638021101969,0.725008591469051
"majority-vote",1,0.00584490277412337,0.0116218768082497
"majority-vote",0.497431936726233,0.772157550002882,0.605070898224394
"majority-vote",0.698512803732925,0.740554501593109,0.718919538106865
"majority-vote",0.20360774896036,1,0.338329076289564
"majority-vote",0.433853484820191,0.894852163482904,0.584380340403857
"majority-vote",0.814889531522664,0.399123905271266,0.535812672790384
"majority-vote",0.591836255323044,0.578252577840144,0.584965569451047
"majority-vote",0.96984088996336,0.287136968402032,0.443090021233225
"majority-vote",0.837953106922557,0.592813876040544,0.694383131802796
"majority-vote",0.878523883068833,0.776833679118393,0.824555317675287
"majority-vote",0.635888425441125,0.346285361315884,0.448390816634462
"majority-vote",0.643307998504639,0.36783217665502,0.468044663168847
"majority-vote",0.857034536221942,0.207889957482753,0.334613156800649
"majority-vote",0.788561925269031,0.603290396740542,0.683595276923017
"majority-vote",0.873027083207633,0.130087870796962,0.226435133778383
"majority-vote",0.34385834050388,0.816178029708794,0.483863489211015
"majority-vote",0.810919823763515,0.372186956489405,0.510205479676055
"majority-vote",0.970863104551612,0.231451934538089,0.373792452750582
"majority-vote",0.843469908845081,0.490024283776118,0.619906318686052
"majority-vote",0.506868529140255,0.847208357984274,0.634267165136727
"majority-vote",0.611949810747977,0.709664022202391,0.657194640755111
"majority-vote",1,0.0206835103723541,0.040528744046837
"majority-vote",0.728105942578544,0.725901386973689,0.727001993510327
"majority-vote",0.252536608032553,0.93711955854935,0.397857803430675
