"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.61,0.144374881426674,0.233487831683143
"majority-vote",0.814288234622609,0.549599537273315,0.656259915482021
"majority-vote",0.814949054374091,0.704130036375001,0.755497341507391
"majority-vote",0.121997097193954,0.93608543565191,0.215861622000156
"majority-vote",0.543846624560068,0.589841419280303,0.565910995787974
"majority-vote",0.501727005141654,0.802584388185654,0.617457247583492
"majority-vote",0.702310467977007,0.460253768527598,0.556082888864125
"majority-vote",0.14975845410628,0.864516129032258,0.255292996957871
"majority-vote",0.621535022354694,0.260999903297553,0.36762416084718
"majority-vote",0.211488833929771,0.993709202895911,0.348753307197987
"majority-vote",0.809736560248204,0.441003780858477,0.571016817531974
"majority-vote",0.619201877934272,0.612975044009527,0.616072727248911
"majority-vote",0.405458860759494,0.0932591535406713,0.151639800712059
"majority-vote",0.944649189903345,0.551395818064673,0.696336821521643
"majority-vote",0.401042490496749,0.912572261256472,0.557210935586843
"majority-vote",0.649066460105073,0.62423459961767,0.636408394943413
"majority-vote",0.66653888874612,0.897294685512507,0.764891881596596
"majority-vote",0.506623188405797,0.947504624525869,0.660227814415776
"majority-vote",1,0.582886511540402,0.736485537391004
"majority-vote",0.453486867972825,0.641018319027706,0.531186865556515
"majority-vote",0.374980530574123,0.785415592598957,0.507612098579921
"majority-vote",1,0.543201866821892,0.703993273337047
"majority-vote",1,0.00120758362516604,0.00241225425159812
"majority-vote",0.44009280260553,0.629591101744587,0.518056804137138
"majority-vote",0.693501589825119,0.822151318364647,0.752366512519915
"majority-vote",0.13567149081855,1,0.238927351642441
"majority-vote",0.41244513015071,0.785366487600402,0.540853968009617
"majority-vote",0.670963960313666,0.432584674582887,0.526027974211287
"majority-vote",0.527607709750567,0.615973619494746,0.568376594365813
"majority-vote",0.895215177883265,0.230728105862348,0.36689468344286
"majority-vote",0.486073550784757,0.75431320195536,0.591189313604483
"majority-vote",0.72316229272751,0.468614315291334,0.568704235963079
"majority-vote",0.224368491008219,0.604676759207582,0.327293141057935
"majority-vote",0.233812356160232,0.469845565281251,0.312241773459467
"majority-vote",0.461280993694591,0.221274684904238,0.299081261008967
"majority-vote",0.812855587722811,0.633640162861375,0.71214581415735
"majority-vote",0.524783377768663,0.168249724132077,0.25480646825243
"majority-vote",0.182014768881399,0.729732120051086,0.291357228170958
"majority-vote",0.392970921145978,0.421575780849974,0.406771085138523
"majority-vote",0.85681484552985,0.137845463486599,0.237484171095658
"majority-vote",0.515233945036901,0.229975792120876,0.318008015003534
"majority-vote",0.182626896912611,0.891008064516129,0.30312358258183
"majority-vote",0.44130011797644,0.256342879056598,0.324303815135235
"majority-vote",1,0.0266543262343996,0.0519246362739508
"majority-vote",0.474097497172526,0.517848676191266,0.495008233085536
