"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.28991999241468,0.333183236999805,0.310049689950897
"majority-vote",0.554376912918228,0.405516618652746,0.468404138150244
"majority-vote",0.650371701245883,0.885523378058932,0.749946208749968
"majority-vote",0.101762742749489,0.965993786497918,0.184128449698696
"majority-vote",0.293067528083727,0.733778104692903,0.418848809285613
"majority-vote",0.314778293131809,0.650309666691817,0.424217015256881
"majority-vote",0.71942405511645,0.273759943334517,0.396602218459707
"majority-vote",0.08331564671331,0.961366058672794,0.15334208399284
"majority-vote",0.809227503601316,0.565933711574484,0.666058814875316
"majority-vote",0.099699048762731,0.997709035367906,0.181282866796015
"majority-vote",0.644533964356492,0.512366626685971,0.570900725021326
"majority-vote",0.649658928907648,0.378122675424346,0.478021344761342
"majority-vote",0.154830741887537,0.132711776483768,0.142920517818246
"majority-vote",0.837663765757515,0.540366011609043,0.656945206273864
"majority-vote",0.162524672728852,0.837423239099931,0.272218055081164
"majority-vote",0.294081092637385,0.596365284904457,0.393914241259221
"majority-vote",0.275779651484519,0.946117931851741,0.427073556847397
"majority-vote",0.186627351411524,0.7075589505534,0.295351992351317
"majority-vote",0.26683194087029,0.264102375935553,0.265460141974997
"majority-vote",0.217987182766209,0.646464291568347,0.326035489236492
"majority-vote",0.149991749754428,0.697651197577518,0.246900948500301
"majority-vote",1,0.622788785197356,0.76755372095034
"majority-vote",1,0.0016455126784883,0.00328561882953592
"majority-vote",0.151520463875144,0.827414162203271,0.256135955014959
"majority-vote",0.483654364669788,0.816058381073752,0.607349891926907
"majority-vote",0.0141590379160751,1,0.0279227170231004
"majority-vote",0.257119104025347,0.936102003381733,0.403428512773919
"majority-vote",0.76305249543056,0.514729600693791,0.614761636546126
"majority-vote",0.240046662933076,0.689593549189387,0.35612622626372
"majority-vote",0.935432875769684,0.364019221707778,0.524090958117762
"majority-vote",0.383995924862468,0.630062585869222,0.477174566993217
"majority-vote",0.293588945601767,0.553605498739114,0.383695751878089
"majority-vote",0.305293481070021,0.400543938140884,0.34649184038226
"majority-vote",0.355780216603692,0.328182939285366,0.341424815706076
"majority-vote",0.585276542050941,0.205881970151465,0.304611239599624
"majority-vote",0.722902917194871,0.537596916104828,0.616629004876267
"majority-vote",0.722934344807398,0.175733501576765,0.282738020135639
"majority-vote",0.101789444005711,0.844948521504859,0.181690907834343
"majority-vote",0.33165566014653,0.517497162324614,0.404240222614483
"majority-vote",0.788979498517319,0.213715355574657,0.336327714017123
"majority-vote",0.35275743859625,0.428427707852975,0.386927635613208
"majority-vote",0.160768079036866,0.874067615811735,0.271583541700201
"majority-vote",0.248624498858517,0.616525962334873,0.354350983544142
"majority-vote",1,0.0181825000854453,0.0357156012481445
"majority-vote",0.593087721157475,0.673984488486598,0.630953660461529
"majority-vote",0.0798969214382203,0.961480421547048,0.147534083052963
"majority-vote",0.312380526237379,0.621495931822212,0.415779249089122
"majority-vote",1,0.519008303870242,0.683351503145669
"majority-vote",0.351542309970924,0.583538617354685,0.43876098315643
"majority-vote",0.315800335247148,0.626257088110698,0.419872915328933
"majority-vote",1,0.000745527173377556,0.00148994355334929
"majority-vote",1,0.000233743521072935,0.000467377795614251
"majority-vote",0.938449130537414,0.0050914029307946,0.0101278588129268
"majority-vote",0.570705181147641,0.346021686857594,0.430829239048654
"majority-vote",0.26197165221011,0.808931512439062,0.395772711920052
"majority-vote",0.340929153154927,0.658793422913763,0.449328422013334
"majority-vote",0.446144829508274,0.765146465998222,0.5636400441215
"majority-vote",0.229080939200711,0.787130230621227,0.354880044342709
"majority-vote",0.357518977092026,0.383498669230014,0.370053405933823
"majority-vote",0.704351458173027,0.169576234644986,0.273343593812766
"majority-vote",0.769400738600396,0.0511016241875398,0.0958379382601116
"majority-vote",0.29772562639587,0.679815952478986,0.414097230562143
"majority-vote",0.185673176964204,0.580004180139693,0.281296600401994
"majority-vote",0.644706822403884,0.0694276329123617,0.125355857762472
"majority-vote",0.986489182110899,0.112654811042208,0.202216912612295
"majority-vote",0.591115205072025,0.82497522527143,0.688734827969124
"majority-vote",0.442253597167142,0.783160900881016,0.565287461715141
"majority-vote",0.294541212460494,0.497143994162106,0.369918229071478
"majority-vote",1,0.00349843323112431,0.00697247372845386
"majority-vote",0.845241599595953,0.896662841053114,0.870193239518443
"majority-vote",1,0.958502340093604,0.978811534172375
"majority-vote",1,0.50458388658897,0.670728818893453
"majority-vote",0.831659873814787,0.713900676288835,0.768294126449925
"majority-vote",0.562564241967955,0.744729970511021,0.640955107629359
"majority-vote",0.650718499553078,0.840937029526597,0.733699264212549
"majority-vote",0.4672962175514,0.719939189187956,0.566736568105759
"majority-vote",1,0.573087188996389,0.728614654044716
"majority-vote",0.482652102894496,0.851028523698553,0.615965619348596
"majority-vote",0.286970627874967,0.560159453416865,0.379515055850693
"majority-vote",0.468475908717474,0.355667696616636,0.404351247271719
"majority-vote",0.494600825143177,0.607622819090438,0.54531718543729
"majority-vote",0.316791546487725,0.587960837518987,0.411739225636517
"majority-vote",0.305452212013871,0.724170259144774,0.429670901182861
"majority-vote",1,0.00767954933082743,0.0152420466127892
"majority-vote",0.831805476702229,0.375606015665472,0.517522224838483
"majority-vote",0.931583677308443,0.0164637362849504,0.0323556559949618
"majority-vote",0.0585818807955507,1,0.110679923505823
"majority-vote",0.614381908978119,0.567509443509545,0.590016221935499
"majority-vote",0.539910314176916,0.677476407300292,0.600920797738136
"majority-vote",0.996425811546852,0.0995349518047074,0.180990412149395
