"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.980230942674289,0.983502764401641,0.981864127909389
"majority-vote",0.505490820658236,0.313166865695406,0.386737896881982
"majority-vote",0.843246926550637,0.45347673553016,0.589783119842842
"majority-vote",0.701555266256054,0.956623126543085,0.809471399655282
"majority-vote",0.761908613816183,0.455347510840702,0.570024966417122
"majority-vote",0.915464510418831,0.522849627410873,0.665571262342741
"majority-vote",0.74192013527064,0.318858514754095,0.446026232509557
"majority-vote",0.671317977703847,0.81460633938697,0.736053477410817
"majority-vote",0.765244839554214,0.859849264877656,0.809793366362799
"majority-vote",0.969723220245111,0.867846335060616,0.915960694149486
"majority-vote",1,0.0797587131367292,0.147734326505276
"majority-vote",0.83339997102709,0.804126838235294,0.818501755081823
"majority-vote",0.844579384446588,1,0.915741975182033
"majority-vote",0.679987811316642,1,0.809515172355591
"majority-vote",0.479046140109358,0.958154416098341,0.638741994188754
"majority-vote",1,0.090553045921134,0.166068117933041
"majority-vote",0.931435327355362,0.892636861645713,0.911623468029255
"majority-vote",0.583881139135195,0.943186718413109,0.721263214129059
"majority-vote",0.743107273740329,0.444178608928176,0.556011589041266
"majority-vote",0.686115469556089,0.709724070814388,0.697720117561404
"majority-vote",0.821321476579464,0.965642190429095,0.887653939845721
"majority-vote",0.512405803283278,0.554169772548914,0.532470110684241
"majority-vote",0.452232381160695,0.869278215152257,0.594949080584336
"majority-vote",0.514708484894635,0.892261737371973,0.652827870418366
"majority-vote",0.580532386292158,0.877409900570313,0.698744892612471
"majority-vote",0.770547370714552,0.435845543385731,0.556766594976225
"majority-vote",0.543996869491756,0.801096987243282,0.647975977345449
"majority-vote",0.642572038562414,0.514424463782967,0.571401513676697
"majority-vote",0.817286713088194,0.70816948984069,0.758825476011681
"majority-vote",0.705361002725056,0.393556076381971,0.505223030823947
"majority-vote",0.735995772299366,0.398712364400719,0.517226597873556
"majority-vote",0.781337396440796,0.609858542617936,0.685029725156723
"majority-vote",0.812797043982361,0.718703405510181,0.76285972190513
"majority-vote",0.809970669456785,0.343840302063826,0.482749023060205
"majority-vote",0.510697866579364,1,0.676108542783243
"majority-vote",1,0.593015369172388,0.744519331888775
"majority-vote",1,0.0810070865033767,0.149873368111586
"majority-vote",0.464748438460731,1,0.634577824092612
"majority-vote",0.868916511458418,0.824139013922328,0.845935630815329
"majority-vote",0.403765011575538,0.887422211910369,0.555008651180772
"majority-vote",0.44413449939902,0.978130739136163,0.610886906890099
"majority-vote",0.850487330468418,0.76174953678143,0.803676361932982
"majority-vote",0.964883340542618,0.141656721057904,0.247044304978827
"majority-vote",0.310015132755537,1,0.47330007876083
"majority-vote",0.753934388621243,0.628908995202416,0.685769804943867
"majority-vote",0.675600800909346,0.945296167247387,0.788011650629623
"majority-vote",0.771575561284068,0.958533191506273,0.854952943337298
"majority-vote",0.89347207846684,0.468877089408469,0.615009129080498
"majority-vote",0.996092269799166,0.998319400155132,0.997204591475194
"majority-vote",0.451145970715747,0.954318279034992,0.612661398457312
"majority-vote",0.369403063158563,1,0.539509620062519
"majority-vote",0.934482091679624,0.21485229865811,0.34937721717908
"majority-vote",0.765560212982893,0.810736097717776,0.787500795920599
"majority-vote",0.335770880495651,1,0.502737236450401
"majority-vote",0.553347846760472,1,0.712458381958023
"majority-vote",0.62681925825466,0.324172168156546,0.427337938802467
"majority-vote",0.889229489355804,0.948208236882298,0.917772302424743
"majority-vote",0.487563453277089,0.843481634244735,0.617936720887259
"majority-vote",0.747773648614466,1,0.855687061316272
"majority-vote",0.471762619494772,0.974627339042182,0.635779782324881
"majority-vote",0.858535566002133,0.840458211578181,0.849400716942066
"majority-vote",1,0.739552840575377,0.850279248005782
"majority-vote",0.795923937535953,0.850139253835288,0.822138768321263
"majority-vote",0.508292296814482,0.895996910799331,0.648624692491573
"majority-vote",0.519426000710397,1,0.683713455564856
"majority-vote",0.217544698782563,0.986835575290584,0.356500106479606
"majority-vote",0.655324427730116,0.912103004628996,0.762680768754687
"majority-vote",0.669748773686487,0.169712586137496,0.270804117698957
"majority-vote",0.409466323053183,1,0.581023209077032
"majority-vote",0.32715355199399,1,0.493015373394369
"majority-vote",0.451364648236127,1,0.621986554219409
"majority-vote",0.641863192253284,0.86182237805166,0.735754965872783
"majority-vote",0.393857843329751,0.924471065378981,0.552381393786712
