"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.930608285136883,0.78799738685393,0.853385868351074
"majority-vote",0.723932208649069,0.241600157945484,0.362291606170222
"majority-vote",0.8045566926477,0.424345817449417,0.555634421153565
"majority-vote",0.487034950117771,0.877684821706422,0.626448289508594
"majority-vote",0.618985120160061,0.526438638410151,0.568973153237125
"majority-vote",0.593887655775882,0.843426307345653,0.696995208202627
"majority-vote",0.979332514777566,0.434156714912662,0.601608811007587
"majority-vote",0.748730496098178,0.974513022899842,0.846830539091988
"majority-vote",0.67789916338262,0.811294718235039,0.738622442029982
"majority-vote",0.69405930453511,0.74296842434417,0.717681555517403
"majority-vote",0.221038155191971,0.212433762752872,0.216650560626899
"majority-vote",0.541222388407554,0.859147996374783,0.664095921545498
"majority-vote",0.872153593778166,0.996586146501368,0.930227115575427
"majority-vote",0.622177134747279,0.957956120880381,0.754390039422622
"majority-vote",0.204696355619631,0.995431408332716,0.339565815699459
"majority-vote",0.952700405356912,0.11108218822833,0.198965552531543
"majority-vote",0.916329598167464,0.852956771764531,0.88350823157616
"majority-vote",0.402960101805833,0.949626278875503,0.565821906058835
"majority-vote",0.597876267374667,0.447709637842647,0.512009516971046
"majority-vote",0.449611386703971,0.51752379386921,0.481183179534288
"majority-vote",0.752169843636231,0.974850183535839,0.849153916668328
"majority-vote",0.447418228171697,0.626217473628684,0.521929574493967
"majority-vote",0.649909045651344,0.944384625037409,0.76995113468739
"majority-vote",0.697518563684734,0.933186708291669,0.798323355670992
"majority-vote",0.769778469696568,0.943106696346793,0.847672971739708
"majority-vote",0.848937635464607,0.395540512580835,0.53964664306596
"majority-vote",0.666426014503359,0.763482392068552,0.711660306843784
"majority-vote",0.544632024003357,0.669218344792486,0.600531582794797
"majority-vote",0.777376702825199,0.677263218595734,0.723874877986911
"majority-vote",0.769602194979923,0.463131006423107,0.57827052715189
"majority-vote",0.736386373915813,0.392512079840579,0.512075370871809
"majority-vote",0.593641611654564,0.712649667300218,0.647724598421413
"majority-vote",0.672167351261546,0.637601586809373,0.654428361077241
"majority-vote",0.889967746923125,0.276531796815468,0.421953667252555
"majority-vote",0.824390224748492,1,0.903743303998618
"majority-vote",0.996313874623209,0.341390155251696,0.508530647648334
"majority-vote",0.998625663168294,0.076224963366958,0.141638666272501
"majority-vote",0.380784647694674,1,0.551548206058669
"majority-vote",0.499941099667356,0.920361910690541,0.647927579350314
"majority-vote",0.378139838244461,0.900335265674452,0.532591726947722
"majority-vote",0.369044428704061,0.979904582041654,0.53616307774916
"majority-vote",0.663262037852555,0.877276676803259,0.755403692074102
"majority-vote",0.728250418039143,0.215058329215791,0.332057385474181
"majority-vote",0.514809763287779,0.923421636711973,0.661070915585053
"majority-vote",0.747875819715689,0.618998786388198,0.677361658056739
"majority-vote",0.564328565230847,0.679899887241569,0.616746751137578
"majority-vote",0.577120129427948,0.749640760837775,0.652163891916522
"majority-vote",0.730176274009449,0.52342911454435,0.609754112507401
"majority-vote",0.938559931081045,0.934662629318774,0.93660722596702
"majority-vote",0.29339684988539,0.940924837334488,0.447313510102306
"majority-vote",0.333493270845446,0.975250292281727,0.497025420455736
"majority-vote",0.779540699326298,0.30725225336633,0.440775100474011
"majority-vote",0.377109720289688,0.816197728256059,0.515870570285678
"majority-vote",0.616063429526797,1,0.762424813619089
"majority-vote",0.643067486371571,0.998210725692863,0.782215784651201
"majority-vote",0.642443612736763,0.440908792426816,0.522930555457284
"majority-vote",0.742108718386046,0.981092353494954,0.84502870959306
"majority-vote",0.390718016152207,0.784334846053621,0.52159994653149
"majority-vote",0.437007652738509,0.999172226749114,0.608065766314619
"majority-vote",0.379588774427562,0.983310519383248,0.547734724978483
"majority-vote",0.914756078929207,0.784663411695515,0.844730367895148
"majority-vote",0.99992570010526,0.692526680755959,0.818309848982696
"majority-vote",0.882526165836522,0.791936908225125,0.834781075828751
"majority-vote",0.380604642566864,0.928481758413827,0.539894796136012
"majority-vote",0.417294311427076,0.948462428832393,0.579587805774069
"majority-vote",0.151945615409182,0.969356710414295,0.262711489172649
"majority-vote",0.598475566524858,0.97644872249344,0.742106406576534
"majority-vote",0.480988413510365,0.146662066808176,0.224783560431323
"majority-vote",0.341697346302889,1,0.509350856576488
"majority-vote",0.338013005576568,1,0.50524621833689
"majority-vote",0.37555887563806,1,0.546045512539557
"majority-vote",0.577611744268602,0.920198475773583,0.709726024769571
"majority-vote",0.503539327027137,0.876777564812154,0.63969656177968
"majority-vote",0.745876943391361,0.697771697223149,0.72102283903134
"majority-vote",0.776697427641405,0.780992066021809,0.778838826550673
"majority-vote",0.688357997021539,0.671127229590286,0.679633417802917
"majority-vote",0.806338419696293,0.95814601442825,0.875711826265785
"majority-vote",0.573810420118771,0.939605485559495,0.712501324179176
"majority-vote",0.730260847803326,0.77049110870223,0.749836757269264
"majority-vote",0.242582350213943,0.984711081034387,0.389268812554575
