"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.899057162052352,0.869589501176651,0.884077849276073
"majority-vote",0.575992135228305,0.238382316509935,0.337206893448472
"majority-vote",0.836597829669966,0.450220767455075,0.585402974073839
"majority-vote",0.468826039862199,0.881710967019605,0.612155104028258
"majority-vote",0.643016900693127,0.55241083586083,0.594280177250175
"majority-vote",0.535956985551412,0.810605513432835,0.64527222134663
"majority-vote",0.966893119410139,0.53959091051131,0.692641579077133
"majority-vote",0.887003121466525,0.94844355736373,0.916694999227756
"majority-vote",0.747040120750877,0.759496636696799,0.753216881543718
"majority-vote",0.711893357770583,0.756444868269127,0.733493234311359
"majority-vote",0.270573948242322,0.206973751081865,0.234538686258968
"majority-vote",0.66374238587582,0.841028787025402,0.741941982599544
"majority-vote",0.767497141240628,0.955446875956889,0.851220630020199
"majority-vote",0.601220170197731,0.955878630278681,0.738159341730517
"majority-vote",0.234687816327421,0.964590156088035,0.37752308070377
"majority-vote",0.984428117130989,0.117166662778398,0.209409411397079
"majority-vote",0.852002703728389,0.780412766304326,0.814637938835647
"majority-vote",0.386751900936289,0.953225927213178,0.55025080509068
"majority-vote",0.600567298282943,0.419853582887412,0.494208491029519
"majority-vote",0.475130810182856,0.496608647676622,0.485632372352481
"majority-vote",0.859844912153049,0.969478883662703,0.911376638147829
"majority-vote",0.42404724060119,0.633473578253918,0.508023517008681
"majority-vote",0.692354611231375,0.930309716912159,0.793884737842729
"majority-vote",0.699781090717884,0.923707709190089,0.796301382896142
"majority-vote",0.764402176300634,0.945746435680714,0.845459428026352
"majority-vote",0.742808989335763,0.404704632517926,0.5239471381168
"majority-vote",0.683105814689944,0.803852528297519,0.73857662364638
"majority-vote",0.533572095279232,0.739226970977441,0.619784998666572
"majority-vote",0.801914817419295,0.639508776612872,0.711562605133968
"majority-vote",0.762289895520358,0.508272775764566,0.609889161534366
"majority-vote",0.721021061765039,0.414276964400494,0.526209699748547
"majority-vote",0.659369680096898,0.810724273724813,0.727255565704546
"majority-vote",0.669441121347047,0.688242066226632,0.678711417788639
"majority-vote",0.921675474099825,0.270224081508654,0.417919290708236
"majority-vote",0.857572785453807,1,0.923326172916881
"majority-vote",0.99904748151983,0.345249626547115,0.513161514411857
"majority-vote",0.999411422512398,0.0628282759369851,0.118224345634689
"majority-vote",0.423084388949158,1,0.594601967718266
"majority-vote",0.622066976624344,0.88512600479193,0.73063989087198
"majority-vote",0.395930405943768,0.913628506775652,0.552450603109271
"majority-vote",0.317120891224041,0.877572188340193,0.465887815440235
"majority-vote",0.658487913066681,0.807490248917687,0.725416766252173
"majority-vote",0.761617667356246,0.196985727889826,0.31301330940813
"majority-vote",0.509044747580077,0.968414042104304,0.667316185138804
"majority-vote",0.697528613128651,0.69256676827101,0.695038835226774
"majority-vote",0.516150468872136,0.70692785557669,0.596660306737288
"majority-vote",0.501327941442922,0.801719715254118,0.616899147773842
"majority-vote",0.667676849410592,0.653782477974667,0.660656618100685
"majority-vote",0.901661724403521,0.97631905760727,0.937506425499868
"majority-vote",0.33038684119683,0.968942924653449,0.492755573819678
"majority-vote",0.431830220071323,0.992874644069259,0.601883641788925
"majority-vote",0.657261653170735,0.148177891910251,0.241834776539295
"majority-vote",0.500648576646363,0.879133883500664,0.63798046455714
"majority-vote",0.196936517394972,1,0.329067606398353
"majority-vote",0.589040301043893,0.99756503229978,0.740708473100087
"majority-vote",0.630490890129689,0.469991297533989,0.53853707921345
"majority-vote",0.625120161365431,0.928291466553444,0.747121626923146
"majority-vote",0.403070324269694,0.817191189484684,0.539860536488622
"majority-vote",0.278152146200667,0.999891195594493,0.435230751456527
"majority-vote",0.301185031924462,0.956785633998846,0.45814981148118
"majority-vote",0.891395273682839,0.800974529219958,0.843769380028362
"majority-vote",0.96058340805137,0.723162473806229,0.825133865090453
"majority-vote",0.855415896444829,0.81561287635804,0.835040342975668
"majority-vote",0.401611040428509,0.914564155981116,0.558130958893841
"majority-vote",0.514731624606236,0.985301711901868,0.676206239622881
"majority-vote",0.166128883395122,0.968280649872795,0.283600196329591
"majority-vote",0.544430531619513,0.953831857654209,0.693196584331313
"majority-vote",0.413935783820851,0.153244441233823,0.223679723291468
"majority-vote",0.28154992301738,1,0.4393897076666
"majority-vote",0.439858684228841,1,0.610974797800272
"majority-vote",0.380243069495823,1,0.55097986419844
"majority-vote",0.498390686563977,0.93212633429999,0.649503748561565
"majority-vote",0.496919571925939,0.866814695638594,0.631702521144517
"majority-vote",0.704739573404135,0.620424801421568,0.659899885915195
"majority-vote",0.749281174060051,0.779818501218188,0.764244910378641
"majority-vote",0.655360770753909,0.779973741326357,0.712257927307285
"majority-vote",0.77948565405421,0.924039952930004,0.845629656670656
"majority-vote",0.570962436219745,0.902268892939061,0.699362869960047
"majority-vote",0.825901025140071,0.657527570603608,0.732158859789453
"majority-vote",0.261032014559039,0.956284928791208,0.410116663237792
"majority-vote",0.277503030422349,0.749176961607362,0.404992556166682
"majority-vote",0.965317306316484,0.914863330322159,0.939413361104671
"majority-vote",0.72511039131044,1,0.84065390245505
"majority-vote",0.772994988022776,0.893640304831985,0.828950976487533
"majority-vote",0.797105480526747,0.73525645292672,0.76493279482571
"majority-vote",0.437766737865097,0.950893622959401,0.599526869381518
"majority-vote",0.840692447251681,0.46355588603186,0.597597746258839
"majority-vote",0.66681745868881,0.355031589905511,0.463358580918987
"majority-vote",0.880364920358153,0.414377574888387,0.563515111389551
"majority-vote",0.34746271931605,0.706309023277914,0.465785983787136
"majority-vote",0.222437768419919,0.94283131603605,0.359953416310512
"majority-vote",0.408438088050066,0.950265157255565,0.571316047578517
"majority-vote",0.761729065384716,0.719523592200739,0.740025046507237
"majority-vote",0.89679695822684,0.714714636542363,0.795469190705002
"majority-vote",0.919138611417339,0.724532341638703,0.810315044118255
"majority-vote",0.817192290517133,0.667960353298167,0.735078718486592
"majority-vote",0.878540822625783,0.695765292861692,0.776543020104965
"majority-vote",0.925289388895226,0.788018274694095,0.851154714737498
"majority-vote",0.895957457042404,0.980225123216769,0.93619887314491
"majority-vote",0.735686157445678,0.4183901851575,0.533420288188584
"majority-vote",0.769331832467112,0.713865947206788,0.740561784580364
"majority-vote",0.481605706379277,1,0.650113190446893
"majority-vote",0.398752751855038,1,0.570154734389203
"majority-vote",0.648963890728716,0.960075727359965,0.774442682973622
"majority-vote",0.902236070024068,0.953996705039616,0.927394720677016
"majority-vote",0.928358211001534,0.942667192476764,0.935457986567864
"majority-vote",0.900559217090913,0.954522479369045,0.926755968059673
"majority-vote",0.903523958487748,0.962793929814415,0.932217805044212
"majority-vote",0.96050051071172,0.995385066848897,0.977631693829037
"majority-vote",0.940524266167782,0.876430786959179,0.907347070950395
"majority-vote",0.895710258159843,0.954242577713601,0.924050439618273
"majority-vote",0.929510351566011,0.721814740565398,0.812601075906234
"majority-vote",0.317493092602076,0.98878976267549,0.480652285095494
"majority-vote",0.712190869610853,0.857914293874161,0.778290195097052
"majority-vote",0.313361779036952,0.992376921877259,0.47631734817532
"majority-vote",0.378439947553925,0.698146707442918,0.490822735212927
"majority-vote",0.272615305541663,0.95582833139971,0.424233436152912
"majority-vote",0.628364752810896,0.778464984226614,0.695407474703461
"majority-vote",0.785487363514972,0.834410006967714,0.80920992700702
"majority-vote",0.955232982316091,0.586864284516387,0.727051571610477
"majority-vote",0.509581872936892,0.747308249764963,0.605963450103033
"majority-vote",0.74375745629442,0.810343255170442,0.77562391387469
"majority-vote",0.7931272400862,0.50025645241353,0.613533357098732
"majority-vote",0.463178852676473,0.953523783938278,0.623492948809074
"majority-vote",0.487140491797164,1,0.655137150100014
"majority-vote",0.647526751289792,0.973439606296338,0.77771902284331
"majority-vote",0.95397663793829,0.650472665154584,0.773518645903902
"majority-vote",0.601110304157236,0.988483443723387,0.747596779747249
"majority-vote",0.800481349478988,0.635952802712068,0.708794561788156
"majority-vote",0.847859597542205,0.98452155881246,0.911094342715222
"majority-vote",0.115875574460602,0.930187331684851,0.206079368232505
"majority-vote",0.153996023518205,0.993137064946733,0.266645885029779
"majority-vote",0.499024795591412,0.895564957259579,0.640918404601306
"majority-vote",0.259541784593994,0.946704784137374,0.407395064206654
"majority-vote",0.679785024261513,0.868923148710852,0.762804709158511
"majority-vote",0.770937204914984,0.679559306627255,0.722369958502205
"majority-vote",0.269589230004167,0.699202344257183,0.389139267131057
"majority-vote",0.447665997559222,0.893286537322134,0.596432757214509
"majority-vote",0.324219448420798,1,0.489676312800642
"majority-vote",0.932486403799687,0.271934919992017,0.42107460338317
"majority-vote",0.763829396587266,0.790950350857471,0.777153330198523
"majority-vote",0.3635213687374,0.95713872649434,0.526918896365594
"majority-vote",0.208694169714064,0.807943617611629,0.331707368259014
"majority-vote",0.406335886582878,0.209487407903324,0.276450249220813
"majority-vote",0.505522487518578,0.762230310403572,0.607885958853839
"majority-vote",0.329486283011242,1,0.495659544925829
"majority-vote",0.332865421881333,0.788210940975061,0.468064756500007
"majority-vote",0.80165505488958,0.90347703051562,0.849525892672837
"majority-vote",0.833590829944587,0.424835302449241,0.562828128314159
"majority-vote",0.765385851249651,0.412652947109768,0.536211078334832
"majority-vote",0.593406799799463,0.987319124339683,0.741282056564344
"majority-vote",0.234772283300201,0.980991565977327,0.378872311394353
"majority-vote",0.403794493565388,0.968144864471268,0.56989627560005
"majority-vote",0.264770709753209,0.740063253577637,0.390008857309103
"majority-vote",0.128427953875631,0.998135144605589,0.227574388839596
"majority-vote",0.237821907990227,0.867928851983649,0.373343619647876
"majority-vote",0.25452262016129,1,0.405768084322891
"majority-vote",0.247509145757293,1,0.396805340624648
"majority-vote",0.624133167530565,0.707543452746048,0.663226085979005
"majority-vote",0.551445624405426,0.87168657319901,0.675534918615007
"majority-vote",0.682612366367178,0.670858709688456,0.676684503156158
"majority-vote",0.923957048260573,0.683919246039024,0.786020678405584
