"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.952142524452725,0.807472142243352,0.873860145055983
"majority-vote",0.554452204277608,0.366752479023646,0.441479997019162
"majority-vote",0.571641496200014,0.57496373751049,0.573297803826757
"majority-vote",0.557920582760388,0.923859695461219,0.695704143530882
"majority-vote",0.510883371998671,0.775670614198682,0.616028900758954
"majority-vote",0.832671995774758,0.452413280601832,0.586283068055849
"majority-vote",0.846177944862155,0.312695529690859,0.456643570659775
"majority-vote",0.537294145931001,0.798645549218944,0.642405611311707
"majority-vote",0.590645375683029,0.558275565032021,0.574004475256187
"majority-vote",0.895319996695805,0.826504046971475,0.859536842135726
"majority-vote",0.467192730750837,0.139020979020979,0.214279518174914
"majority-vote",0.916107382550336,0.844783075946775,0.879000745099092
"majority-vote",0.913179026924894,0.929115677672593,0.921078422817369
"majority-vote",0.723334822136096,0.98812873308499,0.835247609232633
"majority-vote",0.342660959876668,0.960924600990644,0.505177958438701
"majority-vote",1,0.0839017176013513,0.154814253430696
"majority-vote",0.738072047496791,0.767629581186682,0.752560701154241
"majority-vote",0.412794612794613,0.884619472789116,0.56291380955104
"majority-vote",0.669158272886534,0.662284238964081,0.665703511132743
"majority-vote",0.544080306897218,0.64850578472708,0.59172118282608
"majority-vote",0.79809008762322,0.955446967519402,0.869708172736481
"majority-vote",0.45054833748955,0.623230567603206,0.523004307077605
"majority-vote",0.38200083961243,0.703194760299708,0.495064648008706
"majority-vote",0.414932221902933,0.655763564906102,0.508262825690949
"majority-vote",0.458117041135495,0.658887762972756,0.540459112267545
"majority-vote",0.774992327502235,0.592521614207447,0.671583215182309
"majority-vote",0.421842499402434,0.909158815041168,0.576290680901461
"majority-vote",0.445348320714315,0.83883537507562,0.581807613459684
"majority-vote",0.665298861480076,0.809749079443477,0.730451025613418
"majority-vote",0.688832466006379,0.692902221129416,0.690861350048694
"majority-vote",0.691550911678246,0.60758200408446,0.646852810433527
"majority-vote",0.566590766990338,0.800585489779038,0.66356381549092
"majority-vote",0.686860090331515,0.648501156912305,0.667129683651136
"majority-vote",0.72452491011813,0.558735254707263,0.630920558890242
"majority-vote",0.650329818986042,1,0.788121030722941
"majority-vote",1,0.448682617061612,0.619435357030352
"majority-vote",1,0.0383308828677449,0.0738317303283508
"majority-vote",0.48005540923548,1,0.648699239555432
"majority-vote",0.701464138286894,0.880274261603376,0.780762263108211
"majority-vote",0.368478583466069,0.968806514365035,0.533894309665019
"majority-vote",0.441176936902092,0.959437899550817,0.604422947201642
"majority-vote",0.802129531388152,0.907697891248788,0.851654704457276
"majority-vote",0.613189600507292,0.408402772564622,0.490270561049583
"majority-vote",0.558157445568461,0.957974114171058,0.705348267505614
"majority-vote",0.616055939833114,0.871004192657736,0.721675330785113
"majority-vote",0.691456667368126,0.706837320864038,0.699062403713795
"majority-vote",0.712316715542522,0.858420302393942,0.778573527425461
"majority-vote",0.585627095379821,0.798310377305979,0.675626170546522
"majority-vote",0.951656242642766,0.97882334964993,0.965048638543313
"majority-vote",0.421499971364029,0.968616091788902,0.587392183679622
"majority-vote",0.390546705565707,0.997303673744523,0.561290568545409
"majority-vote",0.752486135016255,0.466080234572837,0.575625461318859
"majority-vote",0.550812823540096,0.767330944917152,0.641289265212977
"majority-vote",0.434354772327609,1,0.605644824707846
"majority-vote",0.489267809974949,0.971502590673575,0.6507866598513
"majority-vote",0.637308615580656,0.829894409430177,0.720962059287149
"majority-vote",0.631409346536401,0.896802960886122,0.741061655837664
"majority-vote",0.50874901529276,0.832108385530509,0.631438244656849
"majority-vote",0.622016331658292,0.989999014681249,0.764007063401303
"majority-vote",0.713380090455367,0.928797939993366,0.80695995947062
"majority-vote",0.935893477521982,0.732028192661638,0.821501900384578
"majority-vote",0.995511412472543,0.648274564366714,0.785217463022365
"majority-vote",0.884133335229128,0.756407457422448,0.81529828592946
"majority-vote",0.472253944124136,0.863310061601643,0.610530951486479
"majority-vote",0.382877537941285,0.993590982286634,0.552753170055175
"majority-vote",0.183705611090193,0.952327397688222,0.307997893016103
"majority-vote",0.662500842767219,0.970510495300548,0.78745812238122
"majority-vote",0.625441264162194,0.325430072199998,0.428107122319717
"majority-vote",0.415678657922876,1,0.587250016939256
"majority-vote",0.250875987633116,1,0.401120478949826
"majority-vote",0.398506375227687,1,0.569902836750111
"majority-vote",0.566286167261197,0.8404015205512,0.676635987016459
"majority-vote",0.327374147437842,0.825084619365602,0.468756681990617
"majority-vote",0.842689378477596,0.702717916031218,0.766364861884042
"majority-vote",0.48911779381301,0.807031509410542,0.609086423051352
"majority-vote",0.616634633433718,0.911077128439829,0.735481293194154
"majority-vote",0.603487292538704,0.934215228986372,0.733284899123731
"majority-vote",0.515745183638927,0.797617284802304,0.62643372703071
"majority-vote",0.807299043625238,0.365694011704198,0.503369435252729
"majority-vote",0.353008470939692,0.985913825757576,0.519874727558854
"majority-vote",0.283126544927849,0.967111304431879,0.438020465185387
"majority-vote",0.987269242803504,0.943536040163991,0.964907357720548
"majority-vote",0.738689085057226,1,0.84970808341264
"majority-vote",0.640625,0.863873047359286,0.735685462584561
"majority-vote",0.659351892608196,0.513097052048437,0.577102335929693
"majority-vote",0.509420509441744,0.969576235013157,0.667914951719587
"majority-vote",0.948531323805771,0.470552822485085,0.629045279378153
"majority-vote",0.925249129565974,0.464859842081699,0.618816471267665
"majority-vote",0.952091732551443,0.432303786847125,0.594617442256155
"majority-vote",0.480851670624502,0.840456013161624,0.611719258087038
"majority-vote",0.297791223927588,0.990039483129935,0.457863083714669
"majority-vote",0.465379656490307,0.945074404761905,0.623655053969503
"majority-vote",0.86219563687544,0.651135227230638,0.741947402580434
"majority-vote",0.747382693309434,0.862139485245803,0.800670085913083
"majority-vote",0.770971005314391,0.813863901727802,0.791837014336372
"majority-vote",0.748530289979865,0.778033846278793,0.762996963883262
"majority-vote",0.747677127265632,0.861067036018895,0.800376023194778
"majority-vote",0.840577260053482,0.858467433848446,0.84942815922313
"majority-vote",0.819213434777276,0.908288706675705,0.86145457456785
"majority-vote",0.741099970938681,0.610095882684715,0.669247229726138
"majority-vote",0.821324579716515,0.699205571409036,0.755361176689424
"majority-vote",0.584770114942529,1,0.737987307343608
"majority-vote",0.412521896707943,1,0.584092745987693
"majority-vote",0.624090105533197,0.869462324876941,0.726620402526587
"majority-vote",0.80951383313562,0.856573905109489,0.832379243147779
"majority-vote",0.854788373883891,0.879834385262726,0.867130561385988
"majority-vote",0.779044142542361,0.857862654320988,0.816555807863017
"majority-vote",0.827900645678458,0.875815339631129,0.851184224868269
"majority-vote",0.974911016636785,0.982661614375723,0.9787709720742
"majority-vote",0.838759815757394,0.824919218033262,0.831781945049597
"majority-vote",0.796255516878017,0.856835154826958,0.825435326402661
"majority-vote",0.769343565525384,0.838955499046408,0.802643027247349
"majority-vote",0.41202164775693,0.972014809283803,0.578729182064405
"majority-vote",0.666127089582967,0.900270482954053,0.765699037283795
"majority-vote",0.407157142857143,0.996063241106719,0.578033597557091
"majority-vote",0.518270806997513,0.644795959979081,0.574651313261742
"majority-vote",0.613741130554358,0.985163043478261,0.756311841452964
"majority-vote",0.837113984877394,0.698675512922952,0.761655218500815
"majority-vote",0.87986482680935,0.791195637819266,0.833177766547036
"majority-vote",0.984905660377358,0.738864708053154,0.844325957264476
"majority-vote",0.53467985805475,0.756175825011165,0.62642476317898
"majority-vote",0.810949378834112,0.629855323938451,0.709021538755866
"majority-vote",0.844650548497442,0.764960368639742,0.802832769175727
"majority-vote",0.54140393176042,0.945649959250204,0.688581105368271
"majority-vote",0.636063988749231,1,0.777553925913987
"majority-vote",0.513123687016512,0.97721052631579,0.672909289431578
"majority-vote",0.98481308411215,0.693084323666125,0.813587895392489
"majority-vote",0.745444208364561,0.959275980686446,0.838949088089377
"majority-vote",0.434661093423199,0.926368621257285,0.591693764633435
"majority-vote",0.539223627689415,0.827934695270073,0.6530947328866
"majority-vote",0.590336343423311,0.871366576598706,0.703835713214311
"majority-vote",0.306428299733739,0.978515625,0.466705003167791
"majority-vote",0.397455198661529,0.917847889204256,0.554706239968879
"majority-vote",0.421519511064318,0.906613047363718,0.575477328711225
"majority-vote",0.632590406324939,0.778733633046207,0.698095421894884
"majority-vote",0.732409381663113,0.70641146854504,0.719175548230282
"majority-vote",0.882601766685866,0.675733259207836,0.765436646773948
"majority-vote",0.687793288414734,0.807969368431078,0.743053593841489
"majority-vote",0.276838249992612,1,0.433630884717331
"majority-vote",0.829888583113557,0.411288112367249,0.549999544894265
"majority-vote",0.898524949669255,0.847889715903408,0.872473278340653
"majority-vote",0.233118621793003,0.91329524150772,0.371429786058926
"majority-vote",0.688563192541874,0.834968288093288,0.754731277204787
"majority-vote",0.67883209768073,0.666787450646042,0.672755868316681
"majority-vote",0.469647566732983,0.771119505494505,0.583758881940149
"majority-vote",0.401892665465874,1,0.57335725532499
"majority-vote",0.385795188279567,0.812877211527762,0.523252419793649
"majority-vote",0.683707705446836,0.828236386857076,0.749064204831464
"majority-vote",0.78013836521901,0.571256081557337,0.659553969088219
"majority-vote",0.437783893591121,0.795671403648936,0.564807052007416
"majority-vote",0.578454798884906,0.996383888134058,0.731964545160817
"majority-vote",0.327463324820336,0.982641254700078,0.491226391235892
"majority-vote",0.455293047702796,0.967219917012448,0.619141638408329
"majority-vote",0.345664317287354,0.677990672847142,0.457883144839864
