"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.642569385454059,0.812221162959687,0.717503222858931
"majority-vote",0.203476015150186,0.176911167135239,0.189265995283912
"majority-vote",0.280978893452047,0.432275753338225,0.340580642231243
"majority-vote",0.184998840958232,0.872206668200362,0.305252330403629
"majority-vote",0.466679233268037,0.473594472252546,0.470111423712381
"majority-vote",0.356897927490158,0.779389856903933,0.489598899955069
"majority-vote",0.414112635235265,0.575227573991774,0.481551248608064
"majority-vote",0.491388215016276,0.799245129099085,0.608599861671245
"majority-vote",0.349206144264689,0.710315889645675,0.468223718043213
"majority-vote",0.297122306959377,0.837606735217002,0.43864506193489
"majority-vote",0.193089664190425,0.275205595823234,0.226948084331599
"majority-vote",0.545846102204309,0.936435784285661,0.689679645249341
"majority-vote",0.0545695768731674,0.679189759565649,0.101022490496586
"majority-vote",0.257200001654612,0.962028347239207,0.405885727191627
"majority-vote",0.0271888415290098,0.933624202741561,0.0528389173052069
"majority-vote",0.97960723618349,0.093033413967241,0.16992868117828
"majority-vote",0.46624627590113,0.672324073442271,0.55063544491899
"majority-vote",0.0885246837484677,0.975567970233508,0.162320162096559
"majority-vote",0.318882252455005,0.541409499001419,0.401365886049305
"majority-vote",0.315622524676118,0.386125410088093,0.347332341817448
"majority-vote",0.41499950219163,0.990964800603834,0.585007596739598
"majority-vote",0.269250056917332,0.633249815870043,0.377845037117404
"majority-vote",0.457816364053677,0.844999934280614,0.593874666800773
"majority-vote",0.443344849572406,0.863433004953351,0.585866334314053
"majority-vote",0.380136178182533,0.898427016602588,0.534231884446885
"majority-vote",0.573104880138236,0.393587501915,0.466677760778054
"majority-vote",0.306591407816058,0.723877508017998,0.430744917890095
"majority-vote",0.245342823889891,0.800153603846616,0.375538240983598
"majority-vote",0.403565478561064,0.571322891682733,0.473010455827212
"majority-vote",0.362265255187279,0.371225787582867,0.366690789196041
"majority-vote",0.32548018771007,0.397495345679936,0.357901073412931
"majority-vote",0.245842003215197,0.777608733199653,0.373577118830554
"majority-vote",0.328472187446903,0.550140020207456,0.411343467038908
"majority-vote",0.321164649490848,0.265316637065225,0.290581563983105
"majority-vote",0.212877689812541,1,0.351029112993978
"majority-vote",0.777465815023561,0.289654296596519,0.422063667109788
"majority-vote",0.978158648971358,0.0491656437353489,0.0936253527603593
"majority-vote",0.148936097800822,1,0.2592591495487
"majority-vote",0.223549007032318,0.788969365841476,0.34838541805851
"majority-vote",0.198444847564557,0.926118548146833,0.326852989906269
"majority-vote",0.188367519430475,0.839017528144706,0.307661963561412
"majority-vote",0.27093676064579,0.816205905127,0.40682826811489
"majority-vote",0.224179777200868,0.124409200838432,0.160016688321989
"majority-vote",0.30928525520343,0.980071010281955,0.470190467362294
"majority-vote",0.249369240542227,0.729258382121677,0.371652311251368
"majority-vote",0.249771341625712,0.62481442059824,0.356879205769537
"majority-vote",0.295336532705746,0.813185801208857,0.433303809272767
"majority-vote",0.261571089885133,0.685209831072675,0.378611521094804
"majority-vote",0.508319142118315,0.935618678981483,0.65874427181012
"majority-vote",0.0781353047840688,0.947642859144818,0.144367205755532
"majority-vote",0.057930035830367,0.994606727208928,0.109483308075551
"majority-vote",0.384181374155967,0.19108950038989,0.255229423545979
"majority-vote",0.159391685292658,0.941147243061814,0.272613791870966
"majority-vote",0.334157960882797,1,0.500927132588841
"majority-vote",0.151584586640722,0.973155992861917,0.262310174636264
"majority-vote",0.420877715538969,0.542132039288055,0.473871200312033
"majority-vote",0.43484697484562,0.893417696326465,0.584973749513772
"majority-vote",0.203373419935652,0.7963572782013,0.324003060944837
"majority-vote",0.347433523911347,0.996117992320006,0.515179031279723
"majority-vote",0.232876666912326,0.963978991794486,0.375129971520811
"majority-vote",0.487142443805423,0.691693146361481,0.571671049792935
"majority-vote",0.50154540854818,0.604155446196119,0.548089275302431
"majority-vote",0.448230160885098,0.693137232900282,0.544408426436554
"majority-vote",0.0879997003412321,0.838387337613857,0.159280800480025
"majority-vote",0.240705710317248,0.982653979690619,0.386689909941336
"majority-vote",0.0849941810332027,0.984232457602992,0.156475771660467
"majority-vote",0.0657216132454121,0.927649031437424,0.122746914654554
"majority-vote",0.352617947546187,0.15849128455069,0.218688561867457
"majority-vote",0.220113009395308,1,0.360807577167621
"majority-vote",0.116525008258863,1,0.208727986201715
"majority-vote",0.146976534505237,1,0.256285163791318
"majority-vote",0.195526928448581,0.930711344407522,0.323162753087336
"majority-vote",0.281392785943115,0.838441327300919,0.421368376170613
"majority-vote",0.27898412278971,0.739051856164965,0.405061781804608
"majority-vote",0.291524307907419,0.667428663178004,0.405800252936927
"majority-vote",0.321008524309824,0.74950185954469,0.449498649482708
"majority-vote",0.33583362118797,0.873229801675529,0.485102635445542
"majority-vote",0.396826138582448,0.713397929168033,0.509978037276868
"majority-vote",0.460044160980407,0.494504687656912,0.476652388107251
"majority-vote",0.200654762364973,0.776550898178751,0.318906535706444
"majority-vote",0.196588821922564,0.764555566454475,0.312758582209321
"majority-vote",0.559638654768922,0.813448581763792,0.663085720862908
"majority-vote",0.298873765856108,1,0.460204484396705
"majority-vote",0.344882174096578,0.806740237495513,0.483197138641988
"majority-vote",0.385687522407174,0.73322059632158,0.505482140025004
"majority-vote",0.290928076025505,0.937455802552004,0.444050459716597
"majority-vote",0.162936395874102,0.493688659805475,0.24500999532943
"majority-vote",0.109094731727607,0.426970601762612,0.17378569493234
"majority-vote",0.149712732136949,0.464531954984252,0.226445094613859
"majority-vote",0.221654199704531,0.68148634240411,0.334508977932651
"majority-vote",0.101115126755952,0.934000282093681,0.182475415024407
"majority-vote",0.148972972013149,0.907468072214251,0.255931396197629
"majority-vote",0.316669007268405,0.702803678973652,0.436610311053153
"majority-vote",0.698393580598904,0.587428551933584,0.638122986610762
"majority-vote",0.711013668792561,0.583258276431057,0.640830713374106
"majority-vote",0.689725166329426,0.519922374063838,0.59290584067651
"majority-vote",0.689725166329426,0.583861688690094,0.632393619262005
"majority-vote",0.747522720364788,0.586531120019777,0.657312808738514
"majority-vote",0.527910446180527,0.953934205588741,0.679682356039074
"majority-vote",0.31605798531903,0.361934736100237,0.337444222909514
"majority-vote",0.400768219877514,0.790762763552463,0.531941828624666
"majority-vote",0.286704763288281,1,0.445641877559516
"majority-vote",0.0773062944943192,1,0.143517762570219
"majority-vote",0.32685135458041,0.941314718998007,0.485220346768647
"majority-vote",0.623908510533926,0.917501865678699,0.742744737237623
"majority-vote",0.761166408267946,0.880680339646779,0.816573522239544
"majority-vote",0.600962402558428,0.917039118264669,0.726094176050067
"majority-vote",0.603488761532729,0.950032171565977,0.738108803582079
"majority-vote",0.691634492542413,0.992816285185392,0.81529955837392
"majority-vote",0.741077622372067,0.807172762118991,0.772714384425966
"majority-vote",0.610178342968929,0.904355208403307,0.728696914002173
"majority-vote",0.247392205500415,0.813986013033706,0.379457184054554
"majority-vote",0.158285454055686,0.997723227193075,0.273224719848235
"majority-vote",0.190549839463819,0.783959449159973,0.306581679471802
"majority-vote",0.112396314174935,0.998903854223368,0.202057220222795
"majority-vote",0.131245987972522,0.623499395358373,0.21684609393153
"majority-vote",0.073730188628175,0.969328716105111,0.137036918541837
"majority-vote",0.571456718645903,0.5831770614259,0.577257405185704
"majority-vote",0.614676143226908,0.777109764953301,0.686414239974637
"majority-vote",0.96370622432276,0.47428921072964,0.635711982622014
"majority-vote",0.237781327294291,0.700082095569459,0.354990813888812
"majority-vote",0.497960582211616,0.769050431128536,0.604504296178597
"majority-vote",0.489827825872562,0.520076379552197,0.504499101826358
