"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.59244118043995,0.744066641477174
"majority-vote",0.973621237523394,0.764065287068004,0.856207583837645
"majority-vote",0.961482500462951,0.203223768454387,0.335528540133402
"majority-vote",0.988540535625926,0.427577542969302,0.596952669042658
"majority-vote",0.996189294576391,0.906635022242636,0.949304773186837
"majority-vote",0.968552928082855,0.487530758384821,0.648588193044845
"majority-vote",0.991772927257595,0.377101459262303,0.546432925926105
"majority-vote",0.976231443109689,0.907912647442622,0.940833430388684
"majority-vote",1,0.378707562807905,0.549366048354187
"majority-vote",0.997731615904532,0.710988531185131,0.830300663706878
"majority-vote",0.807503699006552,0.344268308711013,0.482730837131167
"majority-vote",0.986713170569673,0.478908786181105,0.644839693687512
"majority-vote",0.981649174576115,0.919645816285884,0.94963649596544
"majority-vote",1,0.463349832392188,0.633272813015237
"majority-vote",1,0.734505283780099,0.846933463562997
"majority-vote",0.980058744498929,0.40816663588751,0.576314604769593
"majority-vote",1,0.857699108343131,0.923399386360375
"majority-vote",1,0.636162325750512,0.77762739764675
"majority-vote",1,0.542305891587962,0.703240381231511
"majority-vote",1,0.91978708862374,0.958217808708276
"majority-vote",0.886885634283316,0.667320607873003,0.761593982228068
"majority-vote",1,0.729097514909149,0.843327237038401
"majority-vote",1,0.0996672312348755,0.181267984357329
"majority-vote",1,0.752652100922897,0.85887222059252
"majority-vote",1,0.351329306533827,0.519975856121984
"majority-vote",0.890463341299823,0.909110345302416,0.899690234098378
"majority-vote",0.92483056069008,0.577540741038433,0.711045700542086
"majority-vote",0.975578406169666,0.602563626186319,0.744987523300516
"majority-vote",1,0.608936299201819,0.756942707432119
"majority-vote",1,0.503213811191377,0.669517280169949
"majority-vote",0.980285619505039,0.476960286565808,0.64169994651916
"majority-vote",1,0.719701593854947,0.837007532500609
"majority-vote",0.836611733431347,0.675939039330347,0.747741552312408
"majority-vote",0.870313893111918,0.764835788201731,0.814172818584293
"majority-vote",0.991558808065813,0.438306345498752,0.607898606979795
"majority-vote",0.969297550466107,0.291863054470762,0.44863777486013
"majority-vote",1,0.605821880194656,0.754531853957824
"majority-vote",0.9962269018672,0.419035362010894,0.589932072837168
"majority-vote",1,0.324795004042045,0.490332471138662
"majority-vote",0.979896436186415,0.286083787622037,0.442870241840303
"majority-vote",1,0.347969349901811,0.516286738904201
"majority-vote",0.971291866028708,0.524394981676719,0.681079172515642
"majority-vote",1,0.378602617812255,0.549255620032218
"majority-vote",1,0.438072031678046,0.609249080752752
"majority-vote",0.887428971891697,0.840351421035335,0.863248825660922
"majority-vote",1,0.641078503274292,0.781289258247193
"majority-vote",1,0.412404245068713,0.583974802551871
"majority-vote",1,0.182003210058937,0.307957217899369
"majority-vote",1,0.402018965367242,0.573485773442356
"majority-vote",1,0.335909848925656,0.502892989666624
"majority-vote",1,0.703013857036284,0.825611434847304
"majority-vote",0.984719980880687,0.0839412263688788,0.154695617777319
"majority-vote",1,0.208636007635359,0.345242084990577
"majority-vote",1,0.408496928651994,0.580046601937495
"majority-vote",0.99315905823035,0.911827618206475,0.950757157273375
"majority-vote",1,0.491008333910141,0.658625874507999
"majority-vote",1,0.904274468542158,0.949731232005055
"majority-vote",0.936200968901391,0.738182038236445,0.825482265976763
"majority-vote",0.994689764896243,0.142798778621556,0.249744024841378
"majority-vote",1,0.739056545678842,0.849951138754204
"majority-vote",1,0.46589115267605,0.635642219172337
"majority-vote",0.94660935615393,0.730242114126125,0.824466602726559
"majority-vote",0.942404872555395,0.952523738145504,0.947437288121343
"majority-vote",1,0.285647779022972,0.4443639753962
"majority-vote",1,0.68333223184322,0.81188041067209
"majority-vote",1,0.480135481464735,0.648772342096137
"majority-vote",1,0.849791861899543,0.918797275956113
"majority-vote",1,0.62036342312272,0.76570899376039
"majority-vote",0.925243808776434,0.723841869017182,0.812244284041532
"majority-vote",1,0.212124772634602,0.350004846734615
"majority-vote",1,0.557907659243087,0.716226864837609
"majority-vote",1,0.653104392186139,0.790155050429023
"majority-vote",1,0.656903223370653,0.792928897843905
"majority-vote",0.895220588235294,0.779285705340627,0.833239755759403
"majority-vote",1,0.826041006129782,0.904734344252807
"majority-vote",1,0.630076113212707,0.773063427045617
"majority-vote",1,0.319418977551405,0.484181269158622
"majority-vote",1,0.685695124453589,0.813545835787897
"majority-vote",0.988462454271922,0.6370799805661,0.774793235367768
"majority-vote",0.993452760423307,0.908936393437187,0.949317196512566
"majority-vote",1,0.404894300883868,0.576405357512141
"majority-vote",1,0.572464087108253,0.728110857095642
"majority-vote",1,0.459401087160014,0.62957481833045
"majority-vote",1,0.670547818090433,0.802787936782225
"majority-vote",1,0.463863975574039,0.633752839490622
"majority-vote",1,0.904279817407153,0.949734182068275
"majority-vote",0.732327589028006,0.658985684675322,0.693723558573843
"majority-vote",1,0.670235239841982,0.802563883043674
"majority-vote",0.951901534061841,0.878293162291719,0.91361712522415
"majority-vote",0.923378575974332,0.506978149607358,0.654567847952987
"majority-vote",1,0.499119339913375,0.665883397838382
"majority-vote",0.965757981900037,0.570407156761164,0.717208392133021
"majority-vote",0.946291315595792,0.265645260486753,0.414836564864389
"majority-vote",0.867459295058509,0.341449620267246,0.490018136420489
"majority-vote",0.905325396942142,0.610981041937265,0.729584258343929
"majority-vote",0.968799581029568,0.0980262999569527,0.178038122285439
"majority-vote",1,0.38610206109095,0.55710480768936
"majority-vote",1,0.488883379421111,0.656711447220523
"majority-vote",0.982556606111049,0.667399765215777,0.794879258173828
"majority-vote",0.982941662914945,0.65531060589209,0.786364968260259
"majority-vote",0.971053741205528,0.53682640633371,0.691417406216236
"majority-vote",0.877982575263655,0.694845893769719,0.775752218674228
"majority-vote",1,0.454883651497492,0.625319627489506
"majority-vote",1,0.617096732356816,0.763215607340244
"majority-vote",1,0.988156065946386,0.994042754360948
"majority-vote",1,0.795246645684419,0.885946950627767
"majority-vote",1,0.9645274646975,0.981943477024404
"majority-vote",1,0.333504487630453,0.500192523870794
"majority-vote",1,1,1
"majority-vote",1,0.626377393069023,0.770273118328373
"majority-vote",0.982531621088626,0.381549555983575,0.549651311179034
"majority-vote",0.983966244725738,0.538148298555931,0.695768610546199
"majority-vote",0.995737934457155,0.620915926603459,0.764875595351079
"majority-vote",1,0.755065250591683,0.86044122899377
"majority-vote",1,0.4262681481403,0.597739140001279
"majority-vote",1,0.258747468020179,0.411118948945574
"majority-vote",0.969416386083053,0.879038081035154,0.922017755811982
"majority-vote",1,0.843639025205617,0.915188942815449
"majority-vote",0.971715478659251,0.609310167438838,0.748977250895329
"majority-vote",0.947495833822832,0.81813164004656,0.878074601732323
"majority-vote",0.976560048236833,0.313267119985847,0.474364568124179
"majority-vote",1,0.47855123631511,0.647324522223214
"majority-vote",0.965700759916555,0.357308832935498,0.521618910936036
"majority-vote",1,0.655158297978222,0.791656361543785
"majority-vote",0.956509577586888,0.424980549961462,0.588492032219832
"majority-vote",1,0.508853411724279,0.674490189398551
"majority-vote",0.991823760570091,0.712240539235486,0.829096754313328
"majority-vote",1,0.31399638133115,0.477925793087884
"majority-vote",0.830401067482492,0.785066075157113,0.807097451440018
"majority-vote",1,0.610066590921911,0.757815352932193
"majority-vote",1,0.878734918306534,0.93545386285641
"majority-vote",0.996570356807931,0.787089211263994,0.879528571651069
"majority-vote",0.964621725110173,0.706682044403484,0.815747400576066
"majority-vote",0.972367720170455,0.865772734007669,0.915979470055448
"majority-vote",1,0.988113064451175,0.994020996209234
"majority-vote",1,0.995723449750535,0.997857142857143
"majority-vote",1,0.492262337437456,0.659753081060504
"majority-vote",1,0.523853622690467,0.687537982507228
"majority-vote",0.680816439278037,0.901281205239165,0.77568797737057
"majority-vote",1,0.293011744594034,0.453223639799236
"majority-vote",1,0.243895306293924,0.392147643069075
"majority-vote",1,0.250976229353945,0.401248598438293
"majority-vote",0.970698497318868,0.794613381983017,0.873873931155338
"majority-vote",0.918125743254643,0.825958620915364,0.869606870291945
"majority-vote",1,0.71236351187468,0.83202369933098
"majority-vote",0.808423071256638,0.613411805286531,0.697544087229682
"majority-vote",1,0.748298721355122,0.856030736869851
"majority-vote",1,0.905628101890625,0.950477274125132
"majority-vote",1,0.740788007935857,0.851095026572762
"majority-vote",1,0.8217786173488,0.902171767220233
"majority-vote",1,0.842026006431037,0.91423899933148
"majority-vote",1,0.709492729407715,0.83006229532609
"majority-vote",1,0.868954682056416,0.929883094971894
"majority-vote",0.984138728426718,0.285747509395653,0.442898241073899
"majority-vote",0.989037605640324,0.602301806408311,0.748676406771118
"majority-vote",1,0.758793289761257,0.862856703148165
"majority-vote",1,0.869614131904104,0.930260546349687
"majority-vote",1,0.700387637972389,0.823797612181608
