"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.935459323585343,0.547132124571171,0.690439497407823
"majority-vote",1,0.710209539440383,0.830552658094491
"majority-vote",0.928494828824899,0.192855253555567,0.319374133826127
"majority-vote",0.879445608371369,0.433954617031001,0.581147276814994
"majority-vote",0.979508717205467,0.847363260934411,0.908656666319894
"majority-vote",0.921312999321645,0.826897583442739,0.871555749912912
"majority-vote",0.988599874424643,0.39640007549431,0.565893254910985
"majority-vote",0.924273384769565,0.830541066378623,0.87490389893885
"majority-vote",0.970628302021145,0.78098995025635,0.865543560450188
"majority-vote",0.938410555531526,0.833861260635741,0.883052138719506
"majority-vote",0.994125404627742,0.158585345439021,0.273535612803934
"majority-vote",0.964229748278461,0.837621359167317,0.896477438080292
"majority-vote",0.884501143104016,0.814357418664277,0.847981207987143
"majority-vote",1,0.381622626636517,0.552426718090968
"majority-vote",0.900035666164563,0.657790577002686,0.760078324224024
"majority-vote",0.97080668263587,0.308166143038611,0.46782815868857
"majority-vote",0.856035222613985,0.711244788581144,0.776951899567477
"majority-vote",0.97346297478923,0.565770709029356,0.715624720599917
"majority-vote",1,0.583134892188724,0.736683772262167
"majority-vote",0.997985071251363,0.836851433395037,0.910342949105975
"majority-vote",0.701087448789164,0.646351700963006,0.67260783558506
"majority-vote",1,0.673700772442788,0.805043271216889
"majority-vote",1,0.0611543068735621,0.115259970161623
"majority-vote",0.989656565784735,0.580816548524297,0.732020058829724
"majority-vote",0.999615893161782,0.323022162889369,0.488263718695267
"majority-vote",0.770073149786255,0.961941405562209,0.855379934081527
"majority-vote",0.826858180773068,0.690774187685586,0.752714952613715
"majority-vote",0.961414534932209,0.373521602323495,0.538016894685637
"majority-vote",1,0.523207767441318,0.686981485552954
"majority-vote",0.988928688892843,0.444193323478988,0.613032968876146
"majority-vote",0.976292934148118,0.38355647162455,0.550742562381105
"majority-vote",0.983441562567511,0.617209540488284,0.758428259313442
"majority-vote",0.890643934737537,0.905337843254317,0.897930779547673
"majority-vote",0.914508819168062,0.814926909310207,0.861850872246416
"majority-vote",0.983450434764857,0.326486251237044,0.490226816539976
"majority-vote",1,0.259849283226002,0.412508522544261
"majority-vote",0.972370834896176,0.389426384983002,0.556128113009539
"majority-vote",0.961941229913837,0.542632349218684,0.693858295317679
"majority-vote",0.997569346543125,0.339151748748932,0.50620490627405
"majority-vote",0.999371186270837,0.284011029253676,0.44231942095792
"majority-vote",0.993182176358764,0.336013016161802,0.502141657680255
"majority-vote",0.930082969348553,0.604605382269202,0.732830439003836
"majority-vote",0.966134826968762,0.514614001250402,0.671533888231005
"majority-vote",1,0.256799212188073,0.408655908911637
"majority-vote",0.784269364936504,0.925009676000354,0.84884531288618
"majority-vote",0.916200980008053,0.693406435692298,0.789384603634857
"majority-vote",0.923775826724603,0.592499929451742,0.721949302340353
"majority-vote",1,0.184517532358763,0.311548841309808
"majority-vote",0.950537586335147,0.406275675898979,0.569246057810214
"majority-vote",0.834274555338576,0.364631058655378,0.507466827699555
"majority-vote",0.962464842771634,0.694714968013372,0.806959785665451
"majority-vote",0.968775621972844,0.0927642103566695,0.169315748402753
"majority-vote",0.938363916750953,0.211276985895401,0.344898480121545
"majority-vote",0.94900014605077,0.485101592289613,0.642020673463597
"majority-vote",0.906723973098898,0.872728961946732,0.889401743906788
"majority-vote",1,0.531553780887447,0.694136618016042
"majority-vote",1,0.831351465639138,0.907910339699865
"majority-vote",0.842543694194181,0.756153756614988,0.797014568522317
"majority-vote",0.975341010303088,0.254192815568644,0.403282402373486
"majority-vote",0.972115607769221,0.567996863665858,0.717036744490543
"majority-vote",0.977031139731828,0.431991801110078,0.599095202156459
"majority-vote",0.908698157700216,0.807176857058727,0.854934207490118
"majority-vote",0.797687424340599,0.81354179676224,0.805536607644821
"majority-vote",0.917917459158171,0.37841176777941,0.535899000312138
"majority-vote",0.988302802459649,0.457690442208125,0.625641576627439
"majority-vote",1,0.692768076363963,0.818503238614964
"majority-vote",1,0.782935254862293,0.878254275052477
"majority-vote",0.910800165273315,0.467178550737443,0.617580367940152
"majority-vote",0.804061714073197,0.572364817174473,0.668712242207846
"majority-vote",0.993863924198818,0.0414514432813211,0.0795836619011044
"majority-vote",0.919428030220558,0.831126388275367,0.873050149098379
"majority-vote",0.90177337155598,0.446103821825175,0.596915727110367
"majority-vote",0.985481128867732,0.689907462742963,0.811621600627673
"majority-vote",0.914327152094117,0.673672978948744,0.775765044654571
"majority-vote",0.681430225666827,0.657390886074818,0.669194735458763
"majority-vote",1,0.737050926612552,0.848623279053638
"majority-vote",0.942531851450258,0.388045358391917,0.549754057692293
"majority-vote",1,0.649886811931902,0.787795632078458
"majority-vote",0.938588318443377,0.824315697256459,0.877748393859413
"majority-vote",0.96519937716574,0.67268273208633,0.792820130792394
"majority-vote",1,0.513997992406086,0.678994285308433
"majority-vote",0.992357244240638,0.461206339379121,0.62973709183444
"majority-vote",0.999264678848487,0.490098596271252,0.657647767456484
"majority-vote",0.795727632506574,0.531164096344538,0.637070741593505
"majority-vote",0.972467945532253,0.523301541165022,0.680444385523963
"majority-vote",0.999126677590053,0.842195081407407,0.913973420948889
"majority-vote",0.827520354770347,0.66839554693312,0.739494672788976
"majority-vote",1,0.459084361424648,0.629277337982567
"majority-vote",0.937289699770847,0.811433462639278,0.869832621800451
"majority-vote",0.910435197589443,0.420495554977979,0.575287561645647
"majority-vote",0.901228366592082,0.404854877726513,0.558718905165435
"majority-vote",0.940245505437031,0.588443786655948,0.723864069000033
"majority-vote",0.903794743651214,0.243988597300878,0.384246057393459
"majority-vote",0.778152834873101,0.373075808816736,0.504348115110891
"majority-vote",0.735312746049789,0.591785123106615,0.65578757084366
"majority-vote",0.814031509589526,0.191339182836225,0.309848148590827
"majority-vote",0.899279519166957,0.192039244546763,0.316492239003601
"majority-vote",0.919013534191865,0.53116480591811,0.673224295279599
"majority-vote",0.951785714298579,0.687811438146272,0.798548716655937
"majority-vote",0.945492355131379,0.670011064530957,0.784263693480594
"majority-vote",0.981082632752239,0.59956367043266,0.744279733050262
"majority-vote",0.939623670377812,0.674703630695653,0.785426228584403
"majority-vote",0.950376433862646,0.393072479199118,0.556131040635458
"majority-vote",0.938428531341339,0.506207657745294,0.657659987199958
"majority-vote",0.836274464847532,0.800372168393907,0.817929531284146
"majority-vote",0.898633113252969,0.701727678778627,0.788066955622051
"majority-vote",0.804661929707074,0.924518436238584,0.860436312607177
"majority-vote",0.987196356566903,0.281939798952104,0.438613211177332
"majority-vote",1,0.940369575444449,0.969268522187639
"majority-vote",0.873416484417162,0.630624130567653,0.732423719973266
"majority-vote",0.843949765626182,0.350448534406564,0.495246784039043
"majority-vote",0.984692726968331,0.479204008917629,0.644674847272855
"majority-vote",0.88239904278778,0.391374184973345,0.542244410018471
"majority-vote",0.824380834720209,0.475263073336045,0.602930951593399
"majority-vote",0.954147826411406,0.260624021035887,0.409416539747035
"majority-vote",0.862642981926603,0.357975949115835,0.505981731644228
"majority-vote",0.997797267008559,0.816254402940697,0.897941801691584
"majority-vote",0.983000619998993,0.701081872360088,0.818444367573269
"majority-vote",0.980912537522507,0.617565782928215,0.757943365848563
"majority-vote",0.940059102666194,0.746036510372268,0.831884511262026
"majority-vote",0.960289332021005,0.433189924506648,0.597048949661869
"majority-vote",1,0.619897551534235,0.765354020008387
"majority-vote",0.991325986660312,0.385252233765431,0.554869378410605
"majority-vote",1,0.507620405270766,0.673406121986785
"majority-vote",0.998401346095083,0.419826216478699,0.591097043548726
"majority-vote",0.981571099077885,0.7048126292261,0.820481952597125
"majority-vote",1,0.490621472514258,0.658277747316651
"majority-vote",1,0.56490931304047,0.721970670546915
"majority-vote",0.801959038475231,0.806729193605293,0.804337043700354
"majority-vote",0.973676280290004,0.726137283646864,0.831882583268321
"majority-vote",1,0.828448039060171,0.906176190258047
"majority-vote",0.986266212523707,0.681035940936572,0.805712074042533
"majority-vote",0.958846174522195,0.632859459744795,0.762471224481063
"majority-vote",0.961320203193863,0.717020357180635,0.821390094159698
"majority-vote",0.975832388065994,0.969197953102714,0.972503855663874
"majority-vote",0.998695265606195,0.989514788505096,0.994083831820356
"majority-vote",0.93686074949507,0.378894452230624,0.539570491578889
"majority-vote",0.993815348952879,0.29414560283532,0.453936766512795
"majority-vote",0.96415214885079,0.894179841759329,0.927848651637609
"majority-vote",0.974579819131179,0.26490919607307,0.416583210061826
"majority-vote",1,0.282826737333102,0.440943003606359
"majority-vote",1,0.278993920302994,0.436270909304871
"majority-vote",0.925075837881418,0.731368338581025,0.816895840169742
"majority-vote",0.788557735318544,0.88480959782927,0.833915469521991
"majority-vote",0.932919230533034,0.608256492235313,0.736391276244084
"majority-vote",0.878242998774955,0.493658934618295,0.632045910218781
"majority-vote",1,0.581633267453609,0.735484362174582
"majority-vote",0.996956999387511,0.925364753754289,0.959827736157119
"majority-vote",0.997448730070751,0.878758798194453,0.934349568576787
"majority-vote",0.997012560607796,0.868035118910486,0.928064119868473
"majority-vote",0.996613624166938,0.937491651785189,0.966149014046754
"majority-vote",0.985336337271021,0.832049330829702,0.902228354122912
"majority-vote",0.996240720100604,0.835428902572356,0.908775557763502
"majority-vote",0.978939570153424,0.287324777202549,0.444257306108959
"majority-vote",0.993666649951381,0.784335025552079,0.87667809093507
"majority-vote",1,0.644735598633052,0.783999080665482
"majority-vote",0.996234634742687,0.714426231185189,0.832118358058445
"majority-vote",0.919100904300306,0.423274044758472,0.579616831462974
"majority-vote",0.968108491582994,0.483470707166768,0.644886751536415
"majority-vote",0.991809215888349,0.743000506209075,0.849562623590699
"majority-vote",0.937256758178185,0.400077457153075,0.560780239094654
"majority-vote",0.868366919666092,0.481488258598251,0.619486420035017
"majority-vote",0.89312205927086,0.424716313630466,0.575675312596126
"majority-vote",0.973899410774411,0.323913202954004,0.486139330380974
"majority-vote",0.889776080359849,0.425593774247145,0.575782026551493
"majority-vote",0.946951313105871,0.93709985605156,0.941999828588729
"majority-vote",0.865243920958337,0.413574060932456,0.559645621433589
"majority-vote",0.895160724555134,0.99536425415483,0.942606944610186
"majority-vote",0.967365738925911,0.271287091220568,0.423740746515085
"majority-vote",0.840409741333685,0.426478993488918,0.565822539502586
"majority-vote",0.997651929479691,0.254212825969661,0.405181015318356
"majority-vote",0.982058624196113,0.332720778642915,0.497043548765611
"majority-vote",0.965032061148756,0.387747320635903,0.553214516833519
