"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.919722304137701,0.563372684614918,0.698736665569978
"majority-vote",0.994265970381502,0.677707587446813,0.806019436028548
"majority-vote",0.87413959021668,0.200072279400277,0.325617516013928
"majority-vote",0.910621864987603,0.449339048593147,0.601749592000096
"majority-vote",0.990923274111788,0.839081969897002,0.908703246158034
"majority-vote",0.93684409915994,0.783915813295234,0.853584394438799
"majority-vote",0.967950818451675,0.342402446663386,0.505861644048451
"majority-vote",0.89905600693953,0.82609756934177,0.861034046181357
"majority-vote",0.954095990173262,0.748759572217454,0.839047681124002
"majority-vote",0.766538004035177,0.86829038484338,0.814247639750551
"majority-vote",0.995628273384409,0.18036105789247,0.305398295510533
"majority-vote",0.981379256389367,0.872012816027698,0.923469245057488
"majority-vote",0.857679681005055,0.847737169310911,0.852679442936196
"majority-vote",1,0.373062808749137,0.543402394081299
"majority-vote",0.899543207929403,0.704235123883093,0.789996859177446
"majority-vote",0.969412896353478,0.299715958073475,0.457870789062716
"majority-vote",0.848925466794392,0.701755013633666,0.768356486127709
"majority-vote",0.971473759328635,0.548794544969279,0.701375537716766
"majority-vote",1,0.510711090234262,0.676120131156339
"majority-vote",0.974429009516984,0.794004292192694,0.87501271916285
"majority-vote",0.745054311753667,0.56456625239491,0.642373114980677
"majority-vote",1,0.606926389231074,0.755387917328923
"majority-vote",1,0.0657005075366175,0.123300133709207
"majority-vote",0.993316619663978,0.582152625788012,0.734082090203364
"majority-vote",0.991707348545869,0.278299105096184,0.434629708890301
"majority-vote",0.770090995746049,0.934555871374388,0.844389621626156
"majority-vote",0.833943192969046,0.749591922016928,0.789520958461522
"majority-vote",0.983268849897143,0.403155586228084,0.571845560812506
"majority-vote",0.999801443004318,0.559553830276791,0.717530811015479
"majority-vote",0.995222418615332,0.373422150027976,0.543074665007837
"majority-vote",0.96422775525117,0.409442322911472,0.574804180715378
"majority-vote",0.994109050028106,0.544676716315507,0.703760152805996
"majority-vote",0.8915280186605,0.900895059079828,0.896187063218376
"majority-vote",0.922719110291789,0.81911801530059,0.867837566666967
"majority-vote",0.979680687470054,0.342650451500855,0.50772158349009
"majority-vote",0.999742740458415,0.280420779633748,0.437988794888242
"majority-vote",0.989939108741886,0.43896068494518,0.608222285631495
"majority-vote",0.972744144975722,0.634515163692079,0.768041481609304
"majority-vote",0.998265882529024,0.376053270053877,0.546308546748736
"majority-vote",0.980117688381885,0.339665721945716,0.504495479501993
"majority-vote",0.990282959536749,0.372211160926359,0.541058290790245
"majority-vote",0.947253207583507,0.716209522108806,0.815686164780987
"majority-vote",0.975404941901755,0.604409294808385,0.74634574038925
"majority-vote",1,0.208341482957408,0.344838749469221
"majority-vote",0.776506079574804,0.956657300160335,0.857218907726564
"majority-vote",0.967631814124412,0.792955098548665,0.871628176950245
"majority-vote",0.867617098578565,0.530223096813268,0.658202026773907
"majority-vote",1,0.203424567046835,0.338076141400424
"majority-vote",0.969071835461099,0.388161404758207,0.554298662628413
"majority-vote",0.923685502791772,0.34460728844935,0.50194838083966
