"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.858252917654753,0.548403308149197,0.669202226722545
"majority-vote",0.981647369290885,0.694877318847289,0.813736292525298
"majority-vote",0.792368552998056,0.23862737989448,0.36679258507301
"majority-vote",0.821512338512313,0.457779817069952,0.587937268909004
"majority-vote",0.956694650464905,0.794252260677043,0.867938238531532
"majority-vote",0.66181159199584,0.751122354443191,0.70364433161301
"majority-vote",0.929504574710347,0.331810162481796,0.489043780854881
"majority-vote",0.299047960378542,0.821188772766672,0.438433806561845
"majority-vote",0.746234297083609,0.749738465976613,0.747982277444818
"majority-vote",0.658914563910639,0.877329061645186,0.752595338972895
"majority-vote",0.960899199519385,0.256581639495793,0.405015149482455
"majority-vote",0.867158498473696,0.67998329038912,0.76224854544772
"majority-vote",0.547239923039562,0.866248830286718,0.670745971064389
"majority-vote",1,0.466015399586999,0.635757850454072
"majority-vote",0.705388891005581,0.69717218450371,0.701256469545811
"majority-vote",0.91569488166315,0.283573026270901,0.433041469743512
"majority-vote",0.881658815881807,0.676169115221524,0.765361115383051
"majority-vote",0.748719987498576,0.645733662412165,0.693423836180705
"majority-vote",1,0.300142978160069,0.461707647853967
"majority-vote",0.965225462566,0.68987751610649,0.804647630000471
"majority-vote",0.47827031790825,0.362727727619003,0.412561970922811
"majority-vote",0.984288314828636,0.626977700067874,0.766014820804843
"majority-vote",1,0.0830589233660149,0.153378401810084
"majority-vote",0.623049597862511,0.653502187801523,0.637912664232752
"majority-vote",0.981079420185308,0.21275646616929,0.349681213064229
"majority-vote",0.480994284161157,0.76192542326743,0.589711099370851
"majority-vote",0.693448378294232,0.769568834148593,0.729528341139705
"majority-vote",0.924925288730227,0.4130676026765,0.571089239897203
"majority-vote",0.957339309827909,0.397518610667982,0.561771366020942
"majority-vote",0.98722970151173,0.492539088927871,0.657196206443399
"majority-vote",0.815111429627052,0.356587059254865,0.496131368972059
"majority-vote",0.879314002651923,0.549821302279704,0.67658474097243
"majority-vote",0.69199069088177,0.871360970713776,0.771385856354603
"majority-vote",0.761207535559056,0.787007633828487,0.773892612936656
"majority-vote",0.898711815687728,0.375462726757343,0.52964923979668
"majority-vote",0.999513241640463,0.263511715288736,0.417067687084901
"majority-vote",0.921692596270132,0.379183335191176,0.537315610539632
"majority-vote",0.740325468365222,0.603155755634252,0.664738083883012
"majority-vote",0.946715676392795,0.31833827815216,0.476463216829271
"majority-vote",0.939642370446583,0.299300965814959,0.453993109715472
"majority-vote",0.86133489542718,0.344981475767093,0.492647850016303
"majority-vote",0.692653286261807,0.602819884073504,0.644621877610015
"majority-vote",0.783461451378788,0.555371662475285,0.649987342313319
"majority-vote",1,0.219474441480222,0.359949227330784
"majority-vote",0.633356897592826,0.910310795056513,0.74698929536154
"majority-vote",0.744599092791469,0.586914824448325,0.656420094708457
"majority-vote",0.6843561666798,0.562571510110033,0.617516619942761
"majority-vote",1,0.27352363572903,0.429554078236563
"majority-vote",0.743964750171854,0.346766535806999,0.47304424562846
"majority-vote",0.61389921520033,0.370026020930295,0.461739724750086
"majority-vote",0.985563812298478,0.794385029938556,0.879707461204464
"majority-vote",0.905105009019721,0.0801608353139318,0.147277963581319
"majority-vote",0.57608245037118,0.219009618942553,0.317366007798778
"majority-vote",0.909183012077495,0.356004254922692,0.511660256541248
"majority-vote",0.925892633599161,0.890453423805473,0.907827296790251
"majority-vote",1,0.471314335510228,0.640671166092844
"majority-vote",1,0.725667804424601,0.841028386302385
"majority-vote",0.801086190382439,0.738448459937072,0.768493081259324
"majority-vote",0.991778731854874,0.256587204704359,0.407697334634541
"majority-vote",0.774372242533609,0.665096680919359,0.715586699947277
"majority-vote",0.873227634945165,0.409769481300119,0.557790864059902
"majority-vote",0.772577229285459,0.727606214150492,0.749417673417043
"majority-vote",0.758355482214218,0.620153496485386,0.682326790961718
"majority-vote",0.713440540971906,0.516303365177462,0.599070668804897
"majority-vote",0.948971462360422,0.608063012518748,0.741196749984588
"majority-vote",1,0.77589052568842,0.873804454120445
"majority-vote",0.998308762241915,0.363765670555399,0.533231441063691
"majority-vote",0.71195448352996,0.402971669295211,0.514648411400688
"majority-vote",0.843683608328854,0.72651228192068,0.7807261594713
"majority-vote",0.861680764263915,0.112601983329673,0.199176190469954
"majority-vote",0.740471977908558,0.939461373060186,0.828181452171799
"majority-vote",0.740471977908558,0.548104611029288,0.629929348265125
"majority-vote",0.970187581957625,0.617608003798474,0.754751582858928
"majority-vote",0.914639521694099,0.669905459645138,0.773372818576889
"majority-vote",0.29287120279244,0.625127846234457,0.398871751381017
"majority-vote",1,0.656333870367463,0.792513975726226
"majority-vote",0.783996939904265,0.416185561583551,0.543730984761661
"majority-vote",1,0.645306808268317,0.784421245965063
"majority-vote",0.82381948679301,0.85779314640611,0.840463131277114
"majority-vote",0.928629998255234,0.419921633622027,0.578326875560445
"majority-vote",1,0.335382407696777,0.502301671436923
"majority-vote",0.988315511080021,0.5180757870054,0.679799912364326
"majority-vote",0.962946863007992,0.567610074614006,0.714221506336771
"majority-vote",0.591707236431974,0.59135434349133,0.591530737329807
"majority-vote",0.780393256810794,0.23964602664808,0.366688119272226
"majority-vote",0.968967075346809,0.859586507438565,0.91100532350994
"majority-vote",0.605281553524738,0.682715246030214,0.641670763273603
"majority-vote",0.881611671570688,0.48478599190445,0.625576287345156
"majority-vote",0.647173539291539,0.66573157198937,0.656321395903679
"majority-vote",0.704453708128084,0.437822243207037,0.540019252559169
"majority-vote",0.923957475849744,0.431141398473522,0.58793690381724
"majority-vote",0.719073357848073,0.564352046515739,0.632386611199523
"majority-vote",0.712527425670592,0.31680149298812,0.438595959281056
"majority-vote",0.405766576695133,0.346359802310238,0.373717064608433
"majority-vote",0.241151307407084,0.653418098563008,0.352287095222186
"majority-vote",0.430854438144019,0.356441225672265,0.39013115676
"majority-vote",0.567016337829451,0.23584082800585,0.333124267421622
"majority-vote",0.708165083804323,0.495925742841136,0.583340205685701
"majority-vote",0.692520079436722,0.734895184378299,0.713078645527608
"majority-vote",0.930855979325268,0.671714555955915,0.780333217223007
"majority-vote",0.697854980110678,0.6348327012278,0.664853691217418
"majority-vote",0.670407033989666,0.736632173384186,0.701961093780152
"majority-vote",0.772770349477048,0.376122276242348,0.505976165833432
"majority-vote",0.891627018663728,0.401551040674216,0.553726928248331
"majority-vote",0.744219030746668,0.835407624177553,0.787181262617553
"majority-vote",0.817939474276463,0.697551404089422,0.75296372533357
"majority-vote",0.733163073412517,0.944066182014743,0.825354627306962
"majority-vote",0.972059275296652,0.345413135232626,0.509706372943753
"majority-vote",1,0.963333242169179,0.981324231137497
"majority-vote",0.84573733591059,0.464499333420934,0.599654151001731
"majority-vote",0.730171029665302,0.46282866150353,0.566545126256568
"majority-vote",0.677390058376267,0.497586417529451,0.57373079262322
"majority-vote",0.738635836866003,0.598000669542109,0.660919738277448
"majority-vote",0.552969841686387,0.63346772211569,0.590487956044158
"majority-vote",0.964391102119149,0.283613737275377,0.438322923170439
"majority-vote",0.836780483637797,0.361608503931865,0.504989518338772
"majority-vote",0.648980926946244,0.678685963790382,0.663501137159052
"majority-vote",0.95954635243324,0.63234024975585,0.762315329892922
"majority-vote",0.974161129031562,0.685167875643245,0.804498576752823
"majority-vote",0.710511311572936,0.810715143941491,0.757312993270445
"majority-vote",0.708910732859873,0.472083980706012,0.566751733753692
"majority-vote",1,0.491926781367532,0.659451640001558
"majority-vote",0.95122925276854,0.364430843750873,0.526970879642904
"majority-vote",0.99993610110242,0.434449397070376,0.605725081278694
"majority-vote",0.949189808517591,0.363201169229341,0.525372170518899
"majority-vote",0.67991771118218,0.584610476194637,0.628672450128523
"majority-vote",1,0.331382028167617,0.497801564324401
"majority-vote",1,0.536860206379735,0.698645464501129
"majority-vote",0.65334547337024,0.751613193677865,0.699042739593946
"majority-vote",0.961115787128621,0.630718333530538,0.761628789985527
"majority-vote",1,0.847219218276482,0.917291472386224
"majority-vote",0.983227765980563,0.609013013002744,0.752145670594029
"majority-vote",0.887488078457211,0.514984487982036,0.651766893144781
"majority-vote",0.960532010995963,0.783853244041925,0.863245238574258
"majority-vote",0.954714109348449,0.966473864191408,0.960557995540577
"majority-vote",0.979942014914672,0.993817507191892,0.986830988828556
"majority-vote",0.891779893804349,0.407760500212985,0.559632647436881
"majority-vote",0.902292893258964,0.334271971743314,0.487821113240344
"majority-vote",0.597742391727595,0.893902469174706,0.716421735361965
"majority-vote",0.988417150052591,0.218601268242737,0.358021450674337
"majority-vote",0.995588032079897,0.287957604191706,0.446711260399623
"majority-vote",1,0.21335352999682,0.351675788996763
"majority-vote",0.818046596171431,0.744097500243197,0.779321739512632
"majority-vote",0.467010802967463,0.927988531042271,0.621334589144146
"majority-vote",0.660579807744024,0.619272329278522,0.639259465031145
"majority-vote",0.835530095203997,0.46281890779038,0.595678242439381
"majority-vote",1,0.680724628589777,0.810037072118047
"majority-vote",0.998841616166326,0.86431353351237,0.926720812098556
"majority-vote",0.998883875128801,0.859197910810059,0.923790271394181
"majority-vote",0.984191280338168,0.806753671460855,0.886682673339563
"majority-vote",0.984047468891648,0.8888243633641,0.934015184588709
"majority-vote",0.839073311853255,0.794528547916033,0.816193610548431
"majority-vote",0.998757958840733,0.817417939216893,0.899034805345884
"majority-vote",0.940335844639448,0.281802267744824,0.433647835340269
"majority-vote",0.65491679353805,0.766875321812534,0.706487989886037
"majority-vote",1,0.589321739338693,0.741601558390444
"majority-vote",0.900513611142802,0.688407913064474,0.780303729653675
"majority-vote",0.737866514582741,0.594332087300825,0.658366920879974
"majority-vote",0.95823830199292,0.599470360411411,0.737539020125972
"majority-vote",0.935941834468431,0.737683680188164,0.825069898667744
"majority-vote",0.461018631034436,0.466904380469692,0.463942839307766
"majority-vote",0.567627498556661,0.361791862758593,0.441916789349425
"majority-vote",0.84236440195919,0.315838169484662,0.45942020388051
"majority-vote",0.790264080611022,0.368626103128976,0.502743008036042
"majority-vote",0.835823531675511,0.268397319123201,0.406318708797297
"majority-vote",0.970247863970024,0.963361806762531,0.966792573898883
"majority-vote",0.614511450860068,0.24862944504299,0.354022481671546
"majority-vote",0.66153425182917,0.998333149500052,0.79576425514701
"majority-vote",0.761479035620142,0.270618338976566,0.399323158564417
"majority-vote",0.826927545840327,0.301912390858232,0.442329624094176
"majority-vote",0.994658719043376,0.240595682312197,0.387467703678524
"majority-vote",0.823158489436461,0.284805710930259,0.423190999699508
"majority-vote",0.798223040966697,0.478552091334295,0.598368962461561
"majority-vote",0.999289933227557,0.432437330523753,0.603648868167736
"majority-vote",0.66533565753955,0.690841662882045,0.677848810930495
"majority-vote",0.699085050021989,0.341211444187737,0.458591989602475
"majority-vote",0.862852522308269,0.641428880500921,0.735844405691682
"majority-vote",0.64143011366866,0.776841659759571,0.702671580239762
"majority-vote",1,0.311993246547646,0.475601909336986
"majority-vote",0.838210586570207,0.659532320957633,0.738213442151295
"majority-vote",0.816509489104081,0.453884152715345,0.583442336999232
"majority-vote",0.900858911200303,0.654187976366404,0.75795922659533
"majority-vote",0.752581187792254,0.570024282936279,0.648703731259045
"majority-vote",0.899264413223251,0.490493681277587,0.634763005488701
"majority-vote",0.953373469320003,0.583147683957528,0.723657503047853
"majority-vote",0.658928342489743,0.59368577266941,0.624607973693627
"majority-vote",0.841422004070863,0.394417154868437,0.537078422363906
"majority-vote",0.39685692444394,0.702959140005534,0.507310651898864
"majority-vote",0.982155879500151,0.6284160929614,0.766438968301725
"majority-vote",0.967545295114416,0.320768824905245,0.481805427005199
"majority-vote",0.752153946113138,0.708087409574272,0.729455767335943
"majority-vote",0.967416041634303,0.427016975790662,0.592503285949026
"majority-vote",0.970252256498149,0.900949765298803,0.934317655271855
"majority-vote",0.834124260442225,0.638797744645146,0.723509723507303
"majority-vote",0.992493733875401,0.600404360785259,0.74819295455028
"majority-vote",0.872385514329867,0.736695014696892,0.798819012109131
"majority-vote",0.892378715612174,0.868120531670644,0.880082495058694
"majority-vote",0.991269446623251,0.778164501631716,0.871884136364697
"majority-vote",0.345222141568474,0.415530389536471,0.377127344562917
"majority-vote",0.831434943089553,0.533634160143418,0.650050735920529
"majority-vote",0.856570041937627,0.703060858144747,0.772260755687699
"majority-vote",0.962106483312597,0.604853407610492,0.742754665625751
"majority-vote",0.76640788593965,0.734913555412169,0.750330380740685
"majority-vote",0.83018899430511,0.48276819336069,0.610513190671717
"majority-vote",0.968887044303158,0.634022146608035,0.766476163631701
"majority-vote",0.831864004232196,0.778189617361563,0.804132138791146
"majority-vote",0.949717465999373,0.645440806834235,0.768558729197829
"majority-vote",0.928021031489228,0.539744273629444,0.682526062998202
"majority-vote",0.557591522834793,0.550338277651944,0.553941157960392
"majority-vote",1,0.861464369343555,0.925577070967359
"majority-vote",0.65568702745345,0.591840878768637,0.622130189777353
"majority-vote",0.774767196736674,0.816324254204111,0.795003019699354
"majority-vote",0.996819091386239,0.59969259451129,0.748863954397849
"majority-vote",0.903475374955946,0.772388562042513,0.832805134470395
"majority-vote",0.806770829635867,0.618537839662448,0.700224866114536
"majority-vote",0.884464598385831,0.488316472117941,0.629231625751492
"majority-vote",0.744445170280265,0.511461222700499,0.606342700623322
"majority-vote",0.97141851572012,0.797558439039488,0.875944746444795
"majority-vote",0.942971567556423,0.391166951411245,0.552955046427931
"majority-vote",0.962118356536762,0.592442139169537,0.733325539733268
"majority-vote",0.96277610009903,0.321952685453776,0.482542859478656
"majority-vote",1,0.101089908345852,0.183617900009123
"majority-vote",0.537059755879677,0.354349542068051,0.426979792553841
"majority-vote",0.523501596824241,0.698252491985791,0.598379490421175
"majority-vote",1,0.387091722869129,0.558134284109848
"majority-vote",0.697424072677631,0.479899606335462,0.568566731295901
"majority-vote",0.688819147887857,0.712026868081742,0.700230767627738
"majority-vote",0.411133951349995,0.84316042917892,0.552744051558471
"majority-vote",0.411190261252738,0.775381273674329,0.537395713798621
"majority-vote",0.807962254314261,0.618607816960851,0.700718144018493
"majority-vote",0.496950185682302,0.364310205864644,0.420416464584449
"majority-vote",0.806092397999579,0.96275480075124,0.877485999436518
"majority-vote",0.851524129109255,0.658663389989594,0.742778976046255
"majority-vote",1,0.381346826860612,0.552137695537767
"majority-vote",0.374270218685013,0.716797470369491,0.491767740314142
"majority-vote",0.964218887166546,0.665048647457567,0.787166567964659
"majority-vote",0.623717139721824,0.52173603518262,0.568186835888871
"majority-vote",0.574922083909127,0.674975802088449,0.620944317247494
"majority-vote",0.684462659075698,0.601843967054664,0.640500038903094
"majority-vote",0.0954533896745591,0.829867428305952,0.17121339425864
"majority-vote",0.893044822306345,0.973767249189809,0.931660785033918
"majority-vote",0.94582396511187,0.942042230402124,0.943929310010427
"majority-vote",0.797870477563544,0.733770935792943,0.764479416471746
"majority-vote",0.98423442776135,0.52901030886863,0.688150628944148
"majority-vote",0.968692286134865,0.510109294906745,0.668296471138213
"majority-vote",0.941164956023593,0.753612127487102,0.837010757020622
"majority-vote",0.865084329616811,0.55862466559768,0.67887109791447
"majority-vote",0.989008450193483,0.451871859198569,0.620322290809271
"majority-vote",0.94419836289865,0.56908309593814,0.710148564102692
"majority-vote",0.576948774758543,0.887929330005126,0.699429853381937
"majority-vote",0.96114540646049,0.576933620017978,0.721051505373562
"majority-vote",0.658188871449424,0.361252173274486,0.466475548471918
"majority-vote",0.831420983369393,0.81510384809155,0.823181563957517
"majority-vote",0.693684691739664,0.990856623334879,0.816058431058242
"majority-vote",0.349630311964695,0.643870283418831,0.453178526721707
"majority-vote",0.208249279936225,0.907027034616361,0.338728123922047
"majority-vote",0.830080864116209,0.631004284056579,0.716980228052763
"majority-vote",0.750833485006927,0.511846707398737,0.608723648976108
"majority-vote",0.437782828778978,0.700102616683639,0.538706080105842
"majority-vote",0.986246810948262,0.560518275906526,0.714794207328689
"majority-vote",0.932236263393138,0.536856401171904,0.68134164369456
"majority-vote",0.684275761590356,0.589828729416664,0.6335516527541
"majority-vote",0.850355137052088,0.482748702292778,0.615867761811609
"majority-vote",0.847490907727265,0.693214110026937,0.762628340384626
"majority-vote",0.878701711437168,0.610913533073882,0.720737477721435
"majority-vote",0.633343213283431,0.603643218493508,0.618136668044507
"majority-vote",0.806637914739036,0.395580258660673,0.530835487298667
"majority-vote",0.902867197238214,0.287172998498192,0.435748441448421
"majority-vote",0.745420222748288,0.48022747043617,0.584134037820121
"majority-vote",0.937303805650988,0.570278792841797,0.709114689101694
"majority-vote",1,0.0618306419936066,0.116460459038022
"majority-vote",0.821253507878003,0.648126243894409,0.724490657645213
"majority-vote",0.837126774307999,0.661603666800966,0.739087067651239
"majority-vote",0.765445285165802,0.588697131540763,0.665536265859627
"majority-vote",0.963027018637245,0.817641847681281,0.884399346537123
"majority-vote",0.887321973242882,0.370843414956632,0.523075127975571
"majority-vote",0.815384779873873,0.81423339682973,0.814808681605321
"majority-vote",0.884178763479873,0.617366800266788,0.727067665814118
"majority-vote",0.819349771576745,0.67075240268749,0.73764180392249
"majority-vote",0.992154728213981,0.421268359024141,0.591420075172908
"majority-vote",0.857735918059028,0.562851891130634,0.67968805651737
"majority-vote",0.515952495453861,0.626539173520097,0.565893754599732
"majority-vote",0.883046092518944,0.31006917976835,0.458975564163368
"majority-vote",0.967758559846311,0.84874757883958,0.904354482572842
"majority-vote",0.754930960964947,0.577348715293744,0.654304690247264
"majority-vote",0.874948968482792,0.462089586322765,0.604776586952709
"majority-vote",0.968287724306867,0.420079579907115,0.585951425420997
"majority-vote",1,0.444718788324442,0.615647545970131
"majority-vote",0.572650081559809,0.793613757491767,0.665263867731613
"majority-vote",1,0.65895179565083,0.79441946098538
"majority-vote",0.94180730293953,0.505670672799195,0.658033269599939
"majority-vote",0.708481908555106,0.840936079571525,0.769047478722042
"majority-vote",0.93770585309984,0.520391485157226,0.669329994276717
"majority-vote",0.880310707279078,0.570848527220804,0.692582948583382
"majority-vote",0.982434501736922,0.645585504878729,0.779161768573829
"majority-vote",0.984065868607526,0.780235179487812,0.870376187158886
"majority-vote",0.998064531587839,0.095112073604772,0.173673652984861
"majority-vote",0.751975475034275,0.67001288130182,0.708632039708397
"majority-vote",0.834769709048926,0.835890798443803,0.835329877595307
"majority-vote",0.653183951403021,0.760979193028356,0.702973201069537
"majority-vote",0.906960189325234,0.830418791244584,0.867003448930184
"majority-vote",1,0.428039788690923,0.599478798953221
"majority-vote",0.911605335408245,0.651797336785648,0.760113744701328
