"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.491549475831721,0.659112532029985
"majority-vote",1,0.356707965745992,0.525843401457225
"majority-vote",0.941638296978103,0.303786144061425,0.459372175321659
"majority-vote",1,0.563840648920067,0.721097318079608
"majority-vote",0.99619705220988,0.562942409274457,0.719373195967018
"majority-vote",0.996483756483756,0.555353936855592,0.713220434780209
"majority-vote",1,0.509219682432526,0.674811875779114
"majority-vote",0.979804308305274,0.260372916416333,0.411416207595652
"majority-vote",1,0.328045121207765,0.494027071775138
"majority-vote",0.855113743590084,0.527202177351002,0.652264537612415
"majority-vote",0.983026874115983,0.381077295623266,0.549238439443696
"majority-vote",0.960793063878618,0.597190951213176,0.736563299980825
"majority-vote",0.989149266108841,0.87201806274794,0.926897881159994
"majority-vote",1,0.36223118016166,0.531820421433421
"majority-vote",1,0.687688498512712,0.814947188558484
"majority-vote",0.993667354027568,0.194613172983461,0.32547997255128
"majority-vote",1,0.811387128267911,0.895873792637333
"majority-vote",1,0.691302061629464,0.817479121338548
"majority-vote",1,0.611065628258147,0.75858564361381
"majority-vote",1,0.891806315496383,0.942809322700021
"majority-vote",0.944465112433862,0.580335717116222,0.718922534266047
"majority-vote",1,0.222340781679859,0.3637950807373
"majority-vote",1,0.0484083237579698,0.092346317099911
"majority-vote",1,0.836662015605656,0.91106802285532
"majority-vote",0.980159022669084,0.315068880691059,0.476854467650737
"majority-vote",1,0.863342102688423,0.926659792040116
"majority-vote",0.925130408100644,0.869961522255385,0.896698207491086
"majority-vote",0.976668031109292,0.593268588468435,0.738152683353938
"majority-vote",0.963538149898717,0.244091591025286,0.389509386945679
"majority-vote",1,0.454267383775361,0.624737085962909
"majority-vote",0.979755663040121,0.46323655809844,0.629052096713388
"majority-vote",1,0.699281068861235,0.823031671069995
"majority-vote",0.955558710165875,0.516301462355941,0.6703848213792
"majority-vote",0.865147689887361,0.628713112732732,0.728220053874649
"majority-vote",1,0.355968582298073,0.525039572369417
"majority-vote",0.990493480772405,0.286215016047155,0.444101544244588
"majority-vote",1,0.362511963397604,0.532122980401042
"majority-vote",1,0.410218341949496,0.581779898540261
"majority-vote",1,0.329097672891917,0.495219696195616
"majority-vote",1,0.286044083150361,0.444843356301834
"majority-vote",1,0.36762788813501,0.537613909930328
"majority-vote",1,0.521312984837683,0.685346131970739
"majority-vote",1,0.37281227247704,0.543136567105937
