"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.935783940210655,0.510203006401373,0.660365269211107
"majority-vote",0.97528086093313,0.250028885231429,0.398019173861872
"majority-vote",0.960046590435271,0.235008594248802,0.377587918153241
"majority-vote",0.933783821087857,0.498195043661641,0.649739298489967
"majority-vote",0.967455631934997,0.545888274087116,0.69795461966216
"majority-vote",0.932137398391171,0.492300039325925,0.644312295836019
"majority-vote",0.996350939941794,0.409041822721948,0.579979085379749
"majority-vote",0.913294745940883,0.332834767883517,0.487872635070747
"majority-vote",0.971470652373511,0.432115582648204,0.598164325784395
"majority-vote",0.940812471478477,0.78079279927638,0.853365885523486
"majority-vote",0.993688007213706,0.212237368395618,0.349769118260342
"majority-vote",0.861610818214715,0.620883788259266,0.721702711742995
"majority-vote",0.951097684895305,0.819907161084629,0.880643330261682
"majority-vote",1,0.271438655101973,0.426978767733317
"majority-vote",0.927579365079365,0.600481568967037,0.729021075107717
"majority-vote",0.98508834057953,0.26290806595683,0.415045538692168
"majority-vote",0.865239735489694,0.816852783599912,0.840350311763509
"majority-vote",0.999008220852636,0.600023048594386,0.749738882159755
"majority-vote",1,0.582730673226936,0.736361129640384
"majority-vote",0.996959738026393,0.774259376996206,0.871609186133662
"majority-vote",0.680319165783287,0.652459569594516,0.66609818766059
"majority-vote",1,0.199287776141734,0.332343546071768
"majority-vote",1,0.0368479765646273,0.0710769127152374
"majority-vote",0.904677794611209,0.704130413036607,0.791904399985613
"majority-vote",1,0.251229310224064,0.401571971134652
"majority-vote",0.9056264050446,0.866761269737755,0.885767717653405
"majority-vote",0.897259783423297,0.83700746934765,0.866086976468723
"majority-vote",0.892446235552107,0.386967564815205,0.539853089596108
"majority-vote",1,0.220867355365096,0.361820396613105
"majority-vote",0.978726226557761,0.434989008856944,0.602292654938772
"majority-vote",0.99301282156644,0.374318205891883,0.54369098679393
"majority-vote",0.968659240349635,0.626798077493645,0.761103092896711
"majority-vote",0.907709241558823,0.481350815196871,0.629096749648916
"majority-vote",0.933189976383085,0.44203219822134,0.59990309091313
"majority-vote",0.998599753425442,0.343793429344011,0.511492516766122
"majority-vote",1,0.324455999351333,0.489946060133729
"majority-vote",0.96795453131807,0.341881527196633,0.505293423971207
"majority-vote",0.998443433718979,0.541983527592498,0.702584293704996
"majority-vote",0.99900965585541,0.341902856607456,0.509450470393541
"majority-vote",0.999677462986277,0.286104624826245,0.444884632016501
"majority-vote",0.995391573776414,0.368546038015074,0.537924341432369
"majority-vote",0.952286891945194,0.623320957679761,0.753462071941889
"majority-vote",0.990403634649312,0.511314285508484,0.674437615770752
"majority-vote",1,0.217920940973453,0.357857285546424
"majority-vote",0.918518165640909,0.90043398774657,0.909386179472005
"majority-vote",0.954777614590412,0.62377908887918,0.754575757972341
"majority-vote",0.924094756319898,0.541924073185508,0.68319612855614
"majority-vote",1,0.0600819183521081,0.113353349985452
"majority-vote",0.970229799948079,0.345958051680861,0.510046967622943
"majority-vote",0.917651314203038,0.294374736468701,0.445755045675728
"majority-vote",0.962343151415213,0.871402231481137,0.914617675295008
"majority-vote",0.912325519922864,0.11621250919406,0.206163768126378
"majority-vote",0.991459833831939,0.163426371256851,0.280600256849751
"majority-vote",0.905384667872353,0.445907139192495,0.597528209686443
"majority-vote",0.941278902968114,0.871799826028789,0.905208108978452
"majority-vote",1,0.434050974094347,0.605349435878268
"majority-vote",0.951736893266533,0.814820858341632,0.87797307682794
"majority-vote",0.843559536341375,0.683427184849233,0.755096964726711
"majority-vote",0.985511802677209,0.183615219816466,0.309555698908288
"majority-vote",0.960310163769014,0.547963712382433,0.697771314212716
"majority-vote",1,0.421507521065447,0.593042969972497
"majority-vote",0.979727105154772,0.695615868937151,0.813581137847805
"majority-vote",0.998015086798072,0.792151982248281,0.883246757233598
"majority-vote",0.959757615037434,0.389146895866165,0.553762988642601
"majority-vote",0.999748736942925,0.861443735273508,0.92545752160869
"majority-vote",0.9845992903824,0.755933755700609,0.855245858289123
"majority-vote",0.995603187688926,0.753532230622603,0.857817048331695
"majority-vote",0.943816823688971,0.527288396447819,0.676584723772725
"majority-vote",0.965813793047928,0.528306519385356,0.683004867992922
"majority-vote",1,0.0228497639909742,0.0446786317901049
"majority-vote",1,0.519610775212503,0.683873507201001
"majority-vote",0.925644648534087,0.810950022614044,0.864509791642976
"majority-vote",0.916912456855977,0.776315952148428,0.840777018854106
"majority-vote",0.916039235332226,0.666145219782751,0.771357796845077
"majority-vote",0.927338994488005,0.567653730012562,0.704227426100782
"majority-vote",0.904552476349696,0.660250236680762,0.763330714634864
"majority-vote",1,0.524167082222001,0.687807902868295
"majority-vote",1,0.530321623575106,0.693085186022765
"majority-vote",0.945012944152661,0.584031407066053,0.721911354669615
"majority-vote",0.968545431371828,0.454860452116699,0.619012493793593
"majority-vote",0.999194763758302,0.551084537716552,0.710376232141773
"majority-vote",0.956892512786999,0.452284276379828,0.61424150758973
"majority-vote",0.999280031678606,0.475726041247886,0.644585188215989
"majority-vote",0.886146607002814,0.553780715677398,0.681605098384678
"majority-vote",0.781728098461078,0.581652459286145,0.667009762430938
"majority-vote",0.99905670983611,0.122815450905454,0.218740788108221
"majority-vote",0.909735171806701,0.644871735904604,0.754740631276554
"majority-vote",0.959350501158926,0.588297513702552,0.729343505993006
"majority-vote",0.925437313841672,0.837732554175387,0.879403599978369
"majority-vote",0.932849305327242,0.425250945406981,0.58419111372403
"majority-vote",0.901717557251908,0.423037407126522,0.575895569576957
"majority-vote",0.979059351224427,0.548984113529982,0.703498352530918
"majority-vote",0.92253603306508,0.0514516129878672,0.0974672874609468
"majority-vote",0.881328470853522,0.18480120755267,0.305536125601084
"majority-vote",0.781363695753472,0.222579283279767,0.346464639952185
"majority-vote",0.82811047019942,0.106603212559722,0.188890433735842
"majority-vote",1,0.110606348092272,0.199181912263088
"majority-vote",0.971110026209829,0.464574840830331,0.628485117051178
"majority-vote",0.93456194205521,0.80416365149049,0.864473090701542
"majority-vote",0.965144600111802,0.839185436756171,0.897768452808778
"majority-vote",0.995235663995732,0.718980822283329,0.834848295758205
"majority-vote",0.947651179352757,0.863112620342219,0.903408487312738
"majority-vote",0.946548091539713,0.712640072463958,0.813106210832384
"majority-vote",0.970113900577737,0.428324319438241,0.594267762844452
"majority-vote",0.938338215719723,0.606752602469522,0.736965293796492
"majority-vote",0.990704127644814,0.56704047999167,0.721259879591942
"majority-vote",0.914127563468039,0.625994035338267,0.743108080183821
"majority-vote",0.987039527836054,0.318693628315021,0.481818520016232
"majority-vote",0.972941660126322,0.952385590111652,0.962553890003984
"majority-vote",0.888777414138475,0.569174705576581,0.693945454277675
"majority-vote",0.851644701660402,0.36312343499782,0.50915420010169
"majority-vote",0.969689078938898,0.422963332501843,0.589009749955243
"majority-vote",0.88490618907753,0.500980923262852,0.639765123230601
"majority-vote",0.918294823610361,0.314314708420548,0.46832928389191
"majority-vote",0.930612828154983,0.256035155885336,0.401584300871249
"majority-vote",0.830925700692541,0.444817379787071,0.579442990732646
"majority-vote",0.992487518494782,0.854418819479543,0.918292385991348
"majority-vote",0.987705686759314,0.626937541530859,0.767017461397546
"majority-vote",0.97464058830021,0.672008310291251,0.795514545262383
"majority-vote",0.941183056500005,0.757840452794502,0.839619451759853
"majority-vote",0.962074776562751,0.459126706310429,0.62160675838109
"majority-vote",1,0.629813903157283,0.772866033278038
"majority-vote",0.961254820146616,0.363740216703731,0.527771088741259
"majority-vote",0.996249936761629,0.533476019165401,0.694863610437069
"majority-vote",0.998663042679791,0.456443860645576,0.626529382333492
"majority-vote",0.951702835542397,0.719723934883244,0.819615099812819
"majority-vote",0.99394005102417,0.587667792615271,0.738623746874187
"majority-vote",1,0.343737132794277,0.511613654791963
"majority-vote",0.894878976678013,0.851052150589249,0.872415487329068
"majority-vote",0.975413831073885,0.703055063151095,0.81713713606918
"majority-vote",0.996149691652384,0.781179268527969,0.875663993445993
"majority-vote",0.980161407369401,0.749752645702339,0.849612854564239
"majority-vote",0.967989413696959,0.630415679567203,0.763555755197754
"majority-vote",0.976763684862649,0.725442266187937,0.832549857600377
"majority-vote",0.986726913301327,0.926356408143852,0.955589115202979
"majority-vote",0.998213917322371,0.891134646804738,0.941639910748411
"majority-vote",1,0.284374398546758,0.442821655225333
"majority-vote",1,0.681826247901742,0.810816514193893
"majority-vote",0.917299993973025,0.811541548390444,0.861185989815724
"majority-vote",1,0.510774071564743,0.676175321218907
"majority-vote",0.954139601327112,0.4915905846315,0.64887079068001
"majority-vote",1,0.450918817873243,0.621563125818714
"majority-vote",0.906308495667827,0.749991705671247,0.82077373894022
"majority-vote",0.839672695842422,0.778757164717918,0.808068540800278
"majority-vote",0.881212505900538,0.599465872394216,0.713533514580978
"majority-vote",0.95437816190885,0.199485948525009,0.32999558814314
"majority-vote",1,0.499171383299283,0.665929711385949
"majority-vote",0.99696328779882,0.940141828874643,0.967719181209574
"majority-vote",0.958258740747642,0.866579206338752,0.910115991779022
"majority-vote",0.997033737680061,0.813529293198016,0.895982231025744
"majority-vote",0.996978997760791,0.945161163257345,0.970378810119185
"majority-vote",0.984245779901559,0.792602267792082,0.8780890839004
"majority-vote",0.996576803193525,0.884546252302645,0.937225530058768
"majority-vote",0.979728349478341,0.212443568968815,0.349172772756149
"majority-vote",0.992774745278469,0.202128683141797,0.335873589692291
"majority-vote",1,0.677944460478487,0.808065435354353
"majority-vote",1,0.53272667042364,0.695135904794293
"majority-vote",0.917619000298122,0.426597072226197,0.582426571066352
"majority-vote",1,0.57708661246928,0.731838832320975
"majority-vote",0.980643550208191,0.706002903786774,0.820963032752827
"majority-vote",0.97643897906038,0.248301248461108,0.395922354959192
"majority-vote",0.96229402040647,0.468892396955166,0.63054308555529
"majority-vote",0.903963441765209,0.329221905947715,0.482659914435309
"majority-vote",0.991529171729716,0.248015305436897,0.396781906427848
"majority-vote",0.894016038595749,0.341866691444786,0.494600818968121
"majority-vote",0.98944497959478,0.0338759959028339,0.065509131303662
"majority-vote",0.872827988483119,0.419182780865271,0.566364417556549
"majority-vote",0.991668177098687,0.0501883464163841,0.0955413435132425
"majority-vote",0.985665193494002,0.208128346193833,0.343685670599917
"majority-vote",0.851899183597979,0.367095201918637,0.513091949450918
"majority-vote",0.997667566776886,0.33964097670144,0.506762315182865
"majority-vote",1,0.452804788764364,0.623352555369098
"majority-vote",0.999081702004964,0.536851199640386,0.698413595653243
"majority-vote",0.975695240075186,0.682264304266526,0.803013603580255
"majority-vote",0.925591496620152,0.811547709860672,0.864826096315371
"majority-vote",0.929727868866002,0.511977582619915,0.660328815855949
"majority-vote",0.968869954291362,0.475171360793624,0.637626153494906
"majority-vote",0.756845405625941,0.325386484506627,0.455109977994551
"majority-vote",0.998950206368912,0.276953396050451,0.43367328317682
"majority-vote",0.879288381102835,0.558219948340005,0.682898741693459
"majority-vote",0.893968337573625,0.37928400766006,0.532601247608769
"majority-vote",0.941023189593447,0.563130228577865,0.704607119793781
"majority-vote",0.944444117300668,0.503217792832261,0.656591267387584
"majority-vote",0.995541449406786,0.291042323674034,0.450409375295247
"majority-vote",0.990487994976823,0.594068991436653,0.742691123451273
"majority-vote",0.706735063419436,0.551591266870837,0.619599033398024
"majority-vote",0.942482705039432,0.258321313833747,0.405500592610996
"majority-vote",0.890006013268508,0.658447797755144,0.756913115849516
"majority-vote",1,0.519936652029134,0.684155686797884
"majority-vote",0.998393963891134,0.401038744867907,0.572224244376349
"majority-vote",0.944858892717689,0.582780296773089,0.720909950065183
"majority-vote",0.95317652825926,0.34003071479762,0.501248810617827
"majority-vote",0.946721058090565,0.928112648608923,0.937324505718538
"majority-vote",0.984194658712843,0.768995749484519,0.86338769100811
"majority-vote",0.999136197570025,0.777966133331971,0.874788255891863
"majority-vote",0.885174507759308,0.507545963089585,0.645164277321506
"majority-vote",0.920133446778022,0.829184632734364,0.872294779398736
"majority-vote",0.98848958576048,0.708452254897174,0.825364381024377
"majority-vote",0.959690570512448,0.299317423953989,0.456314988659713
"majority-vote",0.937491337197093,0.510332060634202,0.660898127016254
"majority-vote",0.975594283889954,0.738829269540043,0.84086293692335
"majority-vote",0.998624105535096,0.355586974527933,0.524434823500869
"majority-vote",1,0.67782560544277,0.807981000223077
