"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.929312440264189,0.490379556789883,0.641992521647948
"majority-vote",0.988807817015513,0.260252399347326,0.412053163651358
"majority-vote",0.898695905629298,0.229286673386459,0.365358469928806
"majority-vote",0.957232842910716,0.490792345233098,0.648887264880418
"majority-vote",0.982615561821728,0.553286516026793,0.707946097130905
"majority-vote",0.969808305511211,0.522059469570382,0.678743274728142
"majority-vote",0.991635125329953,0.33804880040777,0.50421165221504
"majority-vote",0.815404076818627,0.271894258617893,0.407806541617854
"majority-vote",0.960613234694009,0.395673075856182,0.560484597275554
"majority-vote",0.765836365804058,0.819285817233757,0.791659948411863
"majority-vote",0.995622652412598,0.263725202721553,0.416994851376806
"majority-vote",0.957277610670742,0.652415948884392,0.77597773440075
"majority-vote",0.907785355523478,0.828098796868639,0.866113052173487
"majority-vote",1,0.287624202269504,0.446751780158453
"majority-vote",0.932729608701618,0.67762089003092,0.784968325968838
"majority-vote",0.991758630149568,0.263866963075309,0.416831799627753
"majority-vote",0.91069569952508,0.833729984244659,0.870514941715277
"majority-vote",0.999330865848767,0.626229163929093,0.7699625004861
"majority-vote",1,0.526260590498337,0.689607782281148
"majority-vote",0.959227928426487,0.720214867495223,0.82271360125755
"majority-vote",0.714732486478532,0.524779736310412,0.605201173317602
"majority-vote",1,0.205767108452337,0.341304895464348
"majority-vote",1,0.0398613150483736,0.0766665986541085
"majority-vote",0.901138522196078,0.695686447116172,0.785195458380283
"majority-vote",0.984561711630019,0.206501190775626,0.341397864769437
"majority-vote",0.895321500035154,0.890992395287099,0.893151701901138
"majority-vote",0.898787652735881,0.825903002448991,0.860805291345509
"majority-vote",0.933804989313732,0.388726294265704,0.548939080034925
"majority-vote",0.999836087351514,0.19843306693532,0.331145203122336
"majority-vote",0.992760617734353,0.357785005310648,0.526002019965011
"majority-vote",0.981075140654085,0.397468695910368,0.565737042817105
"majority-vote",0.958512858545088,0.56137843674824,0.708061756520925
"majority-vote",0.942412689262536,0.431527645667498,0.591986593166503
"majority-vote",0.932122173631344,0.448318868392055,0.605441225469539
"majority-vote",0.992730823940878,0.369689559740077,0.538750338205524
"majority-vote",0.999645140685157,0.324266341957854,0.489687229509931
"majority-vote",0.984804641201278,0.407648818692394,0.576614529952252
"majority-vote",0.987302445469048,0.626569825525222,0.7666206701935
"majority-vote",0.999523508633816,0.374973797436475,0.545355926132728
"majority-vote",0.985518735335796,0.337343322653759,0.502634666566773
"majority-vote",0.984803955032076,0.391238125699616,0.560001556556242
"majority-vote",0.958002746265033,0.724534640415537,0.825070730406312
"majority-vote",0.996542428957216,0.597362165427047,0.746966594361037
"majority-vote",1,0.185399798357804,0.312805516948203
"majority-vote",0.94033547172035,0.927708699720841,0.933979411309153
"majority-vote",0.983391308117915,0.713850627414777,0.827217955905486
"majority-vote",0.88917719874546,0.415638629541224,0.566480547359925
"majority-vote",1,0.0549871880326934,0.104242380678066
"majority-vote",0.979593597918651,0.330746824977943,0.494524120020805
"majority-vote",0.951638314067728,0.287445076545838,0.441525970089386
"majority-vote",0.97031876227934,0.880434348003137,0.923193873970831
"majority-vote",0.857358974017393,0.110636122744089,0.195982134625435
"majority-vote",0.993732697252361,0.173904160520324,0.296006843817725
"majority-vote",0.91810194906305,0.437950568106704,0.593020203983297
"majority-vote",0.95734044851613,0.850646933305973,0.900845575414684
"majority-vote",0.988390740142246,0.381245199521027,0.550247279613453
"majority-vote",0.96216148045766,0.7838828964851,0.863920686263598
"majority-vote",0.839208180454619,0.650789199341724,0.733085342624878
"majority-vote",0.990675153157233,0.176268034608319,0.299285113471015
"majority-vote",0.960383916976271,0.567886740834547,0.713733905410207
"majority-vote",0.984773402701113,0.384500848420561,0.55306116876207
"majority-vote",0.962449205775632,0.727575155964634,0.828691167835205
"majority-vote",0.983996515508179,0.809331454678466,0.888158044188528
"majority-vote",0.980305446463618,0.449136926986768,0.616032354868963
"majority-vote",0.998647119791907,0.844632222210315,0.915205326478131
"majority-vote",0.931236327323159,0.829849400406742,0.877624406010316
"majority-vote",0.994627202187496,0.602747752587568,0.750618142583054
"majority-vote",0.938640285308168,0.486994499318797,0.641275957507887
"majority-vote",0.96991211341997,0.468076870010863,0.631428239668538
"majority-vote",1,0.0130708842793422,0.0258044811714045
"majority-vote",1,0.471536628924887,0.640876509162255
"majority-vote",0.988486945580371,0.832105272668375,0.903579825439969
"majority-vote",0.943876636184328,0.790964303132713,0.860681470978765
"majority-vote",0.886859998994865,0.76931802709629,0.823917929098035
"majority-vote",0.949117186534869,0.443482916071105,0.604505567377201
"majority-vote",0.93584368421958,0.642437592610279,0.76186820736691
"majority-vote",1,0.588225567738957,0.740733028969395
"majority-vote",1,0.536802819215042,0.698596869426914
"majority-vote",0.976104608675395,0.69337215971025,0.810797458744927
"majority-vote",0.959625368817617,0.392543241199443,0.557170828877807
"majority-vote",0.979049569491959,0.368689667054775,0.53566068274602
"majority-vote",0.909068656853235,0.415417703272128,0.570248550556466
"majority-vote",0.980332980518923,0.487718429567824,0.651375637701926
"majority-vote",0.89429616874731,0.524887491400439,0.661513919254017
"majority-vote",0.502362378987395,0.428532497334929,0.46251969005369
"majority-vote",0.996638451895835,0.115370846976653,0.20680226764526
"majority-vote",0.855077547136201,0.648771739219455,0.737773595341337
"majority-vote",0.983267941614621,0.539526373978809,0.696744112788744
