"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.367061825837019,0.537008376504517
"majority-vote",1,0.340114011572979,0.507589665708763
"majority-vote",0.947431865828092,0.273572095531182,0.424553775598019
"majority-vote",0.920125920738666,0.59350660454408,0.721576474935473
"majority-vote",0.988271644128415,0.56925977587503,0.722403782568886
"majority-vote",0.991715604026846,0.503092949050351,0.667543849440832
"majority-vote",1,0.451778000352493,0.622378903996067
"majority-vote",0.830154964630304,0.611827956989247,0.704463289237549
"majority-vote",0.954439813060503,0.390077816846702,0.553813189665517
"majority-vote",0.870783420759628,0.324185188759413,0.472472808706076
"majority-vote",0.989247311827957,0.244221217288161,0.391733030865064
"majority-vote",0.958784738577485,0.567322921285275,0.71284690206251
"majority-vote",0.971627627627628,0.677709626852743,0.798479989669296
"majority-vote",1,0.470729101694221,0.640130260769247
"majority-vote",0.997368421052632,0.753077009161255,0.858176112883934
"majority-vote",0.978538200035785,0.244076992074344,0.390701280396103
"majority-vote",0.98993288590604,0.762832191962627,0.861670149396001
"majority-vote",0.995924718435092,0.742074032639066,0.850460763055543
"majority-vote",1,0.552378631228781,0.711654515356924
"majority-vote",0.993723849372385,0.733004484317278,0.843681109009819
"majority-vote",0.786570111915734,0.577635707597549,0.666103276606209
"majority-vote",1,0.227045467598968,0.370068548548964
"majority-vote",1,0.0430063763397097,0.0824661810613944
"majority-vote",0.978076062639821,0.664380677968302,0.791271783950445
"majority-vote",0.967165603103103,0.239538784773531,0.383977510266187
"majority-vote",0.908119658119658,0.70078656462585,0.791094032064714
"majority-vote",0.945252894930483,0.709760286851196,0.810752413621906
"majority-vote",0.976284180935344,0.329596482054487,0.492816595943793
"majority-vote",0.994219653179191,0.194162957543239,0.324879591079735
"majority-vote",0.99740932642487,0.285725020739749,0.444201031807004
"majority-vote",0.937675546458146,0.572639458036073,0.711043742715498
"majority-vote",0.985074626865672,0.395756812754312,0.564659788975824
"majority-vote",0.946080051105824,0.550408405995019,0.695936424236319
"majority-vote",0.875762823684645,0.579432231108883,0.697425688986839
"majority-vote",1,0.386806414811549,0.557837648687415
"majority-vote",0.994295319105588,0.342127154129424,0.5090836688287
"majority-vote",0.99288256227758,0.522879797832359,0.685012700008359
"majority-vote",0.982517482517482,0.627744390910226,0.766049111389179
"majority-vote",0.982078853046595,0.416051220703036,0.584487971910748
"majority-vote",1,0.46346654528504,0.633381810849349
"majority-vote",0.961840628507295,0.480692048390561,0.641024150574822
"majority-vote",0.953040337146297,0.756705391050243,0.843600015035737
"majority-vote",1,0.52738667366251,0.690573883819338
"majority-vote",1,0.321783810202071,0.486893253977558
"majority-vote",0.787595645095645,0.616309795080215,0.691503710640458
"majority-vote",0.993993993993994,0.301729396267969,0.462934002667281
"majority-vote",0.967357187696171,0.337703127968729,0.500635172530848
"majority-vote",1,0.0346416485798968,0.066963568743718
"majority-vote",0.975535168195719,0.31145314563124,0.472162013507311
"majority-vote",1,0.245854213133273,0.394675734193586
"majority-vote",1,0.631481438729338,0.774120285697103
"majority-vote",0.887533358245736,0.234979578675272,0.371580955054076
"majority-vote",0.968786221739014,0.154763940311291,0.266891818558441
"majority-vote",0.997687038519705,0.386587036435889,0.557249294037677
"majority-vote",0.995729882021483,0.88910637022246,0.939402327467096
"majority-vote",1,0.522974846048883,0.686780674553698
"majority-vote",0.989150090415913,0.820176004698019,0.896772750246464
"majority-vote",0.924914599065084,0.617231081284862,0.740378869974918
"majority-vote",0.995398773006135,0.26631536949456,0.420206103899505
"majority-vote",0.948148148148148,0.684588303443458,0.795096026086828
"majority-vote",1,0.6271592368477,0.77086399738319
"majority-vote",1,0.727614863043329,0.842334571909828
"majority-vote",0.996285979572888,0.736388257060043,0.846845045098298
"majority-vote",0.992850759606792,0.696131352265272,0.818427308406013
"majority-vote",1,0.837751891844274,0.91171381247068
"majority-vote",0.991575266253378,0.732542041292041,0.842599939641072
"majority-vote",1,0.645002016000985,0.784196018882689
"majority-vote",0.962250712250712,0.504930670202975,0.662317424213061
"majority-vote",0.946965354679275,0.559312230149176,0.703255906792229
"majority-vote",1,0.011297554647711,0.0223426915170314
"majority-vote",1,0.607021305561228,0.755461428495791
"majority-vote",1,0.708988496358315,0.829717107949058
"majority-vote",1,0.67691678563382,0.807334975036304
"majority-vote",0.91304347826087,0.683923521831372,0.782047357523694
"majority-vote",1,0.484195402298851,0.652468538238141
"majority-vote",0.993345164152618,0.516796866667578,0.679879981983743
"majority-vote",1,0.467737268518519,0.637358304583539
"majority-vote",1,0.445432618304959,0.616331211381285
"majority-vote",0.978998819580456,0.490030371003566,0.653137674657562
"majority-vote",1,0.38499846833191,0.555955081734641
"majority-vote",0.964740740740741,0.443296368933011,0.607464198768462
"majority-vote",1,0.574374577345124,0.729654283815602
"majority-vote",1,0.649060450276351,0.787188183632178
"majority-vote",0.958904109589041,0.562628750559785,0.709162496867737
"majority-vote",0.532928921568627,0.525996932515337,0.529440237789449
"majority-vote",0.98251552795031,0.112365262547564,0.201666914267429
"majority-vote",0.816041118814248,0.694064917023354,0.750126809609501
"majority-vote",0.958011583011583,0.49902086183591,0.656221167200245
"majority-vote",0.889606228644133,0.761992611574675,0.820869277612031
