"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.876448005416648,0.493715141591445,0.631626462931372
"majority-vote",0.803511349232327,0.31552550159863,0.453118807157175
"majority-vote",0.822976134884844,0.258516610431315,0.393443232564818
"majority-vote",0.880638790709827,0.495412207745158,0.634103253471609
"majority-vote",0.952093808966184,0.504307432171135,0.659362228517216
"majority-vote",0.807207863842558,0.444096360549896,0.572967097132255
"majority-vote",0.991361808930005,0.30573558040252,0.467342823345095
"majority-vote",0.225804074564286,0.353333319944812,0.275527375988192
"majority-vote",0.766155350275637,0.277867811031142,0.407826029116863
"majority-vote",0.647519712147,0.85079275655709,0.735367411444002
"majority-vote",0.984559132489198,0.294546859998527,0.453439828537665
"majority-vote",0.824803998355947,0.645798022888429,0.724406445406657
"majority-vote",0.683461851625392,0.823228929561674,0.746862694768098
"majority-vote",1,0.372051948884466,0.54232924516737
"majority-vote",0.739201759782264,0.619890665187949,0.674309211295285
"majority-vote",0.986373878181286,0.249426951787413,0.398168092772229
"majority-vote",0.895951107624024,0.86347594788187,0.879413817686259
"majority-vote",0.999619991210437,0.617682039668656,0.763552265780325
"majority-vote",1,0.589778392107559,0.741963024576895
"majority-vote",0.941184025151433,0.605101087288175,0.736618974567844
"majority-vote",0.558953747976662,0.522958717062642,0.540357458454111
"majority-vote",1,0.288447341808841,0.447744090812267
"majority-vote",1,0.0625652211437675,0.117762599224584
"majority-vote",0.73183863333704,0.804541315121256,0.766469800796814
"majority-vote",0.966500967143928,0.176613181950237,0.298652258482735
"majority-vote",0.507649828558334,0.724731910386624,0.597071537871847
"majority-vote",0.777712184936363,0.874258124165338,0.823163942108275
"majority-vote",0.81280856653484,0.340203469113255,0.479648582167133
"majority-vote",0.999663930158577,0.292703905686181,0.452820827964588
"majority-vote",0.97839811984784,0.426542121725343,0.594086492197961
"majority-vote",0.971020169522398,0.293554599512705,0.450819427941621
"majority-vote",0.810386971485635,0.650620022196037,0.721767919873822
"majority-vote",0.768103984665559,0.450678673403371,0.568055481513652
"majority-vote",0.85034307691413,0.405396860638338,0.549041092884935
"majority-vote",0.981829435724254,0.392897630643041,0.56121461260091
"majority-vote",0.999247071304617,0.330144657754608,0.496311320669364
"majority-vote",0.874411585957031,0.354059170627053,0.504030623848947
"majority-vote",0.906082164231947,0.60036990151166,0.722206131972592
"majority-vote",0.971810010599065,0.282539919286411,0.437796687215433
"majority-vote",0.962320464487862,0.275249687931765,0.428062048883063
"majority-vote",0.844689407495799,0.346029095306894,0.490942419729108
"majority-vote",0.699400049358234,0.610124528887447,0.651719154733562
"majority-vote",0.980730363680757,0.552796931316378,0.707055866902624
"majority-vote",1,0.19327656082365,0.323942608392881
"majority-vote",0.762892825063075,0.859444435662613,0.808295549119184
"majority-vote",0.817929392503257,0.509612284386721,0.627968030588877
"majority-vote",0.704987181347656,0.401226685513045,0.511401418071218
"majority-vote",1,0.0567116463275398,0.10733608648042
"majority-vote",0.902953108320226,0.313047674456743,0.464913139377443
"majority-vote",0.932194333714367,0.440283075867452,0.598085455816756
"majority-vote",0.985556488285803,0.881674407932555,0.930725744794936
"majority-vote",0.567562034566253,0.104999083957155,0.177213615467846
"majority-vote",0.924109819908637,0.152626483396207,0.261983610381948
"majority-vote",0.894220336535634,0.340462278713974,0.493160411735044
"majority-vote",0.92172743478741,0.887403698414162,0.904239963095048
"majority-vote",0.969730891414742,0.454548489803066,0.618965236765642
"majority-vote",0.92998363549086,0.801152087411117,0.860774023636585
"majority-vote",0.682222712790398,0.717596034604155,0.699462433013539
"majority-vote",0.994366330556148,0.146742013552804,0.255743143599326
"majority-vote",0.763190801950777,0.515042831683141,0.615029899712107
"majority-vote",0.95698642903096,0.40299821325408,0.56715908256124
"majority-vote",0.913943280228363,0.548480858487257,0.68554721120586
"majority-vote",0.977495359671613,0.647450826060977,0.778955246206914
"majority-vote",0.898429375736111,0.539936266613903,0.67450805089958
"majority-vote",0.983991527194501,0.826210442479667,0.898224716025414
"majority-vote",0.876013064558935,0.830255340051159,0.852520650138672
"majority-vote",0.920125170881358,0.494038623079441,0.642892109703613
"majority-vote",0.758556882104076,0.479540591658728,0.587609334094608
"majority-vote",0.934866963959533,0.662624787793527,0.775548321835243
"majority-vote",1,0.0110352846486199,0.0218296726458072
"majority-vote",1,0.755833015040951,0.860939518241514
"majority-vote",0.872821350762527,0.946794031278795,0.908304088249227
"majority-vote",0.972244373789575,0.78673064077121,0.869704723314299
"majority-vote",0.914214595385354,0.765226576514296,0.833112009794099
"majority-vote",0.9743789126868,0.566961259632061,0.716824365726766
"majority-vote",0.968068895014886,0.70473198573983,0.815672830598945
"majority-vote",1,0.669994395124307,0.802391190150594
"majority-vote",1,0.623988002360728,0.768463808173042
"majority-vote",0.892450259438167,0.648851108742731,0.751400540204061
"majority-vote",0.915556675202751,0.351691815641384,0.508177822662324
"majority-vote",0.94021202423934,0.303330111724409,0.458681069356971
"majority-vote",0.807094460866364,0.363201195179027,0.500963446791887
"majority-vote",0.965281990040215,0.54368622754207,0.695588571799258
"majority-vote",0.692699015419816,0.602719462992704,0.644584256820296
"majority-vote",0.606331558327986,0.272789320741565,0.37628676073653
"majority-vote",0.978528279228834,0.154081455298729,0.266240094391262
"majority-vote",0.477013837672925,0.779888389134116,0.591959415017461
"majority-vote",0.997228578657378,0.477859084971352,0.646110394459156
"majority-vote",0.714349850966504,0.60075356279407,0.652645584459977
"majority-vote",0.774516169268561,0.431232376941145,0.554006802998778
"majority-vote",0.923957475849744,0.408144827466169,0.566185440304487
"majority-vote",0.900250842397879,0.483691058885441,0.629279715887143
"majority-vote",0.72208543135925,0.143543271587119,0.239480287171403
"majority-vote",0.460480722492075,0.249916072564299,0.323992265893198
"majority-vote",0.265738625729614,0.522976793841527,0.352408818276924
"majority-vote",0.433546347894242,0.333282699982054,0.376859738930655
"majority-vote",1,0.257251409904275,0.409228270300945
"majority-vote",0.902422816880436,0.545895291589877,0.68027647224353
"majority-vote",0.661230769072451,0.804705753244873,0.725947127988879
"majority-vote",0.693901991282865,0.85570357558728,0.766355552332161
"majority-vote",0.698603157915515,0.756202254406439,0.726262465724534
"majority-vote",0.690011229437846,0.883182374048782,0.774737139007718
"majority-vote",0.8424809190932,0.684104096803954,0.755077040884105
"majority-vote",0.931701789197599,0.271804325864419,0.420838039043079
"majority-vote",0.9008715813533,0.599918662688958,0.720220132673972
"majority-vote",0.976906210993042,0.619214050603491,0.757980543851551
"majority-vote",0.896780983309833,0.623949296919058,0.73589100092402
"majority-vote",0.968791752068507,0.354749311945151,0.519331385793549
"majority-vote",0.974754506135026,0.972472941432849,0.973612387130252
"majority-vote",0.847699172426858,0.534670473973973,0.655743157394808
"majority-vote",0.703777898790752,0.48417255577709,0.573677029453064
"majority-vote",0.535075925491047,0.441646680124439,0.483892775183017
"majority-vote",0.676402580586683,0.628036113963751,0.651322672290275
"majority-vote",0.714494537342395,0.430944444646414,0.537623490102108
"majority-vote",0.783549391521404,0.293092272521534,0.426608554106104
"majority-vote",0.893222224384061,0.587598330755159,0.708871694439898
"majority-vote",0.712578758321087,0.744888945715119,0.728375714336374
"majority-vote",0.930478759708675,0.559513293815839,0.698816123802518
