"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.506612439491955,0.672518593650786
"majority-vote",1,0.769108715117928,0.869487226585348
"majority-vote",0.962471002663459,0.30584274783501,0.464182898041465
"majority-vote",0.992392642268404,0.474600845923805,0.642116534667854
"majority-vote",1,0.671751137062983,0.803649684657191
"majority-vote",1,0.811134209986511,0.895719605442771
"majority-vote",1,0.673768191603001,0.805091403915043
"majority-vote",0.978460548844513,0.547049128749378,0.701753648138472
"majority-vote",1,0.383045982109709,0.553916481540849
"majority-vote",0.7828573460334,0.285073924059132,0.417952394245226
"majority-vote",0.983026874115983,0.382715350120947,0.550937750373502
"majority-vote",1,0.620561157028161,0.765859596642643
"majority-vote",1,0.818289141717421,0.900064926906538
"majority-vote",1,0.584622964770819,0.737870115185882
"majority-vote",1,0.663604006040166,0.797790824776535
"majority-vote",0.997811777263832,0.13714947719843,0.241152485260846
"majority-vote",1,0.937826219145471,0.967915708725447
"majority-vote",1,0.711574618020442,0.83148535918747
"majority-vote",1,0.666484735254809,0.799868995083117
"majority-vote",1,0.919589561977662,0.958110608843124
"majority-vote",0.931468453378001,0.654615113633488,0.768879194181365
"majority-vote",1,0.223039329178069,0.364729610662578
"majority-vote",1,0.0752390894605706,0.139948575527173
"majority-vote",1,0.776683449486788,0.874307068837885
"majority-vote",0.974108449734552,0.329128366593938,0.492016061746486
"majority-vote",1,0.715785538018571,0.83435315446845
"majority-vote",0.925290875688916,0.895167175731029,0.909979792474841
"majority-vote",0.975867908552075,0.525926678786039,0.683495562450208
"majority-vote",0.964636542239686,0.284890122937947,0.439871242075546
"majority-vote",1,0.449598243073629,0.620307378574537
"majority-vote",0.980340759484048,0.526688291113959,0.685234301378764
"majority-vote",1,0.782357019488526,0.877890356347389
"majority-vote",1,0.63754663669382,0.778660738458132
"majority-vote",0.952240067624683,0.70623956984995,0.81099532434076
"majority-vote",1,0.354198338538227,0.523111465223864
"majority-vote",0.981152534654345,0.294742953836525,0.453309536457828
"majority-vote",1,0.372205158809609,0.54249199752681
"majority-vote",0.996302967105887,0.440978351678059,0.611359842314011
"majority-vote",1,0.332846342508044,0.499451935144632
"majority-vote",1,0.28764568078293,0.446777689042582
"majority-vote",1,0.369538679351894,0.539654242590316
"majority-vote",0.990659148745073,0.531356729438963,0.691705537124915
"majority-vote",1,0.381230002250072,0.552015235158569
"majority-vote",1,0.425341721652443,0.596827715334581
"majority-vote",0.923891129032258,0.77477192253898,0.842786220133443
"majority-vote",1,0.638431850449282,0.779320604972632
"majority-vote",1,0.305356720813638,0.467851761813134
"majority-vote",1,0.119202461839165,0.21301322308259
"majority-vote",1,0.441836981078374,0.612880633354149
"majority-vote",1,0.341136466729474,0.508727448984185
"majority-vote",1,0.538735047524226,0.700231074077416
"majority-vote",0.99843702626412,0.0814508389004661,0.1506147739999
"majority-vote",1,0.126252496758123,0.224199275245181
"majority-vote",1,0.429318247311151,0.600731499956415
"majority-vote",0.993126316660408,0.918899190459002,0.954571960473106
"majority-vote",1,0.491525160320609,0.659090672281993
"majority-vote",0.982656826568266,0.925458121607318,0.953200164141046
"majority-vote",0.936200968901391,0.774914637349443,0.847956539759442
"majority-vote",1,0.223410614101528,0.365225888228215
"majority-vote",1,0.698501192696959,0.822491259588515
"majority-vote",1,0.472593343588767,0.641851799271398
"majority-vote",1,0.737628078634743,0.849005708073385
"majority-vote",1,0.942772019574217,0.970543131232493
"majority-vote",1,0.313881325979499,0.477792506481512
"majority-vote",1,0.073333166414877,0.136645672955067
"majority-vote",1,0.48596986665321,0.654077686982631
"majority-vote",1,0.659463665189769,0.794791328093774
"majority-vote",1,0.810728923834145,0.89547244003532
"majority-vote",0.982222909034684,0.661915182652694,0.79086818744295
