"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.95985894798707,0.523458113245968,0.677462650470565
"majority-vote",0.971722743941629,0.659942692194358,0.786045116236539
"majority-vote",0.959209310833719,0.275375962589836,0.427905942152524
"majority-vote",0.934688858476304,0.439568581858034,0.597937248058816
"majority-vote",0.978534321000135,0.647719999059363,0.779479865676327
"majority-vote",0.933134410168287,0.864232033868933,0.897362529325295
"majority-vote",0.997933443647729,0.53662039527472,0.697937635559451
"majority-vote",0.97692703011933,0.628754599937242,0.765092347689019
"majority-vote",0.971461518219277,0.481562166266695,0.643924965784581
"majority-vote",0.987059076598173,0.720794182924385,0.833170457295112
"majority-vote",0.993606471816284,0.29691863722027,0.45720966989194
"majority-vote",0.979251711011928,0.843227492261478,0.906163387857847
"majority-vote",0.938420776863935,0.812645193999434,0.871015880562956
"majority-vote",1,0.520519413683832,0.684660003679593
"majority-vote",0.931747376116741,0.547862256580239,0.69000526728333
"majority-vote",0.988419923420962,0.216225578697341,0.354829150255176
"majority-vote",0.918445843573448,0.85034427408619,0.883084042977705
"majority-vote",0.999017775176895,0.598947381034447,0.748901285767365
"majority-vote",1,0.553967897349897,0.712972125479068
"majority-vote",0.997924033306718,0.849256021081563,0.917607346240416
"majority-vote",0.644901159669698,0.785265165619627,0.708195133672814
"majority-vote",1,0.20601332364779,0.341643528488836
"majority-vote",1,0.0801970045176606,0.14848588578242
"majority-vote",0.996267953714054,0.631792818116219,0.773232730579544
"majority-vote",0.991691303042671,0.266649092969128,0.420289434082861
"majority-vote",0.871665905915291,0.850018340218768,0.860706030429359
"majority-vote",0.8909063878842,0.874073319384769,0.882409582967932
"majority-vote",0.969827444695594,0.403560002783614,0.569953609230005
"majority-vote",1,0.283474923120764,0.441730364986791
"majority-vote",0.988750847977295,0.394508473874409,0.563987651361542
"majority-vote",0.994162493936054,0.539977771462226,0.699839069548902
"majority-vote",1,0.729740635279152,0.84375728984523
"majority-vote",0.978541317616831,0.842143854164488,0.905233446670826
"majority-vote",0.930275556784117,0.664866117579784,0.775490613352663
"majority-vote",1,0.350336923317356,0.518888163787579
"majority-vote",1,0.306748099847951,0.469483138921179
"majority-vote",0.9371525319465,0.349090986985372,0.508692945803479
"majority-vote",0.943297384488199,0.551360211153164,0.695940858439174
"majority-vote",0.999026782933666,0.364663055810994,0.534297681409696
"majority-vote",0.986216801700028,0.299861748119151,0.459892118135129
"majority-vote",0.996631499409681,0.374823580057684,0.54476590914239
"majority-vote",0.944612116628689,0.648325503011017,0.768914134631479
"majority-vote",0.990378597873454,0.543939514295995,0.702209078057133
"majority-vote",1,0.200597874914396,0.334163301644522
"majority-vote",0.961246720131574,0.909538554518186,0.934678035166275
"majority-vote",0.95355532766517,0.737224282155254,0.831550295319609
"majority-vote",0.95433055354915,0.566963150731837,0.711329121993063
"majority-vote",1,0.116623678543712,0.208886271686109
"majority-vote",0.988303962240235,0.417906136949264,0.587420459047365
"majority-vote",0.830517622928699,0.404265405279808,0.543819498252123
"majority-vote",0.962504974499192,0.580748758067844,0.724409158103555
"majority-vote",0.987159479298804,0.0848960077566219,0.156346196299523
"majority-vote",0.992257873388848,0.121614940642754,0.216673539122872
"majority-vote",0.882875045389997,0.469809829136007,0.613274210474873
"majority-vote",0.884427040231755,0.890130181185335,0.887269446220541
"majority-vote",1,0.512745422178299,0.677900477715496
"majority-vote",0.95052123050197,0.907815918065657,0.928677881916261
"majority-vote",0.848090717560436,0.809609164759962,0.828403289169169
"majority-vote",0.99143133093311,0.222163512859589,0.362987480320543
"majority-vote",0.951915605543631,0.550380889208488,0.69748702637689
"majority-vote",0.957530716299668,0.412667668184382,0.57676606889169
"majority-vote",0.959014958533374,0.812945444837562,0.879959665676102
"majority-vote",0.981723530913913,0.904457399912837,0.941507887914498
"majority-vote",0.919099819008447,0.408078902281327,0.565206839457822
"majority-vote",0.99595801174395,0.134962962142146,0.237713238215536
"majority-vote",0.984311164347385,0.762417714852025,0.859270465567652
"majority-vote",0.990315600227345,0.767317761068022,0.864670375347391
"majority-vote",0.985724383409487,0.644185878058241,0.779171396685671
"majority-vote",0.967433879201809,0.525605263517766,0.68114535575761
"majority-vote",1,0.0291340421653793,0.0566185569065017
"majority-vote",0.594418105376152,0.980667037294493,0.740183786287327
"majority-vote",0.495837275307474,0.953033516848023,0.652300460233045
"majority-vote",1,0.387175536093809,0.558221401718298
"majority-vote",0.860343183879991,0.848017974280837,0.85413611810946
"majority-vote",0.610606145848199,0.799241501701869,0.692304269619706
"majority-vote",1,0.756907920770574,0.861636414546526
"majority-vote",0.554551271796513,0.614238881535796,0.58287101747288
"majority-vote",1,0.601708769979092,0.751333552337291
"majority-vote",0.913365262039125,0.491786195989181,0.639333824408037
"majority-vote",0.959735111473105,0.316651977003134,0.476190997528944
"majority-vote",0.969867005795898,0.527922697155994,0.683693851778101
"majority-vote",0.959178916660259,0.509600991864395,0.665584441165821
"majority-vote",0.999281634998743,0.519118482703103,0.68327914375924
"majority-vote",0.922045336510116,0.631821947265171,0.749830421250879
"majority-vote",0.946725437694425,0.562790023536915,0.70593199612334
"majority-vote",0.999991663088742,0.793273355283189,0.884717801001676
"majority-vote",0.758246939715939,0.696495764487621,0.726060739705836
"majority-vote",1,0.563090560740143,0.720483604575685
"majority-vote",0.941768391234381,0.94078893434817,0.941278407995371
"majority-vote",0.965107799274468,0.424309377546239,0.589461964925763
"majority-vote",0.902991433825178,0.363514484821453,0.518355991918156
"majority-vote",0.982240920712773,0.603710489786977,0.747802414886674
"majority-vote",0.908154928594668,0.0978810396136775,0.176715647054723
"majority-vote",0.804462802271545,0.215105350881665,0.339446172026255
"majority-vote",0.737798996613594,0.199654359611698,0.314265846322576
"majority-vote",0.800570314375309,0.0988404216263737,0.175956777581241
"majority-vote",1,0.135337869557415,0.238409856988517
"majority-vote",0.998190432608438,0.467119365419549,0.636417066309704
"majority-vote",0.997879208487151,0.880525073403364,0.935536265299094
"majority-vote",0.993129379779224,0.854337762480734,0.918520186655718
"majority-vote",0.999926353126726,0.812604455212574,0.896585708443454
"majority-vote",0.982438570004449,0.972540418247898,0.977464436719218
"majority-vote",0.958906986186848,0.554470278000672,0.70264756289074
"majority-vote",0.971310610914772,0.535265638669089,0.690186367455302
"majority-vote",0.956954205395602,0.844082462947196,0.896981473854429
"majority-vote",0.907721898453045,0.760967754013454,0.827891625400379
"majority-vote",0.842045633630888,0.646380017474792,0.73135190995477
"majority-vote",0.988506312084879,0.317562321867577,0.480698106494543
"majority-vote",1,0.963769883774693,0.981550732331394
"majority-vote",0.88607389529531,0.570715076792175,0.694260789841613
"majority-vote",0.888577523034553,0.405689428442289,0.557051243617422
"majority-vote",0.958931650236519,0.37620670357146,0.540403193507099
"majority-vote",0.876123388679364,0.300997982473855,0.448061480919829
"majority-vote",0.905291623022176,0.519787504134882,0.660397397278071
"majority-vote",0.932696010971949,0.49388084537545,0.645798636543927
"majority-vote",0.849212584599134,0.375966588024914,0.52118998604219
"majority-vote",0.998200164863441,0.809019335867141,0.89370796863782
"majority-vote",1,0.637195048585286,0.778398455499718
"majority-vote",0.997410591516294,0.728726528571405,0.842157380728933
"majority-vote",0.970131004014758,0.822470550957232,0.890219222626054
"majority-vote",1,0.434971475922559,0.606244072751218
"majority-vote",1,0.631404823143975,0.774062714767703
"majority-vote",0.998822881186135,0.373166589491305,0.54333846730481
"majority-vote",1,0.436408402961271,0.607638331913932
"majority-vote",0.998661213440829,0.441824982058578,0.612617426101913
"majority-vote",0.952042096124969,0.651848064367841,0.773851991666414
"majority-vote",0.991389275370465,0.616485856193088,0.760230013201431
"majority-vote",1,0.59004871388793,0.742176901543053
"majority-vote",0.932824612829453,0.839580761880266,0.883749970875917
"majority-vote",0.973165898375982,0.683639165854396,0.803105129706667
"majority-vote",0.996430974705271,0.792629560187616,0.882922215133702
"majority-vote",1,0.699808753889299,0.82339704662431
"majority-vote",0.96144823165417,0.645763032170741,0.772602506369481
"majority-vote",0.968286345379761,0.707233005851819,0.817423042073301
"majority-vote",0.986702946487265,0.958780659038976,0.972541427356684
"majority-vote",0.998185369435572,0.995148000323128,0.996664370762889
"majority-vote",0.926194701678435,0.32160287993354,0.477428210838763
"majority-vote",1,0.636058173329708,0.7775495806915
"majority-vote",0.988234252677003,0.847824384206072,0.912660499938689
"majority-vote",1,0.26425813549975,0.418044587698526
"majority-vote",0.956837289604264,0.234074883569317,0.37613449959463
"majority-vote",1,0.225435472575945,0.367927120800682
"majority-vote",0.949398807448601,0.805538470957101,0.871572190175838
"majority-vote",0.760327269541,0.891827073194373,0.820843944085711
"majority-vote",0.942746132724359,0.672285066177223,0.784869229347364
"majority-vote",0.969218443495023,0.182513313516525,0.307181370256914
"majority-vote",1,0.470808018514893,0.640203225150048
"majority-vote",0.981793958520547,0.965812186746639,0.973737500590279
"majority-vote",0.997446065472111,0.892389892798437,0.941997937486013
"majority-vote",0.997014583710882,0.848731620849939,0.916916747874672
"majority-vote",0.996985079514916,0.909211008741673,0.951077190254034
"majority-vote",0.984227748041102,0.841576446196939,0.907329376346976
"majority-vote",0.99657945927043,0.871473717519802,0.929837348277801
"majority-vote",0.960817094800533,0.234827374855812,0.377413456616325
"majority-vote",0.998152945579013,0.961030808637865,0.979240186500523
"majority-vote",1,0.594654858123849,0.745810110688748
"majority-vote",0.995899052587334,0.670320343044585,0.801300712641075
"majority-vote",1,0.474627428194131,0.643725213731271
"majority-vote",1,0.693656480471044,0.819122990369479
"majority-vote",0.992527552764785,0.841955148009603,0.911061938320733
"majority-vote",0.934587125781336,0.255597393328195,0.401413443633971
"majority-vote",0.852468873994215,0.482663968774186,0.616352166313809
"majority-vote",0.902903081013099,0.416634170785721,0.570169998527815
"majority-vote",0.980993626670654,0.412199414181444,0.580486675388585
"majority-vote",0.900993265545928,0.326741305935224,0.479568993268897
"majority-vote",0.975711683783245,0.0321622642268644,0.062271868511003
"majority-vote",0.875291096527594,0.484038884821159,0.623358466406703
"majority-vote",0.96940728919826,0.243670529799032,0.389449026353866
"majority-vote",0.985308772925521,0.229632083976419,0.372460117053084
"majority-vote",0.847660459837581,0.38733571523014,0.531708805439005
"majority-vote",0.998805256869773,0.735497922795575,0.847163518257253
"majority-vote",1,0.409157122325192,0.580711853693161
"majority-vote",0.999094991168108,0.66485838442273,0.798407805719924
"majority-vote",1,0.409585449028119,0.581143128726989
"majority-vote",0.93939777894389,0.724956101108401,0.818362199740427
"majority-vote",0.902392205750485,0.536854742007338,0.673204185789424
"majority-vote",0.990572573055298,0.550604333266084,0.707788377702367
"majority-vote",0.8092690481537,0.362498457966526,0.50071158400198
"majority-vote",0.959070730985499,0.281292740479361,0.435000933901813
"majority-vote",0.855897354910757,0.638378354023678,0.731305931528226
"majority-vote",0.958284536082474,0.390117088152189,0.554498253515462
"majority-vote",0.977371608026786,0.571407098319644,0.721183823401134
"majority-vote",0.932038424688847,0.432427774677313,0.590764801779878
"majority-vote",0.999953253006416,0.488301548652001,0.65617624277581
"majority-vote",0.981434622638777,0.643648569238689,0.777435879984651
"majority-vote",0.90130731849252,0.625030703780678,0.738165123818456
"majority-vote",0.979281305918098,0.322009592929543,0.484654084588535
"majority-vote",0.894937598131037,0.644797892618766,0.749549361909149
"majority-vote",1,0.482080907759164,0.650546006274445
"majority-vote",0.996934125898139,0.420178855036487,0.591188769282758
"majority-vote",0.928371044283055,0.648885859644042,0.7638664844495
"majority-vote",0.949078133239311,0.481391955445675,0.638781030158842
"majority-vote",0.961909559098839,0.937113338809332,0.949349562401448
"majority-vote",0.983926365499148,0.754395107386312,0.854006865518208
"majority-vote",0.998653771653393,0.641648250877633,0.781300561740459
"majority-vote",0.92766922163446,0.525096736554959,0.670605031921075
"majority-vote",0.917365366046695,0.787976933257003,0.847762643439751
"majority-vote",0.996651367260225,0.672283605181641,0.80294605284779
"majority-vote",0.965509568927572,0.313498717903075,0.473313605703046
"majority-vote",0.946910931370099,0.551529977346847,0.69705753692378
"majority-vote",0.99466060886313,0.698975279941589,0.821006666335637
"majority-vote",0.993071198757862,0.645066201682709,0.7821037063325
"majority-vote",0.970690311843968,0.594705707301451,0.737545083053142
"majority-vote",0.968690985976268,0.462389047483823,0.625977711712967
"majority-vote",1,0.596534586290098,0.747286768996691
"majority-vote",0.955147597993766,0.355045284856681,0.517665231507109
"majority-vote",0.938780351373228,0.571926573458804,0.71081084062819
"majority-vote",1,0.528355420259814,0.691403862290089
"majority-vote",1,0.378557707078878,0.549208357597202
"majority-vote",1,0.672029872264934,0.803849121851635
"majority-vote",0.89730029933867,0.519525466545414,0.65804895403547
"majority-vote",0.977231562771278,0.71060458138462,0.822858578995783
"majority-vote",0.98304789809362,0.529457608286269,0.688238405427352
"majority-vote",0.994389687248637,0.831801188877372,0.9058576897673
"majority-vote",0.85388350919437,0.585493708571902,0.694666299168538
"majority-vote",0.980206067225108,0.715118470203787,0.826937200285628
"majority-vote",0.969901814574227,0.644940149046069,0.774724257783331
"majority-vote",1,0.928392205013672,0.962866581393478
"majority-vote",1,0.495446205079273,0.662606522918034
"majority-vote",0.998666103361548,0.644983648154383,0.783771975799809
"majority-vote",0.960527662749477,0.473433478972559,0.634251430940122
"majority-vote",1,0.116291593488784,0.208353434115425
"majority-vote",0.985462106145527,0.410279203207274,0.579354648302024
"majority-vote",0.824008331003425,0.495632979974619,0.618964715974907
"majority-vote",0.998678441670987,0.417273722133427,0.58861066245459
"majority-vote",0.98426502399227,0.518964392871961,0.679601523055331
"majority-vote",0.986536220860107,0.665593709155346,0.794891842982634
"majority-vote",0.621325428826043,0.361335761181426,0.456936936248653
"majority-vote",0.52501835361704,0.36282603898303,0.429107467984131
"majority-vote",0.979727858302611,0.574416653601134,0.724220937622623
"majority-vote",0.739080391925393,0.381057626856291,0.50285271186389
"majority-vote",0.996904928754964,0.448973917430991,0.619117310347336
"majority-vote",0.996290333869952,0.539006724545572,0.699548255644892
"majority-vote",0.863509475205468,0.48566019020971,0.621674481314582
"majority-vote",0.435840463748563,0.54605037844202,0.484760301133463
"majority-vote",0.831874375220186,0.527285737918359,0.645450803850418
"majority-vote",0.899929312755781,0.586791485318125,0.710383360207803
"majority-vote",0.846617848929618,0.77826335753945,0.811002856131974
"majority-vote",0.873537467934896,0.642446366338535,0.740378570599081
"majority-vote",0.823541550358745,0.712701177703061,0.764122780999057
"majority-vote",0.97005490428847,0.905472557778071,0.936651809303211
"majority-vote",0.983120765627225,0.982844694233754,0.982982710546778
"majority-vote",0.913526819239253,0.833924242066024,0.871912441166777
"majority-vote",0.97505516154952,0.467756726306663,0.632221863672751
"majority-vote",1,0.501470933752915,0.667972882431353
"majority-vote",0.949143944640846,0.791467024079601,0.863163735938417
"majority-vote",0.906767150869454,0.78209785270357,0.83983105825127
"majority-vote",1,0.685061447863242,0.813099663198562
"majority-vote",0.973624569396301,0.486138634115437,0.648483969412155
"majority-vote",0.913514419814514,0.813135964586669,0.860407452059057
"majority-vote",0.989614293557139,0.606354266632186,0.751965751941109
"majority-vote",0.741535813455442,0.535744201151069,0.622061736598895
"majority-vote",0.947267199868709,0.865438242289197,0.904505763999545
"majority-vote",0.98124365748679,0.956350007720908,0.968636919354288
"majority-vote",0.912527003416284,0.35462421707074,0.510758572316306
"majority-vote",0.807349701152495,0.527610774479079,0.63817080561729
"majority-vote",0.996991695248584,0.267754705223732,0.422138726581237
"majority-vote",0.963045743912164,0.124968262588865,0.221229051632048
"majority-vote",0.883562957846868,0.452300298789405,0.598318409984086
"majority-vote",0.994999499052686,0.297822349617507,0.45842834259171
"majority-vote",0.995933753553331,0.411020296909518,0.581893896183797
"majority-vote",0.998412600542845,0.649817999813977,0.787252073749108
"majority-vote",1,0.430985891822968,0.602362181606032
"majority-vote",1,0.523791523329587,0.687484495497215
"majority-vote",0.997589333016707,0.617687708226098,0.762963446057259
"majority-vote",0.980139380849936,0.289054638936275,0.446446848034353
"majority-vote",0.980704376485016,0.327673802457255,0.491220561915983
"majority-vote",0.999870537592647,0.25606920832687,0.407720287255115
"majority-vote",0.990787865602514,0.591125565578622,0.740470402334752
"majority-vote",0.934426147789657,0.258739635827713,0.405263182210934
"majority-vote",1,0.0670476588612665,0.125669473719325
"majority-vote",0.941296143298437,0.552395368505583,0.696218229589092
"majority-vote",0.960086351515469,0.857977192429062,0.906164358343061
"majority-vote",1,0.60856447083513,0.756655368024108
"majority-vote",0.989145652992096,0.950007081482762,0.969181393764593
"majority-vote",1,0.520242933718844,0.68442078851992
"majority-vote",0.986941125862291,0.794188220443429,0.88013486281245
"majority-vote",0.978523812261298,0.640044424612792,0.773892253808535
"majority-vote",0.98504889353797,0.590113184092137,0.738070510085796
"majority-vote",0.988470944138383,0.539645307495985,0.69814545330552
"majority-vote",0.979860486430523,0.480533510594967,0.644833928921625
"majority-vote",0.677000050860278,0.762158230904053,0.717059641908266
"majority-vote",0.945773482744769,0.281146420305965,0.433444479028885
"majority-vote",0.881286017736606,0.567177981364356,0.690173901256402
"majority-vote",0.980876817632958,0.558460161653145,0.711709825084782
"majority-vote",1,0.529755478701259,0.692601511910928
"majority-vote",0.999407016182171,0.493775676640802,0.660981242317978
"majority-vote",0.999125387035935,0.842928963091472,0.914404861544194
"majority-vote",0.835256283102112,0.642263924955718,0.726155860073475
"majority-vote",1,0.519847081040033,0.684078138551019
"majority-vote",0.934006825122058,0.468011140437921,0.623566331017141
"majority-vote",0.933608667696923,0.498323430441208,0.649806055163235
"majority-vote",0.946362722091854,0.838125307075222,0.8889614658026
"majority-vote",1,0.518769322687002,0.683144326051038
"majority-vote",0.981540960651214,0.662545024218894,0.791096190261452
"majority-vote",0.980028976208784,0.600822728626485,0.744944869677247
"majority-vote",1,0.0804290889048088,0.148883605098668
"majority-vote",0.903399957614871,0.358959391964539,0.51377430617402
"majority-vote",0.966217135027548,0.846897713076313,0.902631273298252
"majority-vote",0.914276238202945,0.617673537000225,0.737262078675104
"majority-vote",0.936561485504245,0.999729574037263,0.96711515590489
"majority-vote",0.994751513020768,0.151298905501164,0.262649553166737
"majority-vote",0.987538878173638,0.584894086841688,0.734664896019151
"majority-vote",0.930364142033721,0.762007754726485,0.837811939924454
"majority-vote",0.93941497101682,0.381760078102665,0.542897223112424
"majority-vote",0.994376556739082,0.79424361949395,0.883113414529081
"majority-vote",0.949590118724942,0.650454977294735,0.772060263365153
"majority-vote",0.973249245612351,0.595544003886124,0.738928157290866
"majority-vote",0.972760000803797,0.410738244880991,0.577593411002583
