"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.906727182754049,0.517178572349932,0.658667005462549
"majority-vote",0.987639570774577,0.524982134907912,0.685555586617513
"majority-vote",0.879682254513885,0.25929604258208,0.400531121456328
"majority-vote",0.957759745753386,0.445422356012137,0.608057360352999
"majority-vote",0.992493557041711,0.689504230538259,0.813709163490429
"majority-vote",0.971151991914849,0.821955305712562,0.890346644022861
"majority-vote",0.993353311451147,0.430854138647909,0.601022534109851
"majority-vote",0.935870909156344,0.638595809677608,0.75916910003538
"majority-vote",0.960561374399114,0.478593814319872,0.638873049502345
"majority-vote",0.813409837307536,0.670274376013734,0.734937753262573
"majority-vote",0.995572182198127,0.350883053806784,0.51888751773325
"majority-vote",0.992557515133283,0.902697772088601,0.945497383514981
"majority-vote",0.900666186185688,0.821177294823831,0.859086938468563
"majority-vote",1,0.489502682004844,0.657269957172527
"majority-vote",0.945430713857681,0.634726706819973,0.759532076590182
"majority-vote",0.994892698103647,0.209199201765872,0.345705769316332
"majority-vote",0.944082803629952,0.877470810905615,0.909558847626272
"majority-vote",0.989377725717314,0.626700705484771,0.767343597596006
"majority-vote",1,0.546572297898316,0.706817649121312
"majority-vote",0.968527834365776,0.815313491128276,0.885340863681322
"majority-vote",0.668160662356677,0.62598891665084,0.646387675678306
"majority-vote",1,0.211397100386238,0.349013713701042
"majority-vote",1,0.0888712094537674,0.163235484017159
"majority-vote",0.999298122374914,0.641838756471694,0.781638963180672
"majority-vote",0.977830955614417,0.207856268678241,0.342836271940675
"majority-vote",0.91127950254853,0.893286128421175,0.902193109267763
"majority-vote",0.895798490234719,0.899571811868039,0.897681185864885
"majority-vote",0.981800994344646,0.393251883072988,0.561571261978019
"majority-vote",0.999832409779776,0.288602415202092,0.447914077863941
"majority-vote",0.9952827460006,0.310195771259849,0.472979823007969
"majority-vote",0.984159164210924,0.565555872786601,0.718321732432322
"majority-vote",0.991724076227968,0.636441755868929,0.775319810758019
"majority-vote",0.975462118776511,0.835187739623294,0.899891271953711
"majority-vote",0.961077112384777,0.659602049173681,0.78229972690379
"majority-vote",1,0.37458853091759,0.545019142081068
"majority-vote",0.999657710928873,0.304563788718436,0.466883178884
"majority-vote",0.963077671251942,0.415049408485011,0.580098633363387
"majority-vote",0.96391351415221,0.639859695368336,0.769147911768947
