"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.411712781615524,0.583281226857451
"majority-vote",1,0.627269101652433,0.770946982297475
"majority-vote",0.96124213836478,0.257634888696003,0.406356844586206
"majority-vote",0.967774514957613,0.624847573263357,0.759391146976841
"majority-vote",0.993452685421995,0.72080439580954,0.83544652726944
"majority-vote",0.996552101576182,0.527351718707234,0.689719989611637
"majority-vote",1,0.504655773035617,0.670792326164386
"majority-vote",0.87896872920825,0.699275011450631,0.77889219814076
"majority-vote",0.906804733727811,0.531365597035417,0.670080349211638
"majority-vote",0.85408255956284,0.248058181160317,0.384455738650755
"majority-vote",0.989847715736041,0.294459683198656,0.453894830836162
"majority-vote",0.986394557823129,0.615743138402107,0.758194107994305
"majority-vote",0.992439516129032,0.720770723609069,0.835065459669338
"majority-vote",1,0.542947883186605,0.703779938522967
"majority-vote",1,0.70580314481422,0.827531766440833
"majority-vote",0.993958169490084,0.251010122927171,0.400803078805727
"majority-vote",0.981227106227106,0.879669798800234,0.927677238626449
"majority-vote",0.992886476972719,0.768679728866765,0.866514929027212
"majority-vote",1,0.704460521477377,0.826608199604143
"majority-vote",1,0.769705730877625,0.869868608602986
"majority-vote",0.719693210015791,0.652554158213637,0.684481249819974
"majority-vote",1,0.253751237191545,0.404787217215368
"majority-vote",1,0.0749894522788296,0.139516628967591
"majority-vote",0.987299771167048,0.610233181387309,0.754266858006148
"majority-vote",0.948603655920729,0.246762498419133,0.391645367061263
"majority-vote",0.976744186046512,0.455490008503401,0.62126322538722
"majority-vote",0.947916666666667,0.789638375092921,0.861568535558058
"majority-vote",0.991803278688525,0.39208721583223,0.562000227234639
"majority-vote",0.994475138121547,0.265407451926567,0.418993189521066
"majority-vote",0.977618014107434,0.280258693775092,0.435632436673335
"majority-vote",0.943426947452505,0.619397763804953,0.747820964636831
"majority-vote",0.984615384615385,0.542890498780428,0.699883834257178
"majority-vote",1,0.669877026524354,0.802307015287972
"majority-vote",0.95364010989011,0.659704070828203,0.779895908285925
"majority-vote",1,0.402545676649651,0.574021485861676
"majority-vote",0.991677433247201,0.354958685104278,0.522790845954626
"majority-vote",0.978798586572438,0.511300801243875,0.671714256999014
"majority-vote",0.957561728395062,0.605573835365512,0.741937349398373
"majority-vote",0.983050847457627,0.474534423791639,0.640088064359168
"majority-vote",0.974805258033106,0.458823549338118,0.623960129853048
"majority-vote",0.992982456140351,0.472015186538411,0.639868332357764
"majority-vote",0.941584766584767,0.764667431697767,0.843954024985106
"majority-vote",1,0.545178812653855,0.705651421297327
"majority-vote",1,0.339379651235037,0.506771401106618
"majority-vote",0.882880469732435,0.628724323569423,0.734435916828072
"majority-vote",0.994579945799458,0.480834688867614,0.648263244183372
"majority-vote",1,0.315542730872891,0.479714909242852
"majority-vote",1,0.128757263880137,0.228139863193492
"majority-vote",0.963869395136718,0.38427197883876,0.549479464040309
"majority-vote",0.979020979020979,0.354689868590022,0.520725797526252
"majority-vote",1,0.539877234588773,0.701195163435153
"majority-vote",0.965800817623734,0.204363455375277,0.337344758933725
"majority-vote",0.961053386911596,0.161225603995573,0.276128153573589
"majority-vote",0.995645882662457,0.428897593107931,0.599532594020429
"majority-vote",0.990152111198531,0.903164314841731,0.944659900268248
"majority-vote",1,0.542325139268181,0.703256564339617
"majority-vote",0.989445910290237,0.890180932604513,0.93719227996065
"majority-vote",0.927721529941156,0.67821811342986,0.783588036352612
"majority-vote",0.979659763313609,0.426551817375517,0.594328276327102
"majority-vote",0.963930348258706,0.67468022435032,0.793775842158488
"majority-vote",0.987861811391223,0.6184400384862,0.760670600861794
"majority-vote",1,0.733178727207292,0.846050918693975
"majority-vote",1,0.732863701499986,0.845841136686759
"majority-vote",0.976842105263158,0.723771585208535,0.83147696973868
"majority-vote",1,0.161187802233183,0.277625724147616
"majority-vote",1,0.566113162200119,0.722953073716369
"majority-vote",1,0.645899859762032,0.784859243934096
"majority-vote",0.978098290598291,0.628155312620904,0.765007015421958
"majority-vote",0.956986741786747,0.674964864793916,0.791607329745577
"majority-vote",1,0.0206540754927166,0.0404722344007609
"majority-vote",1,0.864610986318154,0.927390209177527
"majority-vote",1,0.864610986318154,0.927390209177527
"majority-vote",1,0.267129036311059,0.421628782319977
"majority-vote",0.846814335490294,0.810918505871499,0.828477784299969
"majority-vote",1,0.868050668543279,0.929365228856659
"majority-vote",1,0.654765021349307,0.791369182816551
"majority-vote",1,0.662181712962963,0.796762120288972
"majority-vote",1,0.601641709632803,0.75128127097881
"majority-vote",0.995027296463328,0.297360748685029,0.457884244517924
"majority-vote",1,0.428241274573405,0.599676374289511
"majority-vote",0.973913043478261,0.415580868426567,0.582571287161392
"majority-vote",1,0.601514159021227,0.751181818322287
"majority-vote",1,0.67217731143877,0.80395458883534
"majority-vote",0.976,0.610523958799821,0.751165944243782
"majority-vote",0.886085304054054,0.45714959886739,0.603131351678836
"majority-vote",0.995704467353952,0.788405064284746,0.880011491078986
"majority-vote",0.5762044653349,0.746849520022493,0.65052225099332
"majority-vote",1,0.605391950902514,0.754198313455075
"majority-vote",0.882219609482964,0.92844746354933,0.904743418508422
"majority-vote",0.951099967165159,0.424365193699178,0.586875964985831
"majority-vote",0.994535519125683,0.320090139677427,0.484306709061092
"majority-vote",0.952996782138346,0.4411372861831,0.603101844745687
"majority-vote",0.742587736687812,0.150767723685229,0.250646618648834
