"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.772963908901748,0.493197909148741,0.602172926529645
"majority-vote",0.753380594093335,0.720980007563112,0.736824282766454
"majority-vote",0.800153570833136,0.312915623817058,0.449892162985222
"majority-vote",0.901662319206828,0.461087254834594,0.61015613062042
"majority-vote",0.973730019956335,0.712547422686237,0.822911815774281
"majority-vote",0.937535769948302,0.828728341742487,0.879780615832997
"majority-vote",0.992591761123997,0.371771212964336,0.540936759527724
"majority-vote",0.31514583794749,0.725544830206951,0.439424394742639
"majority-vote",0.773912635363253,0.423384388527462,0.547337079035211
"majority-vote",0.702916840788621,0.714945065709738,0.708879933402292
"majority-vote",0.984559132489198,0.365852717481813,0.533472264998922
"majority-vote",0.924576013755534,0.819899021477894,0.869096953122815
"majority-vote",0.67062712094451,0.811323844991372,0.734296595267694
"majority-vote",1,0.565991058655395,0.722853499740121
"majority-vote",0.795106106624612,0.672552694864706,0.728712632896862
"majority-vote",0.939381109887439,0.186427024137843,0.311111670905171
"majority-vote",0.948975907662784,0.855496702565778,0.899814998817905
"majority-vote",0.997183868067272,0.604116691415966,0.752407679548408
"majority-vote",1,0.626454704549465,0.770331571850316
"majority-vote",0.950184825521171,0.705683337495473,0.80988283232618
"majority-vote",0.40542706373483,0.326546342915608,0.36173643408017
"majority-vote",1,0.269548823263051,0.424637191297999
"majority-vote",1,0.0838580855657725,0.154739973217063
"majority-vote",0.928430387322553,0.689116330073604,0.791070247752033
"majority-vote",0.962334130090077,0.166361912089589,0.283682656743776
"majority-vote",0.569420080635583,0.76095227841464,0.651398843018712
"majority-vote",0.768586522212768,0.907153650436822,0.832141021241303
"majority-vote",0.95401872588236,0.332719489464153,0.49337249741874
"majority-vote",0.999565264000846,0.256074489126055,0.40770159385245
"majority-vote",0.987143464030328,0.329711149440032,0.49431760022456
"majority-vote",0.982730913550967,0.53350726555833,0.691572194516575
"majority-vote",0.926860592672495,0.66486574399424,0.774301264395256
"majority-vote",0.861639546029642,0.784126662502521,0.821057739557066
"majority-vote",0.746093284944064,0.632146571234649,0.684409625486015
"majority-vote",1,0.418409786754838,0.589970247895868
"majority-vote",0.999352990495957,0.276523091081202,0.433183413347769
"majority-vote",0.823986329503524,0.333863378468973,0.475189237231867
"majority-vote",0.723452523658614,0.607197392612347,0.660246516642597
"majority-vote",0.97300776115657,0.342636304184644,0.506805437744588
"majority-vote",0.916696313832641,0.304893251222194,0.457591530745089
"majority-vote",0.890749258029356,0.409622808239875,0.561179714600277
"majority-vote",0.772415387787585,0.705835731041712,0.737626202967041
"majority-vote",0.980609971097386,0.676444503762446,0.800611247665335
"majority-vote",1,0.163697478612664,0.281340265182701
"majority-vote",0.867303648110791,0.876750982035453,0.872001727537978
"majority-vote",0.814097063125874,0.657250118988661,0.72731357780403
"majority-vote",0.882270512997761,0.40822101800334,0.558177033042409
"majority-vote",1,0.155565384608269,0.26924549087459
"majority-vote",0.937983643439924,0.346492753278488,0.506049836300629
"majority-vote",0.606231076396507,0.423905812695215,0.498933452130894
"majority-vote",0.98557607423267,0.646527443284409,0.780835250456796
"majority-vote",0.946926478831047,0.0715506523860679,0.133048068032782
"majority-vote",0.900985447973777,0.116225808252185,0.205891866165011
"majority-vote",0.87067036359668,0.362873816908093,0.512253201953089
"majority-vote",0.857704872512827,0.930916876803161,0.892812514936533
"majority-vote",0.891260393755522,0.485310539718349,0.628428295564168
"majority-vote",0.960306371487468,0.914354395335337,0.936767192419822
"majority-vote",0.683550345830363,0.81181985762186,0.742183765796973
"majority-vote",0.998128163529014,0.183999731912886,0.310719872548793
"majority-vote",0.797364931163142,0.571928115378535,0.666088860234624
"majority-vote",0.682631485931956,0.417425387239135,0.518059964545952
"majority-vote",0.871834717391873,0.844903123286393,0.858157673536075
"majority-vote",0.91378570306322,0.838607856805792,0.874584211645814
"majority-vote",0.794152249948108,0.568898042957865,0.662912679242174
"majority-vote",0.948141715541925,0.211810832019921,0.346267071120895
"majority-vote",0.876661746801766,0.782451878686628,0.826882041374135
"majority-vote",0.897851468199196,0.489453035614135,0.633539537185609
"majority-vote",0.856041053356355,0.634482005405197,0.728794688616229
"majority-vote",0.959776276421427,0.710393114187104,0.816466236016334
"majority-vote",1,0.077807506844375,0.144381081687177
"majority-vote",0.203139954238051,0.974149278471139,0.336176759884696
"majority-vote",0.203139954238051,0.974149278471139,0.336176759884696
"majority-vote",1,0.332504234961509,0.499066683973599
"majority-vote",0.853949010026168,0.8437729575102,0.848830486417384
"majority-vote",0.203857789370421,0.855210471524294,0.329235277099311
"majority-vote",1,0.754861836864473,0.860309137741846
"majority-vote",0.208276737991497,0.688097482944646,0.319765329748546
"majority-vote",1,0.661439292992548,0.796224449225801
"majority-vote",0.852386888873317,0.561575637760341,0.677075526007354
"majority-vote",0.904475774619011,0.253657237374638,0.396201168408457
"majority-vote",0.709026977512852,0.332225958692667,0.452449465739951
"majority-vote",0.836549954797277,0.505651139724687,0.630311567776711
"majority-vote",0.967619159634215,0.594711759393531,0.736661466326308
"majority-vote",0.852582613210388,0.705237384351367,0.771941730142171
"majority-vote",0.708491142671659,0.343550219476113,0.462723798358684
"majority-vote",0.999809239891567,0.815010740640811,0.898001209866022
"majority-vote",0.336042887657166,0.79945206887827,0.473186041422925
"majority-vote",1,0.588805421299711,0.741192613527266
"majority-vote",0.764491084898255,0.951752715701231,0.847905718205235
"majority-vote",0.790978899907587,0.427468264997086,0.554998834141903
"majority-vote",0.923957475849744,0.511986979127575,0.658875341957599
"majority-vote",0.904659836696048,0.510943204236088,0.653050018034447
